Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0015801953067733215,0.10899145901203156,0.0,0.0,0.0,0.0,0.0,0.00160435059192329,0.10899186134338379,0.006902754127046795,0.0,0.007169179602036057,0.023452963680028915,0.00013330030196812004,0.029585644602775574,0.00032470107544213533,0.0014472355986463261,0.0,0.026413816958665848,0.026936614885926247,0.013227541482259556,0.016349708402392124,0.005309070460498333,0.004831921774893999,0.026706353544645615,0.02930480127336979,0.0023790036406082034,0.002157845996571448,0.0021617894413537278,0.0012002949388627386,0.0,0.00022726118913851678,0.07795422222988464,0.07936996967230713,0.016670492054188156,0.017191133017149276,0.0,0.0,0.1407067850323973,0.09446601424106399,0.0945025757122844,4.3326021113898605e-05,0.0147852199152112,0.017944660037755966,-9.429490455659106e-05,0.0008177229901775718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24199871718883514,0.07540647685527802,0.8877266645431519,0.12906455993652344,1.2151211500167847,0.6504393815994263,1.7282466888427734
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0018338452399668539,0.2175453156232834,0.0,0.0,0.0,0.0,0.0,0.0018711764201721215,0.21755070984363556,0.01908429186690834,0.0,0.0130892321651894,0.07437416166067123,0.00016952134319581091,0.06437463313341141,0.0004966886481270194,0.002501944817529268,0.0,0.046108439564704895,0.049134258180856705,0.013009610024727537,0.016375190640263933,0.011821376159787178,0.010669218376278877,0.050962457044628144,0.05259858813316513,0.0022904284862087535,0.004040530648919215,0.0022203598217604573,0.0013362854590665543,0.0,0.0003967127704527229,0.1877463590638617,0.18877452017149537,0.04005752450794449,0.04205952724027031,0.0,0.0,0.2413529902816623,0.1500647426016211,0.1501211165986502,9.157157182926312e-05,0.027800951153039932,0.033867184072732925,-0.00029892445309087634,0.0011074572103098035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4816250801086426,0.15202800929546356,1.5980380773544312,0.26389697194099426,2.430349111557007,1.256030797958374,3.6076881885528564
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0020316100573685124,0.33123916387557983,0.0,0.0,0.0,0.0,0.0,0.002104572193396971,0.33116641640663147,0.04242815629111519,0.0,0.021286677014558296,0.15181955695152283,0.00025926411035470665,0.09792987257242203,0.00044625092414207757,0.0031901096380960847,0.00010339951404603198,0.06318460404872894,0.0699850395321846,0.012921821008375786,0.016144233913380986,0.02151734195649624,0.019171470776200294,0.09010159969787064,0.08955680284363479,0.002088955341778988,0.005597992278317527,0.0021901104267056225,0.0012270982444994856,0.0,0.0006855694227851927,0.3231182578662012,0.3240253902924396,0.06642805805378907,0.0705548667009941,0.0,2.855873026419431e-05,0.339563006197583,0.2038323521822931,0.2038846135016745,0.00012151193368481472,0.040232010185718536,0.04909902065992355,-0.0003862815792672336,0.0016280410345643759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8318511247634888,0.20725536346435547,2.3568618297576904,0.34229329228401184,3.229409694671631,1.6242892742156982,6.10739803314209
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0030492442453265525,0.4485337734222412,0.0,0.0,0.0,0.0,0.0,0.003130776513089857,0.44837602972984314,0.06872060128427337,0.0,0.030539876396094703,0.22696073353290558,0.00020449399016797543,0.1311981976032257,0.00030989074730314314,0.003678506216581044,0.00035735132405534387,0.07894068211317062,0.08863459527492523,0.012933066921016584,0.016048540332744176,0.03305745869874954,0.029699966311454773,0.12972500993057617,0.12890086170423232,0.0019670470492579046,0.007573352239480228,0.0023808282462561316,0.001637505590471227,0.0,0.0008687282097525895,0.45732007400193786,0.4585902906939215,0.09924799781276458,0.10502634322504502,0.0,6.488228245871142e-05,0.437114348993017,0.2589845598115875,0.2590321779242914,0.00013413524720817804,0.05283372849225998,0.06446918100118637,-0.0007506656693294644,0.0018522996688261628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1058489084243774,0.27947384119033813,3.0329790115356445,0.46116432547569275,3.8403713703155518,1.9925634860992432,8.850730895996094
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.004535478381668586,0.5616253614425659,0.0,0.0,0.0,0.0,0.0,0.00463008574916409,0.561410665512085,0.08766197480261032,0.0,0.04049156066725929,0.27597564458847046,0.00019080103083979338,0.17512990534305573,0.0006332886405289173,0.004310014624279957,0.0003712332108989358,0.10229373723268509,0.11483339965343475,0.012902939908526471,0.015916542413148372,0.04493051394820213,0.04080837592482567,0.15068649352658478,0.1498191833823993,0.0018033474366662599,0.009488511306162758,0.002685592482690686,0.0018580996874327325,0.0,0.0012887784978374839,0.5493905909742028,0.5515940904543909,0.13090641524902313,0.1383005764771689,0.0,0.0,0.5277856111430457,0.3057213902870703,0.3057979643655231,0.00013594568008556962,0.0677650198340416,0.08173182606697083,-0.0007777881692163646,0.00287037855014205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4773590564727783,0.3522113561630249,3.6542627811431885,0.5581956505775452,4.6470794677734375,2.3375890254974365,11.392949104309082
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.005128859419685574,0.5555381774902344,0.0,0.0,0.0,0.0,0.0,0.005197276997627516,0.5553860664367676,0.079185314638087,0.0,0.042906096788247375,0.23913981020450592,0.00016047953977249563,0.18959984183311462,0.0011137634282931685,0.004457445086702967,0.00023709714878350496,0.11149284243583679,0.12132201343774796,0.012812163803163842,0.015950270927917107,0.04422152414917946,0.04034147411584854,0.12889252680440888,0.1307337894650792,0.001645713465551758,0.009949751539603214,0.002390060909498757,0.0015979895789257812,0.0,0.0012680899817496538,0.5065240275036206,0.5087946168918921,0.13998325365099243,0.14612262680007598,0.0,0.0,0.5170616150132215,0.30156839188550905,0.301663088796875,0.00011184572940692306,0.0711929202079773,0.08429443091154099,-0.0007905340171419084,0.0037785100284963846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.553832769393921,0.3827552795410156,3.7009267807006836,0.588758647441864,5.123733043670654,2.3606069087982178,10.741657257080078
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.004798604734057999,0.530422031879425,0.0,0.0,0.0,0.0,0.0,0.004883812901385079,0.5303801894187927,0.06861831201861145,0.0,0.04522935261617393,0.19737263023853302,4.892826109426096e-05,0.20041413605213165,0.002022255677729845,0.004450149544495869,4.475504101719707e-05,0.11981603503227234,0.1294385939836502,0.012703732564013488,0.015787088263796364,0.04145319387316704,0.03821182623505592,0.10543429109995484,0.1087605700064766,0.0015294674401024257,0.009737096904317722,0.0021189192332338523,0.0020003563809913062,0.0,0.0014904254348948598,0.45976212244698367,0.46364035236784545,0.15055317457187195,0.15640084763359496,0.0,0.0,0.49721600116892456,0.2833789318447922,0.2835149705065994,0.00014105737500358373,0.07740586251020432,0.09087400138378143,-0.00010672569624148309,0.009171655401587486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6546367406845093,0.4247261583805084,3.763676166534424,0.6275961399078369,6.097264289855957,2.5240862369537354,9.267633438110352
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.005085655335628528,0.48947229981422424,0.0,0.0,0.0,0.0,0.0,0.005191271098947887,0.48958343267440796,0.06015905685678039,0.0,0.048428296080235064,0.16711841523647308,5.418777436716482e-05,0.20844945311546326,0.0022929960396140814,0.003957592416554689,0.0,0.12790067493915558,0.1357431858778,0.012680722203881887,0.015827203955400264,0.037216030061244965,0.03426847606897354,0.09110517056228881,0.09638669339558731,0.0015298615719614571,0.00905711541024664,0.002060409261888378,0.004707174494428225,0.0,0.0016095113242045045,0.42748746347062255,0.4337393276377069,0.16093528357219514,0.1669413368811969,0.0,0.0,0.4733399212081732,0.254706153292908,0.2548775673279059,0.00010529100836720318,0.0828794315457344,0.09702637046575546,0.0012232220033183694,0.016639119014143944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7114455699920654,0.4387708306312561,3.7361485958099365,0.6546484231948853,7.051586151123047,2.565922737121582,8.199066162109375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0052490182976226134,0.4502195715904236,0.0,0.0,0.0,0.0,0.0,0.005394555521581774,0.4504077434539795,0.05387179655035622,0.0,0.0512708747586631,0.14866051077842712,-1.1968612625423702e-06,0.2071719616651535,0.002528018318116665,0.0031950927805155516,0.0,0.13260656595230103,0.13939239084720612,0.012792211757650412,0.015913681997785166,0.03440086916089058,0.031733036041259766,0.08399741498664749,0.09067278504455795,0.0015143087343616292,0.00829584419793764,0.0019939862743280352,0.006826099636182642,9.587504944493845e-05,0.001838291296735406,0.407018187666037,0.415718488014328,0.16277047328842864,0.16958000429395204,0.0,5.21492947882507e-05,0.4455285429863165,0.2242784499831604,0.22444889248732544,0.00011523484863573685,0.08663992583751678,0.10152219980955124,0.003495224751532078,0.023434877395629883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7910943031311035,0.45460325479507446,3.6630446910858154,0.6736123561859131,7.637449264526367,2.6796059608459473,7.583925247192383
