Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.011191585095688725,0.012661799788475037,0.0,0.0,0.0,0.0,0.0,0.01111507501886896,0.012539766728878021,0.009111204004845353,0.0,0.011116046442160188,0.015194112434983253,3.482968168100342e-05,0.036619264632463455,0.00027087394846603274,0.0023092328491138648,5.3491054131882265e-05,0.045890890061855316,0.03783562779426575,0.013210128943350144,0.016326091895952785,0.004255974665284157,0.0036985301412642,0.019533725238793202,0.022545045959973337,0.001691264643677783,0.0010276529903241658,0.0019711293749167516,0.005159991445944128,0.0013052111025899649,0.0014791286084800959,0.08939876106159546,0.0894136950436679,0.05194298973795166,0.0503196031995681,0.0,1.6983658497338183e-05,0.06537653506720642,0.06011646654197018,0.06017738582380707,4.202509080641903e-05,0.023808661848306656,0.022364964708685875,0.01866758055984974,0.019713575020432472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28284668922424316,0.13989917933940887,0.27029237151145935,0.2460283786058426,2.7958476543426514,0.5569031238555908,0.5725861191749573
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01956323571074356,0.04880854859948158,0.0,0.0,0.0,0.0,0.0,0.019440239069444504,0.04862021282315254,0.015205630435536174,0.0,0.018621644023628845,0.03268695995211601,2.2884025383973494e-05,0.07378989458084106,0.0007767262868583202,0.004177824865953274,0.00013658488751389086,0.06554390490055084,0.052354596555233,0.01303936633759726,0.016305694221972696,0.00740170618519187,0.006173415575176477,0.03077901302149582,0.032876426318594706,0.0016126952916019094,0.0017522282422505523,0.0020124696692366975,0.007905895610994473,0.002232126658782363,0.0026163323782384396,0.15910430069136414,0.1580728381999454,0.08809935248464813,0.08579718088316314,0.0,0.00011063128476962447,0.09787534178503449,0.08294980455111259,0.08305153768281578,0.00012376249651424587,0.038251765072345734,0.03655832260847092,0.02368229068815708,0.026313673704862595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5748161673545837,0.2626684606075287,0.5692545175552368,0.41509944200515747,5.654173374176025,1.1490763425827026,1.1763880252838135
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.02675420366102421,0.10215099155902863,0.0,0.0,0.0,0.0,0.0,0.026631477811073646,0.10192372649908066,0.019618119974601174,0.0,0.02479299288663147,0.04823910817503929,-3.290299355285242e-05,0.12052112817764282,0.013837386853992939,0.005603429993213406,0.00029599553090520203,0.059451036155223846,0.04363037273287773,0.012725989700583681,0.01637783226878858,0.008728621527552605,0.006832262501120567,0.040961798285049825,0.04237849715811463,0.0014581591241865548,0.0023084661827036906,0.002021282183956181,0.010127265548590642,0.0031446311622858047,0.003760618856176734,0.20210324560194948,0.19946117475155364,0.11120624860697739,0.1090593554671875,0.0,0.0,0.13211699727691345,0.10370082559289948,0.10384376047814545,0.00020886451238766313,0.046135060489177704,0.044920701533555984,0.0212576761841774,0.025880765169858932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9204605221748352,0.3914291262626648,0.941794753074646,0.49726352095603943,8.465291023254395,1.7520461082458496,1.8931448459625244
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.03383020062725845,0.1669190675020218,0.0,0.0,0.0,0.0,0.0,0.03373357111932846,0.16670885682106018,0.022427717008956183,0.0,0.030100882599388503,0.05812815576791763,2.448490158712957e-05,0.1702830046415329,0.0388728603720665,0.006613272917072354,0.000483398704091087,0.03783383220434189,0.021861284971237183,0.012563130467663436,0.016532040727437868,0.008746600709855556,0.0061825960874557495,0.044278015178884356,0.04605445485699379,0.0013273789946120233,0.0028384223556276273,0.002325930476669017,0.013570166066775817,0.003775990102440119,0.004722953774034977,0.21486839131513213,0.2118852503582663,0.12362114917470687,0.12247382974485856,0.0,0.0,0.16965549288721252,0.12308568660163421,0.123247797786371,0.00036675570299848914,0.05216250568628311,0.05272367596626282,0.017825573682785034,0.02461816743016243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2754108905792236,0.5323408842086792,1.3173563480377197,0.6197082996368408,11.029760360717773,2.422138214111328,2.72995924949646
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.03990808765426781,0.24596677720546722,0.0,0.0,0.0,0.0,0.0,0.039899123336732255,0.24601547420024872,0.024046261534091874,3.272704634582624e-05,0.03346591462145527,0.06214386597275734,3.0171015168889426e-05,0.2165597379207611,0.09770624339580536,0.007951451897752504,0.0006145021179690957,0.013160773552954197,0.002835550345480442,0.014376901943178248,0.020442941045299912,0.008508761413395405,0.005354585126042366,0.03892955222297398,0.03984493877292416,0.0012485669899748213,0.0032249434729328583,0.002905229894337231,0.017307800331672517,0.004234394058585167,0.00572176231071353,0.2105398245538385,0.20616419314604126,0.12436521526685684,0.12431035306942352,0.0,0.0,0.20983826815121673,0.13766541634002213,0.13785454633955263,0.0005969098419882357,0.05535505339503288,0.058114539831876755,0.01427697204053402,0.024720294401049614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5410205125808716,0.6877856850624084,1.7553867101669312,0.7395971417427063,13.27458381652832,3.1450867652893066,3.737335681915283
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.036797169473332135,0.27575430274009705,0.0,0.0,0.0,0.0,0.0,0.036919711328359146,0.2762090563774109,0.02173298799760029,0.00012268900172784925,0.028688077466686515,0.05337740108370781,0.00019135746697429568,0.2112792581319809,0.19368642568588257,0.007952943181410694,0.0008138433331623673,0.0006448967615142465,0.0,0.040185900752976,0.048478432781550826,0.0063670021481812,0.0033912586513906717,0.022194760694107855,0.021708860582361107,0.001200604983170429,0.003170768373161893,0.002737834628612077,0.01628701784201782,0.0033831991667742445,0.005032967310398817,0.16238863877166412,0.1564710847873999,0.09215850579056076,0.09302062525226257,0.0,0.0,0.2177770376435315,0.13368755128597215,0.1338786587102623,0.0009105759672820568,0.044523801654577255,0.04770030826330185,0.007598364260047674,0.018722642213106155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5393794775009155,0.7402373552322388,2.095640182495117,0.6919021606445312,12.37197208404541,3.2628233432769775,4.241770267486572
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.032783574051971055,0.30294230580329895,0.0,0.0,0.0,0.0,0.0,0.032934051167972336,0.3035281002521515,0.018698419916131515,8.404634718317538e-05,0.023218940548999024,0.052080802619457245,0.00031674178899265826,0.21139580011367798,0.3097503185272217,0.007611113310772705,0.0003978279128205031,0.0,0.0,0.09097298086843643,0.09859224258686493,0.005057552829384804,0.0024695659521967173,0.012789090199221365,0.013719562941029545,0.0011990532027060998,0.0032018573866289713,0.0025490069776959233,0.01251293840741333,0.003552726233919029,0.005274493247270584,0.12313889336058456,0.11449926871010391,0.05616055827009697,0.05674160589765976,0.0,0.0,0.22720031441851257,0.13327874537762147,0.1334734350098877,0.001554758520796895,0.03555980697274208,0.038265615701675415,0.0035161611158400774,0.012794915586709976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5079345703125,0.7914858460426331,2.2534446716308594,0.7015272378921509,11.457836151123047,3.246474266052246,4.9988813400268555
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.02888612992718174,0.32116755843162537,0.0,0.0,0.0,0.0,0.0,0.029067015180981523,0.3218514621257782,0.016096665933280335,7.917009497759864e-05,0.018905914357307967,0.05523846298456192,0.0012861219001933932,0.2154352217912674,0.4142726957798004,0.007527975365519524,0.0002170625375583768,0.0,0.0,0.13747073415267136,0.14385448989209626,0.0036304525565356016,0.00127547571901232,0.010938055944054483,0.01292670609048258,0.0012157396515788531,0.003393303249754696,0.0024538327137849023,0.007435211099249907,0.0037814657488684893,0.005577831994742155,0.098014727946445,0.08709379359916321,0.029225810364602166,0.0293349098077182,0.0,0.0,0.23652305302217622,0.1358695566847461,0.13606396321146608,0.0029598521068692207,0.027694372460246086,0.029551472514867783,0.002200532238930464,0.00898081623017788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4838300943374634,0.8131062388420105,2.4419162273406982,0.6955164074897766,10.343832969665527,3.08438777923584,6.117153167724609
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.02593324704198044,0.32164284586906433,0.0,0.0,0.0,0.0,0.0,0.02613583708686054,0.3224647045135498,0.014900547536217041,5.6956112530315295e-05,0.016101556440296098,0.06708362698554993,0.011957859620451927,0.23204326629638672,0.4716441333293915,0.007287877146154642,0.0,0.0,0.0,0.16613450197884003,0.1724427983329355,0.0027404027059674263,0.0006719731027260423,0.010120388426862484,0.012702403698608818,0.0012970223119494852,0.0038129015646068192,0.0023965384664274276,0.0037104090900723697,0.004029445564518308,0.005880409386008978,0.08846324982652894,0.07712686023770524,0.012192379573416576,0.011796848033103982,0.0,0.0,0.24607094227354034,0.14152234044746628,0.14171064944390274,0.004737149458378553,0.022983867675065994,0.02398512326180935,0.0022319345735013485,0.007507805246859789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4662625789642334,0.8317908048629761,2.567683696746826,0.7044211030006409,9.420915603637695,2.912760019302368,7.050965309143066
