Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,-0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.013398081058725739,-6.631563883274794e-05,0.0,0.0,0.0,0.0,0.0,0.013465853337810554,-7.015615847194567e-05,0.0030878789788100435,0.0,0.0044787614443095305,0.010026938281953335,0.002100845333188772,0.0003645980323199183,7.674969310755841e-06,0.0005875649665931595,0.0,0.039135582745075226,0.036708928644657135,0.013146075701691887,0.0163752956806794,0.006684847176074982,0.00718653853982687,0.018085951234602042,0.021483415524685384,0.0018173965339612149,0.0020816168945932056,0.001830543896696151,0.00039020503940288484,0.0003468609356787056,0.0002484680444467813,0.04156715866701462,0.04344969615970528,0.004457933637538457,0.004524457754996128,0.01402290165424347,0.014049810357391834,0.043706802660471,0.034833679404712777,0.034824015542143115,1.928293568198569e-05,0.009966778568923473,0.012150416150689125,0.0009626506944186985,0.001225498621352017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29346439242362976,0.07530534267425537,0.42191219329833984,0.1329955905675888,2.340200185775757,0.9795182943344116,0.7329807281494141
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.025732079889062537,-4.343709588283673e-05,0.0,0.0,0.0,0.0,0.0,0.02585176914690193,-8.813512249616906e-05,0.006200608200321464,0.0,0.006953397784205093,0.03253037855029106,0.003519515972584486,0.005487361457198858,5.88797774980776e-05,0.0009640020243089867,0.0,0.07265406847000122,0.0679464116692543,0.012903303008915047,0.016358546261489134,0.013631748035550117,0.014694621786475182,0.028550533189085008,0.0328055917862146,0.0018001179279744123,0.003864283905269971,0.0019027761444451877,0.000438155097319092,0.0006622656947001815,0.0004229316546116024,0.09615272100138458,0.09830436260780899,0.010310112899248505,0.010621230579489403,0.025562185794115067,0.02565840817987919,0.05371397734888489,0.03447276380183654,0.034454261442927035,5.931061605224386e-05,0.019414810463786125,0.023740367963910103,0.0012179536279290915,0.0014269582461565733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6062107086181641,0.14944453537464142,0.8283144235610962,0.2610416114330292,4.595049858093262,1.9158554077148438,1.5818003416061401
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.03965779527896606,0.00023692689137533307,0.0,0.0,0.0,0.0,0.0,0.039831226282452926,0.00013148313155397773,0.0130493882344841,0.0,0.010263258968024234,0.09253855049610138,0.003227191511541605,0.021064966917037964,9.794521611183882e-05,0.0013666111198899055,0.0,0.09928228706121445,0.09284268319606781,0.012599671422094047,0.01634042322375356,0.02239084616303444,0.023941027000546455,0.047583453361792,0.052774001692359164,0.001740526000676969,0.00614700553906949,0.0020224016264149113,0.0005086838029917101,0.0010328214848414063,0.0006101013859733939,0.19468920265227296,0.19744628443840515,0.020582169498739165,0.021094489156829453,0.03246357664465904,0.032665859907865524,0.06637890044368439,0.03416032515575715,0.03413701736072358,7.815065328031778e-05,0.02898067981004715,0.03552868217229843,0.0012977784499526024,0.0015678252093493938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9194455742835999,0.2112138718366623,1.3128180503845215,0.38983866572380066,6.683103084564209,2.551840305328369,2.7538256645202637
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.05771786843221489,0.0004206059384159744,0.0,0.0,0.0,0.0,0.0,0.05795061046602341,0.0002076466043945402,0.03344994761920761,0.0,0.01542202344748869,0.19992366433143616,0.00307412794791162,0.04089976102113724,0.00019374665862414986,0.0019301832416905736,0.0,0.1195020079612732,0.1121058240532875,0.01247487935912694,0.016419993774147167,0.034832924604415894,0.03634665161371231,0.08117490334555039,0.08581523444640839,0.001807094827237539,0.00898442701195738,0.002083477299034856,0.00046240805138160707,0.0012387343449518085,0.0006891872617416084,0.34997553602853393,0.35269942059962217,0.03490397538973564,0.035881177841229246,0.026918143033981323,0.027286943048238754,0.08305035753579307,0.03406734407989409,0.0340188992667209,7.312137313419953e-05,0.03895824775099754,0.04701617360115051,0.0015074628172442317,0.0014063011622056365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2596683502197266,0.2868305742740631,1.7597854137420654,0.5171279907226562,8.481583595275879,3.1516547203063965,4.275368690490723
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.08383052314654495,0.0008001933456398547,0.0,0.0,0.0,0.0,0.0,0.08411711591070876,0.0003955244901590049,0.06917334415018264,0.0,0.023645172088844375,0.32759231328964233,0.002962124301120639,0.05745704099535942,0.00013896834570914507,0.00253654477572165,0.0,0.13689617812633514,0.1287720948457718,0.012459098690596741,0.016480462503065164,0.05168691277503967,0.05271673575043678,0.1261558890448877,0.13053290847242616,0.0018698256203921087,0.012869256955500527,0.002132005678673727,0.0003043223440720254,0.001549930777400732,0.0008973674266599119,0.5244758494580896,0.5285211324618372,0.04917717825880974,0.050834794758676374,0.012313233688473701,0.012954686768352985,0.10081861614220641,0.034142069817315567,0.034062232765903463,4.686359170591459e-05,0.05107934772968292,0.060134805738925934,0.0017406909028068185,0.0007007427630014718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6599888801574707,0.40642550587654114,2.089460849761963,0.6476022005081177,10.30825424194336,4.155015468597412,5.349122047424316
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.09721348422424195,0.0009622905636206269,0.0,0.0,0.0,0.0,0.0,0.09748383069715072,0.00048551111831329763,0.09096380339331314,0.0,0.029083230184515266,0.3750694990158081,0.002993006957694888,0.059050146490335464,0.00024731288431212306,0.0021949566134962083,1.3524293535738252e-05,0.13080376386642456,0.12317097932100296,0.012516377550627497,0.01652338142928088,0.05814190208911896,0.058324262499809265,0.14360568004747376,0.14910637732470977,0.0018588351698433103,0.014754217459336262,0.0022233899372502176,0.00017903273246135598,0.0017112952836672377,0.0011693367268890142,0.5663860451351513,0.5736349932689978,0.052374584697812115,0.05450408144666336,0.0019642116967588663,0.002653538016602397,0.10247028770361298,0.034512292891874234,0.03440742917063113,3.963627023040317e-05,0.054955486208200455,0.06290028244256973,0.0018456049729138613,0.00038588419556617737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7386654615402222,0.502568781375885,1.9217835664749146,0.6645203828811646,10.370595932006836,4.487627029418945,4.955749988555908
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.10693514589201888,0.0009758422384038568,0.0,0.0,0.0,0.0,0.0,0.10721311734319473,0.0005882401601411402,0.10142411245653869,0.0,0.03426221718679161,0.38679614663124084,0.002536076121032238,0.0626961886882782,0.0002984751481562853,0.0017470528268998147,0.0002404746483080089,0.13173329830169678,0.12675920128822327,0.012322452390698752,0.016405132901827643,0.06196850910782814,0.06174082309007645,0.1452200636619818,0.1496478289533722,0.0017447277593395573,0.016264517968992576,0.002198499332060989,0.0001460585013736451,0.001984587634523277,0.0017085173167288303,0.5802579782552417,0.5899275742764148,0.054075010375857546,0.05691078623127411,0.0013374796835705638,0.0019141955999657512,0.10485826434298157,0.034677229507080125,0.03457688499527264,3.9036720409058034e-05,0.05741633474826813,0.06428711861371994,0.002099555917084217,0.0007382573094218969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.766613245010376,0.5414934754371643,1.6301181316375732,0.6888492107391357,10.768170356750488,4.909769058227539,4.374983787536621
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.10936298578634217,0.0008769658743403852,0.0,0.0,0.0,0.0,0.0,0.1096446308294896,0.0005987411714158952,0.09366910852447068,0.0,0.03739738368094307,0.35230523347854614,0.007502910681068897,0.06638845801353455,0.0002529300400055945,0.0013740232679992914,0.0001649346959311515,0.14042773842811584,0.1374540776014328,0.012257711052157392,0.016448783157234075,0.06293966621160507,0.06301230937242508,0.11845459045412307,0.12112498281142364,0.0015276257283942795,0.018032847550489693,0.002011244819571982,0.0,0.0020933260029028893,0.0018992034019902349,0.5374605364762989,0.5488036803884851,0.05195545491647537,0.054704024981534885,0.0007769658695906401,0.0012204034719616175,0.10895488259390015,0.036011367683066675,0.03591395568973243,0.00011706039367709309,0.058237671852111816,0.064222052693367,0.0024343503173440695,0.000906669651158154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.779554009437561,0.5421081781387329,1.4127002954483032,0.7061295509338379,11.535093307495117,5.1890950202941895,3.5688750743865967
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.10538878662614029,0.0003990480909124017,0.0,0.0,0.0,0.0,0.0,0.10569550412279785,0.00023085594875738025,0.06669492003520615,0.0,0.034385921975078504,0.2595535218715668,0.03738720342516899,0.054594095796346664,0.0006520283059217036,0.001302784075960517,0.00012985349167138338,0.15020005404949188,0.1470458060503006,0.012310897404413018,0.016472971071647767,0.05761266127228737,0.05846897512674332,0.07859495429233444,0.0796667128809761,0.0013036950635736224,0.019158355780610238,0.0017450140933300824,0.0,0.002435690239215827,0.0022411069367080927,0.38537407221803893,0.39640437773524473,0.0338003978897451,0.03546336211684708,0.00036435984657146037,0.0007776517886668444,0.1120242908505629,0.03475352432002445,0.034710142960884344,0.000168453756486997,0.05994008481502533,0.06562978774309158,0.0019218598026782274,0.00030368490843102336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.661405324935913,0.5870065689086914,1.2168192863464355,0.7554013133049011,11.77288818359375,5.992818832397461,2.868473768234253
