Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.011656257318422222,0.12233476340770721,0.0,0.0,0.0,0.0,0.0,0.01169774208651594,0.12236087024211884,0.004391528020611734,0.00011450494639575481,0.005644281145626483,0.016074594110250473,0.0020924885757267475,0.040019284933805466,0.011703881435096264,0.002701060279689951,0.0,0.00010615420615067706,0.00046545075019821525,0.01578240257152517,0.018979448011284247,0.0034714441280812025,0.002527636243030429,0.02708442208116562,0.028447652022564412,0.0018432529881194167,0.00260768283276793,0.0018765350192296018,0.0006075965521088293,6.918716098880395e-05,0.000374927039956674,0.041430414436028976,0.04138157144819176,0.008972241119706535,0.00891903184583456,0.0,0.0,0.06454510428929905,0.04330419882872145,0.0433322135526746,7.864045619498938e-05,0.0056749205105006695,0.0069878725335001945,-6.848906923551112e-05,6.600499182241037e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3829442858695984,0.08867590129375458,0.7077950239181519,0.11417306959629059,1.3202579021453857,0.5959693193435669,1.7548052072525024
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.021001417558077468,0.240115687251091,0.0,0.0,0.0,0.0,0.0,0.02104152343927082,0.24014794826507568,0.007354635148237018,0.00021114572882652283,0.009814240988166942,0.02985743060708046,0.0012070907978340983,0.10487939417362213,0.03204856067895889,0.004804930455909319,0.0,0.0018057050183415413,0.00229272129945457,0.014291616927056695,0.017598508235113438,0.005988400429487228,0.004153553396463394,0.03880714027455139,0.03943547230393578,0.0018688705323947092,0.00413815001854526,0.0018504694907026257,0.0010908240440327668,0.00012316512584220618,0.0007751022349111736,0.08647917027640137,0.08450535090050308,0.029985721623604203,0.030158843375319176,0.0,0.0,0.09145509080298836,0.049637698977398816,0.049698058103724706,0.00017816638865042478,0.012666386552155018,0.01544152945280075,-0.00021789406309835613,0.0005177325801923871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9257582426071167,0.19106432795524597,1.3232421875,0.2335253655910492,2.728257656097412,1.220194935798645,3.3067314624786377
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.029891086219489212,0.3547334372997284,0.0,0.0,0.0,0.0,0.0,0.029934668504332886,0.35474810004234314,0.009713753056692982,0.00029910774901509285,0.014619102146952133,0.04524117335677147,0.0004433233698364347,0.21992358565330505,0.06173218786716461,0.006521426273108711,0.0,0.0023935548961162567,0.0030064701568335295,0.014089364779237598,0.017571368656079386,0.00805431418120861,0.005363999865949154,0.049661751841110616,0.05004071894747467,0.0018105093478796202,0.005105408318022804,0.0018850520721355579,0.004727960640821676,0.0002150150394299999,0.0012828547041863203,0.14740108285933473,0.14210532381657134,0.06766809543543809,0.06843794068657073,0.0,6.710958405165002e-05,0.1156136408797615,0.05276710691156403,0.05286303049588856,0.0002771145664155483,0.019657831639051437,0.02448483183979988,-8.045339200180024e-05,0.00437427032738924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.704095482826233,0.34287911653518677,1.844757318496704,0.3544454574584961,4.219638824462891,1.8035471439361572,4.5704145431518555
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.038672020032814176,0.4670250415802002,0.0,0.0,0.0,0.0,0.0,0.03872508386494728,0.46707266569137573,0.01192885802067112,0.000330564595060423,0.02071748914781704,0.06334353983402252,0.00036580467713065445,0.37745100259780884,0.08827389776706696,0.007761394814203558,0.0,0.0018176924204453826,0.003131803823634982,0.016183039608643306,0.019262381249686166,0.00972888432443142,0.006307100411504507,0.05989678276821503,0.06026121821391785,0.0018219250041889028,0.0057635652342941475,0.002019229512821911,0.012767893136034507,0.00040377318509854376,0.0020465559791773558,0.2305889226595459,0.22118133976904816,0.12224855106307739,0.12540188556770782,0.0026952496264129877,0.0028919277247041464,0.13530087320537734,0.05361775834106941,0.05376985594548393,0.000347647670423612,0.026948237791657448,0.03406345099210739,0.0032665554899722338,0.017306381836533546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7895102500915527,0.5329448580741882,2.333124876022339,0.4851054251194,5.508040904998779,2.499558687210083,5.607568740844727
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.04885443563595917,0.5799221396446228,0.0,0.0,0.0,0.0,0.0,0.04891119288986908,0.5799928307533264,0.014013008885082645,0.00030055231763981283,0.029010543792945938,0.09094159305095673,0.0003749156021513045,0.5275099873542786,0.08906751871109009,0.00794411028189681,0.0,0.00018148661183658987,0.002688660053536296,0.016573792128765356,0.018642857024357463,0.010711158625781536,0.006571528967469931,0.07176081315744606,0.07322312447727464,0.0018759435074885882,0.006022949178632183,0.0023646479550609232,0.022109140732845155,0.0006743796984665096,0.0028828305657953024,0.33128032762657716,0.3195487677977594,0.18593509223571747,0.1923086580325354,0.0069581735879182816,0.007242762017995119,0.1517595097326567,0.05412748571732525,0.05433109778289101,0.00036641358747147024,0.03457728400826454,0.04490421712398529,0.01325947605073452,0.0384017750620842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.131775379180908,0.7683290243148804,2.8744235038757324,0.6029607653617859,6.636152267456055,3.1236603260040283,6.48002815246582
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.05015448468582031,0.5771885514259338,0.0,0.0,0.0,0.0,0.0,0.05025695095142891,0.5774152874946594,0.01412859668351099,0.0002850754535757005,0.03302714845736816,0.12202578783035278,0.0004270756326150149,0.5128785967826843,0.05643749237060547,0.006731846572622919,0.0,0.0024215441662818193,0.00944454688578844,0.014913004006802497,0.016996732414256574,0.009512403979897499,0.005412476137280464,0.07115404757758126,0.07130506407345283,0.001945523635514924,0.0057681210958216,0.002482114637211239,0.026671674330913237,0.0009536788629251134,0.0033346442505717278,0.38253331295360227,0.37312547488406433,0.20935964780363372,0.21890858544780395,0.011099372990429401,0.011268356814980507,0.14405200036678667,0.05274101268862679,0.05291339121594143,0.00031615913030691445,0.03835715726017952,0.049642305821180344,0.02098975144326687,0.05123258754611015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.518136024475098,0.815046489238739,2.890502691268921,0.6022030115127563,6.613201141357422,2.929234743118286,6.073797225952148
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.05186956617962799,0.5805301666259766,0.0,0.0,0.0,0.0,0.0,0.052016161543138276,0.5809643268585205,0.01960110059628727,0.0002595762489363551,0.03776753654370994,0.17412859201431274,0.0006544947391375899,0.4114340841770172,0.028653502464294434,0.006069476892221499,0.0,0.03447398170828819,0.04505511373281479,0.013109975180022455,0.015690491189861974,0.009672143496572971,0.005205857567489147,0.0706058405691874,0.06715414004217263,0.0018426535049888206,0.005820580469916448,0.0024615085524226986,0.026315593448631134,0.0011664222661227632,0.0036274471785873175,0.43057933073708377,0.42387106049009887,0.216211863117099,0.2273902477819867,0.012207088060677052,0.012211020104587078,0.13648617269201874,0.05748143714126091,0.05762171518342781,0.00027951598167419434,0.04606335610151291,0.058804143220186234,0.025743631646037102,0.057492438703775406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.581884860992432,0.8143152594566345,3.0790913105010986,0.6063299179077148,6.7363786697387695,2.7081093788146973,5.8395466804504395
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.05354597776784851,0.5894401669502258,0.0,0.0,0.0,0.0,0.0,0.053689898828661806,0.5899503827095032,0.030109101384430275,0.00015613835421390831,0.040395828863981784,0.2207481414079666,0.000592460623010993,0.2847564220428467,0.009298376739025116,0.005504567641764879,0.00028147638658992946,0.08600464463233948,0.09708162397146225,0.01295560869745299,0.01579446610789536,0.013365477323532104,0.008495187386870384,0.07378224284889465,0.067250166065904,0.00187085930816401,0.006107870136179714,0.002517173359068363,0.020098704497826882,0.0012980363616566896,0.003663949901238084,0.46948811483018066,0.4643976025266992,0.20430333998870667,0.2160201143136386,0.009955230168998241,0.009929852560162544,0.13565580395057816,0.06928982364083702,0.06940332431285501,0.00018968284712173045,0.058866214007139206,0.07192397117614746,0.02437952347099781,0.053797319531440735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2303972244262695,0.7311717867851257,3.431950092315674,0.6121139526367188,6.80868673324585,2.442304849624634,6.062646865844727
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.05575342102078598,0.6014991998672485,0.0,0.0,0.0,0.0,0.0,0.055876831883017425,0.6019837856292725,0.03622093525727875,0.0001183624190161936,0.04182948039978973,0.2239975482225418,0.0004557418869808316,0.21697326004505157,0.0006957173463888466,0.006327932700514793,0.00029979884857311845,0.1289796680212021,0.13673637807369232,0.013076842715699505,0.01596348257343779,0.018866289407014847,0.013699626550078392,0.08030020592645538,0.07176280543292274,0.001895012750058749,0.0064330905496267415,0.0023538931329762087,0.013030208809450721,0.0011244972517291069,0.003398778149858117,0.48771158161173095,0.48148148468791196,0.1885395132769464,0.1977512157750464,0.00839056447148323,0.008363712579011917,0.1394809096960257,0.08287398514227143,0.08299595416907288,0.00011018157238140702,0.06934802979230881,0.08199341595172882,0.023162851110100746,0.04792266711592674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.620974540710449,0.6403758525848389,3.7494678497314453,0.6183644533157349,6.932740211486816,2.4604506492614746,6.348031997680664
