Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.03213594480799141,-0.00028180694789625704,0.0,0.0,0.0,0.0,0.0,0.03214845985607914,-0.00038822030182927847,0.007982242672703,0.0,0.005643641094187079,0.023736340925097466,0.0074499258771538734,0.004046862479299307,0.00036275864113122225,0.0014528023465054465,4.986333806300536e-05,0.06074167415499687,0.054633982479572296,0.013248124516061369,0.016250932954041772,0.0065216803923249245,0.006333678029477596,0.012690313409470626,0.014263832379342617,0.0020038068663508564,0.003295284343203273,0.0018758899783022634,0.0004963497868086635,0.0012189351255074143,0.0010444840881973505,0.058987785843776244,0.06039433181916153,0.007045259275698566,0.005364907460716076,0.00024693860905244946,0.00030423380667343736,0.06065781787956337,0.03507262542525775,0.035073983572545785,3.310179818072356e-05,0.035534486174583435,0.036237090826034546,0.01831868663430214,0.015876246616244316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30257707834243774,0.21909940242767334,0.3360169529914856,0.383809357881546,1.4003316164016724,1.3899074792861938,0.845422089099884
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.05976627058852066,-9.84764119493775e-06,0.0,0.0,0.0,0.0,0.0,0.059758776572925415,-0.00021832848142366856,0.01855665106225994,0.0,0.010590801965268268,0.06530497968196869,0.012052531354129314,0.016004890203475952,0.00042373943142592907,0.0038101880735915373,5.769157360191457e-05,0.12069382518529892,0.10855881869792938,0.01317322274464381,0.01618961146597841,0.013838017359375954,0.01319565437734127,0.01874827740958023,0.017335323581406367,0.002023128837368773,0.006593612487333288,0.002012546437865485,0.0005661813595649315,0.0022642631083726883,0.0019065001979470253,0.1457914393680075,0.14661409856161683,0.01986736006111374,0.0168110965709626,0.0005903139244765043,0.0006692538154311478,0.0886401124418586,0.035045426893425304,0.03505669292183718,0.00011197281128261238,0.06974958628416061,0.0703645870089531,0.03375833481550217,0.029321586713194847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.552133321762085,0.3602725863456726,0.6781153082847595,0.6908061504364014,3.106513261795044,2.4498965740203857,1.7587394714355469
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.08399509027475083,0.0004001941706519574,0.0,0.0,0.0,0.0,0.0,0.08396421518239915,6.290388409979641e-05,0.03469395444260826,1.4826804545009509e-05,0.017336363349585514,0.1330755650997162,0.010395966470241547,0.029457882046699524,0.00044677304686047137,0.007130928003759375,9.144401701632887e-05,0.18806013464927673,0.1688702404499054,0.013136035445085667,0.016157176106660728,0.024157876148819923,0.022937968373298645,0.03090339713255825,0.027279502560322,0.0019373597753572407,0.010278390198628026,0.0021827036037177904,0.00041896151765349833,0.003118544351309538,0.002647051587700844,0.2711973670580957,0.27228057160500063,0.04068818708830826,0.03600395402275238,0.0006529962993226945,0.0007339417934417725,0.11541260186351471,0.03537651133716643,0.035405642620122996,0.00021347093570511788,0.10234226286411285,0.10263493657112122,0.046799298375844955,0.04135661944746971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8129293918609619,0.4298132658004761,1.085658311843872,0.917375922203064,5.041794776916504,2.884744882583618,3.0468223094940186
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.10437388469260041,0.0011018066434189677,0.0,0.0,0.0,0.0,0.0,0.10433374548675628,0.0006870307843200862,0.05413911470151733,0.0001337043649982661,0.02542813921931877,0.2063063383102417,0.004696391057223082,0.04592835158109665,0.0008413238683715463,0.01043038882742363,0.0,0.25940316915512085,0.2344849407672882,0.013207216803914784,0.016260427687197387,0.036671094596385956,0.034790460020303726,0.04475500507398972,0.03706751238692009,0.0017499831510954537,0.013232076584747048,0.0024308789766074902,0.000192942204440732,0.004145474173128605,0.003539223922416568,0.4117584325472412,0.410963229088468,0.07232823800279373,0.06667605912546616,0.0011411304585635662,0.0011934309732168913,0.1381102785322206,0.035793515751074145,0.03584723216399659,0.000343015679391101,0.1323826164007187,0.1326589733362198,0.06359843909740448,0.058540284633636475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1061608791351318,0.4725629687309265,1.4943100214004517,1.0392030477523804,7.15121603012085,3.2382571697235107,4.463162422180176
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.12352998818293716,0.0014988709008321166,0.0,0.0,0.0,0.0,0.0,0.1234878613311647,0.0010150361340492964,0.07379185475408737,0.0,0.03456679937194069,0.26465174555778503,0.00202696630731225,0.06145157665014267,0.0008777701877988875,0.010713641498369198,0.0,0.3360365629196167,0.3088550865650177,0.013109256915340532,0.016067173042071326,0.04794638976454735,0.04569306969642639,0.058949819217807925,0.048270608517534945,0.00167293962616404,0.016090670076127928,0.0024779015531623603,0.0004077225784378612,0.005298936273902655,0.00469906534999609,0.5445372231687219,0.5430653810427698,0.11564300682655304,0.11030797776472458,0.0016155767953023314,0.0017668521031737328,0.15408764480584167,0.03596598386546109,0.03605018861901364,0.0003867614141199738,0.16445457935333252,0.16633054614067078,0.08387384563684464,0.08229883015155792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3588180541992188,0.4963618516921997,1.970379114151001,1.2941362857818604,9.623437881469727,3.506956100463867,5.719635009765625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.11727463441745636,0.0034733868669718504,0.0,0.0,0.0,0.0,0.0,0.11722298169812728,0.0030196690931916237,0.07588407413429901,0.0,0.03841344139178589,0.23308299481868744,0.0007550609298050404,0.06398984789848328,0.000753601489122957,0.00953046951235857,0.0,0.3497731685638428,0.323152631521225,0.013031989305590672,0.015965205467793883,0.048089828342199326,0.04591693356633186,0.057605569093427504,0.048236345461258774,0.001686820406904822,0.014596961779967289,0.0024143244819122313,0.0011832324626937138,0.005074290972470732,0.004725182428956032,0.5440785299908032,0.5431176535625769,0.14168511527094177,0.13755839302016876,0.0017208182252943516,0.0018992233090102673,0.14835037442360277,0.03557448441990956,0.03566954617689413,0.0003252506139688194,0.16541829705238342,0.16825443506240845,0.09073682129383087,0.09293599426746368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.445281982421875,0.48055499792099,2.0725772380828857,1.2678344249725342,10.560894966125488,3.210122585296631,5.057223320007324
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.1091963002456375,0.014288239181041718,0.0,0.0,0.0,0.0,0.0,0.10909739152789856,0.013904819265007973,0.06921029789994003,0.0,0.04328800698409767,0.1858460009098053,0.0006057191058062017,0.06618362665176392,0.000623219006229192,0.008132192947882939,0.0,0.35715386271476746,0.33245715498924255,0.013090066617487035,0.015556684721350508,0.04594353586435318,0.044185735285282135,0.05181229863112091,0.046002809720145414,0.0017236873924934206,0.01256701461086689,0.002156459132728584,0.0015142810849246048,0.005287438860704069,0.005155312828719616,0.5221976898259815,0.5236121021504078,0.16397941883075257,0.16124910434078643,0.0017384111415594816,0.0018062532180920243,0.14371374996109604,0.03467880367506187,0.0347543740068211,0.0003043401229660958,0.16895435750484467,0.17205455899238586,0.09775116294622421,0.1016850546002388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4607264995574951,0.4587029218673706,2.2354824542999268,1.2246850728988647,11.018571853637695,3.0492892265319824,4.749422550201416
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.10536034762515976,0.017258744686841965,0.0,0.0,0.0,0.0,0.0,0.10527768162885941,0.01688043773174286,0.06063623301640068,0.0,0.0452575226932798,0.1539064645767212,0.0006037938874214888,0.0723922848701477,0.0004755544650834054,0.005918737035244703,0.0,0.36066001653671265,0.3390238285064697,0.013156825174305995,0.015483015733611764,0.04411458969116211,0.042758628726005554,0.04796069861891037,0.04452436042568336,0.0016949378289239502,0.010780802574732094,0.00182110196458201,0.0022953206231199575,0.005217989609188938,0.00529849948361516,0.49430713128678466,0.4978023104353296,0.17813728836250123,0.17751603532937804,0.0029935240745544434,0.003120479639619589,0.1458810105641188,0.03390834571805379,0.033960344830386784,0.00017712950648274273,0.1746002733707428,0.18022599816322327,0.10712739825248718,0.11354944109916687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5592973232269287,0.4906955361366272,2.3425421714782715,1.210042119026184,10.77920150756836,3.1529057025909424,4.714367866516113
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.10642969234017532,0.003526020096614957,0.0,0.0,0.0,0.0,0.0,0.1063217179713887,0.003035917179659009,0.056369402529798815,0.0,0.04762171449274055,0.13594457507133484,0.0005523157306015491,0.07272259891033173,0.00025279997498728335,0.005241860169917345,0.0,0.360421359539032,0.3373848795890808,0.013260571050077025,0.015484917477164704,0.04325394704937935,0.0419747494161129,0.04990857986644638,0.048131031543857956,0.0016420841070370164,0.009742441476055774,0.0017714573971256138,0.0029696625882391693,0.005288974596331453,0.005329443141818047,0.4700102836133026,0.4746110062962646,0.1798940532673715,0.17874922521832948,0.01572634093463421,0.015939095988869667,0.14942901431600555,0.033397777049743026,0.033441717040895685,0.00011996745888609439,0.18168844282627106,0.18700294196605682,0.11428175866603851,0.11992406100034714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.748721957206726,0.577741265296936,2.3398513793945312,1.1710904836654663,10.032649040222168,3.6805787086486816,4.812443733215332
