Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,-0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00641840602652731,0.05514056608080864,0.0,0.0,0.0,0.0,0.0,0.006440430343763151,0.05512771010398865,0.002667285787871809,2.006849717872683e-05,0.0034086269861774423,0.0016551846638321877,0.0009373977081850171,-9.96050875983201e-05,0.007897146977484226,0.0007079208306486142,0.0,0.010797234252095222,0.009796653874218464,0.013221186434415147,0.016348736503620884,0.001182597829028964,0.0010528649436309934,0.011518896166157581,0.014942583298520745,0.004965084915393304,0.0011846027302273774,0.00477388005271842,0.0016477921763364649,0.0005187526694498956,0.0006279563531279564,0.007789594368653078,0.010079810867801065,0.0011217608537911416,0.0010966345644187999,0.0,1.5531539247604087e-05,0.07267327235067467,0.03978685190641324,0.03977826518752272,0.000512589467689395,0.005594548303633928,0.007836716249585152,2.4881363060558215e-05,0.0005828122957609594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3134765625,0.17629355192184448,0.6500192880630493,0.12393563985824585,1.5221672058105469,0.944907546043396,1.1975911855697632
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.012415786642018452,0.10593175888061523,0.0,0.0,0.0,0.0,0.0,0.012472592068297234,0.10590510070323944,0.005281970704833536,3.5179259612050373e-06,0.005303004309358015,0.012255723588168621,0.008984367363154888,0.007363762706518173,0.03243948146700859,0.0010189611156668735,2.6518344384385273e-05,0.01701134815812111,0.016526637598872185,0.01308317121312861,0.01626885127918187,0.002640709513798356,0.0024518403224647045,0.014285068570282937,0.017725606413492453,0.007161227390657501,0.0024742647063903714,0.006704932007662382,0.0027663493749711656,0.0009279215591959655,0.0012297707144171,0.020241395598826734,0.023893633497568054,0.002540337904435599,0.00339437834503644,0.0,0.0,0.11776969583042557,0.05050561431716675,0.05049830820183395,0.0010104697430506349,0.013706284575164318,0.019175350666046143,0.0005767119000665843,0.00377662293612957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5847829580307007,0.27572959661483765,1.2527849674224854,0.25273633003234863,3.0180680751800537,1.7673194408416748,2.6621391773223877
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.019105154498159523,0.15782512724399567,0.0,0.0,0.0,0.0,0.0,0.019236074351405487,0.15778879821300507,0.009394329902696515,0.0,0.008263348047165851,0.04881402105093002,0.027392446994781494,0.05070251598954201,0.09028156101703644,0.0011920188707944656,0.00011824321700260043,0.016917673870921135,0.017534447833895683,0.013340139400269777,0.016495018143630687,0.0049164798110723495,0.004617356229573488,0.023003790532154466,0.02740640550566168,0.006980825477686072,0.0044449581202665135,0.005895846749150486,0.003454125097278576,0.0014047089498490095,0.0019732597284018993,0.05545008514910675,0.061242060358557816,0.007029287721452637,0.008854257188366986,0.0,0.0,0.1698937803856247,0.06756781565251366,0.06756318433845696,0.0014917533844709396,0.0246318019926548,0.03406042978167534,0.00232620513997972,0.009347950108349323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.877304196357727,0.35602110624313354,1.7235995531082153,0.3669584095478058,4.206360816955566,2.362293243408203,4.777647018432617
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.025939104452541505,0.21791192889213562,0.0,0.0,0.0,0.0,0.0,0.026132689960022888,0.21787413954734802,0.017610024446018446,0.0,0.01367250698271885,0.11581985652446747,0.03906775638461113,0.13419237732887268,0.14115719497203827,0.0015525786202280497,0.0001856460585258901,0.01772216334939003,0.020493000745773315,0.014235290668205275,0.01758884929830341,0.008885426446795464,0.008060881868004799,0.039297987503255694,0.04465404000270569,0.0036547026821076873,0.00744097823967597,0.003185752215809915,0.0038336851769339036,0.001783532090485096,0.0025710477493703365,0.1336047448317108,0.14039548411814637,0.01977788861824745,0.02311514443020325,0.0,0.0,0.22989252804250884,0.09483648989343185,0.09483341053046394,0.001412917161360383,0.036574434489011765,0.04932210594415665,0.006116650532931089,0.0165955051779747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1777913570404053,0.4312281012535095,2.0880837440490723,0.47830525040626526,5.047852993011475,2.801483631134033,7.352825164794922
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0305093013031831,0.29750823974609375,0.0,0.0,0.0,0.0,0.0,0.030769623320162164,0.2975766062736511,0.03361954607069199,0.0,0.022839341505868034,0.2079905867576599,0.03830845654010773,0.21963031589984894,0.16064774990081787,0.0022015298848422574,0.00014217376883607358,0.028644351288676262,0.035056330263614655,0.013066532012016845,0.017080944782034303,0.01679123565554619,0.014987058937549591,0.05655507967937676,0.059135324540741656,0.002005979392865444,0.01080439373564331,0.002675834259376848,0.00394463408510932,0.0018721538363024592,0.0030512395314872265,0.2660552032674463,0.2721993148253473,0.040634934867534334,0.045540382384179914,0.0,0.0,0.2958788990878394,0.13236474547782426,0.13238164040569567,0.0013173616025596857,0.04868835583329201,0.06386402249336243,0.007268676534295082,0.02111024782061577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5323715209960938,0.49258750677108765,2.5462324619293213,0.5989541411399841,6.21333122253418,3.243574857711792,9.393434524536133
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.030289696406882973,0.32149946689605713,0.0,0.0,0.0,0.0,0.0,0.03053171577236225,0.32162418961524963,0.039293319148489686,0.0,0.027910685749848632,0.23046977818012238,0.029455771669745445,0.20902086794376373,0.08535275608301163,0.0021571896204504015,0.00010182202095165849,0.044676557183265686,0.05181359127163887,0.012812104198519067,0.01649502341358343,0.020823700353503227,0.01861841045320034,0.06525738242169365,0.06453478481496322,0.0018549484114934744,0.012855638159886341,0.002376934499886161,0.0023253024511120843,0.0016923000284353805,0.0027890584897249937,0.34119144193042417,0.3473169021148993,0.05495130466732315,0.06032858400417946,0.0,1.4880895832902752e-05,0.3029622376194989,0.14817863997434572,0.1482015728934021,0.0008342331857420504,0.05171763524413109,0.06577811390161514,0.004849171731621027,0.017689663916826248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.671851634979248,0.5216585993766785,2.6017162799835205,0.6268419027328491,6.844610214233398,3.0860135555267334,8.802353858947754
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.029580411128515817,0.33570626378059387,0.0,0.0,0.0,0.0,0.0,0.029759669837363015,0.33585914969444275,0.040104787337281726,0.0,0.032616886847121426,0.21252837777137756,0.021300101652741432,0.21710868179798126,0.06753303110599518,0.0019011427080070258,6.719976954627782e-05,0.0632103905081749,0.06965842097997665,0.012538750487046352,0.016419239004581074,0.022850630804896355,0.02035868912935257,0.06326067078654884,0.06236454920660133,0.0017658010571698559,0.012658271184663162,0.0022312945468537025,0.002170556163578894,0.001782164090853994,0.0029350377153605223,0.36256855350205264,0.3693419598335895,0.07127983148562927,0.07644643207382629,3.2485128031112254e-05,0.00010176837531616911,0.3022364527146399,0.15425207015331727,0.15426763292687226,0.000681825855281204,0.054201334714889526,0.0670766830444336,0.006191244348883629,0.019938400015234947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8435900211334229,0.544156014919281,2.6851139068603516,0.671829104423523,7.816822052001953,3.1037487983703613,7.586330890655518
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.02645482480182602,0.3502993881702423,0.0,0.0,0.0,0.0,0.0,0.026653701345122224,0.35052287578582764,0.03785194776907478,0.0,0.03586622231304985,0.18320102989673615,0.014362518675625324,0.2547037899494171,0.07201546430587769,0.001868396415375173,3.798723264480941e-05,0.06709976494312286,0.0740509107708931,0.012584845164169965,0.016343848947276356,0.02098671719431877,0.0185284074395895,0.06464154647233253,0.06761757654688011,0.001646122818109954,0.011635575090327054,0.002221729229334994,0.00306771334962327,0.002067680173165703,0.0033139470033347607,0.35996276211373474,0.36749710962012877,0.08899602380466277,0.09417226124910157,4.804372656508349e-05,3.1232832498062635e-07,0.28956828114584104,0.15141117723728592,0.15143352750628114,0.0006128984969109297,0.05425915867090225,0.06656260788440704,0.00889996811747551,0.024364840239286423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0427474975585938,0.6067167520523071,2.6506495475769043,0.6636319160461426,8.264324188232422,3.077747344970703,7.033820152282715
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.023630036023537332,0.35973426699638367,0.0,0.0,0.0,0.0,0.0,0.023808111795608405,0.3599204123020172,0.03448375043471939,0.0,0.03846579658001892,0.16564130783081055,0.008485556580126286,0.3211950659751892,0.08403186500072479,0.001717728329822421,4.93204606755171e-05,0.06375636160373688,0.06973014771938324,0.01278421280995598,0.016464952849941615,0.019367653876543045,0.01666351780295372,0.06942296920255554,0.07572880536401977,0.0015241280029598505,0.010395980328985843,0.0024120243526789815,0.005160957271382665,0.0020952706506052973,0.003381963586434722,0.35783723297128905,0.3646573942071075,0.1080615528692125,0.11340295441869262,8.786678517935798e-05,2.1586418370134197e-05,0.27885354160348874,0.14964874085859528,0.14966718406800247,0.000625395798124373,0.05318884551525116,0.06556140631437302,0.01184831652790308,0.02921086549758911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.281522750854492,0.6030042171478271,2.688352108001709,0.6401152610778809,8.07677936553955,3.1386661529541016,6.812240123748779
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.020851521227693404,0.367948979139328,0.0,0.0,0.0,0.0,0.0,0.020987684525642966,0.3680386245250702,0.0335516525634539,0.0,0.04152102287630531,0.15472471714019775,0.005099164322018623,0.385733962059021,0.09268393367528915,0.0016818409785628319,0.0,0.05769466236233711,0.061885055154561996,0.013131000376704555,0.01656765546488514,0.018444841727614403,0.015490375459194183,0.07542965855690842,0.08571787323882675,0.0013621599492173585,0.00956092361804264,0.002770794333925283,0.008563516374457741,0.0019898640590461014,0.003241999540477991,0.36160676402502806,0.3675084323020227,0.12906944713446655,0.1344990204374875,0.0,0.0,0.2648570865077918,0.1463018164338762,0.14633263947288025,0.0005554199451580644,0.05226273834705353,0.06355457007884979,0.015885846689343452,0.03501741960644722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.646845817565918,0.6418430805206299,2.5826661586761475,0.6248723864555359,7.930015563964844,3.2074849605560303,6.693875312805176
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.01968721753676609,0.3726014196872711,0.0,0.0,0.0,0.0,0.0,0.019745587532890473,0.3726309537887573,0.03342170308357201,0.0,0.0444975104303508,0.16380451619625092,0.005614310037344694,0.3920665681362152,0.08465755730867386,0.0017151794163510203,0.0,0.059643521904945374,0.061795320361852646,0.013266856101062922,0.016671566671957242,0.017996875569224358,0.014814399182796478,0.08016530422340301,0.09285335096496627,0.0013721887380697996,0.00831272559264061,0.0029677987641252373,0.011687945722543277,0.002012814319139066,0.003261171158741932,0.3726693682668335,0.378232164643421,0.14291812601552886,0.1482724911198822,0.0,0.0,0.24918169080885683,0.14001882373108399,0.1400589540593178,0.0005060660769231617,0.053271885961294174,0.06290589272975922,0.02191069908440113,0.04174499213695526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.789125442504883,0.6539364457130432,2.557476043701172,0.6120694875717163,7.832845687866211,3.107138156890869,6.82326602935791
