Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.009921628976330185,0.13446572422981262,0.0,0.0,0.0,0.0,0.0,0.009925740700827159,0.13441602885723114,0.012367345212957593,7.075352914398536e-05,0.005662276626074491,0.07243908941745758,0.012112675234675407,0.04625088721513748,0.02520100213587284,0.0028077642353700827,0.0,0.0006516790599562228,0.0,0.020130607275526714,0.022581316648190394,0.006586646195501089,0.004844908602535725,0.04644721445386917,0.04623873231115341,0.0026887199104477584,0.0036215911351793672,0.0020009967880212634,0.000833831496529696,0.00019719780539162457,0.0004603579582180828,0.08014404472486832,0.079620212322816,0.00660511995222559,0.0063923541665640545,0.0,0.0,0.10700533539975265,0.08007591072210113,0.08009449021705087,9.515845886198804e-05,0.008050662465393543,0.009771485812962055,0.00013098811905365437,0.00018900894792750478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16886292397975922,0.047285109758377075,0.5035881400108337,0.10124275833368301,0.8372064828872681,0.4816259741783142,2.6929116249084473
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.019553903858545912,0.2688937783241272,0.0,0.0,0.0,0.0,0.0,0.019532222074848976,0.26879173517227173,0.0336701035117009,0.00017542997375130653,0.011580481212409153,0.18110081553459167,0.018346739932894707,0.07866203039884567,0.021290607750415802,0.005955794166700191,0.0,0.004201160278171301,0.0008255233988165855,0.021730500112443353,0.023768814124213274,0.019000926986336708,0.015045508742332458,0.10347521452477265,0.09954734888107468,0.0024012888181240725,0.007521623278873434,0.002088887356760342,0.00133896213835366,0.00022106652613729239,0.0007060264470055699,0.20273524339365753,0.19955255986532777,0.01736903323799839,0.017537403381937676,0.0,0.0,0.1742448210836261,0.11921153072189086,0.11923994268993973,8.882355905370787e-05,0.016429949551820755,0.019508397206664085,0.00028843616019003093,0.00032583094434812665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31379276514053345,0.08653779327869415,0.8868524432182312,0.19987860321998596,1.496867060661316,0.8565086126327515,5.79697847366333
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.029221536068856354,0.40285685658454895,0.0,0.0,0.0,0.0,0.0,0.029179019444321976,0.40266576409339905,0.06483563215004196,0.00035923084942623973,0.019394127097456436,0.3142424523830414,0.012873132713139057,0.08299907296895981,0.0032935894560068846,0.00998038066697239,0.0,0.021621059626340866,0.013566430658102036,0.015586465934347302,0.01741242996040276,0.039601366966962814,0.03285288065671921,0.1807311400816864,0.17242496911150665,0.0018360008836596402,0.01199821516839655,0.0021893182932001664,0.0013015847837329615,9.905317710945383e-05,0.0008217819267883897,0.3556123856165979,0.3493133760941364,0.030856114085254592,0.03145567445419941,0.0,0.0,0.23511675897754364,0.15652348252239243,0.15655808596575913,0.0001637746172491461,0.02508964203298092,0.028613559901714325,0.0003833892405964434,0.0001222178980242461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485779345035553,0.119634710252285,1.2749333381652832,0.30188751220703125,1.9902890920639038,1.0861467123031616,9.22136116027832
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0384178956298143,0.5344003438949585,0.0,0.0,0.0,0.0,0.0,0.038349414415379486,0.5341501235961914,0.09633352586007904,0.0003794864460360259,0.02843676562074318,0.4407119154930115,0.003839697688817978,0.08553241193294525,0.00012994003191124648,0.012804425065021096,0.0,0.054085277020931244,0.04288588464260101,0.013693245679371907,0.015490743334052547,0.06135900691151619,0.05208529904484749,0.25718195809170136,0.24561330523479186,0.001811138469785452,0.016218837394764634,0.0023955529800297505,0.0011948852236594748,0.0,0.0008795264875516295,0.5041772820154724,0.4947347260996527,0.04979365523888344,0.0517918405518959,0.0,0.0,0.28030981718034914,0.1848058343305542,0.18485962152399232,0.0001812834816519171,0.033311910927295685,0.03713387995958328,0.0005502643762156367,0.00039758681668899953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6631697416305542,0.17337509989738464,1.7323697805404663,0.43097805976867676,2.8053855895996094,1.3618357181549072,12.277059555053711
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.04843424151674416,0.6543530225753784,0.0,0.0,0.0,0.0,0.0,0.04834232988542305,0.6540462374687195,0.1249738640338153,0.0004246379539836198,0.03822513502786835,0.5269476175308228,0.0015189683763310313,0.1049218401312828,0.0004891860298812389,0.015804681893569452,0.0,0.09386400133371353,0.07937601208686829,0.013747140163031739,0.015358142257579411,0.08196186274290085,0.07086332142353058,0.31272060276139463,0.29943339827955506,0.0020445066361704416,0.020583293807621878,0.0027217858898313583,0.0014113208489100002,0.0,0.0010751107474789023,0.6330662735189111,0.6222660660670313,0.07762171801439255,0.08016499248039612,0.0,0.0,0.3145061850451758,0.2026759267250586,0.20276336375002169,0.00015481948503293097,0.0469265840947628,0.052065953612327576,0.0007027721148915589,0.0006886505871079862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0090172290802002,0.2941811978816986,2.325587511062622,0.5673241019248962,4.3155517578125,1.9640889167785645,13.939261436462402
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.046878848102253644,0.6277538537979126,0.0,0.0,0.0,0.0,0.0,0.046732256359668274,0.6273850798606873,0.12057546542353317,0.0003515615244396031,0.04099129384954765,0.43966132402420044,0.0017946291482076049,0.1267252415418625,0.0007141935639083385,0.015287006942346954,0.0,0.12029977887868881,0.10539798438549042,0.013584108032363859,0.015365034949056597,0.08029838651418686,0.0707295835018158,0.2672460682978247,0.2556888848158215,0.00191833079166981,0.01995753624148701,0.002701209960911697,0.0014058998741291093,2.88214386731454e-05,0.0012838166439905763,0.6150445949207654,0.60504628343776,0.09932023482832245,0.10120570643617294,0.0,0.0,0.29327329399500246,0.17564632293199495,0.17574045359923554,9.814262739382684e-05,0.057180557399988174,0.06265613436698914,0.00043369532795622945,0.0012142276391386986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2183575630187988,0.3529883027076721,2.5814261436462402,0.6063332557678223,5.743138313293457,2.3890089988708496,11.593915939331055
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.04429767150413475,0.5882132053375244,0.0,0.0,0.0,0.0,0.0,0.044110320669420014,0.587786078453064,0.10306197358916046,0.0003295681672170758,0.0423554438878128,0.32812047004699707,0.0011945676524192095,0.14662489295005798,0.0009216677863150835,0.014934524604100514,0.0,0.15184040367603302,0.13753139972686768,0.01355426523358751,0.015052260726197461,0.07317812740802765,0.06556205451488495,0.20598212633078217,0.19522623421441193,0.0018667153005457384,0.017960722735623703,0.0026002961924485378,0.0016628682465997004,0.00021615574632852258,0.0016329502686858177,0.5833335183210071,0.5745346151585254,0.12483751799333115,0.12619692405056426,0.0,0.0,0.27979789675875305,0.14605203565414887,0.14616370346682359,7.177472434705123e-05,0.07033776491880417,0.07642452418804169,0.0009408640908077359,0.005104961339384317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4414119720458984,0.3969288468360901,2.8031527996063232,0.6430128812789917,7.121888637542725,2.631303310394287,9.318674087524414
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.042486976679706114,0.5503801703453064,0.0,0.0,0.0,0.0,0.0,0.04233386916915215,0.5500819087028503,0.0856949905301622,0.00021164580539334565,0.04498326682150704,0.2532232403755188,0.00047614812501706183,0.16188694536685944,0.000975332863163203,0.013139581307768822,0.0,0.17633739113807678,0.16300925612449646,0.013558323691327532,0.014935994106185617,0.06430994719266891,0.05834998935461044,0.16135751457454925,0.15253344175955902,0.0018177639242451659,0.014706445504703312,0.002256128268912687,0.002903360060913153,0.0003325827937420249,0.0019754881504923105,0.5580558485948292,0.5522833995504725,0.14827668753337678,0.15195285488275329,0.0,0.0,0.27321860787466185,0.12092068197275574,0.12104618553011537,6.615876918658614e-05,0.08272668719291687,0.09170238673686981,0.006624458823353052,0.020689480006694794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6593985557556152,0.4408978223800659,2.9416282176971436,0.6838010549545288,8.079017639160156,2.7692699432373047,7.653329849243164
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.04321860147742432,0.5201696157455444,0.0,0.0,0.0,0.0,0.0,0.043064150386874084,0.5200057625770569,0.0731051686128009,6.331473559839651e-05,0.046988150646390836,0.21170520782470703,0.0004929029964841902,0.16634948551654816,0.0010673057986423373,0.011363215744495392,0.0,0.18960203230381012,0.17777039110660553,0.013641657828438375,0.015066415367340956,0.05675342679023743,0.051779258996248245,0.1367680370612515,0.1303171381362747,0.0019178405141004708,0.012233452760347518,0.002038585304262069,0.0053637485710536,0.0005848230027170837,0.002385374391451478,0.5419083565712952,0.5395452599888916,0.16717120342148528,0.17215766676190858,0.0,0.0,0.26510489582101804,0.09215468165354004,0.0922676652801416,9.303510159952566e-05,0.09069885313510895,0.10042719542980194,0.01956769824028015,0.03826925531029701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.737587809562683,0.474445641040802,3.0859322547912598,0.7029493451118469,8.491244316101074,2.7981505393981934,6.860414028167725
