Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0149435494040102,-9.017388947540894e-05,0.0,0.0,0.0,0.0,0.0,0.015013012033567943,-5.860120290890336e-05,0.00537576554994914,0.0,0.003128601803885577,0.0077046724036335945,0.008214071393013,0.00010121547529706731,0.0010794990230351686,0.00047676292965024533,0.00010478479089215398,0.03594564273953438,0.034127868711948395,0.013218422332678318,0.016355231176182414,0.0048642633482813835,0.005108542274683714,0.012842381389268347,0.015640937160910667,0.00857947099336357,0.0033721543115281727,0.004932697560045023,0.001304580366231916,0.001659400062635541,0.0017430478474125266,0.018611350809799213,0.021095943643495197,0.001007360739392692,0.0009556606155452204,9.327559382654727e-05,0.00010347261559218168,0.06434215606177429,0.034981390206397074,0.034962108346406694,0.0003266551939304918,0.017560768872499466,0.020215028896927834,0.0070155030116438866,0.0067489175125956535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34935641288757324,0.25816982984542847,0.32591110467910767,0.19994734227657318,1.4910506010055542,1.535529613494873,0.7407783269882202
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.027493119608048094,0.0029928162693977356,0.0,0.0,0.0,0.0,0.0,0.02763654082773384,0.003042992204427719,0.011069935149441032,0.0,0.00407551067863585,0.02836863324046135,0.027675366029143333,0.001396496081724763,0.006770803593099117,0.0006579032441798819,0.00029231893131509423,0.06219663470983505,0.06081195920705795,0.013003110506378236,0.0163340947656424,0.010695932433009148,0.011299306526780128,0.019879955409672738,0.02186538089246441,0.012711203992854195,0.008211722596453896,0.00359780439054909,0.0010946896147940302,0.0027452008798718452,0.0028950651176273823,0.04877642358708176,0.05330929310402481,0.0017738134414749386,0.002196835233406656,0.0003479262231849134,0.0004170787869952619,0.09617539123900826,0.03466833372812731,0.03463101385835451,0.0004412200360093266,0.034355901181697845,0.040781475603580475,0.011401055380702019,0.012303488329052925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6294880509376526,0.35190626978874207,0.7416774034500122,0.390536904335022,3.3178858757019043,2.5368051528930664,1.7583783864974976
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.039037355630337826,0.018188074231147766,0.0,0.0,0.0,0.0,0.0,0.03927342739019333,0.018228936940431595,0.020638378267156983,0.0,0.0059067952954309985,0.07920093089342117,0.0470084547996521,0.025681694969534874,0.01715012453496456,0.0009180093920503462,0.0006533848354592919,0.08060087263584137,0.0820602998137474,0.012771033306079857,0.01623565427989709,0.0186301376670599,0.019348381087183952,0.03840211406807366,0.04017360213858338,0.011507742834683799,0.014370682127455788,0.0023962027846903666,0.0008715462647621292,0.0036529344506561756,0.003905734745785594,0.12289240543633438,0.13046110197428237,0.004506257799876256,0.006413518696652984,0.00016093553858809173,0.00037085768417455256,0.13113033178962402,0.03461521761834227,0.03454081711761933,0.0006087752408348024,0.050384826958179474,0.061799220740795135,0.013404639437794685,0.016265586018562317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9078873991966248,0.4336954355239868,1.1810613870620728,0.5442134737968445,5.214357376098633,3.0655391216278076,3.1492228507995605
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.05037225534003082,0.049319811165332794,0.0,0.0,0.0,0.0,0.0,0.05072454939009758,0.04939936101436615,0.03607266374803375,0.0,0.011309436137114907,0.16435007750988007,0.04028427600860596,0.07234404981136322,0.012775654904544353,0.0013553853841378068,0.0007190668256953359,0.10469700396060944,0.10902607440948486,0.012654354183235123,0.016326919724346533,0.029006874188780785,0.029354680329561234,0.06253657935305962,0.06211147304761612,0.004047981811746955,0.016374353363564225,0.002360492090243641,0.0008768898744813842,0.003791921539232135,0.004169263876974583,0.25621802584329223,0.26578666940180723,0.01601800154878372,0.02015449790517788,0.0,0.0,0.16776718793840575,0.04092681094997663,0.040829074288831244,0.00057792424922809,0.06486974656581879,0.08099517226219177,0.012907439842820168,0.018869291990995407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2427923679351807,0.40508025884628296,1.6782925128936768,0.6804899573326111,6.859832763671875,3.1782824993133545,5.197510719299316
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.06150958578125145,0.10587944835424423,0.0,0.0,0.0,0.0,0.0,0.06191455709522949,0.10599583387374878,0.05355492673814003,0.0,0.02249617148886402,0.23858217895030975,0.024256069213151932,0.10990705341100693,0.0031888324301689863,0.001410884283614378,0.0007651570485904813,0.13745421171188354,0.1431991159915924,0.012511342161742371,0.01641653233059197,0.03923797607421875,0.039184845983982086,0.08596867174971787,0.0847242206662967,0.002164864450182537,0.018255797621723097,0.002518629424399683,0.0008730746229950824,0.0037313783541321754,0.004120542202144861,0.4061511822427423,0.4188169360087427,0.044314240182552034,0.050865673689960325,0.0,0.00019818857253994793,0.20371234117978118,0.05645521100857739,0.05635241049651406,0.000536433479283005,0.07824654132127762,0.09714808315038681,0.01327210571616888,0.022787993773818016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7973750829696655,0.4159681797027588,2.2447125911712646,0.7815330624580383,9.372175216674805,3.567046642303467,5.8443169593811035
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.05965210857645866,0.14994241297245026,0.0,0.0,0.0,0.0,0.0,0.060021596200080414,0.1501237154006958,0.05528718249268219,0.0,0.02943230851193264,0.22290615737438202,0.01074967160820961,0.1266774982213974,0.0019470263505354524,0.001173931609630847,0.0006390735507011414,0.15376295149326324,0.15779033303260803,0.01262732921036279,0.016333252158503772,0.03925742208957672,0.039003223180770874,0.09163764941593155,0.09154961403335082,0.0018816729747065397,0.015203319831267338,0.0025311302025209127,0.001293661534049325,0.003316733934252949,0.0039024846628308296,0.440296919263493,0.4519970826645209,0.07605862813505462,0.08301646246387145,6.543182098539546e-05,0.0002618010330479592,0.197275796555618,0.0660711221060653,0.06597909629180146,0.00030520022846758366,0.07811987400054932,0.09600499272346497,0.016634684056043625,0.028925105929374695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.080392360687256,0.4377713203430176,2.3206560611724854,0.7647305130958557,10.068694114685059,3.127146005630493,5.283323764801025
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.055933943576926805,0.19117471575737,0.0,0.0,0.0,0.0,0.0,0.056269563895471345,0.19140537083148956,0.05536620645473244,0.0,0.03583406245003433,0.20191235840320587,0.002431255765259266,0.13646535575389862,0.0012332620099186897,0.0008934798547809601,0.0005122104194015265,0.17037999629974365,0.17401506006717682,0.012552270031200758,0.016010240823352548,0.037915755063295364,0.03753608837723732,0.093883708154608,0.09701099695454712,0.0017634281200093118,0.012177476836840496,0.0025007236356567107,0.001743055120274093,0.003045612942968373,0.003785082371905446,0.4583838842458423,0.4711955391163501,0.11663728232848664,0.12517799009870956,0.00020257495634723455,0.0003133948193863034,0.19010956587000488,0.07402329813893777,0.07392688986199189,0.00025010615354403853,0.08032706379890442,0.09766366332769394,0.02801879495382309,0.04351557791233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2730610370635986,0.45454996824264526,2.3451316356658936,0.7563189268112183,10.493809700012207,3.0121266841888428,4.772592067718506
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0502837634052272,0.2157019078731537,0.0,0.0,0.0,0.0,0.0,0.05058896718422211,0.21598197519779205,0.05486337043300186,0.0,0.039499188742044986,0.18721364438533783,0.0007480874774046242,0.15270452201366425,0.0009278382640331984,0.0007934826426208019,0.0004084184765815735,0.1811252385377884,0.18591465055942535,0.01266464030028641,0.015882517596896732,0.036006152629852295,0.03546108677983284,0.0975870415711618,0.10305368898055206,0.0017614395576486385,0.009827421624936848,0.002344367881436153,0.002911892139849849,0.002895951672069335,0.003825936932116747,0.4763878591024127,0.4907129935903894,0.1598403611488324,0.16981226910260955,0.0003131201083306223,0.0002739985357038677,0.18588874337270875,0.08201849611545975,0.08191684264629007,0.00017702727927826345,0.08318803459405899,0.10099541395902634,0.04306454584002495,0.06271003931760788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4177310466766357,0.4702048599720001,2.3390157222747803,0.7438364624977112,10.474381446838379,2.9648828506469727,4.619237899780273
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0450761057260434,0.23559017479419708,0.0,0.0,0.0,0.0,0.0,0.045370283895556335,0.23587879538536072,0.05573322352965958,0.0,0.04232142361015312,0.17870253324508667,0.000548006035387516,0.16800789535045624,0.0008157743723131716,0.0005166542832739651,0.0005417999345809221,0.18433813750743866,0.19208745658397675,0.01272822053261688,0.0159691506026269,0.03365509584546089,0.0330042690038681,0.10083183048204315,0.10824961364353408,0.0016134429547249687,0.007851656880894098,0.002282226289252703,0.005872412281260347,0.0029208212906071903,0.004013076890259981,0.4937638372422241,0.5094478350049133,0.19957806997193084,0.21167043514970307,8.088134200079367e-05,1.6144067558343522e-05,0.1795347690490912,0.09021991488413086,0.09010326416615463,0.00020176320686005056,0.08542802184820175,0.10476099699735641,0.05859537422657013,0.08211049437522888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5486979484558105,0.4803236722946167,2.4095711708068848,0.7233408689498901,10.374860763549805,2.925424575805664,4.512832164764404
