Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.004715299693956995,0.12606146931648254,0.0,0.0,0.0,0.0,0.0,0.004754235432163992,0.12612193822860718,0.008931213810107442,4.396671283757314e-05,0.00539723782099205,0.057741928845644,0.008023755624890327,0.09388706833124161,0.03483007848262787,0.0028731791688578557,0.0,0.0,0.0,0.06281607595668336,0.06502902659228958,0.0021658013574779034,0.001162240863777697,0.0334297015959552,0.03475964327456951,0.0018427764492754757,0.0031667108379953767,0.0018196118686062681,0.00039492485488177784,5.128723569214344e-05,0.0002875521604437381,0.07681858238355972,0.07508628816042816,0.00973039730008831,0.010021158049311942,0.0,0.0,0.10164970160449127,0.06914529803880493,0.06918742509373124,0.00023856712505221367,0.0021267940755933523,0.0022007557563483715,4.740041549666785e-05,-6.080746516090585e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4078604578971863,0.11691577732563019,1.0211808681488037,0.10753308236598969,0.9745540618896484,0.2198903113603592,2.1387715339660645
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.007909755590740338,0.2541255056858063,0.0,0.0,0.0,0.0,0.0,0.007955206332189407,0.2542392611503601,0.017987251616010932,9.038436837727204e-05,0.010447947326870575,0.11434189230203629,0.011798031628131866,0.18040603399276733,0.055096812546253204,0.005325689718053884,0.0,0.0,3.367424142197706e-06,0.1039584025993637,0.10555331113939148,0.00463138846680522,0.002628660760819912,0.057133206708934785,0.0578980743530481,0.0018608883412306626,0.005600091068910827,0.0018204822207483354,0.00046865588253391845,4.162549885222688e-05,0.0005019867094233632,0.1597745847241858,0.1548527270682773,0.026678125774567032,0.027526577464812928,0.0,0.0,0.17297756673105652,0.1088480562336325,0.10892709489683747,0.0004175150243099779,0.0050415960140526295,0.005083873867988586,2.3144722945289686e-05,8.95607445272617e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8463916778564453,0.23371095955371857,2.051602602005005,0.2115253508090973,1.9209800958633423,0.42982783913612366,4.249246120452881
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.011281219719588394,0.38393107056617737,0.0,0.0,0.0,0.0,0.0,0.011335759014522419,0.3841325044631958,0.028040578518974686,0.000140262272907421,0.01682485025796173,0.1694861203432083,0.012052018195390701,0.25637122988700867,0.0636289119720459,0.007699288559676399,0.0,0.00020260977908037603,0.00010904073860729113,0.13241639138391237,0.1332517773201271,0.007083886303007603,0.004082163795828819,0.08152781427363816,0.08225141916138382,0.0019057211467868778,0.00774403097076209,0.0018607603781459047,0.0006351329104752052,0.0,0.0006642082007601857,0.2525376561740015,0.24497662260654937,0.05034694468551628,0.051966431796180344,0.0,0.0,0.2487705439678543,0.1557964325160028,0.1559068828698462,0.0005440353415906429,0.009259345009922981,0.009447366930544376,-0.00011527848255354911,0.00019682264246512204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3245482444763184,0.3455210328102112,3.1956207752227783,0.3042222261428833,2.8355038166046143,0.6050354242324829,6.258342266082764
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.014482346668651733,0.5162891149520874,0.0,0.0,0.0,0.0,0.0,0.014506340197940788,0.5165035128593445,0.03879473336911987,0.00017713927081786096,0.024149617726241492,0.22033461928367615,0.007892558351159096,0.31997185945510864,0.062427036464214325,0.009980668988625584,0.0,0.00019228077144362032,0.00010480976197868586,0.14547320754942383,0.14606403408350555,0.01000018510967493,0.005871030036360025,0.10528664363666901,0.10566212084281647,0.001864464137762785,0.009116948626389714,0.0019155310187635756,0.0009064751405015332,0.0,0.0008574125240556896,0.3534773685137329,0.34327410831896726,0.0820730833335089,0.08463221913437348,0.0,0.0,0.3267742007824915,0.20780413750552673,0.20795063972391298,0.0006007160991430283,0.014965655282139778,0.01480109803378582,-0.0002461395342834294,0.0004718818818219006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8574680089950562,0.4635564684867859,4.4433159828186035,0.39713042974472046,3.6879239082336426,0.7717888355255127,8.181596755981445
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.017866625292455217,0.6478466987609863,0.0,0.0,0.0,0.0,0.0,0.017848893504202233,0.6480271816253662,0.05183015458285515,0.0002110829227603972,0.0323150029475518,0.2726407051086426,0.0038380026817321777,0.36243659257888794,0.057555388659238815,0.012031889487189274,0.0,0.0005771732539869845,0.00020656228298321366,0.13307030945172288,0.13347775191618577,0.013025572523474693,0.0077743129804730415,0.12747751773465363,0.12797766480148576,0.001813840240660826,0.01018421113204567,0.0018603604859765486,0.0011004459555799626,0.0,0.0010158747900277376,0.4598178334916742,0.4486098408625635,0.12019975211730927,0.12371470895302185,0.0,0.0,0.40400133728020693,0.26608039740720274,0.2662590444398334,0.0006512868567369878,0.021845616400241852,0.02174551971256733,-0.0002729225088842213,0.0008260703179985285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4311981201171875,0.5749138593673706,5.779858589172363,0.4912547767162323,4.517049312591553,0.9614051580429077,10.022554397583008
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.01785037654296753,0.6473997235298157,0.0,0.0,0.0,0.0,0.0,0.01779605837842991,0.6475085616111755,0.05447424964375183,0.00016052596038207412,0.03426869085629776,0.27021080255508423,0.000985065707936883,0.3106441795825958,0.042211875319480896,0.011292376292661095,0.0,0.0008949709008447826,0.0006822085124440491,0.08040244725866562,0.08191734258041138,0.01456683874130249,0.009125773794949055,0.12402159798046097,0.12449212517465102,0.0016691082886260988,0.009256039156094532,0.0018721075913042708,0.0012229428349144387,0.0,0.0010345977498218417,0.4771207284103741,0.46828652544215454,0.13512985604318908,0.13877154125644348,0.0,0.0,0.4063849687806165,0.2767949729821582,0.27696524858309934,0.0005266776424832642,0.025603853166103363,0.025504697114229202,-0.000326640612911433,0.0010828983504325151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4734811782836914,0.5878075361251831,5.878659248352051,0.5002118349075317,4.5890889167785645,0.9894213676452637,9.75811767578125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.018108444846982576,0.6423733234405518,0.0,0.0,0.0,0.0,0.0,0.018042802971608887,0.6424130201339722,0.05717754318068268,0.00010690323688322678,0.03568031599412651,0.26830294728279114,0.000491310958750546,0.25508078932762146,0.02681160718202591,0.010549007625300217,0.0,0.020848263055086136,0.020717201754450798,0.030473154422260857,0.032841401535524825,0.01698649860918522,0.011405711062252522,0.1168004721755278,0.11663972290049668,0.001661950688410261,0.008909911094705448,0.0018839258366450183,0.0012821907263022327,0.0,0.0009763780399225652,0.49215730648705325,0.48586296069571105,0.1458032059239151,0.1492993714411206,0.0,0.0,0.4037436694066107,0.2842958151942108,0.28445200022595213,0.0003923439944628626,0.030273642390966415,0.030704686418175697,-0.0005086636519990861,0.0011054277420043945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4859230518341064,0.5799627900123596,5.959364891052246,0.505531370639801,4.8409199714660645,0.9821864366531372,9.383779525756836
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.017344590124034425,0.6322594285011292,0.0,0.0,0.0,0.0,0.0,0.017287949005759126,0.6323113441467285,0.05742880649819885,2.3559183318866417e-05,0.03622300081551415,0.2602498233318329,0.0002304387162439525,0.21082143485546112,0.01300046406686306,0.010024083778262138,0.0,0.07358258217573166,0.07237457484006882,0.01289859328223014,0.01607803045057598,0.02042316645383835,0.014896489679813385,0.10814487935545211,0.10645806787154327,0.0015568350584174294,0.008396684770264416,0.001741880261237054,0.001274250799355693,0.0,0.0010091689182445407,0.5053602166139332,0.5001927249117243,0.15266226318549928,0.15514706779626647,0.0,0.0,0.4001149296481909,0.2879006207182544,0.288062483108927,0.00023314953432418406,0.037010565400123596,0.03787395358085632,-0.0006634533638134599,0.0012116801226511598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.396557331085205,0.5905075669288635,6.071157455444336,0.5369042158126831,5.48975944519043,1.0497047901153564,8.668303489685059
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.01674823274938267,0.6137178540229797,0.0,0.0,0.0,0.0,0.0,0.016671504252974395,0.6137433648109436,0.05777144906123764,0.0,0.03697081895679466,0.23960605263710022,6.820082489866763e-05,0.17813128232955933,0.001068167737685144,0.009431001730263233,0.0,0.12700170278549194,0.12321881204843521,0.013055770683885831,0.015977624372039277,0.023172395303845406,0.01804053597152233,0.09918493179515732,0.09752160459841003,0.0015857484772581023,0.008044759631821307,0.0016879873494412274,0.0011915154048805,0.0,0.0009876200929284096,0.5075282186509156,0.5035985331898803,0.15803299181355224,0.15934006043199067,0.0,0.0,0.39242295025865537,0.2881815433211731,0.2883337766063593,0.00011433303006924689,0.04399294778704643,0.04518626257777214,-0.0007312905509024858,0.001419072155840695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2958550453186035,0.5834388732910156,5.998468399047852,0.5752653479576111,6.714016914367676,1.14219069480896,7.495584487915039
