Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,-0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.05969540774272385,0.0002622830797918141,0.0,0.0,0.0,0.0,0.0,0.05977994941608719,0.00020138503168709576,0.021226403123697966,0.0,0.008744336648354112,0.032644934952259064,0.000112508176243864,0.022867420688271523,7.997860666364431e-05,0.000463177960084973,0.00020257418509572744,0.1023208498954773,0.10410328954458237,0.013204119602627332,0.016366554625326088,0.00935395061969757,0.009505336172878742,0.017197410825096675,0.016110903836065532,0.0017420051257160192,0.0015623188775682115,0.001829142590915405,0.008491923219517288,0.0030678247567266226,0.0032564320135861635,0.12720767107384065,0.13181248307858384,0.08597682467218629,0.08839449521383316,0.03962837904691696,0.039693959057331085,0.04872530140901188,0.035286535974321916,0.035283233667031254,-1.0319799002900254e-05,0.09332640469074249,0.09979771077632904,0.06137662008404732,0.06764904409646988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386620432138443,0.1015460267663002,0.47440433502197266,0.686170220375061,1.5580497980117798,0.6127116680145264,0.8284269571304321
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.11733679510224213,0.0006020902073942125,0.0,0.0,0.0,0.0,0.0,0.11747317179797348,0.0005262974882498384,0.043937454334388046,0.0,0.018914194796057358,0.06376451253890991,0.00018196435121353716,0.05338034778833389,0.00022811249073129147,0.000527372040712483,0.00033511186484247446,0.1980094313621521,0.20198503136634827,0.012960293605846475,0.016395272734388452,0.01697908714413643,0.017127981409430504,0.02319649288674879,0.01820955701352049,0.0017582770153020705,0.0021377898509599472,0.0021991368720339502,0.020310625223166123,0.006502160336822271,0.006937163416296244,0.2549598794715384,0.26251667143187135,0.1891409227904724,0.1947777918498456,0.07460370659828186,0.07468006014823914,0.06728135423072273,0.03467922911813263,0.034667703798670645,-4.693722439697012e-05,0.18202663958072662,0.19392423331737518,0.12409204244613647,0.1373976618051529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0804790258407593,0.29014304280281067,1.0130982398986816,1.105199933052063,2.798489570617676,1.4346115589141846,1.7511507272720337
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.17542707309001648,0.000687108316924423,0.0,0.0,0.0,0.0,0.0,0.1756306230655664,0.0005681140464730561,0.06407982290254821,0.0,0.031712352674930076,0.09122766554355621,0.00023555493680760264,0.09147647023200989,0.00027534589753486216,0.0006107156959541792,0.00042008687159977853,0.2895706295967102,0.2939482629299164,0.012745623479303844,0.016220965431146425,0.0238046832382679,0.02377822808921337,0.022205163729292775,0.0163511075889066,0.0016592613730524912,0.0030789072063365746,0.0023448388604049696,0.03251688515979431,0.010804501362144947,0.011410953477025032,0.3774879459002588,0.38835271968964113,0.2938010024088,0.3018592216666809,0.09947256743907928,0.09960831701755524,0.08761169168866806,0.03437203532427155,0.03436485874927417,-9.895714902086183e-05,0.270251601934433,0.2867298126220703,0.1885296106338501,0.20810265839099884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.132725715637207,0.5184648633003235,1.4609590768814087,1.5417606830596924,3.776491165161133,2.3219501972198486,2.6036112308502197
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.22741892684977355,0.0013124385150149465,0.0,0.0,0.0,0.0,0.0,0.22761933708908172,0.0011115982197225094,0.0816897971270163,0.0,0.04524447450998917,0.12071218341588974,0.00022080776398070157,0.12855497002601624,0.00039076944813132286,0.0009207190941898799,0.0006305649294517934,0.3792387843132019,0.38129544258117676,0.012846981137466068,0.016088853039659023,0.03019583225250244,0.029929041862487793,0.0226831508625997,0.01584908236886763,0.0017620754361283035,0.003793127413293333,0.0030121371569258905,0.04520426584828903,0.014348791912198067,0.015172643586993217,0.49106449858346557,0.5049784697577185,0.3825926093383002,0.3903230590210388,0.11150956153869629,0.11166103184223175,0.12673543243141341,0.03425590682244495,0.03424735790385973,-0.00014445710985455662,0.3589208126068115,0.37834402918815613,0.24605147540569305,0.2707982659339905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.062988519668579,0.843529999256134,1.9095494747161865,1.935249924659729,4.491281986236572,3.5433883666992188,3.3311915397644043
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.270824144436275,0.0028440661262720823,0.0,0.0,0.0,0.0,0.0,0.2710318504530786,0.002514761872589588,0.1006206057220668,0.0,0.05666791108201225,0.15865552425384521,0.00027888838667422533,0.13867756724357605,0.00039301137439906597,0.0013883309104862022,0.0010253586806356907,0.4653911888599396,0.46449023485183716,0.012807859786262137,0.016205883549670497,0.03538408875465393,0.03463994339108467,0.025105418089217818,0.017102569327883337,0.0017947838819369248,0.004576764942075892,0.0035168114429199935,0.05298485336597809,0.017005715519189835,0.01796875149011612,0.5959990986074121,0.6121868014262232,0.445141908789787,0.452716046242832,0.12168648093938828,0.1219828724861145,0.17358520328038238,0.03450651675709967,0.03452742795536644,-6.337135710055009e-05,0.43918171525001526,0.4619298279285431,0.29716742038726807,0.32818803191185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5566720962524414,1.066786289215088,2.3691370487213135,2.497390031814575,5.67064905166626,4.42856502532959,4.116259574890137
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.25516173976318235,0.0069811586290597916,0.0,0.0,0.0,0.0,0.0,0.25542115623435546,0.006641136482357979,0.10090786979860947,0.0,0.05568956455787018,0.18519781529903412,1.1537223798541163e-07,0.11766345798969269,0.00012477945710998029,0.0013784484172019004,0.0014636587584391236,0.46057650446891785,0.4567212760448456,0.012699809069590104,0.016285371729893403,0.035704419016838074,0.03503140062093735,0.025630954495570506,0.018781900926182156,0.0016865159008027108,0.004777787128910761,0.0036597790177318214,0.04606850095578354,0.015330220520764083,0.016218656674027443,0.5741579543720593,0.5892021767635657,0.376214640312522,0.38096801175548217,0.09902661293745041,0.09943435341119766,0.19044465722952242,0.03420891962725974,0.03425443507420647,-1.4520436707243789e-05,0.42755040526390076,0.451369971036911,0.2803717255592346,0.3113373816013336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9427788257598877,1.1147407293319702,2.429356575012207,2.3185596466064453,5.967942237854004,4.677340507507324,4.158841609954834
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.23807458076607665,0.00624006288126111,0.0,0.0,0.0,0.0,0.0,0.23835317806602263,0.005911979824304581,0.09512408031771423,0.0,0.05495933403859825,0.20890146493911743,0.00024364981800317764,0.10165825486183167,8.22652509668842e-05,0.0014198176227321507,0.001264668069779873,0.4432055652141571,0.4335309565067291,0.012524220661625302,0.016160675801775257,0.03594677895307541,0.03502447530627251,0.020867093501437894,0.017279010562257717,0.0014174985505609674,0.004760137470911131,0.00292684437159444,0.03288069116806206,0.013827181185205345,0.014379885047674179,0.5174344442434009,0.5304374300236377,0.2704665439890625,0.2718259574968762,0.09073508530855179,0.0910976380109787,0.21175281705065369,0.03390682242942749,0.033973334173948176,6.222225783858448e-05,0.41464099287986755,0.4375719130039215,0.2529170513153076,0.27905571460723877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.585970878601074,1.131224513053894,2.445147752761841,2.1599884033203125,6.178841590881348,4.59061861038208,4.434204578399658
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.219669412669086,0.010009212419390678,0.0,0.0,0.0,0.0,0.0,0.21995414970318114,0.009689300321042538,0.08091128565326249,0.0,0.047824795326593936,0.20326466858386993,0.0199626162648201,0.09170464426279068,0.0014347536489367485,0.0018398568499833345,0.0013576385099440813,0.40519750118255615,0.38876888155937195,0.012478694661481713,0.016290455350958737,0.0386052168905735,0.037398502230644226,0.01936406923027998,0.01668322619600843,0.0011383455523712581,0.006028444618710069,0.00282252801246035,0.017973988901389428,0.01297319185043087,0.013352024368941784,0.4058637626134601,0.4161815576238977,0.14906901207637605,0.14630495716241637,0.09965706616640091,0.09994813799858093,0.24122316238477845,0.03362616567360299,0.033715071491581365,6.392061914084479e-05,0.4012703597545624,0.4233046770095825,0.22004760801792145,0.23707281053066254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0861122608184814,1.0548648834228516,2.3918466567993164,2.0805416107177734,6.3544535636901855,4.680891513824463,4.8709492683410645
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.2087878770950238,0.011658171191811562,0.0,0.0,0.0,0.0,0.0,0.2091036917505902,0.011452194303274155,0.06448197093804962,0.0,0.037369499524536054,0.17324033379554749,0.06404159963130951,0.0786094218492508,0.0024422933347523212,0.004018889740109444,0.0010018757311627269,0.366463840007782,0.3465265929698944,0.012683147488596197,0.016129204862676848,0.04243572801351547,0.04093983769416809,0.02769580630496872,0.01989991692910304,0.0020541689095565467,0.009095537365147266,0.0028158076659105242,0.008919138623550987,0.011977770114461517,0.012230360880494118,0.2929291755200409,0.30097081474124143,0.07909370295895325,0.07436305202964309,0.1117279902100563,0.11182675510644913,0.27534205316583615,0.03327204607200009,0.03339633623114388,-1.040577899402706e-05,0.399997740983963,0.4233248829841614,0.19488881528377533,0.2053867131471634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.491013526916504,0.9053922891616821,2.3446319103240967,2.287496566772461,6.5574049949646,4.970047473907471,5.063406944274902
