Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.011621886858806038,0.06071949750185013,0.0,0.0,0.0,0.0,0.0,0.01165098503665737,0.06067369133234024,0.014037431969306203,0.0,0.008273405472257911,0.06447894871234894,0.0011273170821368694,0.02399705909192562,0.00043193012243136764,0.0005226446236001683,0.0,0.02176485024392605,0.021636763587594032,0.013234046140845538,0.01630489427696112,0.008033359423279762,0.007452714256942272,0.03441640806143791,0.036885500672483446,0.0017775261561565965,0.0022680299554669525,0.0018228664008091136,0.0007234235545549965,0.0004180581890977919,0.0004941975930705667,0.11052623834984161,0.11389150471125518,0.014285102994406128,0.015855257885959453,0.024495240300893784,0.02452102117240429,0.04832662456656078,0.03483718380057605,0.03480105957936621,4.1634379158494994e-05,0.007370844483375549,0.010070368647575378,0.0005771630676463246,0.0027115733828395605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33346861600875854,0.07649672031402588,0.4701743721961975,0.10695350170135498,1.2932542562484741,0.6595428586006165,2.002805709838867
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.02281393892634262,0.1328612118959427,0.0,0.0,0.0,0.0,0.0,0.022844230530244675,0.13272693753242493,0.0370437450324395,0.0,0.01601728146878065,0.15765900909900665,0.0015554636484012008,0.04666535183787346,0.00012808208703063428,0.000889735975695051,0.0,0.04081720858812332,0.04032205417752266,0.013117051933494751,0.01618055093060222,0.019650990143418312,0.01811062917113304,0.07442408202460099,0.07587240260274102,0.0018133536151944158,0.004373570437448492,0.0019180737953067998,0.0009735044370897108,0.000667198677547276,0.0008195523405447602,0.2427913230197409,0.247029626382204,0.03015936112970581,0.03376252715992325,0.0404384583234787,0.04057994857430458,0.06079105475254948,0.034589980266623445,0.03452912305777552,7.278654084075242e-05,0.014809200540184975,0.020020639523863792,0.00048502912977710366,0.003970636986196041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6278856992721558,0.12864403426647186,0.8767697215080261,0.20398107171058655,2.2400097846984863,1.1632940769195557,4.6705780029296875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.03422832995527946,0.21963436901569366,0.0,0.0,0.0,0.0,0.0,0.034264778309201584,0.2193741798400879,0.06628568649755706,0.0,0.024923603427140693,0.26609933376312256,0.001476651057600975,0.06733919680118561,0.00010560256487224251,0.0013425495862674618,0.0,0.05825505778193474,0.05735507607460022,0.013071122247083053,0.015870601340155218,0.03465663641691208,0.03168948367238045,0.12558519840697707,0.1262083769188568,0.0017728326785716357,0.0066788182031908795,0.0020182541486758864,0.0013557197128199745,0.0009583424543961883,0.0013003930216655135,0.3837472382643793,0.3878228343975879,0.048786103929815215,0.05445741048418198,0.0452275387942791,0.0455322265625,0.07141170430697136,0.03442419928193338,0.03433614346222999,5.686508666258305e-05,0.022183498367667198,0.029837319627404213,0.000717437535058707,0.005421613343060017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8783893585205078,0.14704015851020813,1.2315130233764648,0.27021053433418274,2.7040555477142334,1.4336315393447876,8.199024200439453
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.045120143636873396,0.3162199854850769,0.0,0.0,0.0,0.0,0.0,0.045144787229319534,0.3158208727836609,0.09385406204438995,0.0,0.03479203636411324,0.36503762006759644,0.0015614854637533426,0.08806966990232468,9.546098590362817e-05,0.0018945755200340127,0.0,0.07533250749111176,0.0741424411535263,0.013098043053526348,0.015728512199242994,0.05098102614283562,0.04671185091137886,0.1762637503270758,0.17696764912593566,0.0017602594153154642,0.009511087133934708,0.002115660525756683,0.0014456128603990864,0.001300634234212339,0.0017625184264034033,0.5197211600939331,0.5236425913855262,0.06814185362292999,0.07583961015800934,0.04370368644595146,0.044198475778102875,0.08244311659069228,0.03429882598656098,0.03417181020986397,3.935304266633466e-05,0.029173418879508972,0.0389384850859642,0.0009895970579236746,0.006545866373926401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0948199033737183,0.17837278544902802,1.6056610345840454,0.3636428713798523,3.2652461528778076,1.740011215209961,11.543717384338379
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.05478845800295975,0.41698306798934937,0.0,0.0,0.0,0.0,0.0,0.05482662233299004,0.4165512025356293,0.1129308200627536,0.0,0.044489862590534286,0.4144774377346039,0.0015564331552013755,0.1130954846739769,0.00019233119382988662,0.0022331231405409383,0.0,0.10231484472751617,0.10041192173957825,0.013204076278197911,0.015704146551112453,0.06711846590042114,0.062261562794446945,0.2067566722737619,0.20876133743227265,0.001682607423876649,0.01212446246009676,0.002209539992860505,0.0013455937477367483,0.0015908712521195412,0.0024093349929898977,0.6301499374593408,0.6342691302226099,0.08986243333927124,0.10001190867912658,0.04776839166879654,0.04832528159022331,0.09511100946896575,0.03442163139741613,0.0342642460328748,8.13165315776132e-05,0.03709885850548744,0.04904529079794884,0.0013804195914417505,0.00976454745978117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3747211694717407,0.2434844821691513,2.0067079067230225,0.46361207962036133,4.277286529541016,2.153261184692383,14.26262092590332
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.051965884741705624,0.42196422815322876,0.0,0.0,0.0,0.0,0.0,0.052049165762277146,0.42172127962112427,0.09432920829720184,0.0,0.045633784147103576,0.331185519695282,0.0016723874723538756,0.12213863432407379,0.0005078460089862347,0.0020614920349570753,0.0,0.11647531390190125,0.1151399165391922,0.013097589004746099,0.015859110917219685,0.06424198299646378,0.06038913130760193,0.1719307162155722,0.1741619795175885,0.0016460048567402696,0.012679246595576744,0.00220524822460608,0.0013079730516381192,0.0015736567501793218,0.0026237305719405413,0.5715863119732251,0.5762865058918311,0.09344435679230026,0.10328596069289825,0.053581833839416504,0.05398695543408394,0.10002986493025177,0.034298249112750194,0.034162161125084876,0.00011559992708498612,0.03905418515205383,0.051571305841207504,0.0028726402670145035,0.01525314711034298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5362982749938965,0.27755117416381836,2.202691078186035,0.49591296911239624,5.529804229736328,2.4328367710113525,12.278266906738281
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.048572494275683976,0.4187733829021454,0.0,0.0,0.0,0.0,0.0,0.04871337504387642,0.41868656873703003,0.07145781769106628,0.0,0.045865829639537045,0.24955061078071594,0.0012876078253611922,0.13314102590084076,0.0006361426203511655,0.0016859294278358699,0.0,0.1294099986553192,0.12774275243282318,0.01292810652220346,0.015704605499895594,0.05561317503452301,0.05286816507577896,0.1293538287634146,0.13348665537129517,0.0015797689188251842,0.012107934980193958,0.0021936747828102186,0.0015956335088011288,0.0016812779908821631,0.0027961067389696836,0.5049335024900135,0.5115288697476063,0.09939563299882431,0.10933211763691375,0.07634206116199493,0.07656865566968918,0.10476292671366333,0.03388206504140872,0.03375296029896687,0.00013747990306001157,0.042203765362501144,0.05592544004321098,0.008670024573802948,0.02483074925839901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6852786540985107,0.3092593848705292,2.5532898902893066,0.5091133713722229,7.025430679321289,2.7270889282226562,9.764089584350586
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.04620738684787704,0.41289713978767395,0.0,0.0,0.0,0.0,0.0,0.046322742382681734,0.41293835639953613,0.056977498754411084,0.0,0.04665118732154709,0.19636254012584686,0.0006701773381792009,0.1388663798570633,0.0007662554271519184,0.0015510529046878219,0.0,0.13656336069107056,0.13398128747940063,0.013002056228074653,0.015655665891376784,0.04692532867193222,0.044535376131534576,0.1031661778831697,0.10822311041495453,0.001500739267848341,0.0108531486436508,0.0020330836645586145,0.002061211739232428,0.0018979044915955305,0.003089428646489978,0.464285314794704,0.47255414053634276,0.10907963004779632,0.1191193159332637,0.09867984801530838,0.09873508661985397,0.10969436761930604,0.033658229392721006,0.03354961198810346,0.00010047524847323075,0.045874565839767456,0.05991789326071739,0.016798391938209534,0.03570854663848877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8338042497634888,0.4217129051685333,2.808297634124756,0.5259876251220703,7.8376545906066895,2.826935291290283,8.259974479675293
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.044289577734748536,0.40734753012657166,0.0,0.0,0.0,0.0,0.0,0.044401302361313705,0.4074954688549042,0.049205568703018496,0.0,0.04839118065446846,0.16569234430789948,0.0004103191604372114,0.14380352199077606,0.0009208090486936271,0.0011230583768337965,0.0,0.14226828515529633,0.13868564367294312,0.013120574655212741,0.015627081627184812,0.04049832373857498,0.03843211755156517,0.0894498839779271,0.09722533971155395,0.0014658685626940217,0.009368662611314449,0.001700785817092237,0.0034003962522004606,0.0021818594356575968,0.003382923314347863,0.44393700661669006,0.4545203667050476,0.12275511853588807,0.13299246795896058,0.11707203090190887,0.1169334352016449,0.11042094080726608,0.03334520154754763,0.03323734917945295,6.766691512893885e-05,0.049770377576351166,0.06399735063314438,0.025782687589526176,0.046471189707517624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.947216272354126,0.488132119178772,2.9017653465270996,0.5451306104660034,8.4379243850708,2.897980213165283,7.2666192054748535
