Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.018164236093029404,0.03303144499659538,0.0,0.0,0.0,0.0,0.0,0.0182062610282164,0.032997313886880875,0.011141349381766053,2.1363839550758712e-05,0.005642088113793907,0.056657738983631134,0.0037576823960989714,0.05440235882997513,0.008987262845039368,0.0011454715430254472,0.0,0.0017896840581670403,0.0030571299139410257,0.01434208846115668,0.017121272395504192,0.0038532018661499023,0.0031765375752002,0.02962409031336815,0.029595535966777803,0.001755389468139725,0.0033403803792500164,0.0018807161664624863,0.0004750103362678275,0.0003051661769859493,0.0003863678139168769,0.09016222950594284,0.0916327834192363,0.014413352632188701,0.014937054852452582,0.0,0.0,0.0768093019815741,0.06585596542545596,0.06585054473765786,3.046614074264653e-05,0.009420864284038544,0.010899968445301056,9.609391418052837e-05,0.00044895653263665736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36765462160110474,0.21236181259155273,0.3458915650844574,0.1253606081008911,1.3592323064804077,1.1033024787902832,1.3254621028900146
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.03276679329145302,0.08989565074443817,0.0,0.0,0.0,0.0,0.0,0.03281338676570114,0.08975405991077423,0.025536537504682807,3.3128053473774344e-05,0.010899045523079052,0.12540408968925476,0.005226750858128071,0.10068156570196152,0.008986907079815865,0.002376150146053381,0.0,0.006718677934259176,0.007968896068632603,0.015503252462639595,0.017656738946260627,0.009139766916632652,0.007564762141555548,0.05648175774386215,0.05412191149027039,0.0017855945381378719,0.006319853010492792,0.0019623797178358196,0.0005221937729144579,0.0005633311229757965,0.0006772716296836734,0.19426174278425964,0.19531653226694673,0.03177041879863014,0.033195150546306305,0.0,0.0,0.11696990580566818,0.09211189899514907,0.0920994743309462,6.670570292044431e-05,0.018707750365138054,0.021634776145219803,8.166996849467978e-05,0.0006202903459779918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70305997133255,0.29045385122299194,0.7705809473991394,0.24442057311534882,2.732692241668701,1.8955047130584717,2.977318525314331
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.04682901263111793,0.16608452796936035,0.0,0.0,0.0,0.0,0.0,0.04685822274599014,0.165897399187088,0.045067863468992615,0.00013820095045957714,0.016346822869508247,0.20462770760059357,0.005659457296133041,0.13581761717796326,0.006146556697785854,0.004650178031594744,0.0,0.0137821976095438,0.012838289141654968,0.014804218185190052,0.01660501467385805,0.01662331633269787,0.013901459984481335,0.09242034703950348,0.08822552565199585,0.0017530823244585785,0.009302030726949292,0.0020680418458835347,0.0005880725441335938,0.0007196868536993861,0.0008726636879146099,0.3036726895430658,0.3033218659413196,0.049877885933456344,0.05151188304983292,0.0,0.0,0.15018461052097015,0.11331717076005951,0.11330417244399246,0.00012410992349032313,0.02654281258583069,0.0303401667624712,-2.071534800052177e-05,0.0004717127012554556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1060879230499268,0.43856462836265564,1.2703311443328857,0.3600614070892334,3.861978054046631,2.305009126663208,5.016059875488281
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.061111693575790556,0.2509921193122864,0.0,0.0,0.0,0.0,0.0,0.061114540494700394,0.2507295608520508,0.06512813248611282,0.0003034911351278424,0.022182964334522628,0.2807483375072479,0.005030245520174503,0.16642199456691742,0.0028923903591930866,0.007827255152712641,0.0,0.023987602442502975,0.019570311531424522,0.014022882531628861,0.015468029191364929,0.025803741067647934,0.02193211019039154,0.12879483474537262,0.1222057178257724,0.0017518637460321189,0.013100758239081117,0.0022650993964781797,0.0006887325482887891,0.0008527538739144802,0.0010584107367321849,0.41084108726182555,0.4090267933890051,0.06798484753801101,0.07036075866083603,0.0,0.0,0.17553103564710784,0.13076997701072235,0.13076207339681795,0.00020959496032446623,0.033300839364528656,0.037568241357803345,-2.5621562599553727e-05,0.0007644048891961575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.426831603050232,0.5022100210189819,1.7811180353164673,0.47478824853897095,5.1115827560424805,2.61230206489563,7.3152618408203125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0779087569846263,0.34257060289382935,0.0,0.0,0.0,0.0,0.0,0.07794460790938125,0.34224915504455566,0.07882986284792129,0.00042356294579803944,0.02825544793854435,0.3336173892021179,0.004634292796254158,0.19502870738506317,0.0026505410205572844,0.010507385213059406,0.0,0.03679611161351204,0.02888890542089939,0.013863835871161294,0.015394878916819388,0.03356155380606651,0.028617452830076218,0.1559509992705652,0.1477444798082187,0.0016640727658656,0.015454116684313698,0.0023835813937568904,0.0007794130687209332,0.0009527109796181321,0.0011668849037960172,0.4920143552507074,0.4874921560214075,0.08563478019348114,0.08756277081262955,0.0,0.0,0.19314582346909545,0.13652417365708833,0.1365147680354526,0.000347315362887457,0.03888323903083801,0.04424930736422539,0.00016499024059157819,0.001047306228429079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.754804253578186,0.5944995880126953,2.333965539932251,0.5743765234947205,5.9534807205200195,2.7645246982574463,10.129833221435547
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.07683631020442841,0.3588521480560303,0.0,0.0,0.0,0.0,0.0,0.07692112976989318,0.35855454206466675,0.07206804321474716,0.0004769567458424717,0.027209547000129966,0.3060198128223419,0.0038779620081186295,0.1855551302433014,0.002333345590159297,0.01000474087686863,0.0,0.04721134528517723,0.03974031284451485,0.013737758969500122,0.015422877007651867,0.03291888162493706,0.028321409597992897,0.14528220969339356,0.13625829066956985,0.0017715039315241443,0.014259670271054249,0.0023663957991509645,0.0007747649097780328,0.0007779566285083604,0.0010827441001310945,0.46733564249385495,0.4628520719547583,0.08430602597507766,0.0860148219652333,1.0866150660149287e-05,0.0003779299440793693,0.1800420671931302,0.11758999076103166,0.11756418943240357,0.0003707712749019265,0.0371522456407547,0.043717797845602036,0.0002085022279061377,0.0014097936218604445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82447350025177,0.6093819737434387,2.3737053871154785,0.5469237565994263,5.7570013999938965,2.5071520805358887,10.459407806396484
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.07487005982529601,0.3634262979030609,0.0,0.0,0.0,0.0,0.0,0.07493878172040726,0.3631298542022705,0.06434012158463241,0.00035175331868231297,0.027866717033488465,0.26927119493484497,0.001638286397792399,0.16986095905303955,0.0015720082446932793,0.007790531207788515,0.0,0.06646992266178131,0.06027533486485481,0.013492083852078802,0.015200242295368413,0.03220900520682335,0.02817678265273571,0.12966884676163315,0.1201676026154625,0.001698546674285726,0.013087678878108844,0.0023154843177133687,0.0009431143085711116,0.0008737182329230654,0.001265177270397544,0.447155084425896,0.4442079864735278,0.08370711679923554,0.0856791691977925,0.01841624081134796,0.01875157654285431,0.16715465487642883,0.09982853677328568,0.09978426393406678,0.0003572437271941453,0.03608299046754837,0.04391288384795189,0.00012518983567133546,0.002529601566493511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9424477815628052,0.7070823311805725,2.4771432876586914,0.5455968379974365,6.154898643493652,2.5968942642211914,9.701200485229492
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.07216255724086716,0.36196112632751465,0.0,0.0,0.0,0.0,0.0,0.07221245197454727,0.36168181896209717,0.05606256373181854,0.0002691140107344836,0.028833911722901878,0.2295812964439392,0.0006681445520371199,0.14663298428058624,0.0005123509326949716,0.007093365304172039,0.0,0.09218747913837433,0.0844806507229805,0.013564584565543046,0.015063312537808897,0.03181061893701553,0.028244739398360252,0.11424969138147598,0.1042602509035791,0.001693967689115463,0.012190495264508515,0.0022591636383582567,0.0011184771161374075,0.0009669143409315288,0.0014386880211532116,0.43142491650216247,0.429218583552395,0.08542022940587814,0.08744748641160767,0.04261740669608116,0.04289649799466133,0.15710846927955766,0.0828336194350856,0.08279591802446962,0.0003156840684823692,0.03758993744850159,0.04591567441821098,0.0003935317217838019,0.003828109474852681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9645335674285889,0.7014312148094177,2.6131606101989746,0.5752280950546265,6.94810152053833,2.738234043121338,8.65608024597168
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.06930066270856064,0.35540515184402466,0.0,0.0,0.0,0.0,0.0,0.06933449524027527,0.3551477789878845,0.048258700491987536,0.00016785747720859945,0.030727116932573243,0.1847795993089676,0.00027408215100876987,0.12524521350860596,0.0004436410672497004,0.006039924453943968,0.0,0.11788984388113022,0.10855529457330704,0.013567629150665644,0.015170341362403993,0.03147735446691513,0.02845059148967266,0.09839014856056107,0.0896435320385765,0.0016222297212819916,0.010965118073591384,0.0020930179036890146,0.0013129227903303565,0.0010244191905060768,0.0015939477598294616,0.40555802288065185,0.4049318950539703,0.08883411519421326,0.09102479286912445,0.056657176464796066,0.05689161643385887,0.15262387543003067,0.07294523340539208,0.0729074023795507,0.0002964559243991971,0.04063659533858299,0.04953243210911751,0.0007223712163977325,0.005282914265990257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.917537808418274,0.6564375162124634,2.825192928314209,0.5970468521118164,7.6512837409973145,2.8959553241729736,7.765820503234863
