Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.023591667408213043,-5.173344834474847e-05,0.0,0.0,0.0,0.0,0.0,0.023670945246384658,-4.761195305036381e-05,0.009885736561379166,0.0,0.008493641840735255,0.04315584525465965,0.0003143155190628022,0.015477055683732033,4.939016071148217e-05,0.00034296904854545194,0.00014191442460287362,0.04965760558843613,0.050224024802446365,0.013157703911596189,0.016401314148585797,0.007656426168978214,0.008063233457505703,0.02078762908225567,0.023564392487728597,0.0017796939931669438,0.0014593420748316907,0.0018410462503850858,0.001305416519280938,0.0013654318172484636,0.0014041552785784006,0.09158329364435532,0.0941700711909381,0.023774000392520332,0.0242446293332246,0.007648157421499491,0.007643289864063263,0.0491667855622826,0.03484210401775551,0.03483714065299728,1.3233513527666219e-05,0.030938157811760902,0.03408803790807724,0.017931882292032242,0.019837938249111176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2349998503923416,0.10253951698541641,0.357456773519516,0.21053442358970642,2.009593963623047,1.041022777557373,0.9469388723373413
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.041947454582337035,-0.00015776851796545088,0.0,0.0,0.0,0.0,0.0,0.04212597548721489,-0.00011991059727733955,0.01834681104768303,0.0,0.01418986266461195,0.08934323489665985,0.0010132656898349524,0.03436032682657242,6.823627336416394e-05,0.000420169652831949,0.00034135006717406213,0.08865035325288773,0.09134001284837723,0.012925069647298316,0.016399677700991485,0.015109540894627571,0.01583743840456009,0.03373072443774033,0.03560435582132031,0.0017689121242946443,0.0027334138275109435,0.0018206851981378983,0.0011218437796484673,0.0024627004750072956,0.0025581992231309414,0.17506663317847046,0.17801080049357026,0.04127388394445648,0.04318739613103264,0.011056525632739067,0.011073866859078407,0.06412150339492256,0.03453177680939449,0.034525642152341406,2.015650170505978e-05,0.05558900162577629,0.06273934990167618,0.029918387532234192,0.03463437408208847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45739927887916565,0.18523280322551727,0.7413073182106018,0.38760262727737427,4.1184000968933105,1.9183307886123657,2.0176901817321777
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.059401107429206006,-6.53231909382157e-05,0.0,0.0,0.0,0.0,0.0,0.0597105934849733,-7.200658274086891e-06,0.026716217328774834,0.0,0.02005973961624382,0.1378943920135498,0.004085632506757975,0.05505779758095741,0.00013515385217033327,0.000525121941761365,0.0005036424845457077,0.12234824150800705,0.12774977087974548,0.012635956448092997,0.01634033259442552,0.022464552894234657,0.023446157574653625,0.046942878519100575,0.04822359684569092,0.001688907919916151,0.004429955444912033,0.0018586585577179803,0.001104399987753551,0.0034503082279115915,0.0036319419741630554,0.25374798809081056,0.25771176591042055,0.05584721287661545,0.05929776585065041,0.012079797685146332,0.012203546240925789,0.07946277189768486,0.03436767852450792,0.034362468095156834,3.0883849831297994e-05,0.07678874582052231,0.08851682394742966,0.03839285671710968,0.045455969870090485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6964817047119141,0.2557232677936554,1.1511592864990234,0.5542253255844116,5.971055030822754,2.7986907958984375,3.303481340408325
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.07559980203192536,-1.7601847730475129e-06,0.0,0.0,0.0,0.0,0.0,0.0760322904062471,0.0001196033917949535,0.034360162698992,0.0,0.025750274384652518,0.1935037225484848,0.005732306279242039,0.07619978487491608,0.00022484478540718555,0.0005159235788388825,0.0008785907994024456,0.15868452191352844,0.166380375623703,0.012405634477966382,0.01642015332134573,0.030194276943802834,0.031642619520425797,0.0588352761988295,0.06065615113961899,0.0016043907626604197,0.0064556673610713195,0.0019260142912536672,0.0010831034062642347,0.0044561875984072685,0.004732083063572645,0.3457806803385315,0.3510809160753912,0.06919865142537826,0.07482896870235901,0.012305137701332569,0.012480337172746658,0.09160619823665786,0.03427598310307933,0.03426546483742647,7.482695218641311e-05,0.0941201001405716,0.11038990318775177,0.04239345341920853,0.05308719351887703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.897602379322052,0.31647026538848877,1.5602401494979858,0.6765394806861877,7.7999773025512695,3.69150972366333,4.747218608856201
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.08977423126832153,-5.42663019587053e-06,0.0,0.0,0.0,0.0,0.0,0.09027441727703796,0.0001248395419679582,0.040331144556400224,0.0,0.032762784704072075,0.2526673972606659,0.004865622613579035,0.09704208374023438,0.0003554382419679314,0.0006654303536201227,0.0009731927420943975,0.19726616144180298,0.20485416054725647,0.012312698972818774,0.01639748268030099,0.03920336440205574,0.04113607481122017,0.07081738338936058,0.07457215267718575,0.001533056692582792,0.008328905736025257,0.001977447109480841,0.0012378438585976623,0.005430610850453377,0.005774310790002346,0.4479532607282312,0.4541303932593378,0.08391359921804398,0.09067871537697204,0.01348740141838789,0.013697265647351742,0.10296766160958312,0.03452203065578804,0.03451146166673745,2.778500311251264e-05,0.10889231413602829,0.12763848900794983,0.04272463172674179,0.05646247789263725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0788825750350952,0.3819986581802368,1.9732617139816284,0.8036763072013855,9.388056755065918,4.49827241897583,6.490726470947266
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.08194942015067933,0.00022623628319706768,0.0,0.0,0.0,0.0,0.0,0.08241336250981857,0.0003427259507589042,0.039327252817818376,0.0,0.034337392659981994,0.26829731464385986,0.0031028229277580976,0.09973369538784027,0.0003695643972605467,0.0005488129381800831,0.000918904843274504,0.19778817892074585,0.2021496742963791,0.01243153808040863,0.01633550581361519,0.04175933450460434,0.04384782910346985,0.07130367758770928,0.07839359488214004,0.0015182157761607373,0.0086946313888583,0.0019996652491379475,0.0010780337862286347,0.005182176310836764,0.005507195368409157,0.46621978393901486,0.47300536556437744,0.08164479779514602,0.088032610554234,0.012793359346687794,0.013009391725063324,0.10013586434040421,0.039507191780855204,0.03948759538888049,1.2574344509630464e-05,0.09934690594673157,0.1161225289106369,0.03470495715737343,0.04824959859251976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0434249639511108,0.3641238510608673,1.9423489570617676,0.7795525193214417,9.179180145263672,4.262467861175537,7.056416034698486
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.07268167529236755,0.00033663236536085606,0.0,0.0,0.0,0.0,0.0,0.0731194765985086,0.00040722728590480983,0.03984741075585129,0.0,0.03581637849698753,0.2848166823387146,0.002327321795746684,0.10093439370393753,0.000330103823216632,0.0003208960711301893,0.0007591682951897383,0.19731248915195465,0.19885095953941345,0.012422386708103157,0.016011823329581718,0.04470553249120712,0.04684406891465187,0.07275106761400818,0.08174687327633973,0.0014742317459398781,0.009090806534985885,0.002002578413574908,0.0009572438690118903,0.005002008049358492,0.005181826185435057,0.4868170879430469,0.4931212269062671,0.08019455547797699,0.08631079961847732,0.01057477667927742,0.010811397805809975,0.09664512427254318,0.04471050031687956,0.0446762969373374,-4.023961810162291e-05,0.08907867223024368,0.10421353578567505,0.02759370394051075,0.04070218652486801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0234977006912231,0.3376643657684326,1.8495044708251953,0.7553686499595642,8.94632625579834,4.041988849639893,7.758449077606201
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.06380931645288422,0.004464535508304834,0.0,0.0,0.0,0.0,0.0,0.0642080473701123,0.0044793118722736835,0.04297391273036514,0.0,0.0375641910046373,0.3075620234012604,0.0023021844681352377,0.10401010513305664,0.0005284908111207187,0.0003337690723128617,0.0006262040114961565,0.19738417863845825,0.19583594799041748,0.01252493535118032,0.016022406715041952,0.04925401508808136,0.05127952620387077,0.07820142061950927,0.08947706965348373,0.0014286689067915103,0.009649693612732678,0.002094585968210265,0.0009358285193179173,0.004637259226835871,0.004725270438939333,0.5125781006776539,0.5184138350172388,0.07939555582475478,0.08521657396463196,0.010010063648223877,0.01026332750916481,0.09837382880046983,0.055169434864773104,0.05512610640316128,-1.8014014131040312e-05,0.07965187728404999,0.09302987158298492,0.02328864112496376,0.03617649897933006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9858025908470154,0.30604302883148193,1.7703570127487183,0.7397632598876953,8.597633361816406,3.726679563522339,8.649758338928223
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.05666827408699196,0.01826358214020729,0.0,0.0,0.0,0.0,0.0,0.05703120993954361,0.01816074550151825,0.047846448691688845,0.0,0.039134840091171186,0.3346520960330963,0.002616743091493845,0.10809039324522018,0.0005590589134953916,0.0003630522405728698,0.0004756927373819053,0.19570431113243103,0.19256305694580078,0.01274917156525543,0.01600430631269264,0.05490023270249367,0.056700073182582855,0.08681221453384293,0.09959702342832794,0.001381046380150446,0.010383640304872188,0.0020792452107793176,0.0006560576469749668,0.003974815579275226,0.003960025496780872,0.5397022694588685,0.5452144365674133,0.07861485414398896,0.08472212322476867,0.007435034494847059,0.007783719338476658,0.10280387698690399,0.06282633353845349,0.06276498661760307,-2.6264786356477998e-05,0.0736754834651947,0.08623122423887253,0.019931156188249588,0.03156448155641556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9572355151176453,0.270901083946228,1.705480933189392,0.7325674891471863,8.218059539794922,3.3876681327819824,9.568259239196777
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.049861042235231245,0.0315631628036499,0.0,0.0,0.0,0.0,0.0,0.050174866490159606,0.03131949156522751,0.055408772660137405,0.0,0.04072742428402397,0.3650343716144562,0.0025002416223287582,0.11066576093435287,0.0006657756748609245,0.0003826663305517286,0.0004715454706456512,0.19052369892597198,0.18636392056941986,0.01306920766593766,0.016202359391743634,0.060387302190065384,0.06180911511182785,0.09835921522471314,0.1124593779080162,0.0013741059802262056,0.011247470569575004,0.0020820878310830316,0.0003713182853666336,0.003448101239532423,0.0034096180461347103,0.5663294665282325,0.5719080776305444,0.07993498406264343,0.08595890508104218,0.005265356507152319,0.005711819976568222,0.11312142309379028,0.07357433366796318,0.07351677046934593,-2.1622776330332272e-05,0.06852902472019196,0.07983451336622238,0.016515057533979416,0.0265984907746315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9300441145896912,0.23108428716659546,1.6241627931594849,0.726870059967041,7.944145679473877,3.0127241611480713,10.399385452270508
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.04567244915981964,0.04068926349282265,0.0,0.0,0.0,0.0,0.0,0.0459521218887693,0.04034798592329025,0.0637157451642128,0.0,0.04233720341040184,0.3875793218612671,0.0022308870684355497,0.11445429921150208,0.0008716054144315422,0.0005255261203274131,0.00043495954014360905,0.17989294230937958,0.1751614809036255,0.013292049213441397,0.016344662829451243,0.06516502052545547,0.06614235788583755,0.11081373689542678,0.1258437767900853,0.0013966930282649816,0.011899835560706826,0.002199560747662818,0.00020994642068316877,0.0031487715136312867,0.0030719597063621094,0.5841830067632324,0.589705599806919,0.08254666748510285,0.08848986687519227,0.0017477136570960283,0.002246712800115347,0.12176266610296997,0.07962745352401268,0.07957049533648797,-2.01578441192396e-05,0.0643673986196518,0.07421470433473587,0.013412264175713062,0.021431153640151024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9175927042961121,0.19075295329093933,1.5862077474594116,0.7146588563919067,7.673280239105225,2.651376724243164,11.137914657592773
00:00:00:12.200,68,0.0,0.0,0.0,0.0,0.0,0.04329112002553978,0.040185824036598206,0.0,0.0,0.0,0.0,0.0,0.043558227486435855,0.03982354700565338,0.07023135482323471,0.0,0.043493391216586685,0.390819251537323,0.002220932161435485,0.12339786440134048,0.0008724744548089802,0.0004795244603883475,0.00040947794332168996,0.1614271104335785,0.15792739391326904,0.013676956037883348,0.016642268256929393,0.06758502125740051,0.06827682256698608,0.11960129810258514,0.13476185054056075,0.0014356699608270044,0.012123485048442935,0.0022163767095163336,9.228266485474467e-05,0.0028854906053594827,0.0028083679980717372,0.5781620623438025,0.5846483569903674,0.0861887641396991,0.09238755228381836,0.00019464961951598525,0.000694883638061583,0.12771068216249817,0.07996696609538399,0.07989860924922135,-1.7861128071672283e-05,0.06091463938355446,0.07012879103422165,0.00997781939804554,0.016658887267112732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9596694707870483,0.18677446246147156,1.5991466045379639,0.7185230255126953,7.546425819396973,2.485470771789551,11.422085762023926
00:00:00:13.216,68,0.0,0.0,0.0,0.0,0.0,0.042313040690635684,0.03630754351615906,0.0,0.0,0.0,0.0,0.0,0.042587995146315234,0.03599252924323082,0.07097844525045853,0.0,0.04422022908499985,0.36297282576560974,0.0018840479897335172,0.1417788863182068,0.0009408284677192569,0.0005086705205030739,0.0003049334918614477,0.1332765817642212,0.13179154694080353,0.014015882340351086,0.016940026215062094,0.06618403643369675,0.06671056151390076,0.1183584756765715,0.13314064594284486,0.0014349176729160065,0.011832297926410084,0.002158802593954466,0.0,0.0026029898437421083,0.0025515952425779914,0.5267441518489648,0.534342634692412,0.08763376305230164,0.09355376646229309,0.0,0.0002647097280714661,0.13306462468349792,0.07787807286699738,0.07780400291583778,6.439089702325873e-06,0.05774896591901779,0.06676393747329712,0.007195066194981337,0.012380599044263363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.040231466293335,0.18868519365787506,1.6714625358581543,0.7192912101745605,7.542321681976318,2.3740663528442383,11.427373886108398
00:00:00:14.233,68,0.0,0.0,0.0,0.0,0.0,0.04207693862202675,0.031997501850128174,0.0,0.0,0.0,0.0,0.0,0.042348306940307084,0.031771112233400345,0.062072782051907804,0.0,0.04410659277949043,0.3110700845718384,0.002660396508872509,0.16981211304664612,0.0038091468159109354,0.000616748642642051,0.00010088175622513518,0.10606908053159714,0.10731492191553116,0.014240704766976165,0.0171725775753713,0.05997993052005768,0.060336481779813766,0.10528880734251922,0.11824413541567352,0.001343332264428277,0.011069045234086876,0.0022093577158770715,4.455742592275147e-05,0.0022798992829633426,0.0022769173012106656,0.4383832352148712,0.44667197797297303,0.0849905253891394,0.09004709307931458,0.0,2.7957112251897343e-05,0.13653842211082062,0.07658395020318101,0.0765182852412549,4.506111145019531e-05,0.05629682540893555,0.0649959072470665,0.0049732401967048645,0.008595200255513191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10325026512146,0.19803404808044434,1.7647881507873535,0.720364511013031,7.601141452789307,2.3920412063598633,11.17214584350586
00:00:00:14.250,68,0.0,0.0,0.0,0.0,0.0,0.04135586381055771,0.030409997329115868,0.0,0.0,0.0,0.0,0.0,0.04163084460171486,0.030287791043519974,0.048318554433117826,0.0,0.04259854164447403,0.24987810850143433,0.005964747164398432,0.18594375252723694,0.01042359508574009,0.0007777330465614796,0.0,0.08219137042760849,0.08598150312900543,0.014574460438128562,0.017588612165099052,0.04905054718255997,0.04932638630270958,0.08814115971718842,0.09914591461461289,0.0012338537274428454,0.009936435515485802,0.002328126218053032,0.0003231711425233508,0.001984263623283813,0.0019485427444033002,0.3377499751772577,0.34673062343238403,0.07667657370668579,0.08059403545640931,0.0,0.0,0.14196912648788423,0.07989496588345704,0.07984467220362251,0.0001391834084643051,0.05502782762050629,0.0631009116768837,0.0023015860933810472,0.004542953334748745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1109580993652344,0.18892133235931396,1.8738956451416016,0.7131270170211792,7.752011775970459,2.478571891784668,10.81646728515625
00:00:00:16.266,68,0.0,0.0,0.0,0.0,0.0,0.040684661281410066,0.03386329859495163,0.0,0.0,0.0,0.0,0.0,0.04096604521458878,0.0337638221681118,0.039493523155379635,0.0,0.040026172413957825,0.1904747635126114,0.015089200809597969,0.17510224878787994,0.01984674297273159,0.0008859405061230063,0.0,0.06748533993959427,0.07329964637756348,0.014966311878599994,0.018068308367903404,0.03972313553094864,0.03954508528113365,0.08129877599278565,0.09056305141267762,0.001112850118020729,0.009023274294288234,0.002328100098162037,0.0005601527310023029,0.001691595264038205,0.0016777236276738047,0.24991854093551757,0.25932683607302676,0.06200502174314339,0.06522850332048065,0.0,0.0,0.1443391710284732,0.08342872338449897,0.08338951022743149,0.0001900368952192366,0.05416399985551834,0.06216546148061752,0.0022207109723240137,0.0038126427680253983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1036721467971802,0.19428256154060364,1.940293788909912,0.6996126174926758,8.279139518737793,2.741837739944458,10.028635025024414
00:00:00:16.283,68,0.0,0.0,0.0,0.0,0.0,0.03934617678733284,0.04114244505763054,0.0,0.0,0.0,0.0,0.0,0.03961576237181244,0.04100748896598816,0.03229484596452179,0.0,0.03533398058076378,0.14442114531993866,0.031313613057136536,0.1494179219007492,0.03215992823243141,0.0008937024977058172,0.0,0.05744727700948715,0.06450953334569931,0.015229501866104587,0.018109592688513206,0.03225512430071831,0.032050520181655884,0.07728392704635498,0.08509022590866318,0.001175738799297061,0.008389177179231929,0.0023330042760230053,0.0008389412110618331,0.001489269942357049,0.0014970431887972211,0.18910713789330078,0.19864812459594575,0.04395188821076767,0.047531059862982714,0.0,0.0,0.14785756765620758,0.08821024668908181,0.0881934597703215,0.00013401597971096635,0.05354241281747818,0.06206110119819641,0.002407889813184738,0.004059552680701017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1271040439605713,0.22304758429527283,2.020087480545044,0.7046414613723755,9.073044776916504,3.2430500984191895,8.673604965209961
00:00:00:18.300,68,0.0,0.0,0.0,0.0,0.0,0.03862270816082634,0.052181538194417953,0.0,0.0,0.0,0.0,0.0,0.038885435631026914,0.05206096172332764,0.026079647075125466,0.0,0.030059309637882003,0.11369538307189941,0.04770902544260025,0.11506659537553787,0.04511037468910217,0.0008067688322626054,0.0,0.05144481360912323,0.05898464098572731,0.01532397098737246,0.01806075846672397,0.027433086186647415,0.02728700079023838,0.07239336300626342,0.07938308716134232,0.0013720754959743804,0.008444361075776024,0.002370318549089364,0.0009018316163412286,0.001415526261772101,0.0013857062506024123,0.1464059758584256,0.1558219999275766,0.02959954230771061,0.032680703653914185,0.0,0.0,0.15199958834319963,0.09323290216483543,0.09322081652062882,5.604714169749059e-05,0.05339351296424866,0.06230764091014862,0.003305272664874792,0.00505614560097456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1185482740402222,0.22729578614234924,2.0785207748413086,0.7016947865486145,9.439788818359375,3.4285526275634766,8.081633567810059
00:00:00:18.316,68,0.0,0.0,0.0,0.0,0.0,0.038778963649227144,0.06380511075258255,0.0,0.0,0.0,0.0,0.0,0.03903596592140167,0.06368393450975418,0.022707956892381743,0.0,0.025284098617202606,0.09648865461349487,0.06018708273768425,0.08301707357168198,0.05606189742684364,0.0010061673820018768,0.0,0.050291601568460464,0.056262608617544174,0.015578510353718083,0.018256264562309384,0.02510993555188179,0.025011934340000153,0.07013418599339165,0.0760396607420295,0.0018865058289941697,0.0091541005685927,0.0023815614738518687,0.0008089199933047136,0.0013309149011409807,0.0012588937309602523,0.11962632016265395,0.1280558179887361,0.01692674330323906,0.019146619235943758,0.0,0.0,0.15598633884525695,0.09876654294430252,0.0987795650595456,5.480826075654477e-05,0.052755504846572876,0.06177832558751106,0.003024303587153554,0.004553378093987703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1034307479858398,0.2508905827999115,2.166940450668335,0.7034997940063477,9.336197853088379,3.6816322803497314,7.794810771942139
