Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.022761978203520203,1.1184528375451919e-05,0.0,0.0,0.0,0.0,0.0,0.02284066558317951,2.605563531687949e-05,0.003581885068676205,0.0,0.005704726309025464,0.0021016946993768215,0.0014140221755951643,0.009120832197368145,0.01102761272341013,0.00015526976571254256,0.0008401282248087227,0.0391668863594532,0.04046323895454407,0.013110732228263958,0.016410261524631195,0.0014119463739916682,0.0014685597270727158,0.010793016977763407,0.014458695679181816,0.0025986000158538043,0.00102415366216537,0.010080926283600827,0.006117525163099585,0.0026266456115990877,0.002641549799591303,0.01949847654031374,0.023285938433155174,0.009401173838639164,0.01026106674453289,0.016464417800307274,0.016442371532320976,0.05686725863242725,0.03492323097425749,0.034898087832005785,0.0007157034706324339,0.030380675569176674,0.03417683020234108,0.027633940801024437,0.02823910489678383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2575281262397766,0.20622089505195618,0.3527655601501465,0.2659469544887543,1.2311755418777466,1.6000512838363647,0.9403810501098633
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.04516309909093727,2.9267937861732207e-05,0.0,0.0,0.0,0.0,0.0,0.045267404762489166,7.72043495089747e-05,0.007045173420498638,0.0,0.011146113294931068,0.01590147241950035,0.004124577157199383,0.050814490765333176,0.02383461780846119,0.00017786782966807828,0.0009948678780347109,0.07763845473527908,0.0791468471288681,0.01292742212446605,0.0163790538245111,0.0023121661506593227,0.0022216173820197582,0.01078668045065894,0.01466559522033621,0.0019577396025632935,0.002151256775388887,0.009215199317506875,0.009235506666547433,0.0050539663061499596,0.005134330131113529,0.0757855754630545,0.081829676044794,0.03555700874895325,0.037690920285457306,0.028394276276230812,0.02822139859199524,0.08152981848724777,0.034707973865529186,0.03465592622063248,0.0008493132772855461,0.06508590281009674,0.07109004259109497,0.05605284124612808,0.0573786124587059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5799278020858765,0.36998462677001953,0.7632686495780945,0.5438394546508789,2.5542266368865967,2.906853199005127,1.9445600509643555
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.07087344065183365,0.00042353104799985886,0.0,0.0,0.0,0.0,0.0,0.07102165516529023,0.0004762825556099415,0.014368257415461445,0.0,0.019882866558163147,0.0606902614235878,0.004163310397416353,0.10823483765125275,0.018754160031676292,0.00030545653950587824,0.0012764669954776764,0.12259078025817871,0.12485365569591522,0.01266305685817258,0.016382281720596466,0.003791851457208395,0.003629476996138692,0.010270315227014448,0.013924769206841305,0.0016764158437497694,0.00349953741734715,0.0030902465735164596,0.009755377268675786,0.006756744813174009,0.006925622466951609,0.19455767010241487,0.20364084615829955,0.0828798638837909,0.08621288022361907,0.032424502074718475,0.03220786154270172,0.10848307762063675,0.03470604258233287,0.03462811621075776,0.0004530942824203521,0.10354115068912506,0.11227007955312729,0.07987252622842789,0.08364018052816391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980639815330505,0.5308986306190491,1.287748098373413,0.7889997363090515,3.914348602294922,3.3837852478027344,3.4174578189849854
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0997659911660463,0.000861913082189858,0.0,0.0,0.0,0.0,0.0,0.09992049092771621,0.0008922492852434516,0.029020549514659155,0.0,0.03173343519333496,0.11963631212711334,0.0018049876671284437,0.14692193269729614,0.004516413901001215,0.0002954575665873191,0.0013573019532486796,0.18791590631008148,0.18903428316116333,0.012585390154038473,0.01634734741190581,0.0075657544657588005,0.007207716815173626,0.011189096578187285,0.014208982860645439,0.0015475058817551472,0.004567482087215395,0.002621796000763569,0.010301779829452533,0.008767920546233654,0.008913299068808556,0.3318655885855255,0.344068161396665,0.13724826853706115,0.1414262962923477,0.024906758219003677,0.024654952809214592,0.13146096317501235,0.0346861941937181,0.03458586219849173,0.00046528837992809713,0.14797598123550415,0.15771223604679108,0.10239000618457794,0.10770831257104874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46164071559906,0.6917117238044739,1.728628158569336,0.9307283163070679,5.564090251922607,4.153105735778809,4.6103925704956055
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.12901226694718507,0.0016457333695143461,0.0,0.0,0.0,0.0,0.0,0.12915972756928193,0.0016900673508644104,0.04477160491048996,0.0,0.045612303733331756,0.16059760749340057,0.0006656977348029613,0.1712104231119156,0.0019251384073868394,0.00025686614688349475,0.0013713649241253734,0.2692044973373413,0.26883402466773987,0.012526120533875522,0.01636733585587218,0.01323663629591465,0.01261222455650568,0.012718320043198143,0.014849318294048224,0.00145064581332426,0.005604131088521166,0.0026429861629241945,0.0124173975526894,0.010893356055021286,0.0109872380271554,0.45652929622780397,0.4719986140654596,0.19257005777469605,0.1963788953114737,0.014312663115561008,0.014006143435835838,0.145685267438822,0.03455296307991237,0.034466156767051434,0.0003638783236965537,0.19277864694595337,0.20218849182128906,0.12803389132022858,0.13535746932029724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9926109313964844,0.97474604845047,2.1113033294677734,1.243532419204712,7.399927616119385,5.273930549621582,5.091291904449463
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.13147858518020508,0.0010691110510379076,0.0,0.0,0.0,0.0,0.0,0.13156298751315643,0.001122752670198679,0.05154529602594063,0.0,0.05147164187033966,0.1527838557958603,0.000510570767801255,0.14901135861873627,0.0010278011905029416,0.00022612024531819074,0.0013704809825867414,0.30524924397468567,0.30215632915496826,0.012539976216930357,0.016191697078895548,0.017405306920409203,0.016734875738620758,0.01337849239905819,0.015952033278221374,0.0013691625239168348,0.005856396040395241,0.002409200868975645,0.012176131126665287,0.010778904840617866,0.010813064873218536,0.4687645446430554,0.48497499151423706,0.20640906887563995,0.20881039633227966,0.007871921174228191,0.007508459500968456,0.13886591198358889,0.03442074559991553,0.03435091234586076,0.00016141145897563547,0.20305806398391724,0.2094036489725113,0.1342427134513855,0.1404748558998108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0244181156158447,1.1238174438476562,1.990492820739746,1.4406840801239014,7.9229865074157715,5.797194004058838,4.002912998199463
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.12978633735310516,0.0009840986458584666,0.0,0.0,0.0,0.0,0.0,0.12987014667392516,0.0011074105277657509,0.052484515594937824,0.0,0.053848228954179,0.1398467719554901,0.00047251617070287466,0.13485229015350342,0.0008616687264293432,0.00016659364474915265,0.0012332269689068198,0.32797569036483765,0.3240785598754883,0.01249158415002007,0.015962303191163416,0.019669992849230766,0.019111156463623047,0.01228600674105107,0.0157475739885437,0.001339974371783146,0.005759302704135761,0.002298306261999484,0.011669656549743977,0.010215921091456776,0.010304195806384087,0.4625659845418628,0.47978731024214355,0.21199137742984314,0.2148043694097943,0.008922419510781765,0.008478621020913124,0.13278357686205505,0.03421228044871132,0.034139877302164466,8.210390660678968e-05,0.2085053026676178,0.2149515151977539,0.1366460770368576,0.14367519319057465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9745535850524902,1.1686954498291016,1.811345100402832,1.5547356605529785,8.248764038085938,5.938308238983154,3.6891016960144043
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.13047149389638854,0.00087787548545748,0.0,0.0,0.0,0.0,0.0,0.13055934188762938,0.001017668517306447,0.05108288995876823,0.0,0.05545979269445282,0.13282613456249237,0.0004383597115520388,0.12751488387584686,0.0008888710872270167,4.100385922356509e-05,0.0011238530278205872,0.3388963043689728,0.3356393575668335,0.012538336879302224,0.016001751319113182,0.021419208496809006,0.02081490121781826,0.011846447377822457,0.015208545351314055,0.0013161512718027478,0.005477268361278562,0.0022079197309937057,0.011366714376521894,0.009823475666887665,0.009925376623868942,0.45075130533806945,0.46854227110580077,0.21539852109622773,0.21837743331102172,0.0135501679033041,0.013021496124565601,0.13116362539127488,0.03408738880138906,0.03399471562469702,2.660363861650694e-05,0.2119540423154831,0.21871981024742126,0.13993717730045319,0.14618054032325745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8907562494277954,1.1483310461044312,1.7699939012527466,1.7405035495758057,8.041526794433594,6.27462100982666,3.5706539154052734
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.13279122484950226,0.0009483567555435002,0.0,0.0,0.0,0.0,0.0,0.13292344229799927,0.0010589733719825745,0.049140271814667055,0.0,0.05656123774260513,0.12756545841693878,0.00043657037895172834,0.1268473118543625,0.0007296593394130468,0.0,0.0010744938626885414,0.33815887570381165,0.3350783586502075,0.01259323802924836,0.016107552893385578,0.02222091518342495,0.021607927978038788,0.01104745997958613,0.014320082940071428,0.0012711556714506236,0.005182821192511711,0.0022539751792004788,0.011782319447175121,0.00974995524636898,0.009865965694189072,0.43624493780145873,0.4543456952935333,0.2115931444634317,0.21484170027497773,0.019217772409319878,0.01874879002571106,0.13225298224966034,0.03376702510291842,0.03366695144655715,-6.477325950982049e-05,0.21410347521305084,0.22209328413009644,0.14271597564220428,0.1484452486038208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9959882497787476,1.2265206575393677,1.7830228805541992,1.6049797534942627,7.586091995239258,6.730672359466553,3.5499706268310547
