Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,-0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.01885675638364258,0.05346231535077095,0.0,0.0,0.0,0.0,0.0,0.018932031397388496,0.05343955010175705,0.011808686709961625,0.0,0.009674565384605704,0.05022088810801506,0.00018655482563190162,0.01434045098721981,-6.714888058922952e-06,0.0007182971029060317,0.0,0.042428743094205856,0.04262623190879822,0.013207448758870458,0.016321221659997817,0.013512077741324902,0.013628862798213959,0.03338606354539902,0.03661770445408821,0.0017360931500390105,0.002122332571325567,0.001737880785705608,0.0004903237222972749,0.00018823635764420033,0.0003730845055542886,0.09931382980720856,0.10076179356013214,0.018086949871146583,0.019115098307338065,0.00041644187876954675,0.0005212872056290507,0.0483723636808453,0.03487841066471726,0.034877458604058574,-5.919614341109991e-05,0.019058216363191605,0.0231182798743248,0.0038137491792440414,0.006724503822624683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27520275115966797,0.05052186921238899,0.5736356973648071,0.16379307210445404,1.619713544845581,0.5765234231948853,1.7141021490097046
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.035366002838495864,0.1083366870880127,0.0,0.0,0.0,0.0,0.0,0.035504324135763016,0.10830507427453995,0.021337030789742736,0.0,0.01744176076707424,0.09694774448871613,0.000509895384311676,0.03217816725373268,6.286500138230622e-05,0.0012062444974865986,0.0,0.07899283617734909,0.0795193612575531,0.013049095962759695,0.01625804174183842,0.025463122874498367,0.025575120002031326,0.05445701776316452,0.05790117379457642,0.0016860782645161693,0.004143537486808767,0.0017154021351164098,0.0005874774581313127,0.0004216281231492758,0.0007556226337328553,0.18350843901800903,0.18520952166399568,0.033491484290068055,0.03579429303812378,0.000537241343408823,0.0007468474796041846,0.06530116127141411,0.0346859782527598,0.034684595872870504,-9.40586905926466e-05,0.03676845505833626,0.04463503509759903,0.006513664033263922,0.011906862258911133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5289982557296753,0.09748778492212296,1.1187331676483154,0.30769550800323486,3.0773050785064697,1.1837246417999268,3.6423707008361816
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.050559343247353665,0.16534018516540527,0.0,0.0,0.0,0.0,0.0,0.05076414119515358,0.1652548909187317,0.029711808939444924,0.0,0.025233201127974968,0.1446322500705719,0.0011424287222325802,0.05173002555966377,3.2045310945250094e-05,0.0018279379155200625,0.0,0.11270827054977417,0.1132873147726059,0.012800316779930085,0.01611649768283135,0.03654035925865173,0.03642568737268448,0.07386384159783783,0.07787546965939254,0.0016027627427236306,0.006410069241801815,0.0016238496102926447,0.0005706431477398849,0.0007076173205859959,0.0011974251829087734,0.26464011107474306,0.2666680790436603,0.046586320008573455,0.0499855645593277,0.0005047753220424056,0.0008651074604131281,0.08554819378770523,0.03455863517352917,0.03455436316081137,-0.00010330992517992854,0.05396813899278641,0.0656030997633934,0.009011415764689445,0.015563974156975746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7810524702072144,0.14882653951644897,1.6277884244918823,0.4438859224319458,4.4902849197387695,1.8371670246124268,5.625283241271973
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0645160203127176,0.22652050852775574,0.0,0.0,0.0,0.0,0.0,0.0647800138068399,0.22635424137115479,0.037527885073192824,0.0,0.03251484091046944,0.2022833377122879,0.0027691475115716457,0.07203255593776703,8.945474110078067e-05,0.0023808274181439256,0.0,0.1486082226037979,0.1489187628030777,0.012679314705076545,0.016107793485102172,0.048202309757471085,0.04786163568496704,0.0929045237426413,0.0986824914454242,0.0015624192010741682,0.009302578910639497,0.0016217914712762273,0.0005520413990519219,0.0008946157759055495,0.0015538418665528297,0.3546309270063934,0.35719668045489256,0.057830544374720995,0.062343725322289274,0.00027835636865347624,0.0008188453502953053,0.10495182721347976,0.03449810807004672,0.03449572829040341,-0.0001254104427061975,0.0701032280921936,0.0854114443063736,0.011186907067894936,0.01922762766480446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999943733215332,0.19540950655937195,2.1242806911468506,0.579433798789978,5.902697563171387,2.549727439880371,7.547643184661865
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.07681747044459487,0.2941732108592987,0.0,0.0,0.0,0.0,0.0,0.07712082701510177,0.29394152760505676,0.04626921258866493,0.0,0.040069634288055496,0.27787506580352783,0.004341965075582266,0.09315408021211624,0.00012235950271133333,0.002516540898141484,0.0,0.18789081275463104,0.18720965087413788,0.012601096337602806,0.016043783064784756,0.061194807291030884,0.06083112582564354,0.113985432695038,0.12307236644924424,0.0015992476469678845,0.012473933805640621,0.0016251388025795908,0.0005847989922578932,0.0010341991437599063,0.0018164905486628413,0.4706917770589502,0.4732435762808832,0.06871807303539246,0.07416319218170532,0.00027627820963971317,0.0009380169212818146,0.11963963209622405,0.03445117548151618,0.03444811592828366,-0.00020776204473804682,0.08453644812107086,0.10247094929218292,0.012456681579351425,0.021881574764847755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2137093544006348,0.2359575629234314,2.659254550933838,0.70625239610672,7.311896800994873,3.199007272720337,9.564427375793457
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.07160472112552521,0.30446118116378784,0.0,0.0,0.0,0.0,0.0,0.07188077474317123,0.3042084574699402,0.047624137414166184,0.0,0.04023226222594574,0.3138863742351532,0.004316026344895363,0.09768958389759064,0.00012108038936275989,0.0024972709061357023,0.0,0.18505357205867767,0.18278303742408752,0.01267694352877645,0.01606403049270043,0.06346044689416885,0.06307357549667358,0.11704296696086869,0.12799792136872756,0.0016813569703678654,0.013572871095016937,0.0016318668941373883,0.00048559162959806656,0.0009228282205643666,0.0016318896086886525,0.5090380918156018,0.5107016675014807,0.06707447218212417,0.07261271013690612,0.00021596945589408278,0.0009188197436742485,0.11916744115267151,0.03449593119860466,0.03449146665933591,-0.00018417424871586263,0.07895182818174362,0.09512021392583847,0.0092899976298213,0.018330760300159454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1418012380599976,0.2280648797750473,2.723372459411621,0.680727481842041,6.915314674377441,3.0142931938171387,10.236295700073242
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.06701609734427413,0.31733420491218567,0.0,0.0,0.0,0.0,0.0,0.0672625230372026,0.3170139491558075,0.05358676938960793,0.0,0.041254307680232236,0.34825143218040466,0.0037940237671136856,0.10776136070489883,0.00021109115914441645,0.0023994172820632933,0.0,0.17304810881614685,0.17005611956119537,0.012645704473733938,0.01584436468398974,0.06603769958019257,0.065447598695755,0.12138722095434784,0.13308335544358368,0.0016714098698661563,0.013944917535881386,0.0017482018986436985,0.0003004506257601494,0.000872176079154824,0.0015156535664573312,0.5412731431073841,0.5426029764408741,0.06819858427512665,0.07408897896599242,0.0003542094782460481,0.0010765906190499663,0.12127891184492706,0.034089579208822766,0.03407219443813644,-0.00016029283870011568,0.07366599142551422,0.08864425867795944,0.007004724349826574,0.014938975684344769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0780608654022217,0.20921353995800018,2.6768667697906494,0.661419153213501,6.275901794433594,2.7996835708618164,11.289499282836914
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.06308244526042893,0.33088359236717224,0.0,0.0,0.0,0.0,0.0,0.06329476265112198,0.3305168151855469,0.06095804221883331,0.0,0.042390729269388736,0.37698137760162354,0.003906868863850832,0.12177515029907227,0.0003579450713004917,0.002385419327765703,0.0,0.14972463250160217,0.1470884382724762,0.012842631094613753,0.01576069285342318,0.0672573447227478,0.06620800495147705,0.12776882947923904,0.1391730606331552,0.0016744209381243235,0.014276194033005028,0.0018634984748347391,0.00019331931488927433,0.0007614888535659552,0.0014009678270667791,0.5600984997712818,0.5619521670027124,0.07068533536863143,0.07718638290075104,0.0008444631239399314,0.001553466310724616,0.12938472476795335,0.034022910283646235,0.033991512471668865,-0.00015550322132185102,0.06877423077821732,0.08283479511737823,0.0048070247285068035,0.011400958523154259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0221176147460938,0.1847768872976303,2.5611581802368164,0.6392130851745605,5.446049690246582,2.6269922256469727,12.476920127868652
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.06006566060809296,0.34476223587989807,0.0,0.0,0.0,0.0,0.0,0.060251406752888564,0.34432175755500793,0.06744009730418808,0.0,0.043908713926973264,0.39488106966018677,0.004522388335317373,0.13864441215991974,0.0006008578347973526,0.0024043836165219545,0.0,0.1160639077425003,0.11445918679237366,0.013056068721661623,0.015676379441442255,0.0676291212439537,0.06605932861566544,0.13440444467500579,0.1456795945772003,0.0016197631352709953,0.014449766725966129,0.0018870837141088666,0.0001563887802515984,0.0007538688766347229,0.001324680051766336,0.5631707638741517,0.5660207491284485,0.07302212797297226,0.0797634414625502,0.001032531727105379,0.0017409963766112924,0.14051834343950256,0.03387665055930746,0.033827157104733135,-0.00017205164476763457,0.06432022899389267,0.07714655995368958,0.00288626947440207,0.0068944841623306274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0145665407180786,0.1683863401412964,2.5256619453430176,0.6182778477668762,4.856404781341553,2.4557840824127197,13.353289604187012
