Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.020080804819330597,-0.00034262269036844373,0.0,0.0,0.0,0.0,0.0,0.02014620967643074,-0.0003298897063359618,0.01496747304405901,0.0,0.00976170132167059,0.026073569431900978,0.00010966284025926143,0.051456015557050705,-1.5619612895534374e-05,0.0004550393067283911,0.0,0.05930205062031746,0.06302107870578766,0.013191139858130344,0.016297300705607184,0.006547894328832626,0.006563196424394846,0.027506249740176507,0.028711852404499055,0.0018127267516048558,0.0012448217568637096,0.0018490943535396645,0.006570149797007856,0.0008354937890544534,0.0010977961355820298,0.08982971754448273,0.09150452912484085,0.0733509962868332,0.07423346724590332,0.001925051910802722,0.001969799632206559,0.13083064557040314,0.08021462935694496,0.08024572582729753,1.3699233932129573e-05,0.05542165786027908,0.05848972871899605,0.0276693906635046,0.033987484872341156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6162536144256592,0.2397034913301468,0.5105715394020081,0.18802286684513092,1.2925350666046143,1.3726415634155273,0.6631355285644531
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.03716841004360069,-0.0005849680164828897,0.0,0.0,0.0,0.0,0.0,0.03729989170787987,-0.000530237564817071,0.023912931195388107,0.0,0.017250508088441505,0.040141332894563675,0.00026395905297249556,0.12784460186958313,-5.543239603866823e-05,0.000631103447565086,0.0,0.10987124592065811,0.11814206838607788,0.012967130735905032,0.016132894514174875,0.01219610869884491,0.01222939696162939,0.04268088711669731,0.0425365902128904,0.001807948662804762,0.002102635799812546,0.0027973775157736505,0.01791829408491291,0.0016565232072025537,0.0022403954062610865,0.15292447621989044,0.1537547946103534,0.14636339939207305,0.14901041006254548,0.0031182519160211086,0.0032418170012533665,0.23367792369135315,0.13340080384086364,0.1334820329747641,1.2820125448342878e-05,0.10842575132846832,0.1151447668671608,0.055900417268276215,0.07113579660654068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3525162935256958,0.4719313979148865,1.0887513160705566,0.36427757143974304,2.3921101093292236,2.7142724990844727,1.3898935317993164
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.052853078989922635,-0.0005503061111085117,0.0,0.0,0.0,0.0,0.0,0.0530265099934095,-0.0005342021468095481,0.03029089972840538,0.0,0.02507464532229183,0.04721173644065857,0.00040939610335044563,0.21469251811504364,-0.000125044520245865,0.0007070177389022613,0.0,0.15298840403556824,0.1641402691602707,0.012720874556861758,0.015807424229295094,0.01598883606493473,0.01584656722843647,0.0566859133587307,0.05541928190452309,0.0017425516054488848,0.002779890028441863,0.009141457958572836,0.03480146786409996,0.002570548327639699,0.0034647476859390736,0.19475393329649904,0.19334774985435974,0.20588863661461823,0.20950012585483704,0.0019810546655207872,0.0022597843781113625,0.3517543018213623,0.19953230919542328,0.19968244134152588,-5.468684685183689e-05,0.15676701068878174,0.16702479124069214,0.08443208038806915,0.10912907123565674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1984682083129883,0.7042651176452637,1.6165403127670288,0.49675917625427246,3.447429656982422,3.915560483932495,2.2498457431793213
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.06616400678437058,-0.000225531286559999,0.0,0.0,0.0,0.0,0.0,0.06638977880003066,-0.00019254183280281723,0.03707804881907295,0.0,0.03226163665417328,0.054735004901885986,0.0006386807071976364,0.2908814549446106,0.002590277697890997,0.0009315249389848388,0.0,0.18429699540138245,0.19708944857120514,0.01273002252716004,0.015730578571205422,0.01807704195380211,0.017445877194404602,0.07212745471044907,0.06831877526033127,0.0016368863806897353,0.003053729233717532,0.01982454119251648,0.05163087590087463,0.0040277279913425446,0.005329272244125605,0.22860618905225372,0.22287844791857667,0.24017096143199676,0.24508479362587432,0.00032644098973833025,0.0006507994257844985,0.48141019640894106,0.2794798553361847,0.2797090888015192,3.629231287050061e-05,0.1952340304851532,0.20858733355998993,0.10799352079629898,0.1415826380252838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1499581336975098,0.9958474040031433,1.9579389095306396,0.6339708566665649,4.301757335662842,5.14337158203125,3.2268097400665283
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.07691141481534149,0.00469512352719903,0.0,0.0,0.0,0.0,0.0,0.07713616030997024,0.004683814477175474,0.04332868821918671,0.0,0.040863508551818924,0.06330517679452896,0.0007786122150719166,0.34667831659317017,0.017291001975536346,0.001283345128540914,0.0,0.20532545447349548,0.2158653885126114,0.012757143385824614,0.015515339903910453,0.019106721505522728,0.01784350909292698,0.08841706664431778,0.08469874713123582,0.0015618275533912278,0.003504108113165779,0.026205415635728264,0.06098694456513771,0.005063948221504688,0.006634003482758999,0.2642723389352472,0.2551863461659464,0.2592533203612897,0.2634007569838751,0.0,0.00022702649584971368,0.6182537197970679,0.3716822743813086,0.37202557924513124,0.00023999898985493928,0.2261802703142166,0.24015793204307556,0.12216576933860779,0.16143783926963806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1642537117004395,1.218396782875061,2.415276050567627,0.7590669989585876,5.185040473937988,6.3454389572143555,4.234222888946533
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.07230282562629578,0.0248850267380476,0.0,0.0,0.0,0.0,0.0,0.07248506153306533,0.02490314468741417,0.04311285556621239,0.0,0.04033739736874893,0.06370022147893906,0.0012074687983840704,0.31883692741394043,0.033571962267160416,0.001424531771593058,0.0,0.1773446798324585,0.18136738240718842,0.013041625612958727,0.015643460701241882,0.016404924914240837,0.014915019273757935,0.08877047973772034,0.08631184842313278,0.0015418314391005838,0.003380792556777935,0.02403722253901539,0.05265388660617989,0.00522826467108676,0.006672249641269445,0.24883739761222504,0.2389574311514212,0.2088781763842993,0.21185567213966033,0.0,0.0002070684713544324,0.6424798608056104,0.40037650164579347,0.40074645280673216,0.0003105011710431427,0.20581626892089844,0.21821098029613495,0.1037493348121643,0.13852599263191223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.819103479385376,1.1613092422485352,2.528097152709961,0.7408553957939148,5.214839458465576,6.238234043121338,4.634605884552002
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.06865205112826309,0.045486874878406525,0.0,0.0,0.0,0.0,0.0,0.06878077254892136,0.0455097071826458,0.0401813942069793,0.0,0.039757616423470685,0.06674530357122421,0.0058294134214520454,0.2923832833766937,0.03847178816795349,0.0018181728096490384,0.0,0.1507609784603119,0.15028104186058044,0.01325907977869924,0.01542611886977295,0.014682956039905548,0.0126237403601408,0.08984515819494843,0.08671837748776551,0.0014723220107929682,0.003453592015902386,0.018466868811864358,0.04172638180588898,0.0047833442190483855,0.00614713691174984,0.23955794792839843,0.2280692510599765,0.16635621364581604,0.16761118491482208,0.0,0.00026401891955174506,0.662677422181803,0.42780228253658753,0.42818222340481565,0.00040218085632659495,0.1903388351202011,0.20054899156093597,0.08315671980381012,0.11302320659160614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.637963056564331,1.1119056940078735,2.648472309112549,0.7376759648323059,5.254827499389648,6.010860443115234,5.031456470489502
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.06671309083356812,0.06693558394908905,0.0,0.0,0.0,0.0,0.0,0.06680114744106568,0.06694847345352173,0.03900519333735023,0.0,0.03776758812964302,0.07541995495557785,0.012793729081749916,0.26447004079818726,0.04337150603532791,0.002375161973759532,0.0,0.12053188681602478,0.11587256193161011,0.013484621383909543,0.015490735058979126,0.013813992962241173,0.01175429206341505,0.09039310367347961,0.08800604192158828,0.0016163800239694791,0.003919507722162394,0.011554329133490353,0.030323225657952615,0.0036555618798207283,0.004719265270978212,0.23115909170739318,0.21943237706855406,0.12330021050643737,0.12353896309045594,2.2344216631609015e-05,0.0002558161213528365,0.6795198678691687,0.4486682355597156,0.44906759265749574,0.0003220746002625674,0.17459045350551605,0.18319934606552124,0.06128470599651337,0.08547346293926239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.035691499710083,1.0595093965530396,2.655735731124878,0.7376410961151123,5.266916275024414,6.157006740570068,5.499910354614258
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.06547695024041336,0.08656834810972214,0.0,0.0,0.0,0.0,0.0,0.06558501290661514,0.08663429319858551,0.03874176097115166,0.0,0.03527231382340423,0.08579882979393005,0.02473914809525013,0.23968099057674408,0.05120811611413956,0.0030015199445188046,0.0,0.09016759693622589,0.08432091027498245,0.013413262026469502,0.015685519819539327,0.013300337828695774,0.011155334301292896,0.09178045539096726,0.08821106106127014,0.0017261492261908364,0.0042524546205190755,0.007223696933805895,0.02052067981489048,0.0030481766258874895,0.003987716510891914,0.22359010877619018,0.21228075734435273,0.08799400262726532,0.08775505342010025,0.0,0.00017726793885231018,0.6968234240917395,0.46348401901201475,0.46387413443449954,0.00036479084519669414,0.16274257004261017,0.17158854007720947,0.041709236800670624,0.06325262784957886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.621884822845459,1.0183647871017456,2.6820621490478516,0.7536225914955139,5.501832008361816,6.119390964508057,5.74164342880249
