Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.02865219488190117,1.0810732419486158e-05,0.0,0.0,0.0,0.0,0.0,0.028720358316467322,7.76803517510416e-06,0.02027157955523464,0.0,0.011122921465406,0.022562580183148384,0.00016021085320971906,0.031228741630911827,3.026390004379209e-05,0.0009038361757511628,3.4725665045698406e-06,0.08541394025087357,0.08924461901187897,0.01326110468074491,0.016291784785768967,0.008564296178519726,0.008378740400075912,0.027470703020148583,0.027093869420909883,0.0018588521828588962,0.0019421265425809884,0.0017735807519528015,0.002370205476873038,0.001002081437036395,0.0013427950907498598,0.11283091154472687,0.11507348716889297,0.05450969240185013,0.055872535819616626,0.0,0.0,0.16949634254897217,0.11142828169950286,0.11149462314136918,8.77833372214809e-06,0.07647010684013367,0.07975174486637115,0.028996402397751808,0.03545680642127991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34342509508132935,0.19215579330921173,0.37260985374450684,0.3209473490715027,1.4341459274291992,1.3143374919891357,0.7886862754821777
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0548625219570433,6.799125549150631e-05,0.0,0.0,0.0,0.0,0.0,0.05494738161323723,3.259754157625139e-05,0.036043500862012176,0.0,0.021557524818750038,0.04501456394791603,0.00024413919891230762,0.06972266733646393,0.0001273598609259352,0.0016956981661927176,0.0,0.1616380363702774,0.1672227680683136,0.013108397091872705,0.016185788303136103,0.01568480394780636,0.01528163067996502,0.03969188740721035,0.03720008019537617,0.001908038001762094,0.0031024701883070375,0.001868013763553126,0.006891040386355295,0.0020092022605240345,0.0026705076452344656,0.21635646934675964,0.2187536448367557,0.11440246499151459,0.11634792899298065,0.0,4.3492316763149574e-05,0.28152251244791443,0.161340943015325,0.16148372884611725,-2.1278858184814453e-05,0.1496274173259735,0.15513592958450317,0.062400318682193756,0.0745602548122406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.777177631855011,0.40599775314331055,0.7462410926818848,0.5926951169967651,2.9452056884765625,2.618360996246338,1.5447609424591064
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.07808791234964096,0.00022331427317112684,0.0,0.0,0.0,0.0,0.0,0.0781550868979448,9.76009396254085e-05,0.048622215096819306,0.0,0.032131440382926445,0.06864907592535019,0.000386743777198717,0.1138058453798294,0.00036248157266527414,0.0025440832987141514,0.0,0.2280864715576172,0.2333444356918335,0.013022419220532697,0.015960960177197222,0.021370280534029007,0.020548410713672638,0.04796320200423661,0.043379890580599025,0.001878497103635514,0.0039464886669615075,0.0020243931869811504,0.01289779281455658,0.003201400861144066,0.004172094631940126,0.3099591318228815,0.31175651922348513,0.17278819551640504,0.17454995891414796,9.812164353206754e-05,0.00021244668459985405,0.3723739922396057,0.18880596162977234,0.18901437221730408,-6.670045695500448e-05,0.21387121081352234,0.22050084173679352,0.09701177477836609,0.11353258788585663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2299309968948364,0.618027925491333,1.13796067237854,0.8322691321372986,4.573431968688965,3.714991331100464,2.372281074523926
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.09606108565609757,0.0002647342626005411,0.0,0.0,0.0,0.0,0.0,0.09606643224479766,-2.1413801732705906e-05,0.05888210588074516,0.0,0.04335372204545632,0.09278835356235504,0.000570072210393846,0.16445013880729675,0.0011936516966670752,0.004132898267905293,0.0,0.2877437174320221,0.28773173689842224,0.013049371786530978,0.015728485569238126,0.026153290644288063,0.024575835093855858,0.05244192181273827,0.04632017608869278,0.0018014901570873336,0.005062213677367182,0.0022308953816683776,0.01988332985390236,0.004686192609369755,0.005892706103622913,0.39467913881936645,0.3949665047213263,0.22603262048198455,0.22637312239269713,0.00026404953678138554,0.0003913516993634403,0.4533814102265375,0.19709973935031433,0.19738029241480043,-8.98551952559501e-05,0.2667991518974304,0.2729880213737488,0.12824741005897522,0.14747130870819092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.668418526649475,0.7556217908859253,1.5912361145019531,1.0938470363616943,6.3978271484375,4.555688381195068,3.291163682937622
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.10720742757455017,0.000510792713612318,0.0,0.0,0.0,0.0,0.0,0.10710128533428893,2.1398067474365234e-05,0.06601543791591827,0.0,0.053536268144352035,0.11361607909202576,0.0006332421326078475,0.2103244811296463,0.003092886181548238,0.008761559579652767,0.0,0.3451586961746216,0.3339482843875885,0.01330259501439273,0.0154800194370605,0.030821261927485466,0.02810714766383171,0.05737873018849579,0.049667778643973086,0.0016812553690529934,0.005916879453625365,0.002472470400049338,0.025148348042329637,0.0066801817156374454,0.008065060712397099,0.46935395080696657,0.46568987964849795,0.2654214176189038,0.2625581559230078,0.0006850671488791704,0.0007170152384787798,0.5209946453475287,0.18976716999211793,0.1901486516309192,-4.585266287904233e-05,0.3084171712398529,0.31228408217430115,0.15159980952739716,0.17164501547813416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9679548740386963,0.8308850526809692,2.141937732696533,1.3229897022247314,8.294878959655762,5.198577880859375,4.388489723205566
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.09535706776039002,0.0004558992513921112,0.0,0.0,0.0,0.0,0.0,0.09518289769372512,-2.4831295377225615e-05,0.059788372529217454,0.0,0.05326202383836105,0.11437423527240753,0.0006538820452988148,0.20946964621543884,0.004736155271530151,0.013556807970419789,0.0,0.3397160768508911,0.31667977571487427,0.013308185326013175,0.015426781810376586,0.028820790350437164,0.025224832817912102,0.05370654243131622,0.04711008962119568,0.0015092700881375054,0.006106831940338354,0.0025175847559574006,0.022274602432929686,0.007292818691849203,0.008534172549843788,0.4549998354088177,0.4480859450836493,0.24822645085367492,0.24195396139098785,0.001031846972182393,0.0007360315066762269,0.4926924348107373,0.14696973111843065,0.14736350178553773,0.00011348009138600901,0.28705307841300964,0.2867986261844635,0.14125458896160126,0.15711955726146698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8610930442810059,0.7780420780181885,2.2828638553619385,1.2564598321914673,8.490161895751953,4.899163722991943,4.639059066772461
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.08475759867560348,0.0006544715142808855,0.0,0.0,0.0,0.0,0.0,0.08449558929801727,0.00017753869178704917,0.05421594484398606,5.9373116528149694e-05,0.054041221343381116,0.11707340180873871,0.0005862569669261575,0.19771720468997955,0.0037951660342514515,0.01537856430651598,0.0,0.33655598759651184,0.30575093626976013,0.013067244004823304,0.015371235011816795,0.02724972926080227,0.023202072829008102,0.05057384449784874,0.04684948624859924,0.0014006859370942128,0.0059299042359989736,0.0025454974631964676,0.019063066047779884,0.007919011401553516,0.008996889926493168,0.44055351238915286,0.43282007205435363,0.22644963140952606,0.2176698925096936,0.001341621857136488,0.0008730483241379261,0.4667753130356848,0.11673423942383271,0.11712423112528611,0.0001557970099383965,0.2662610113620758,0.26241442561149597,0.12851795554161072,0.14046816527843475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7173988819122314,0.7572323679924011,2.3419418334960938,1.2362933158874512,8.734905242919922,4.717496871948242,4.7080793380737305
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.07778140514745667,0.0007496738689951599,0.0,0.0,0.0,0.0,0.0,0.07744474885860718,0.00024103521718643606,0.05044970236673866,6.850402860436589e-05,0.055489844611290515,0.12066463381052017,0.0004296493425499648,0.17891386151313782,0.002310647862032056,0.015640007331967354,0.0,0.34022748470306396,0.3024364709854126,0.013164714902600681,0.015413858862434508,0.028220780193805695,0.024017760530114174,0.0477782450759626,0.0469295941068853,0.0012796660114502555,0.005926668290772228,0.002507997823544099,0.01565870514841158,0.0082132263859581,0.009065271355211735,0.43124917220704223,0.4253043167276727,0.2087554493255597,0.19900696684030333,0.0009963965276256204,0.0004898524493910372,0.4285638093669714,0.09323585929418976,0.09358854222982049,0.00014416455815080553,0.24759870767593384,0.2418433129787445,0.12124694883823395,0.1294606626033783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5569283962249756,0.7652033567428589,2.299961566925049,1.2143850326538086,8.75924015045166,4.85276985168457,4.795469284057617
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0727761201384465,0.0007236611563712358,0.0,0.0,0.0,0.0,0.0,0.0724169196425122,0.00017792820290196687,0.04866063323815949,0.0,0.056073209812345426,0.133620947599411,0.0004964995314367115,0.1610834002494812,0.0010497235925868154,0.012632865458726883,0.0,0.3469293713569641,0.3086799681186676,0.013509806067767832,0.015332919084625606,0.03004421480000019,0.026247380301356316,0.04656950158909691,0.047262129933483506,0.0012289944074594763,0.005714036413201485,0.0023947753563783587,0.014356777234152412,0.008443229580442047,0.00924939475953579,0.4318071037770294,0.4294644217854614,0.19592810504330382,0.18704401620152955,0.0007436275482177734,0.0003824424638878554,0.39012826084177,0.07379316908196679,0.07410357446793533,0.00013989806757308543,0.23564903438091278,0.229812890291214,0.11674180626869202,0.1239255890250206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.507346510887146,0.7232428789138794,2.2562618255615234,1.170750617980957,8.288375854492188,4.852795124053955,5.51202917098999
