Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0030360423206314685,0.10519842058420181,0.0,0.0,0.0,0.0,0.0,0.003017283556663611,0.1052141934633255,0.0050083005866024205,5.6932261941256e-05,0.006472353807160435,0.005016425158828497,5.6139298976631835e-05,0.013475140556693077,0.0001517700293334201,0.003332502573214693,0.0,0.040791191160678864,0.035552121698856354,0.013194153406979029,0.016388224133313187,0.005534778349101543,0.004849684424698353,0.022520489774101086,0.02421347868742943,0.0030235426578384757,0.0019384878652819657,0.0019309231461846202,0.001420627641018895,0.0,0.0002634560805745423,0.05120116916076996,0.051398783928498386,0.014886181378030681,0.013987890931275195,0.0,0.0,0.11867365987027267,0.08225183043369094,0.08231472225674089,3.425273098400794e-05,0.015442140400409698,0.0166806448251009,6.682439561700448e-05,0.0004092765157110989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1655672788619995,0.12994186580181122,0.5896078944206238,0.2206920087337494,1.6832387447357178,0.5910619497299194,1.6141555309295654
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.003985752952653661,0.21329458057880402,0.0,0.0,0.0,0.0,0.0,0.0039292483193999195,0.21331067383289337,0.009564586318025856,0.00011012265167664737,0.011277144793244018,0.016423840075731277,5.630840314552188e-05,0.035833727568387985,0.0003112884296569973,0.00632994090385849,0.0,0.07754822075366974,0.06822510063648224,0.012977864592375356,0.016420160642172884,0.011212855577468872,0.009871050715446472,0.03457748664787102,0.035261163452574504,0.0039088443019644785,0.0035705484905265475,0.002029210978318833,0.002912745833120122,0.0,0.0005443532718345523,0.11175149495768341,0.1105738595255336,0.03482484019369354,0.03357112919496887,0.0,0.0,0.20115000010736878,0.1283458754784941,0.1284725606046164,7.591188477817923e-05,0.030547868460416794,0.03309095650911331,4.39011309936177e-05,0.0009751756442710757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34494590759277344,0.2605966329574585,1.2123323678970337,0.4158101975917816,3.315749406814575,1.1343022584915161,3.280968189239502
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0043439743469055846,0.324180006980896,0.0,0.0,0.0,0.0,0.0,0.004252515324091301,0.3241773247718811,0.015062158857452775,0.00015037128468975425,0.016648398157684784,0.04393615201115608,4.785259807249531e-05,0.07178247720003128,0.0005161737208254635,0.00916192507517456,0.0,0.10690787434577942,0.09533698111772537,0.012684382224278465,0.01646459817975304,0.016989579424262047,0.014938187785446644,0.048908330504698186,0.0488928564236805,0.003996767598610664,0.0052054826539555355,0.0020650122026166073,0.004902063945565443,2.900294930441305e-06,0.0008624025504104793,0.20063092146903017,0.19795542731407653,0.06409855207377427,0.0628109343942276,0.0,0.0,0.2830523938289993,0.17398000659647003,0.1741631597157782,0.00014513095084112138,0.04466801881790161,0.04840873181819916,-9.233855234924704e-05,0.001687629846855998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.564033031463623,0.3945511281490326,1.8735132217407227,0.590467631816864,4.809388637542725,1.6351289749145508,5.022759437561035
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.004274402584692869,0.43929600715637207,0.0,0.0,0.0,0.0,0.0,0.004154559395929298,0.43926185369491577,0.025107512035735358,0.00018668425036594272,0.022845615247522735,0.10116919130086899,-2.5379868020536378e-05,0.11797662079334259,0.000737044436391443,0.011563523416022835,0.0,0.12962652742862701,0.11829055845737457,0.012516894172643228,0.0166333932453966,0.023605410009622574,0.02068335749208927,0.07052973730608353,0.06968915309894287,0.0035873623556122187,0.006706471133431406,0.002136295752730947,0.0073983630766372875,2.977105941681657e-05,0.0012214465532451868,0.33032051698365783,0.3261236466452307,0.10340612959100479,0.10299912965158921,0.0,0.0,0.3637015729996698,0.22036782804870148,0.22058354616083314,0.0002247889933642,0.057448871433734894,0.062318332493305206,-0.000373387971194461,0.002583784516900778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8471042513847351,0.5724027752876282,2.4262890815734863,0.7362629175186157,6.3665971755981445,2.0703165531158447,6.732679843902588
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.004111764328782816,0.5624682307243347,0.0,0.0,0.0,0.0,0.0,0.003980430278539524,0.562450110912323,0.050364204421636506,0.0002648797526489943,0.030569035753113823,0.201903834939003,-0.00014298167661763728,0.15792235732078552,0.0008613793761469424,0.013721557300669174,0.0,0.1528339833021164,0.14460361003875732,0.012433036559668702,0.01672658405118137,0.03345559164881706,0.029025869444012642,0.1156556666003534,0.11177677962482713,0.0036083451155123807,0.008206741359945221,0.002147546840375276,0.00948502225573906,4.35248011854128e-06,0.0016061934875324368,0.507843650170675,0.5027840256617578,0.14908322420230835,0.15099629130852113,0.0,0.0,0.4434921562575629,0.27029763464131834,0.27050642672304415,0.00026832337607629597,0.06972669810056686,0.0755903348326683,-0.0005830200389027596,0.0036395424976944923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1999317407608032,0.7627667188644409,2.8976962566375732,0.8783528208732605,7.979285717010498,2.44632887840271,8.505512237548828
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0034983792512982797,0.5775418281555176,0.0,0.0,0.0,0.0,0.0,0.0034107749194519713,0.5775839686393738,0.07772708700365707,0.0002646858338266611,0.03333352378209427,0.2846935987472534,-9.630765998736024e-05,0.14769984781742096,0.0008004477713257074,0.013137795699551964,0.0,0.1565818339586258,0.1548430323600769,0.01246792313627286,0.016633262009847702,0.04122772812843323,0.03551311418414116,0.15955582338472352,0.15034332271541107,0.0028983753903609752,0.00803219188608263,0.001991783873642603,0.009141562734924965,0.0,0.0017650005174800754,0.598860026515614,0.593624483778031,0.16570571260961822,0.17046072318030975,0.0,0.0,0.44215717317972536,0.27842879590009645,0.278599488733551,0.00021313101751729846,0.06971698999404907,0.0754266157746315,-0.0007088412530720234,0.004323216155171394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3129428625106812,0.7239047288894653,2.7368946075439453,0.9002884030342102,7.975576877593994,2.3439903259277344,8.772671699523926
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0031435234470315932,0.5909041166305542,0.0,0.0,0.0,0.0,0.0,0.0030826643787398435,0.5910259485244751,0.10300236894438507,0.00023705311468802392,0.035756807379824826,0.3554936349391937,-0.00035515931085683405,0.1266031116247177,0.0007177471998147666,0.012401109271663952,0.0,0.16885636746883392,0.1715063899755478,0.012381697021091393,0.016358339122935037,0.05071517452597618,0.04368048161268234,0.20188771936838745,0.1874307960439789,0.0020772978411490927,0.007764680954168424,0.0020005283179296627,0.008976672132663097,3.333269387331709e-05,0.001980959204956889,0.6610880158490833,0.6558649145359668,0.18008642669188996,0.18737499733757446,0.0,0.0,0.44052939118548035,0.2893797039633606,0.28952152427571104,0.00016312941443175077,0.06969635933637619,0.07604630291461945,-0.0006942535983398557,0.005731561686843634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4251415729522705,0.6678943037986755,2.682210683822632,0.8902639746665955,7.906721591949463,2.1661643981933594,9.133950233459473
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0033470076381350946,0.604279100894928,0.0,0.0,0.0,0.0,0.0,0.0033071047148320724,0.6044710278511047,0.12057798303618943,0.00025756150716915727,0.0368792367786203,0.3985939919948578,-0.0004775019478984177,0.10624217242002487,0.000544481968972832,0.012222007848322392,0.0,0.18629999458789825,0.19219468533992767,0.012347029485468229,0.016331023180232378,0.0590193085372448,0.051038216799497604,0.23236853630783325,0.21271759269377838,0.001895710050356949,0.007718300093688755,0.0019097114285829206,0.008153781413597651,2.4665222138158662e-05,0.0021141348406672478,0.7000029392205921,0.69483166262344,0.19228075531196412,0.20118718553689757,0.0,0.0,0.4409036695678534,0.304252171535744,0.30436265472262025,6.066486093914136e-05,0.07117033749818802,0.07829280942678452,-0.0007988251745700836,0.006356358993798494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5118064880371094,0.6610827445983887,2.678581476211548,0.8760085701942444,8.015215873718262,1.9201968908309937,9.338226318359375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.003478198993111663,0.6096824407577515,0.0,0.0,0.0,0.0,0.0,0.003469406054739361,0.6099328994750977,0.13049679723580962,0.0002985424071084708,0.0378845581612014,0.4108606278896332,-0.0004906762042082846,0.08940042555332184,0.00042347441194579005,0.012344901449978352,0.0,0.20931126177310944,0.21568211913108826,0.012506911149566341,0.016372544870404813,0.06460950523614883,0.056241050362586975,0.24600786862806212,0.22400921732271423,0.0018191929643520501,0.007133983430185709,0.001804830031914589,0.005478701250777101,5.844530612949599e-05,0.002272693905979395,0.7187239855767273,0.7138397317296142,0.2008417033423303,0.21025391586545472,0.0,0.0,0.44031867980043393,0.3182089030452179,0.31830862463835696,-6.8697331698786e-06,0.0756692960858345,0.08249405771493912,-0.0007520194631069899,0.006617546547204256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6077479124069214,0.7094451189041138,2.681518316268921,0.8999729752540588,8.06763744354248,1.8175057172775269,9.164403915405273
