Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.016486151138409996,-2.10711204999825e-05,0.0,0.0,0.0,0.0,0.0,0.016493076388404884,-7.277887925738469e-05,0.003944384685716362,0.0,0.0038683714647533276,0.01002846471965313,0.011650484055280685,0.0028408917132765055,0.010054274462163448,0.0007895531751664711,6.495779962278903e-05,0.020721420645713806,0.016822481527924538,0.013247183243614716,0.016321833501640057,0.002669959096238017,0.002470136620104313,0.01244002582264752,0.015250050249719621,0.0023251147553038716,0.0023143422987961437,0.002005618054292251,0.0004038917414075187,0.0010302478913217783,0.0009108560043387115,0.013319677454994697,0.014351936529174204,0.0014426891996911705,0.0002754633087529686,0.0,2.8783381367247785e-06,0.04672452994609455,0.03507826724644753,0.03508907006693198,8.662158506922424e-05,0.015944253653287888,0.01611315831542015,0.011752873659133911,0.009023621678352356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41176843643188477,0.23368144035339355,0.24410180747509003,0.15414230525493622,1.846035361289978,1.5273492336273193,0.5159533619880676
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.030389747019294394,-8.331856224685907e-05,0.0,0.0,0.0,0.0,0.0,0.030383860466462936,-0.00017361056234221905,0.007139473556468753,5.5902452004374936e-05,0.004817829252975001,0.020367132499814034,0.02474692463874817,0.0072606331668794155,0.02680431678891182,0.0032579319476347636,0.00015461313887499273,0.036077700555324554,0.026200324296951294,0.013091758820354828,0.01620017266397455,0.005272123031318188,0.0045973798260092735,0.013357697597351552,0.014872714725257348,0.0036418571700559425,0.0046721999523215195,0.0022571844036722447,0.00043013427809607176,0.0023700562305748463,0.0021327505819499493,0.020912118284581033,0.019528412831636352,0.002263873051931167,0.0,0.000196890439838171,0.00018124611233361065,0.060086905968269655,0.034919065628578085,0.034954467521795395,0.0002394596376689151,0.030856823548674583,0.030726412311196327,0.02082364819943905,0.015106973238289356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8367536664009094,0.4496774673461914,0.5377739071846008,0.3024772107601166,3.795356035232544,2.8632445335388184,1.1169865131378174
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.04402871936434471,-0.0002159193973056972,0.0,0.0,0.0,0.0,0.0,0.04402458068046509,-0.00029016047483310103,0.010339250718223954,0.00022945963428355753,0.005516613046182971,0.03229115530848503,0.03873145207762718,0.017216114327311516,0.051415931433439255,0.006376524587692013,0.00035039897193200886,0.04584682360291481,0.030135197564959526,0.012863805549158655,0.016056955503971067,0.007718357723206282,0.006538231857120991,0.015280767814171935,0.015057781326521948,0.003816808603179002,0.007079734410772638,0.0023832613008164926,0.0005478835767014073,0.0037840730510652065,0.003427998861297965,0.030412127793726693,0.026869032154712792,0.003068168153477235,0.0,0.00041334214620292187,0.00028133339947089553,0.07345359179891281,0.0348715413396021,0.034929933060727086,0.0003945815551560372,0.04496220126748085,0.04453778639435768,0.027414437383413315,0.019055750221014023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2869162559509277,0.6632222533226013,0.7946610450744629,0.4374564588069916,5.797593116760254,4.135108947753906,1.735836148262024
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.05719639484565559,-0.0002869817544706166,0.0,0.0,0.0,0.0,0.0,0.05718267167331787,-0.00043576621101237833,0.013324881689019909,0.0001771990064298734,0.006643861612563277,0.04707309603691101,0.05310984328389168,0.0419357530772686,0.08113274723291397,0.0068759389450653175,0.0005063717253506184,0.04878759756684303,0.030234333127737045,0.012620272724655374,0.016150000725869484,0.009777078405022621,0.008274538442492485,0.01818029468997845,0.016783472021551962,0.0026580251278951767,0.009514787278523656,0.0024416273704411275,0.0008686348640106362,0.005203584209084511,0.0047485982067883015,0.045986311892658234,0.04135477468220657,0.003649678733037653,0.0,0.0002406665589660406,0.00015828621690161526,0.08768862707944083,0.03480883529054102,0.03487541847780455,0.0005196540150791407,0.05702584981918335,0.057071734219789505,0.029651015996932983,0.019727203994989395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8125803470611572,0.869682788848877,1.0048385858535767,0.5657232999801636,7.742371559143066,5.340993404388428,2.463387966156006
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.06800656284228469,-0.0002529027406126261,0.0,0.0,0.0,0.0,0.0,0.06799241292065368,-0.0005431559402495623,0.015407226718959255,0.00011228315270273015,0.007578689798218803,0.07673143595457077,0.06197844445705414,0.09775648266077042,0.10596487671136856,0.007029210649562101,0.0008581879665143788,0.04994886741042137,0.02917635627090931,0.012445355658128258,0.016286937513765688,0.011244243010878563,0.00961593259125948,0.026188856373912967,0.024846502798803065,0.0025364165226479567,0.011871243302639408,0.0027980971228191496,0.0011017794348838292,0.006181418430060148,0.005735910031944513,0.08499482948433472,0.07896653264026962,0.008137363086256675,0.0030842688836593296,0.00010202310659224167,0.00019954338495153934,0.10186709164612792,0.034929172711125354,0.03503423449194408,0.0007383296033367515,0.06996771693229675,0.07116984575986862,0.03141334652900696,0.02084359899163246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5329315662384033,0.9527627229690552,1.2632744312286377,0.6864149570465088,9.741090774536133,6.240152835845947,3.3016233444213867
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.06491333233968613,0.00028058895259164274,0.0,0.0,0.0,0.0,0.0,0.0648952370353656,-0.00012634694576263428,0.016717313019105645,0.0,0.009925903404255657,0.12535713613033295,0.04855029284954071,0.1530853807926178,0.09551811963319778,0.004131593012973929,0.0009918883442878723,0.03854350000619888,0.02220979519188404,0.01238113042068055,0.016662201520077677,0.010680985637009144,0.009411880746483803,0.03681508529087051,0.03811443183446873,0.002169211456349963,0.011558561927154999,0.0024145223588555066,0.0012207453210919725,0.005372480437427254,0.004955672658979893,0.1455938827167859,0.13990448041156067,0.03513888093146614,0.030742198068634492,0.00042907497845590115,0.0008750517736189067,0.10377871396456116,0.03503100688233345,0.03515680170220372,0.0009168609976768494,0.06880418956279755,0.07123420387506485,0.024881944060325623,0.01810961402952671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.867973566055298,0.8238417506217957,1.3980672359466553,0.6567018032073975,9.877825736999512,5.16202974319458,3.772780656814575
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.06183311585318527,0.0009220502688549459,0.0,0.0,0.0,0.0,0.0,0.06185087577701355,0.000542343535926193,0.022874261724450607,0.0,0.013716371335489464,0.188980832695961,0.03187847509980202,0.19999688863754272,0.0730774849653244,0.0032137934481536626,0.0008839109796099365,0.0323958694934845,0.021259360015392303,0.012288506352242119,0.016767865873380403,0.010549417696893215,0.009590270929038525,0.05509582165424942,0.057868842797385404,0.0021731525291192244,0.010638229726354465,0.0022625345402582995,0.0012632129915763103,0.00415905448289669,0.0037653138861060143,0.23089147728154022,0.22595109569975463,0.06556697215306778,0.06248636116575668,0.00030040048295632005,0.0008873875485733151,0.10102886708183884,0.03486988929770778,0.034989064035995186,0.0008342954679392278,0.06439926475286484,0.06813479214906693,0.01860220357775688,0.014825464226305485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28212833404541,0.7518488764762878,1.60494065284729,0.6484724283218384,9.767557144165039,4.359898567199707,4.048585414886475
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.059112343784713285,0.0009148851968348026,0.0,0.0,0.0,0.0,0.0,0.05917355222502983,0.0006877580308355391,0.030379961654095993,0.0,0.01764547449201685,0.21730665862560272,0.01864616945385933,0.21049907803535461,0.04309793561697006,0.002826766576617956,0.00030373246408998966,0.04015452414751053,0.032332684844732285,0.012681986445173097,0.01633808871715236,0.011180732399225235,0.010036108084022999,0.06969270856621032,0.0711440816297258,0.002177409314080516,0.00998498184678772,0.0020433426629312065,0.0013096027565502,0.0035463675675760746,0.0032231800723820925,0.2977667756044116,0.2940399877710687,0.09193238702487762,0.08992235321906845,8.327983232447878e-05,0.0005174334510229528,0.0929255284090342,0.03493030462018276,0.03504810439362049,0.0006678691715933383,0.05884477123618126,0.06329744309186935,0.012488195672631264,0.01180106122046709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6363160610198975,0.7588909864425659,1.888455867767334,0.6280055642127991,9.507100105285645,3.998387098312378,4.009557723999023
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.05664796007899445,0.0011350861750543118,0.0,0.0,0.0,0.0,0.0,0.056728105419699554,0.0009532931726425886,0.03410461646517403,0.0,0.020000206848087235,0.1890861839056015,0.008026865310966969,0.20736341178417206,0.021159524098038673,0.0033507400657981634,2.9913484468124807e-05,0.05415743216872215,0.04619869217276573,0.013111478995151166,0.01601065123877051,0.011919292621314526,0.010679401457309723,0.0768630593819989,0.07695023119533767,0.001972797713709378,0.008732645661303195,0.0020305039563476564,0.0018360706038405062,0.0031786416472444298,0.0029512522742152214,0.3090063065529846,0.3053124170666809,0.11409811012638794,0.11245775886300567,0.0001050021528499201,0.0004946406115777791,0.08200673609058365,0.03504476332460662,0.0351748469650007,0.0006135973380878568,0.0563667006790638,0.061223722994327545,0.012012053281068802,0.015174364671111107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.036177635192871,0.7641218900680542,2.118541717529297,0.6010473966598511,9.168257713317871,3.79940128326416,3.845616102218628
