Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.01300297118173542,0.012850535102188587,0.0,0.0,0.0,0.0,0.0,0.013036417704687633,0.012795132584869862,0.011030260293743344,0.0,0.00789220908887106,0.03707493841648102,0.0001249249035026878,0.022406522184610367,2.000810854951851e-05,0.0015344333522471023,0.0,0.03125361353158951,0.02756437100470066,0.013291581433471736,0.016252431757654548,0.006683788262307644,0.006424700375646353,0.030609787225179978,0.03422497098448277,0.001773526445840758,0.0020289208006763126,0.0019020754912815454,0.000506986909422507,0.00022198128863237798,0.0001305570622207597,0.08542953875439026,0.086319088942155,0.025238227606975937,0.023879284525718993,0.0,3.5324723285157233e-05,0.05263559334898571,0.04387251887210648,0.04390273151733572,6.1574583014589734e-06,0.011836813762784004,0.012426795437932014,0.00023878792126197368,0.0003466745838522911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5403953790664673,0.11296983808279037,0.7551682591438293,0.12394740432500839,1.8791223764419556,0.667479395866394,0.8612621426582336
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.02508553899395813,0.030303820967674255,0.0,0.0,0.0,0.0,0.0,0.025124137995225754,0.03021891973912716,0.017789246848712234,1.9786268239840865e-05,0.014063756931396141,0.05141880363225937,0.00012093485565856099,0.037755824625492096,-2.409413582427078e-06,0.003462775649429507,0.0,0.07557433098554611,0.06530924141407013,0.013239176113546948,0.01602187012396727,0.013036707416176796,0.012548869475722313,0.04343467725684929,0.04823463406593491,0.0017879397429859695,0.003605908946039548,0.002010003468851455,0.0007400299148427316,0.000451357860583812,0.0002907906600739807,0.14255095834898743,0.1418931424745044,0.054828166430895234,0.05137979751037949,3.214558819308877e-05,0.0001766455825418234,0.06506752596505577,0.0483221527553677,0.04839302465091585,1.3194441635278054e-05,0.026676204055547714,0.02780720219016075,0.0036195337306708097,0.004255526699125767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0343207120895386,0.21978232264518738,1.546151876449585,0.2491578608751297,3.7644553184509277,1.365662932395935,1.6773347854614258
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.037461583911120526,0.05388827994465828,0.0,0.0,0.0,0.0,0.0,0.0374821550777906,0.05375383421778679,0.021059514884817505,3.0076906114118174e-05,0.020344295915691833,0.05253138020634651,0.00015366288425866514,0.04708678275346756,5.849761510035023e-05,0.005508599003375759,0.0,0.13054528832435608,0.11130450665950775,0.013208974373582691,0.015666733955456976,0.018953543156385422,0.018236111849546432,0.05058237538198891,0.05687918219429703,0.0018224821544124874,0.00466821756182106,0.0020507560841690874,0.0011823759016358066,0.0007167874719016254,0.00047341184108518064,0.1729228231766794,0.17062425389412414,0.08724068870717042,0.08144266089759979,0.007035663817077875,0.007220796309411526,0.07354993525661163,0.051738084873581086,0.051863829406744805,-3.1099854822969064e-05,0.045556534081697464,0.047650296241045,0.01767915114760399,0.01955409348011017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4701671600341797,0.2921396493911743,2.411259889602661,0.3806363344192505,5.779477119445801,1.9540386199951172,2.500580310821533
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.04966833938639465,0.08804430067539215,0.0,0.0,0.0,0.0,0.0,0.04968380386354538,0.0878826379776001,0.023342221760519255,0.0,0.02669263313177719,0.051858507096767426,0.0002476866648066789,0.053945332765579224,0.00010459717304911464,0.0064905092349155525,0.0,0.18838748335838318,0.16208189725875854,0.01327428608643721,0.015468911095635429,0.023914141580462456,0.02318175882101059,0.05339777169867882,0.061608208680035706,0.0018840334660504014,0.005650409541478367,0.002262257931303028,0.002336968192386229,0.0010623590787872672,0.0008569199708290398,0.1935803093115387,0.19067885652033753,0.11649511586858505,0.1085167837725113,0.02129913866519928,0.021510567516088486,0.08174912481041122,0.053607958964939306,0.05378376804210354,-0.0001107513890019618,0.06704098731279373,0.07112012803554535,0.04042607173323631,0.043592698872089386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8105647563934326,0.35545504093170166,3.244321346282959,0.5030441284179688,7.901538848876953,2.583510637283325,3.2874011993408203
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.06134512539044525,0.12713998556137085,0.0,0.0,0.0,0.0,0.0,0.06132656845039116,0.1269485205411911,0.024475176557895585,5.512833467946621e-06,0.03167792801509579,0.05279124900698662,0.00036708926199935377,0.06064160168170929,0.00013482701615430415,0.008819967474919777,0.0,0.2492794394493103,0.21243290603160858,0.013376630822603923,0.015143896446940298,0.02855151705443859,0.02761535346508026,0.05755688102114884,0.06700955632627748,0.0018449564700264058,0.0063824313105305865,0.0022830420513730364,0.00549692436825284,0.001306122518144548,0.0011122318683192134,0.21998733956467223,0.2145830362961801,0.14048582043758362,0.13075339165222535,0.03651594743132591,0.03666235879063606,0.08629822804563544,0.0543372288743544,0.054578207464258885,-0.00017233013932127506,0.08865997195243835,0.09391003847122192,0.06430516391992569,0.06882353127002716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.093188524246216,0.4050176739692688,4.071465969085693,0.6340433955192566,10.329048156738281,3.128127098083496,4.094955921173096
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.05901212978021499,0.14472322165966034,0.0,0.0,0.0,0.0,0.0,0.058958029545159836,0.14458046853542328,0.022446550590464326,0.0002276059240102768,0.030605810346205978,0.04621260240674019,0.00040764990262687206,0.05400102585554123,0.00011393200838938355,0.01177956696392622,0.0,0.2567727863788605,0.2158294916152954,0.013385701457581875,0.015117679514944346,0.028403718024492264,0.02735144831240177,0.05494090247055038,0.06408065702641952,0.0018537174940881373,0.006101097321585159,0.002578741508011049,0.008610924934231453,0.001413215947605164,0.0012714845361188054,0.2144507180820813,0.20749659462168946,0.13485717969450287,0.12503268553687713,0.042167697101831436,0.042078014463186264,0.08207127230677956,0.05067093592499688,0.05092550553216648,-0.00017296224541496485,0.09048297256231308,0.0951160117983818,0.07072196155786514,0.0751156434416771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9158923625946045,0.38093531131744385,4.141826629638672,0.644705593585968,10.48127555847168,3.1166882514953613,4.127659320831299
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.05619608480464897,0.1600770801305771,0.0,0.0,0.0,0.0,0.0,0.05610888094902779,0.16001999378204346,0.021196554886796493,0.0005399172659963369,0.02990985436032505,0.04430563002824783,0.00041411479469388723,0.05166568607091904,0.00012371789489407092,0.015698349744993973,0.0,0.25877729058265686,0.21274793148040771,0.013252550072401798,0.014993375295280317,0.028452394530177116,0.026953069493174553,0.054504279082466356,0.0627647757698166,0.0018521550034142,0.005708645275334701,0.0027915478233433775,0.010742049952201214,0.001451556800474291,0.001300476840697229,0.21894555907914,0.2099866323465976,0.1281109827326538,0.11777289529632995,0.041505903005599976,0.041112810373306274,0.07970678807898163,0.048299140447935866,0.048568821105232717,-0.00016105800750665367,0.09030259400606155,0.09305422008037567,0.0691978856921196,0.07190342992544174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.858603835105896,0.3795405626296997,4.23502254486084,0.6406931281089783,10.308882713317871,3.1368823051452637,4.270716190338135
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.05411490782751991,0.17724664509296417,0.0,0.0,0.0,0.0,0.0,0.05402913866440094,0.17725926637649536,0.020870044305472717,0.000587799004279077,0.028999433821443137,0.04624170437455177,0.00042759362258948386,0.05432948097586632,8.629840158391744e-05,0.016223816201090813,0.0,0.25103309750556946,0.2067485749721527,0.013320877878655156,0.015016004319609137,0.028788922354578972,0.027294494211673737,0.05651944877149826,0.06365892661354194,0.0018592230437746292,0.005511236023881225,0.0028283274745478024,0.011202622789455243,0.0014772747462462425,0.001432534190826118,0.23186716508500244,0.2229739956541406,0.12142311123084838,0.11170364875701706,0.035610560327768326,0.035125285387039185,0.07933737185791154,0.04907670116121943,0.049354380033303495,-0.00015343159611802548,0.08708079159259796,0.08976249396800995,0.061701346188783646,0.06467931717634201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8856499195098877,0.38124847412109375,4.456537246704102,0.6427433490753174,9.909982681274414,3.031235456466675,4.4681925773620605
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.051892843079845125,0.19606377184391022,0.0,0.0,0.0,0.0,0.0,0.051806371086661224,0.19605787098407745,0.020752693610392874,0.0005890654865652323,0.02789063247055046,0.0524945929646492,0.000412335735745728,0.058794792741537094,0.00017430733714718372,0.016183320432901382,0.0,0.234603613615036,0.19287338852882385,0.013460578626572434,0.015102541661048595,0.0287171620875597,0.027326814830303192,0.06037986425594223,0.06674862802112808,0.0019029142654047695,0.005376416147419605,0.0026886203179396213,0.009444991288856125,0.0014692832298153996,0.0014445286942645907,0.24966426494131316,0.24064996055422974,0.11564356915844666,0.10641320713284973,0.02754078060388565,0.027109650894999504,0.07860520332138046,0.048223104298870466,0.048505672453083765,-9.969204984372482e-05,0.08195886015892029,0.08428201079368591,0.0489480160176754,0.05187126621603966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9886614084243774,0.3840416669845581,4.653609275817871,0.6246263980865479,9.50654411315918,2.937614917755127,4.596772193908691
