Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,-0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.03330491482661667,0.0033133686520159245,0.0,0.0,0.0,0.0,0.0,0.03332563855187706,0.0033208958338946104,0.002501011297105582,3.7966474337736145e-05,0.0024326974362822154,0.00733680184930563,0.004735114984214306,0.005334824789315462,0.0038448229897767305,0.0005549443165755255,0.0003884099132847041,0.024304023012518883,0.022376062348484993,0.01325884572691736,0.01625571478614539,0.0017561189597472548,0.0019468398531898856,0.015027127477728434,0.01896438400375247,0.0029375437492218733,0.0016320508404352927,0.0038239175224333,0.0015228356951777315,0.001957102445885539,0.0018826402956619859,0.01630490623937704,0.01859495975707447,0.0019499536559372187,0.0017984564392459464,0.012614135630428791,0.012508431449532509,0.03560166611905413,0.03475707562729719,0.03476333138900236,0.00035723979817703366,0.010643763467669487,0.011728296056389809,0.008114198222756386,0.007841949351131916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45227617025375366,0.28718385100364685,0.29323798418045044,0.16377972066402435,1.198585867881775,1.4630255699157715,1.0437061786651611
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.06305397711265434,0.03185972571372986,0.0,0.0,0.0,0.0,0.0,0.06307183369754013,0.031819526106119156,0.007862607351432113,7.55538058001548e-05,0.004228434078218355,0.03742154315114021,0.006170949432998896,0.03966093435883522,0.009161176159977913,0.0011584421544533444,0.00047968802391551435,0.03898444399237633,0.03512165695428848,0.013251974668509449,0.016046722641493868,0.004512667655944824,0.004565950483083725,0.028952797486093522,0.03381260294646908,0.0023106683376462626,0.002579729770215621,0.0032268751400554444,0.0030182714329127216,0.0034080068580806255,0.0032688186038285494,0.058369172765491334,0.06091904045424072,0.012299859365527535,0.012005703985267811,0.02809748984873295,0.027943219989538193,0.035601884953571805,0.034279209708706605,0.03429724252321883,0.0005123266601003706,0.018602680414915085,0.020927295088768005,0.013303810730576515,0.013403134420514107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9814812541007996,0.3960067331790924,0.6281433701515198,0.2986754775047302,2.3773601055145264,2.558450698852539,2.5697567462921143
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.08909712120765412,0.07820423692464828,0.0,0.0,0.0,0.0,0.0,0.08912718441400468,0.07810548692941666,0.018127426435220147,0.00015400095435325056,0.007979115382312517,0.08292238414287567,0.0044379387982189655,0.09203347563743591,0.009046525694429874,0.001952772509836843,0.0005196774727664888,0.050011973828077316,0.04514918476343155,0.013343607703745305,0.015674432093235765,0.009181900881230831,0.008910223841667175,0.05383618921498719,0.058843289350096896,0.002153222478401208,0.003570649716685133,0.002610660733149679,0.004942237941805343,0.004475435707718134,0.004362982697784901,0.13325679634600618,0.13561090602997314,0.03756319751912109,0.03860448977314148,0.04636363685131073,0.046196650713682175,0.03589940596140556,0.03405474422958285,0.03408627317340393,0.0005813049501739442,0.02504274994134903,0.029187358915805817,0.015784675255417824,0.01859232224524021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625286340713501,0.5532362461090088,1.0079960823059082,0.4337809085845947,3.4524497985839844,3.2218353748321533,4.317335605621338
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.11359125126879517,0.1312696635723114,0.0,0.0,0.0,0.0,0.0,0.11363891715528579,0.1311839371919632,0.032969333016641844,0.0001809381938073784,0.015246587420140649,0.14161285758018494,0.002052092459052801,0.1428089290857315,0.005788029637187719,0.0025229030052079534,0.0005938627873547375,0.06853680312633514,0.06187962740659714,0.01357446869811873,0.015426022235882863,0.016281815245747566,0.015560155734419823,0.08239232076450714,0.08564763363588059,0.0019545571986250582,0.0043513267742600155,0.0025465417606903053,0.007800090000520249,0.005320592317730188,0.005314352922141552,0.23423756138482665,0.23598455563036866,0.07364799659682983,0.0754148972616623,0.06889563798904419,0.0686989277601242,0.03564563184914608,0.033602586029964576,0.03363910586258505,0.0005070393090136349,0.031511567533016205,0.0373234823346138,0.017546508461236954,0.02488095685839653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3451147079467773,0.768166720867157,1.2755626440048218,0.5884357690811157,4.505934715270996,3.803736925125122,6.063811779022217
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.13707689459458497,0.1828330010175705,0.0,0.0,0.0,0.0,0.0,0.1371379582840799,0.18273739516735077,0.043247458264228746,0.0002449013409204781,0.022828636884195404,0.16905634105205536,0.000783145718742162,0.16745541989803314,0.001119612599723041,0.00397346188699923,0.0002909264003392309,0.10414766520261765,0.09433691948652267,0.013742893332091492,0.015071541588664795,0.022842111065983772,0.021776923909783363,0.09801248313058106,0.0982660308808162,0.0017694361918389372,0.004759115108217879,0.0025421285556023808,0.012428662830551948,0.005137640051543713,0.005314616486430168,0.3209897049153955,0.3212753057406458,0.1115363213073346,0.1142325710941542,0.10004191100597382,0.09977557510137558,0.035713682570204665,0.033540780299952964,0.033595251241534715,0.0003571227134671062,0.03800707310438156,0.04558713361620903,0.02427707612514496,0.037059810012578964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0400266647338867,0.9066139459609985,1.6370025873184204,0.736333429813385,5.785793781280518,4.582822799682617,7.552891254425049
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.13088067608730194,0.19328008592128754,0.0,0.0,0.0,0.0,0.0,0.1309265589185672,0.19325530529022217,0.039200462562510224,0.00043979339534416795,0.024195431383450774,0.1428481936454773,0.00042305683018639684,0.14233775436878204,0.0005029286257922649,0.006605436296925211,0.0001816287694964558,0.12616783380508423,0.11234389245510101,0.0135117942104893,0.014969312552850486,0.022452328354120255,0.021200165152549744,0.08294838744302735,0.07971770461524474,0.0016384243384542929,0.004016984129771929,0.0027096690474416076,0.015961686377607993,0.00440104347121665,0.004694370087236166,0.3193508993755688,0.3171464018364264,0.12279007779869369,0.12378954871369979,0.11949969083070755,0.11904208362102509,0.03511183540074357,0.03342346280244484,0.03350399947793272,0.0003271230962127447,0.036402612924575806,0.04241100326180458,0.02853582799434662,0.041928038001060486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0822107791900635,0.9539560079574585,1.702954649925232,0.7741273045539856,5.899783134460449,4.669933319091797,7.299373149871826
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.12299131844174346,0.1930442750453949,0.0,0.0,0.0,0.0,0.0,0.12301044182182098,0.19297222793102264,0.033880102920033954,0.00045249186223372817,0.02544831072579117,0.11754816770553589,0.00020996246894355863,0.12284603714942932,0.0005312682478688657,0.00616506458165102,0.0,0.139211043715477,0.12404676526784897,0.013390639715261794,0.014727783983080486,0.021563392132520676,0.020554030314087868,0.06736627969687103,0.0649303093720543,0.0015200049808276252,0.0035432204050075866,0.0029542595396004133,0.01897101784979519,0.003972088682074909,0.004316236358135939,0.29793181639382205,0.296691944479433,0.12601316745746155,0.12744896431755492,0.13097472488880157,0.1305132359266281,0.03499077419248148,0.033047964831068026,0.03311220440134618,0.00026034488109871745,0.035434309393167496,0.042072903364896774,0.0327463299036026,0.04678546264767647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.023641586303711,1.0177948474884033,1.7447009086608887,0.758047342300415,5.993315696716309,4.751894950866699,7.20844841003418
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.11696627348318055,0.1957443654537201,0.0,0.0,0.0,0.0,0.0,0.11702518341938294,0.19563591480255127,0.027618376016168938,0.0003391514765098691,0.027232042482498702,0.09622707962989807,0.00010889563418459147,0.10827939957380295,0.0004856575687881559,0.005394914653152227,0.0,0.15038926899433136,0.13486914336681366,0.013291396542413568,0.014796642870482983,0.020056284964084625,0.019219830632209778,0.05442611874582535,0.05434909460684906,0.0014442889034938088,0.0031394859503737975,0.0032818497287950207,0.021914394225490876,0.0038633078155886173,0.004275023005902767,0.2651140100919452,0.26539044901565184,0.12175299313735778,0.12292902876046936,0.13549651205539703,0.1351904422044754,0.03532154118416849,0.03284850332024569,0.03291513425237357,0.000248784723225981,0.035853542387485504,0.0430661216378212,0.03344349563121796,0.04794405400753021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.839881420135498,0.8833503127098083,1.8196723461151123,0.7668532133102417,6.127333164215088,5.1342620849609375,7.031835079193115
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.11176709456471604,0.19239427149295807,0.0,0.0,0.0,0.0,0.0,0.11184037047011078,0.19229328632354736,0.025510742413007086,0.00019244514987803996,0.02758259939164154,0.08201578259468079,0.0001745072368066758,0.09369707107543945,0.00040868652286008,0.0029879531357437372,0.00011563032603589818,0.15714320540428162,0.14366067945957184,0.013303671756611485,0.015105187257444773,0.018288444727659225,0.018014853820204735,0.04964728800491226,0.05300851315344086,0.001538767871782847,0.0028489021404770947,0.005971394732341123,0.025815885676220514,0.0037615552825430395,0.004182538948953152,0.23572725358019103,0.2384961169129486,0.11520890228642212,0.11779902048829559,0.14273478090763092,0.14253383874893188,0.036052638678988363,0.03259669689583724,0.03263412814272634,0.0002597579441498965,0.03697947412729263,0.04714423790574074,0.038264647126197815,0.05392230674624443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.623140573501587,0.8640134930610657,1.8636724948883057,0.7385034561157227,6.408109188079834,5.25490140914917,6.764281749725342
