Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00592458992646637,0.1188751682639122,0.0,0.0,0.0,0.0,0.0,0.0059262955790918255,0.11894069612026215,0.005994698318651647,0.00012396028614602983,0.0071353567600937464,0.009885710664093494,0.00018777840887196362,0.006903546862304211,2.2460244508692995e-05,0.004286686788730545,0.0,0.028969164937734604,0.023025261238217354,0.013162790569944053,0.01638854672016997,0.007596397306770086,0.006784762255847454,0.03419944529181034,0.03650583212378025,0.0029266579853084802,0.002516391800036397,0.001907607874792854,0.0004754165402485015,3.157056198688224e-05,0.00025975130847655237,0.049622715232537765,0.048722203827246784,0.007620232221895361,0.006485336015429802,0.0,0.0,0.09478523955667595,0.06361010338851253,0.06366253832169469,2.7313531973049976e-05,0.009303996339440346,0.010239826515316963,4.0217331843450665e-05,7.97990014689276e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2902224659919739,0.07752852141857147,1.5971359014511108,0.10072815418243408,1.3950467109680176,0.28676384687423706,1.255768060684204
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.010637276242855683,0.23805108666419983,0.0,0.0,0.0,0.0,0.0,0.010624576134068336,0.23815599083900452,0.010983257888744144,0.0002516382955946028,0.012187749165864601,0.018702944740653038,0.00039324178942479193,0.01588456705212593,3.458599530858919e-05,0.008128923635856457,0.0,0.05477822571992874,0.04368817061185837,0.012942414598927955,0.0163857293118953,0.01461077481508255,0.012973422184586525,0.05707659719755936,0.05876029279262711,0.004031502744670348,0.004553616977202167,0.0019972186290690567,0.0006108283853533672,4.6863569878041744e-05,0.0004913532757200301,0.09103533442187103,0.08775716425261108,0.0142777724471735,0.012215318619781666,0.0,0.0,0.1505743116260379,0.09164544422100776,0.09174987818817734,5.144590249983594e-05,0.01841796562075615,0.02038903348147869,9.002880688058212e-05,2.8416336135705933e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5616933703422546,0.15094244480133057,3.024885892868042,0.20116667449474335,3.0398383140563965,0.6249039173126221,2.4026544094085693
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01572212803983652,0.35710299015045166,0.0,0.0,0.0,0.0,0.0,0.01570675481173931,0.35728883743286133,0.015432050381767655,0.0004013826255686581,0.01693818103942154,0.02727021649479866,0.0006458689458668232,0.027276117354631424,0.00013366634084377438,0.012022340802074661,0.0,0.07849288731813431,0.062461379915475845,0.0126975321788899,0.016325840865918536,0.020943449810147285,0.018410898745059967,0.07920049876431885,0.08034462932211608,0.005839457066204691,0.006478368714133815,0.0020959938631461127,0.0007217506247349787,5.8412810176378116e-05,0.0007374640554189682,0.13213613961726167,0.12666367515448104,0.021935530211267394,0.01897253213785801,0.0,0.0,0.2034831881872528,0.11921843292417542,0.11936681418383774,9.201174543704838e-05,0.027323627844452858,0.03025149367749691,0.00014380858920048922,7.180005468399031e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8280307650566101,0.24059997498989105,4.32960844039917,0.3057817816734314,4.756117820739746,0.9812483191490173,3.5393543243408203
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.02104036819916073,0.47630438208580017,0.0,0.0,0.0,0.0,0.0,0.020997855983396492,0.47652220726013184,0.01926126123345684,0.0005593874375335872,0.02161344195369377,0.03558318689465523,0.0007871739799156785,0.043060775846242905,0.0002694645954761654,0.01604518175552326,1.244878785655601e-05,0.10172460973262787,0.08054681122303009,0.012603412701048805,0.016361195712929055,0.026865443214774132,0.0233729500323534,0.1009081162337912,0.10206295397269928,0.007134947110027075,0.008219756230166169,0.0022092784533889777,0.0008315893985775975,4.5510558265959844e-05,0.0009700724622234702,0.17645304874578094,0.1685560859724707,0.03202157299949402,0.02781489616493683,0.0,0.0,0.25382881461115053,0.14518950287246246,0.14538000076927354,0.00013119960203766823,0.035785969346761703,0.03927146643400192,0.00018317827198188752,-0.00011007940338458866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1430150270462036,0.3383978307247162,5.6311798095703125,0.41268086433410645,6.181787014007568,1.2898499965667725,4.959173679351807
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.02701173986331131,0.5942774415016174,0.0,0.0,0.0,0.0,0.0,0.026909803475797044,0.5944592952728271,0.023587983772155686,0.0006808240432292223,0.02713716980765541,0.046770986169576645,0.0009422472212463617,0.06569693237543106,0.00044532548054121435,0.019674593549353105,0.0,0.1261054277420044,0.09840532392263412,0.012586108446994197,0.016340039315079147,0.032038185745477676,0.027578752487897873,0.12422752232421128,0.1262281492680385,0.008187235394447812,0.009800238010402603,0.0023656618452025445,0.0010076756333539747,6.487328209914267e-05,0.0011935974471271038,0.23777566034447264,0.22728918194036804,0.050338600839290315,0.04385198768865951,0.0,0.0,0.3018011867903998,0.1684972078005362,0.16874243322138094,0.00018444746092427522,0.044828709214925766,0.048330411314964294,0.00026135501684620976,-0.00020278870943002403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5086628198623657,0.44450005888938904,6.851622581481934,0.5302708745002747,7.545781135559082,1.5601475238800049,6.412092685699463
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.027899294969004364,0.5952879190444946,0.0,0.0,0.0,0.0,0.0,0.02773807401141693,0.595323383808136,0.024039043275186273,0.0005457013612613082,0.02852484642167881,0.05243781581521034,0.0008245453354902565,0.08347593247890472,0.0004470003768801689,0.018640876484826468,0.0,0.12879547476768494,0.09989740699529648,0.01265327572632434,0.016215699866436215,0.031022649258375168,0.02647804468870163,0.12885247248311982,0.13214065279687393,0.006419912798593664,0.0091498488248143,0.0022440042094665526,0.0011447357202030348,5.07562826445394e-05,0.0011922894045710564,0.27006736508716245,0.2590605132122351,0.06547094332489303,0.05847744255139015,0.0,0.0,0.29498960974130983,0.1642774372956653,0.16452868580653382,0.00018950850062537938,0.04611045867204666,0.04899930953979492,0.00012770395551342517,-2.888217568397522e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.605139136314392,0.44869548082351685,6.910066604614258,0.5315635800361633,7.409369945526123,1.450703501701355,6.463187217712402
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.02918236572277031,0.5964508652687073,0.0,0.0,0.0,0.0,0.0,0.029026661229141007,0.5962982177734375,0.023951729300119896,0.000496532826218754,0.03047094268391819,0.06216050311923027,0.0005978855770081282,0.10084100067615509,0.00020545494044199586,0.018779433042723465,4.249423727742396e-05,0.1408926248550415,0.10888931900262833,0.012715457857020235,0.015928180987221027,0.029548175632953644,0.024757646024227142,0.1333088130110991,0.1378108903933632,0.004582287986247511,0.008324654018978462,0.002111409493644557,0.001439564392599877,0.0,0.0010138629004359245,0.31001528721520266,0.2975071274037036,0.08192540730702896,0.07428653856110046,0.0,0.0,0.2868163138787329,0.15936981436069947,0.15963969525234986,0.00022480323968920857,0.04871533438563347,0.051012203097343445,0.0002882930275518447,0.00020894095359835774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7549582719802856,0.4413793683052063,6.95078182220459,0.49916496872901917,6.936710357666016,1.328587293624878,6.70717191696167
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03109006195917084,0.5934749841690063,0.0,0.0,0.0,0.0,0.0,0.030895009542501337,0.5932261943817139,0.025400798245816574,0.0005237257573753595,0.033367284542325557,0.07962403446435928,0.00041919504292309284,0.11879662424325943,5.576859985012561e-05,0.019941404461860657,0.0,0.15617255866527557,0.12052065879106522,0.012875436295658292,0.015734637446844217,0.02914893627166748,0.023853790014982224,0.13614148648025756,0.14148122069975982,0.003542928384612689,0.007579067834445028,0.0020735488082424466,0.001656196082507856,0.0,0.0010960368672385812,0.36453065347306396,0.3500635258837091,0.10701011207771118,0.0979474033823375,0.0,0.0,0.27682690915659086,0.15628560783411438,0.15657226744978547,0.000269311509327963,0.053872447460889816,0.054733309894800186,0.002270576311275363,0.0027911330107599497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9629000425338745,0.4586249887943268,6.859556198120117,0.5075364112854004,7.026901721954346,1.351920485496521,6.210703372955322
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.033861603570262605,0.579443633556366,0.0,0.0,0.0,0.0,0.0,0.033631700450007324,0.5790808796882629,0.029089705171190566,0.0005816725897602737,0.03679756315559379,0.114118292927742,0.00030502918525598943,0.12556293606758118,-0.0001402812049491331,0.020744794979691505,0.0,0.18013910949230194,0.1405683159828186,0.013245221806309465,0.0155216151663757,0.030365951359272003,0.024577688425779343,0.13756162820295226,0.14197164923036804,0.0028940918359452276,0.007192110531696472,0.0019249050149023057,0.001963642122373438,0.00021186125711966156,0.0013273801887407899,0.4383604556561493,0.4232250075703735,0.13250886731041656,0.12189073779109481,0.0,0.0,0.2691384166387747,0.15695701536611786,0.1572441935670755,0.0002381125814281404,0.06093762069940567,0.05973063409328461,0.006055155303329229,0.006211802363395691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.303025960922241,0.48498421907424927,6.536999702453613,0.53119295835495,7.503139495849609,1.3865317106246948,5.52109956741333
