Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.01761650293515625,3.9896251109894365e-05,0.0,0.0,0.0,0.0,0.0,0.0176702662600737,7.142477988963947e-05,0.003949608706868024,8.42087138153147e-06,0.004937103467503367,0.003271806985139847,0.0035529364831745625,0.0007303046877495944,0.006819707807153463,0.000286001425450191,0.00035262334858998656,0.02875331975519657,0.028429707512259483,0.013169919647801879,0.016393851184309013,0.002218588488176465,0.0023806861136108637,0.013194008979403087,0.017715833402448894,0.00443252509773643,0.0014024373342001104,0.008068354963663121,0.003612495611414728,0.0021770012099295855,0.0021828175522387028,0.012426296030746478,0.01545277704183733,0.0026795873839794634,0.0030266072344598246,0.00011459159577498212,8.496284863213077e-05,0.05780694075847248,0.035034507774710684,0.03501599063969343,0.0006290373858064413,0.018747329711914062,0.021366329863667488,0.0156051991507411,0.016718190163373947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3682544231414795,0.25227969884872437,0.3455274999141693,0.20451955497264862,1.3707252740859985,1.683558702468872,0.648877739906311
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.033676993470076216,0.00034841225715354085,0.0,0.0,0.0,0.0,0.0,0.03376185312627014,0.0003839730052277446,0.008054219054917364,0.0,0.008378503396930113,0.01507605891674757,0.012561263516545296,0.0156477689743042,0.01933518797159195,0.0003839002119342086,0.0006949605885893106,0.05506721884012222,0.0547415092587471,0.013008085573364171,0.016279180435975756,0.0044812411069869995,0.004738746676594019,0.019282979501989365,0.024886418098518145,0.00510499240879281,0.003010312327089181,0.010308924525699939,0.006075502628183737,0.0038432299625128508,0.003854885697364807,0.03774855847525391,0.042581913632961196,0.008695853343312646,0.010019357777708703,8.06041934993118e-05,4.821181209990755e-05,0.08194849641331131,0.035003384751412216,0.03496912584062791,0.0007639923132956028,0.038819778710603714,0.04452751949429512,0.03169699385762215,0.035272907465696335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7035137414932251,0.3765276074409485,0.7807356715202332,0.39654096961021423,3.157238483428955,2.7601871490478516,1.5455505847930908
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.049791754631936185,0.014827737584710121,0.0,0.0,0.0,0.0,0.0,0.04996053274784027,0.014909030869603157,0.01554550968574276,0.0,0.014619837891786079,0.05991839990019798,0.01927255094051361,0.06814642995595932,0.02816275879740715,0.0004978452788845355,0.0009616942261345685,0.08000103384256363,0.08160778880119324,0.012822709187047962,0.016178968159963943,0.008228829130530357,0.00843376200646162,0.03521941416422787,0.041496471350018695,0.003307633131217504,0.005036125369052009,0.004975629264914723,0.005609979463998298,0.004644617438316345,0.004727666266262531,0.11869454716235138,0.12584090008858215,0.029117979313669128,0.032089437603580094,1.1573552910704166e-05,0.0,0.11159432831920318,0.042197432948672925,0.04214502245823201,0.0005330049898475409,0.05887996032834053,0.06848651170730591,0.04579146206378937,0.05339899659156799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0644136667251587,0.506524920463562,1.219732642173767,0.48051971197128296,4.880205154418945,3.448005199432373,2.7567760944366455
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.06585168589632813,0.05058136582374573,0.0,0.0,0.0,0.0,0.0,0.06607879156591506,0.05076579377055168,0.02456107341624092,0.0,0.023935042867695235,0.11211863905191422,0.01849963888525963,0.1276654303073883,0.026573723182082176,0.0007811194863981283,0.0010085683315992355,0.10951157659292221,0.1127297654747963,0.012856448606237686,0.016146356555222462,0.013381336815655231,0.013317224569618702,0.05236221177622208,0.058486605399729844,0.0023774341089315715,0.007457919462969513,0.002777634963873569,0.005347549789140721,0.005580485332757235,0.0058242203667759895,0.22084567920365905,0.23146874382941193,0.058405826054351274,0.06400969749550324,0.00026729298406280577,0.00018505382467992604,0.15326343326301742,0.06260601211332817,0.06254613138653446,0.0005770692368969321,0.07887287437915802,0.09166394919157028,0.056338123977184296,0.06808266788721085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5298423767089844,0.5805233716964722,1.6355667114257812,0.585408091545105,6.922837257385254,4.065054893493652,3.772556781768799
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.07844602580205108,0.10162033885717392,0.0,0.0,0.0,0.0,0.0,0.07869591700619445,0.10184747725725174,0.03418316759168808,0.0,0.03476554733465393,0.15845906734466553,0.01689867302775383,0.18178315460681915,0.018593769520521164,0.0009092014181809831,0.00112225825432688,0.14463868737220764,0.14836135506629944,0.012779288876044896,0.016119380009737606,0.019290568307042122,0.01897335611283779,0.06626815945971695,0.0710818983942344,0.0021483808555190958,0.009442691166814251,0.002798423143927926,0.0055752588413263224,0.006776748690754175,0.007163112051784992,0.32808808166634157,0.3396690606997522,0.09155571934095352,0.09861432877075561,0.00024336815113201737,0.00010504245437914506,0.20178058444493316,0.09645837102332597,0.0964129269433429,0.000609205977525562,0.097979336977005,0.11266445368528366,0.06327702850103378,0.07927356660366058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8293037414550781,0.6334402561187744,2.1117851734161377,0.7777509689331055,9.133302688598633,4.717470169067383,4.73394775390625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.07068450736657975,0.14006347954273224,0.0,0.0,0.0,0.0,0.0,0.07090904021939803,0.14040938019752502,0.03698794187373802,0.0,0.04070782533486679,0.157060444355011,0.010811448097229004,0.18523980677127838,0.006643095053732395,0.0007518930642644704,0.0009812682401388884,0.15787261724472046,0.16103900969028473,0.012850291705535186,0.015984239020028643,0.02082129754126072,0.020273275673389435,0.06941724645992264,0.07601127173627364,0.0019921821398035675,0.009340310810581188,0.0026421965895558654,0.005376400654398613,0.00612424029436657,0.006685719359666109,0.36023348680843015,0.37214721365168824,0.1092562397054129,0.11633226259423873,0.00012792735651601106,0.0,0.22506728174600954,0.12163315263008073,0.12159548997714234,0.000414956797612831,0.09585750848054886,0.10917434096336365,0.05843686684966087,0.07578247785568237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.786623477935791,0.4671589136123657,2.1880264282226562,0.7358976006507874,9.943653106689453,4.348457336425781,4.689850807189941
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.06304491553437194,0.16815023124217987,0.0,0.0,0.0,0.0,0.0,0.06326486931443955,0.16851238906383514,0.038964185404279254,0.0,0.04382919853220672,0.15463769435882568,0.0030235028825700283,0.18862082064151764,0.003950817510485649,0.0006342382416871965,0.0009702426032163203,0.17028747498989105,0.1741754561662674,0.012571486548303663,0.01596654517631589,0.023264959454536438,0.022621311247348785,0.07304365936462998,0.08134668024073716,0.0020834467238250087,0.008328806786338672,0.0025624978836811594,0.006054479451082315,0.005106819557567005,0.005867003928869963,0.3829233608789142,0.39466147649237243,0.1284219848679306,0.13670562525581786,0.0,0.0,0.23981328310175537,0.13152116086538773,0.13147934671776582,0.0001855039590736851,0.09527962654829025,0.10976655781269073,0.05616242438554764,0.07775580137968063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.70645010471344,0.45922908186912537,2.26287841796875,0.7536048889160156,10.461400985717773,3.8569531440734863,4.844369888305664
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.054527539607429044,0.19061881303787231,0.0,0.0,0.0,0.0,0.0,0.05475405035415924,0.19095264375209808,0.04082316480532203,0.0,0.04683770888150078,0.15641272068023682,0.001257483963854611,0.18902137875556946,0.0026185906026512384,0.0003847223415505141,0.0009855431271716952,0.1814449280500412,0.18520218133926392,0.012683905697272567,0.015829011768932914,0.02479635737836361,0.024165380746126175,0.07688126714470153,0.08746258167168747,0.0018217026038285366,0.007902673092462807,0.0025791276142841865,0.008185336485070773,0.004619183652646446,0.005495558492839336,0.40151408385865356,0.41406136080459227,0.14921359804343995,0.15830860246328154,0.0,0.0,0.246036371560842,0.14139842392946655,0.14133626226275087,9.940504969563335e-05,0.09428596496582031,0.11016559600830078,0.058732736855745316,0.0833885595202446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7611596584320068,0.49291670322418213,2.2738771438598633,0.742961049079895,10.659480094909668,3.6223833560943604,4.869319438934326
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.04660110918907326,0.20498043298721313,0.0,0.0,0.0,0.0,0.0,0.04683324264866531,0.20523275434970856,0.04422235962947495,0.0,0.04863505678385727,0.1660381257534027,0.0010872763814404607,0.18758761882781982,0.0018824803410097957,0.0003030502703040838,0.0010910403216257691,0.19205768406391144,0.19580867886543274,0.012743297495498601,0.01596948119303706,0.026351528242230415,0.025801172479987144,0.08273729083970917,0.09401220977390518,0.0017722311399423864,0.007506259605952892,0.0026733161851092697,0.010740064246729469,0.003509685378665662,0.004406718071550131,0.4219165474415802,0.4361756663685913,0.1648111277092813,0.17539305158380036,0.0,0.0,0.24793004094640717,0.14946361628250351,0.1493977636230371,2.4272203518194146e-05,0.09809671342372894,0.11525968462228775,0.0658031478524208,0.09325183182954788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7946281433105469,0.42994898557662964,2.3558006286621094,0.7168534994125366,10.549205780029297,3.6716883182525635,4.8866868019104
