Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.010468481103047753,0.08264753967523575,0.0,0.0,0.0,0.0,0.0,0.01051144667403511,0.08265239000320435,0.003207637748679848,4.873298166785389e-05,0.005324905721911965,0.01687665842473507,0.0028298445977270603,0.028846513479948044,0.0036573007237166166,0.0016233982904332114,0.0,0.01829105243086815,0.019620802253484726,0.013251016178977596,0.016296019444032125,0.003627051366493106,0.003331907093524933,0.020549773021989175,0.023232563185715677,0.001818855094252427,0.0018561084254362845,0.0018856748570868212,0.0014532295772735453,0.00018518583965487778,0.00041093738400377333,0.052937672255204696,0.054460451013192294,0.009767847643458748,0.010417107979264564,0.0,0.0,0.056626189509278335,0.04298420477398674,0.0429970044810384,6.237620254978538e-05,0.009211661294102669,0.012182949110865593,0.0012075514532625675,0.0034627143759280443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2991788685321808,0.0734642744064331,0.8794927597045898,0.1019195094704628,1.4890159368515015,0.6846293807029724,1.4312217235565186
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.02005962691772331,0.1322203129529953,0.0,0.0,0.0,0.0,0.0,0.020149135736209717,0.13222864270210266,0.006899518295119075,9.942647011484951e-05,0.010167410615654602,0.047658734023571014,0.004548897035419941,0.07146881520748138,0.0038914624601602554,0.0027636741678428124,0.0,0.034043315798044205,0.038393933326005936,0.013119558069792349,0.016192231061740055,0.007490165531635284,0.007020656950771809,0.03268924875428963,0.034969236666270984,0.0018098960655842406,0.0033065944434128905,0.001894317052458309,0.002614042976594343,0.00032461874070577323,0.0007747197523713112,0.12458129788803848,0.12642106564125627,0.028159530302588845,0.030346499286168747,0.0,4.4536918721860275e-05,0.07799802721746857,0.05186726007531876,0.05188835557322143,0.00012454319221433252,0.019120778888463974,0.025404665619134903,0.0037367872428148985,0.00924384593963623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6284362077713013,0.14773456752300262,1.6576042175292969,0.20331928133964539,3.1734347343444824,1.3506910800933838,2.7049365043640137
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.031366936339676015,0.13510280847549438,0.0,0.0,0.0,0.0,0.0,0.03151637088570534,0.1350986361503601,0.013295359839665795,0.00015515435370616615,0.017212848555772285,0.09589418768882751,0.004734226502478123,0.12382175028324127,0.003574335016310215,0.0036067391201567555,0.0,0.05090307071805,0.059404488652944565,0.012921154403329069,0.016054787921619237,0.011196989566087723,0.010700765997171402,0.04456532374481621,0.04608652818662377,0.0017819245987909975,0.004703382905254678,0.001759446015308903,0.003626163194213133,0.00048454399802722037,0.0011170381912961602,0.2194904569247339,0.22256752624634277,0.055064879562196654,0.059159352689611054,0.0,9.674968896433711e-05,0.10050776008285217,0.06321204232277886,0.06322634852195438,0.00014874458429403603,0.030861765146255493,0.04022625461220741,0.008568894118070602,0.01730218529701233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0103386640548706,0.2353714555501938,2.347445011138916,0.3115827739238739,4.92878532409668,2.050189733505249,3.9215164184570312
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.047196408107689054,0.09328731149435043,0.0,0.0,0.0,0.0,0.0,0.0474198778939447,0.0932774618268013,0.023935662367709387,0.0001748642243910581,0.02657770420077934,0.1566145122051239,0.003987465985119343,0.17443028092384338,0.002935849828645587,0.003907586657057581,0.0,0.07647225260734558,0.08937392383813858,0.01279961070255275,0.0160836879428501,0.015103047713637352,0.014657815918326378,0.05449729858085045,0.05513816174257004,0.0017398978662109003,0.00608212784623167,0.001674000134240631,0.004287918670589824,0.0007184529094956815,0.0014419520739465952,0.3298577763239441,0.3355297960325903,0.08696176689101928,0.09266588216881257,0.0,9.105312346946448e-05,0.1287990346405046,0.07994081977748413,0.07994387596763779,0.00018899227143265307,0.046959053725004196,0.05855083465576172,0.015556326135993004,0.027095969766378403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4853510856628418,0.3367602825164795,2.9985578060150146,0.42343655228614807,6.699070930480957,2.7135400772094727,5.1067094802856445
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.06997037942544128,0.03263683617115021,0.0,0.0,0.0,0.0,0.0,0.07026428120917068,0.032619696110486984,0.04080521754920189,0.0001724015164654702,0.03792338651369293,0.2250431627035141,0.003222726285457611,0.2168966680765152,0.0025280150584876537,0.003957244534176807,0.0,0.11303308606147766,0.13006865978240967,0.01267391324829064,0.016192029049531365,0.0201462060213089,0.01972930133342743,0.06508396045435158,0.06486366245449326,0.0016889773719727568,0.007500508741404696,0.001755378240146661,0.004683427137842264,0.0010774722322821617,0.0018566199578344822,0.4507781334603937,0.4601752579138788,0.12096273627391785,0.12787620094311128,0.0,0.00011090591578977183,0.1652780443333914,0.10713586513200288,0.1071255505395343,0.00018843844009097666,0.06855838000774384,0.08134520798921585,0.024962713941931725,0.03835134580731392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.100029468536377,0.46263056993484497,3.490049123764038,0.5499006509780884,8.435514450073242,3.618561267852783,6.02882719039917
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0824738590683162,0.00036756432382389903,0.0,0.0,0.0,0.0,0.0,0.08279884064874221,0.00036305576213635504,0.05248550714320824,0.00014522492710966617,0.042773416848977355,0.24859550595283508,0.001637483248487115,0.20909355580806732,0.0015896656550467014,0.0032939093353005888,0.0,0.1233682930469513,0.14216966927051544,0.012670829890839216,0.016244398309638516,0.021657001227140427,0.021126175299286842,0.06772711205383286,0.06748046126092422,0.0016541659273222608,0.007546977481320839,0.0017781724610238282,0.003553292243935876,0.0012484017706359339,0.00201173173263669,0.4847654711376538,0.49587849898532166,0.1319116373589926,0.13849034144355438,0.0,0.00014284685312304646,0.17898313107405062,0.12807864990447954,0.1280590027554245,0.00012785867147613317,0.07567273825407028,0.08672868460416794,0.0279148630797863,0.03940749540925026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3944504261016846,0.576974630355835,3.127072334289551,0.5915542840957642,8.235518455505371,4.360557556152344,5.405869960784912
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.08681282643210372,-3.2364951039198786e-05,0.0,0.0,0.0,0.0,0.0,0.08708210305572296,-3.9725004171486944e-05,0.06204907922694924,8.829496800899506e-05,0.046691935114962765,0.26577332615852356,0.0009774328209459782,0.20688243210315704,0.0012696059420704842,0.002539508686382103,0.0,0.12107580155134201,0.1389501988887787,0.012497604219142384,0.016178795002606536,0.02290290780365467,0.021970713511109352,0.07434985790197968,0.07489327417503472,0.0015430226546390348,0.00761637807870923,0.0018069303434993587,0.0025911998787668013,0.0014167369777158547,0.0020260815508663654,0.5140342972821887,0.5265283190006885,0.1429059582518341,0.14874407966923187,1.9689425243996084e-05,0.00018411829660180956,0.19037854673071503,0.14738831218536835,0.14735501405136872,7.448315591318533e-05,0.07730031758546829,0.08608822524547577,0.031198209151625633,0.04004426300525665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6328115463256836,0.7266810536384583,2.6370136737823486,0.6096611022949219,7.801050186157227,5.136420249938965,5.117480278015137
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.08975718527688935,0.0002925745502579957,0.0,0.0,0.0,0.0,0.0,0.0900014731089238,0.00028250724426470697,0.06754409469619309,0.00011124737648060545,0.05041042246520859,0.2742334306240082,0.0007110394653864205,0.20702043175697327,0.0011676248395815492,0.002362592378631234,0.0002022010157816112,0.10354339331388474,0.1207699179649353,0.01247497888813581,0.016181569597524585,0.023830488324165344,0.022591669112443924,0.08450957389118438,0.08500015733382354,0.001432542466554234,0.007699875739195137,0.0019380027819567089,0.0017516445392124725,0.0016994956467147708,0.002186504192650318,0.5290424532853809,0.5422597460432398,0.14959774997901734,0.1547417562117938,0.0,0.0001227588945766911,0.20683616993024964,0.16122607292677338,0.16118127111284852,7.602512778248638e-05,0.07614908367395401,0.08295438438653946,0.029954461380839348,0.03639867156744003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9132041931152344,1.0680906772613525,2.241787910461426,0.6205974817276001,7.013664245605469,6.2387495040893555,4.42262077331543
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.08525018019704025,-2.1109208319103345e-05,0.0,0.0,0.0,0.0,0.0,0.08543468582016647,-4.814475687453523e-05,0.06830393251975662,4.7009736590553075e-05,0.05236460881442062,0.27260926365852356,0.0006603100919164717,0.21315549314022064,0.001314088236540556,0.0019207852892577648,0.00037558586336672306,0.08119156956672668,0.09501535445451736,0.012527515584687982,0.016267645585043643,0.023989558219909668,0.022527126595377922,0.09236829874948395,0.09370882213199844,0.0012744573263929573,0.007090343516984377,0.0019413890461232037,0.0018915056010340215,0.0020662187413820984,0.0023941933177411556,0.5258317917824769,0.5384220104580993,0.15206935338867889,0.15571600862267976,0.0,5.538061304832809e-05,0.22099026142637238,0.16959778961614838,0.1695629090202234,6.457269137172261e-06,0.07145848870277405,0.07530933618545532,0.02693142183125019,0.029815522953867912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.989628553390503,1.0657103061676025,2.1946558952331543,0.6405891180038452,7.15092658996582,6.18250846862793,4.310482978820801
