Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0062229363192767145,0.0987786129117012,0.0,0.0,0.0,0.0,0.0,0.006241879355774441,0.09875039756298065,0.006829337037167282,5.4364204515877645e-06,0.005789246393808899,0.029783150181174278,0.002050593728199601,0.029628360643982887,0.004815502557903528,0.0017361680664571358,0.0,0.0027318696957081556,0.002400437369942665,0.015301490644227459,0.018524254556884542,0.003547442378476262,0.002843328518792987,0.029020943462305375,0.03076213670077324,0.0028663652095657706,0.002123509763059881,0.0019535872593876838,0.0007555038628563708,4.126638305024244e-05,0.00023707032960373908,0.060889513013528365,0.06187504158054268,0.007457996760719919,0.007487412097361393,0.0,0.0,0.1426049769016562,0.0956629388380889,0.09568822758086618,6.406426837202162e-05,0.009059476666152477,0.011139423586428165,-0.00010202765406575054,0.00011953616194659844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21118107438087463,0.08877556771039963,0.7287306785583496,0.12172041088342667,1.2355064153671265,0.6448014378547668,1.8357013463974
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.012078627380911007,0.20808982849121094,0.0,0.0,0.0,0.0,0.0,0.012105848414284553,0.2080325186252594,0.020159079096207885,2.1539031877182424e-05,0.01176262555626215,0.09341748058795929,0.0038084019906818867,0.0755917951464653,0.00749787176027894,0.0034255115705739926,0.0,0.0019046030938625336,0.0018325711134821177,0.021918863828449632,0.0251482826024757,0.009366834536194801,0.007585784886032343,0.05727335585525322,0.05657046657235314,0.0021738575462003666,0.004326695575284233,0.002044460679710273,0.0009558894019134337,8.306551171699539e-05,0.0004562875838018954,0.16233059580492767,0.16187695564112276,0.020922308256928826,0.021600959352725678,0.0,0.0,0.25400868059404785,0.15753511194061035,0.15756701823095917,0.00010367059439886361,0.018579954281449318,0.02245473861694336,-0.00017657350690569729,0.00019703460566233844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43596625328063965,0.16859067976474762,1.3101783990859985,0.23450294137001038,2.255585193634033,1.1754401922225952,4.207465171813965
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01844724401706421,0.32620126008987427,0.0,0.0,0.0,0.0,0.0,0.018484698199366913,0.3261108100414276,0.04580566838847389,0.00011373496090527624,0.018661979031293373,0.1905863881111145,0.004571353085339069,0.11449195444583893,0.0037572714500129223,0.006127399524272671,0.0,0.0019596798811107874,0.001942852744832635,0.033045852195527345,0.036144216014961816,0.019717255607247353,0.016278624534606934,0.09942599386434021,0.09425753060442657,0.002081111160978967,0.00730780646173151,0.0021638634136946066,0.0010445112895929027,1.1801719665527344e-05,0.0006625394453294575,0.30543585454016664,0.3027284122956134,0.03809139525466911,0.03952886095606003,0.0,0.0,0.3644125104299896,0.21765408816041962,0.21768989859784302,0.00023371982388198376,0.02764574997127056,0.032873161137104034,1.9934177544200793e-05,0.00017650866357143968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6246536374092102,0.21000215411186218,1.8211098909378052,0.33597493171691895,2.9165663719177246,1.4428086280822754,7.260509490966797
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.024815666794589197,0.44982925057411194,0.0,0.0,0.0,0.0,0.0,0.024873055688758812,0.4496556222438812,0.07808317967630218,0.0002218651061411947,0.02610475997093811,0.3006993234157562,0.002075138036161661,0.1437685340642929,0.0025954111479222775,0.009216391224960862,0.0,0.0033110324293375015,0.0029864369425922632,0.03531374336895431,0.03799111058714001,0.03420960530638695,0.028702447190880775,0.15246337724968323,0.14127230491626463,0.0019453681298196317,0.010937919884374352,0.0024113329313842392,0.001130460344276179,0.0,0.000749704078771174,0.45618248955407714,0.4507336236521429,0.05727206747962708,0.060018406568569944,0.0,7.658005051780492e-05,0.46758916078539065,0.2715809286012604,0.2716301560393732,0.0003081474278587848,0.03692210093140602,0.04318211227655411,-4.7143934352789074e-05,0.00011843968241009861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8271320462226868,0.26121366024017334,2.3016109466552734,0.4273328185081482,3.2206826210021973,1.578142523765564,10.860876083374023
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.03076955008343365,0.5772126913070679,0.0,0.0,0.0,0.0,0.0,0.030825735505282746,0.5769739151000977,0.10567882724106017,0.00024012297217268497,0.03555476871083458,0.3896496593952179,0.0011661851312965155,0.17680568993091583,0.0013380933087319136,0.011659333448988419,0.0,0.008088069036602974,0.005963900126516819,0.019237246635311615,0.021827918296591187,0.049182452261447906,0.04154510423541069,0.1955550670729944,0.18034316900671266,0.0018966406383102334,0.015448739227767868,0.002607824195534909,0.0011529880320260786,0.0,0.0009211966535076499,0.5843992002690942,0.5768920898364099,0.07871421899906128,0.082502537636875,0.0,1.896142930490896e-05,0.5599857091807654,0.3181139707962561,0.3181774020505359,0.00029900966910645366,0.04956432431936264,0.056635208427906036,-0.00010703087173169479,0.000383350852644071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2098323106765747,0.3549323081970215,2.8534605503082275,0.5458326935768127,4.11232852935791,1.875140905380249,13.449536323547363
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.030884006869357796,0.582029402256012,0.0,0.0,0.0,0.0,0.0,0.030920151791782875,0.581791877746582,0.10007790492243454,0.00014849774015601724,0.03821666783293083,0.34975025057792664,0.0022773409727960825,0.18138232827186584,0.002286924049258232,0.01121390398384657,0.0,0.03504865616559982,0.03144293650984764,0.013148786411465538,0.015857858695810453,0.04959038272500038,0.04210123419761658,0.17416901963850007,0.15944334264720428,0.001810373683257872,0.01643004209406708,0.00249137599993152,0.0011696980173781144,0.0,0.0010432868730276823,0.5605142723690381,0.5538057200451209,0.08673557835134796,0.08976793273164413,0.0,0.0,0.5377806663743054,0.2944547563455005,0.29454045295550535,0.0002547085168771446,0.059722889214754105,0.06692883372306824,-0.00011124372394988313,0.000862152548506856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.459827184677124,0.4063393473625183,2.9728660583496094,0.5979906916618347,5.105520248413086,2.0092039108276367,11.8505859375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.03196770567428551,0.5728678703308105,0.0,0.0,0.0,0.0,0.0,0.03195630030036713,0.5726202130317688,0.08521024836848022,5.8652458392316476e-06,0.04104191397915573,0.28117379546165466,0.0018412971403449774,0.1848558932542801,0.0025594281032681465,0.010882774078268338,0.0,0.08157516270875931,0.07360289245843887,0.012941268700423687,0.015487797831856484,0.04671132192015648,0.039936162531375885,0.1375865862125647,0.12479915918599244,0.0017127064299506036,0.015460052704910621,0.0023009860845002793,0.0011329835948307478,0.0,0.001210023183375597,0.520739342982262,0.5147150956387195,0.10109121377933045,0.10315615256618926,0.0,0.0,0.5138385445038856,0.2629331081753586,0.2630457371129303,0.0002770191349554807,0.07558208703994751,0.08365195989608765,-3.171205389662646e-05,0.003390631638467312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7009193897247314,0.47006547451019287,3.07462739944458,0.6584545969963074,6.302844047546387,2.2658305168151855,9.872093200683594
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.034369978901290434,0.548704981803894,0.0,0.0,0.0,0.0,0.0,0.03436621455351151,0.5486608743667603,0.07272688992276703,0.0,0.044226317635181964,0.22624140977859497,0.0009566390654072165,0.19018222391605377,0.001593475928530097,0.010624071583151817,0.0,0.12385429441928864,0.11304929852485657,0.013111302301481774,0.015430067746042268,0.0421796478331089,0.036241162568330765,0.1103794649386621,0.1008403524532045,0.0017398308512013426,0.013615262341477662,0.0021669218671592147,0.0014317285991587115,9.724814382714927e-05,0.001786974724382162,0.4960506863557544,0.49206366464332213,0.1276961275644284,0.13049936998990813,0.0,0.0,0.49185404774740354,0.22905727626825745,0.22919179502813936,0.0002716332674026489,0.0930943489074707,0.10227353125810623,0.003848872147500515,0.01732582412660122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93283212184906,0.5302125215530396,3.0999956130981445,0.6943968534469604,7.241946697235107,2.4350438117980957,8.316600799560547
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.038403976691047365,0.5148594379425049,0.0,0.0,0.0,0.0,0.0,0.03838566260916412,0.5148637890815735,0.06521402028401978,0.0,0.048103349824848096,0.1966579407453537,0.0005636691930703819,0.196289524435997,0.00090910674771294,0.009400703012943268,0.0,0.15107132494449615,0.13882261514663696,0.013182174236598704,0.015562745645451646,0.03935420140624046,0.03386232256889343,0.09802548734382523,0.09104571640575637,0.0018547585436621097,0.010675728209981116,0.0019273605050779403,0.002566712604985094,0.00026485033929776253,0.002071988070383668,0.48814362587938537,0.4873379092579956,0.15606992773903594,0.16046761639836793,0.0006263416726142168,0.0009396707755513489,0.46914414166490537,0.19377584752516022,0.19389687777880646,0.00018409192853141576,0.10918593406677246,0.12025757133960724,0.021187279373407364,0.042062677443027496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0706639289855957,0.5777570009231567,3.0082778930664062,0.7107452154159546,7.428624153137207,2.4967567920684814,7.911221504211426
