Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0030832327847332003,0.10631678998470306,0.0,0.0,0.0,0.0,0.0,0.0030946401410337472,0.10631880909204483,0.008492707095107766,1.6245301594608463e-05,0.006153066626259861,0.03398848697543144,0.00304567557759583,0.025260159745812416,5.331516149453819e-05,0.001984487535849435,0.0,0.005000333767384291,0.003828810527920723,0.013622102187249555,0.016457846185564548,0.0075326720252633095,0.006962020881474018,0.042131949930839845,0.046187259975099565,0.0021112023290426403,0.003031034368341532,0.0019154526886011871,0.0004412146572942803,0.0,0.0001053958767442964,0.06788202819006302,0.06859962642823135,0.009992025369071865,0.009654342683461017,0.0,0.0,0.09054905922139267,0.08121731731780807,0.08124989272840913,7.150173360059853e-07,0.007667115423828363,0.00879665557295084,-6.653308901150012e-06,4.129409717279486e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37757009267807007,0.07568150758743286,1.2261428833007812,0.09992221742868423,1.2783012390136719,0.3856028914451599,1.4910836219787598
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.004395043147165075,0.2120433747768402,0.0,0.0,0.0,0.0,0.0,0.004391873029453125,0.21205608546733856,0.01737584393371132,4.5721644710283726e-05,0.011919825356276646,0.0714363306760788,0.0017746550729498267,0.05554285645484924,-1.0854721040232107e-05,0.0037674385047715376,0.0,0.00851717684417963,0.005897932685911655,0.013844621788866009,0.01665361550478239,0.01485310960561037,0.013721847906708717,0.07028186096122552,0.07568660374910523,0.001963177842459032,0.005115825681852569,0.002014020852468338,0.0005597322563259391,0.0,0.00022392738901544362,0.14563301022219452,0.14503371120771974,0.027241732394401932,0.02692796429204338,0.0,0.0,0.14229660482414658,0.11914544407199615,0.11920783813814759,6.376742931024637e-06,0.01432737521827221,0.01638035848736763,-1.0810136700456496e-05,2.9612541766255163e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.795188307762146,0.14694590866565704,2.536964178085327,0.18805336952209473,2.3635993003845215,0.7181254029273987,3.141305446624756
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.005987740530311699,0.31469234824180603,0.0,0.0,0.0,0.0,0.0,0.005963419154917583,0.31472721695899963,0.025938412104713822,4.429897671798244e-05,0.018769239452211837,0.1034376323223114,0.0006683147512376308,0.084898941218853,-0.0001057527115335688,0.005089263563574543,0.0,0.012531806714832783,0.00786920078098774,0.01343858002178365,0.016060927718443082,0.02142159827053547,0.01977437734603882,0.09675004333714905,0.1041287005291626,0.0019201632532629314,0.00687756290627511,0.002028062452405983,0.0006054397783834259,2.4418829980277224e-06,0.0003322926349937916,0.217993411765394,0.21700438633087646,0.04627745618992798,0.04627979850732002,0.0,0.0,0.19314324263251953,0.15057327004375473,0.1506619423505133,-2.0213126845192164e-05,0.01993069425225258,0.02290317788720131,-9.871530346572399e-05,-2.634287056935136e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2447789907455444,0.21779941022396088,3.8963565826416016,0.2707822918891907,3.317936897277832,1.0389347076416016,4.905601501464844
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.007924004297515783,0.4114459156990051,0.0,0.0,0.0,0.0,0.0,0.007860251407792292,0.4114762842655182,0.03416526668644737,1.882612741610501e-05,0.02601778561833992,0.12622621655464172,0.0006796087836846709,0.10938378423452377,-0.00012040138244628906,0.005900768772314368,0.0,0.020694134756922722,0.013831163756549358,0.013419031717114999,0.015812045780589267,0.027426913380622864,0.02520635724067688,0.11947181893631348,0.12891043570029936,0.001962603883877397,0.008455403193285676,0.0021134818639403953,0.000665371016358512,2.664327621459961e-05,0.00041307081119157374,0.2718039251963196,0.27165814414469663,0.06380528788997405,0.06423547988991242,0.0,0.0,0.24535796640844512,0.17631536129855652,0.1764278590670984,-3.0168055673129857e-05,0.02471926435828209,0.028547853231430054,-0.00012045526091242209,-0.00011366487160557881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6530961990356445,0.30044427514076233,5.180814266204834,0.36582446098327637,4.288823127746582,1.511641263961792,6.512881278991699
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.009976579649602432,0.5014268755912781,0.0,0.0,0.0,0.0,0.0,0.00987368772512661,0.5014612078666687,0.040517125949260636,0.0,0.03320372869024952,0.13353031873703003,0.0006234640022739768,0.12635158002376556,-0.00012847423204220831,0.0068425843158187675,0.0,0.034727972000837326,0.02475888282060623,0.013462982760683966,0.01571522891140058,0.0328475758433342,0.030145801603794098,0.14013891519177643,0.1517931700080707,0.0020237901513015426,0.009816859324391766,0.0021426978584588373,0.0008623313659875208,4.794925553142093e-05,0.0004739582655020058,0.29487899620186403,0.29631460904341067,0.07527312364688843,0.07564190891277679,0.0,9.969472739612684e-05,0.2991793274783423,0.19598394934335236,0.19614616039518618,-7.99834742792882e-06,0.029382340610027313,0.03377964347600937,-0.000195100306882523,-0.0002484440919943154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0445563793182373,0.38666650652885437,6.398894309997559,0.4586009681224823,5.389267921447754,2.124741315841675,7.968021392822266
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.010074964601856442,0.4859458804130554,0.0,0.0,0.0,0.0,0.0,0.009949505499811669,0.48596295714378357,0.03608383627004311,0.0,0.033206789406140594,0.10487131029367447,0.0005825513508170843,0.10961025953292847,0.00017689466767478734,0.006670209781989718,0.0,0.049550414085388184,0.03705737739801407,0.013403243966012654,0.015775188246764035,0.03077436052262783,0.027957476675510406,0.13135629224678025,0.14487029012168395,0.002041647446605289,0.009104675023332577,0.0021522911420895664,0.0010609248957678306,0.0,0.00044683783198706806,0.2316548984419217,0.23424259944155945,0.06344923573049835,0.06222755073382042,0.0002949523914139718,0.0005344509845599532,0.2963695168725049,0.17831030782674745,0.17849216162993622,8.923232235247269e-05,0.02990156225860119,0.0336972139775753,-8.522033749613911e-05,-7.061600626911968e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000737428665161,0.38949644565582275,6.139617919921875,0.4579581916332245,5.757855415344238,2.375765323638916,7.586653709411621
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.009113222919220542,0.4705162048339844,0.0,0.0,0.0,0.0,0.0,0.008967277754850636,0.47049546241760254,0.03014809592316391,0.0,0.030632003747327042,0.07432100921869278,0.0007237684912979603,0.08965188264846802,0.00043868779903277755,0.006613146224040318,0.0,0.06289276480674744,0.04814247786998749,0.013363412907246536,0.015446676447727556,0.02787894196808338,0.02512170746922493,0.1189403459781897,0.1336886033583748,0.002139898259608717,0.008395013576845512,0.0021204746165120257,0.0012275216255110168,2.542207630432129e-05,0.00047097980859689415,0.1610726080484088,0.16435733962008087,0.046242386357665255,0.044158175041193466,0.003533540992066264,0.003818873781710863,0.292228385822016,0.1583035841232155,0.15849667933123399,0.00017091393237933517,0.03258630260825157,0.03629837557673454,6.952285912120715e-05,0.00033599615562707186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.958481788635254,0.40222465991973877,5.933620452880859,0.46361321210861206,6.322861671447754,2.6998202800750732,7.004256248474121
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.008385918882035751,0.4615141749382019,0.0,0.0,0.0,0.0,0.0,0.008241887109971409,0.4615175127983093,0.024903214945941315,0.0,0.026208196735385474,0.052715640515089035,0.0019691085908561945,0.066044881939888,0.0013059175107628107,0.006267068441957235,0.0,0.07154860347509384,0.055903371423482895,0.013454877443805744,0.015358095137475984,0.025004105642437935,0.02230839803814888,0.10795127601864105,0.12328350541731964,0.002730454095635006,0.007627403010406284,0.0023231805111423795,0.0015115931770146264,1.931179387391554e-05,0.000509332399815321,0.10396713089577819,0.10753949060872665,0.029264497504351693,0.026676866750991745,0.009953628294169903,0.01020724792033434,0.2857783496101202,0.1344645559981006,0.13464320454685808,0.00023404360399581492,0.03470178693532944,0.039550088346004486,0.0002615693083498627,0.0008672350668348372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9007221460342407,0.4108434319496155,5.7603654861450195,0.46184879541397095,6.558624267578125,2.6867051124572754,7.052765846252441
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.007568270881752185,0.45955368876457214,0.0,0.0,0.0,0.0,0.0,0.007437951756094103,0.4595503509044647,0.021440639244519537,0.0,0.022462657262983247,0.0390310138463974,0.005648409016430378,0.05194129794836044,0.009428629651665688,0.005966991186141968,0.0,0.07213640213012695,0.05758683383464813,0.013555193840611074,0.015368712255889837,0.022962350398302078,0.020341087132692337,0.09881453363136185,0.11430990845049133,0.003468360585860291,0.00708512298829237,0.0032948281352668525,0.0022581579854343893,1.5026414692609944e-05,0.0005996334366500378,0.0691197917104744,0.07362803778706742,0.019357657881510126,0.0167171518546677,0.011503326706588268,0.011805236339569092,0.28123802541772824,0.11728826162294617,0.11746567787054993,0.0002079993428196758,0.03767865523695946,0.04392409324645996,-5.1121711294399574e-05,0.0010183847043663263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8539789915084839,0.4103180766105652,5.726232528686523,0.47386401891708374,6.7605462074279785,2.7097644805908203,6.94418478012085
