Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.013967925677165413,0.08655610680580139,0.0,0.0,0.0,0.0,0.0,0.014010618370638408,0.08656017482280731,0.004361415334976048,0.0,0.0023737122083304354,0.00931849516928196,0.010129760950803757,0.0058736903592944145,0.004027375020086765,0.001130465200588329,0.0,0.001910182647407055,0.0011742294300347567,0.013288761385077822,0.016308688605183405,0.0034149729181081057,0.0031116236932575703,0.03638928082531006,0.04100092758538723,0.005774497830652904,0.0021697157027849223,0.00229334995999289,0.0006370273495488292,6.226527329999954e-05,0.00018554585403762758,0.014186206055449027,0.016591759404882545,0.0005998956278993261,0.00047128650385233357,0.0,0.0,0.06832110137665848,0.04003624565639536,0.04007075449266131,6.391596980392933e-05,0.007558411452919245,0.009998083114624023,-6.8769454628636595e-06,1.1848449503304437e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4098965525627136,0.10324187576770782,0.9172344207763672,0.10041532665491104,1.367127776145935,0.666667103767395,1.3805922269821167
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.026152283321503295,0.16394975781440735,0.0,0.0,0.0,0.0,0.0,0.026211112511736717,0.16393093764781952,0.008207172955314188,0.0,0.002843822894906565,0.02195870503783226,0.01882052794098854,0.022540120407938957,0.007473164703696966,0.0018861666712176276,0.0,0.012872660532593727,0.009560642763972282,0.013197297185815061,0.016188016445102146,0.006790965795516968,0.006180791649967432,0.0631749421196251,0.0701809152606218,0.007573190480958061,0.003933938917609324,0.0025369955563949312,0.0009435787435647094,0.00015295327466446906,0.0003380731795914471,0.035179320751307336,0.0384627521165332,0.0010418307723803612,0.0008541339443023581,0.0,0.0,0.10098455847509796,0.04475086036990875,0.044822764170869576,8.310914563480765e-05,0.017328495159745216,0.0224346574395895,0.0003214170865248889,0.00044407081441022456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571957349777222,0.20888395607471466,1.7315763235092163,0.20781226456165314,2.749497890472412,1.324399709701538,2.7939982414245605
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.03740041836971008,0.22484555840492249,0.0,0.0,0.0,0.0,0.0,0.03748664405260025,0.22477367520332336,0.01259955849962225,0.0,0.003631686470015626,0.04802315682172775,0.022424153983592987,0.05853348970413208,0.009322545491158962,0.0025419147140991593,0.0,0.032253447920084,0.025872424244880676,0.013160675286371201,0.01605946001409214,0.01058599166572094,0.009733209386467934,0.08929971605996552,0.0986737877474472,0.006853755825605536,0.005980657823065834,0.002365425687709184,0.001324330067519169,0.00027138643781654537,0.00048416669596917927,0.0845467928507898,0.08813206627491485,0.010853837448594493,0.01047913754694376,0.0,0.0,0.13645706478274994,0.05190577509107605,0.05201381890738663,0.00010354042024118826,0.03027608059346676,0.038403380662202835,0.0008259887690655887,0.0013623419217765331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.377639889717102,0.31251949071884155,2.440117835998535,0.3284962475299835,4.19662618637085,2.0274171829223633,4.061008453369141
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.04836558301728073,0.273913711309433,0.0,0.0,0.0,0.0,0.0,0.04848263988616081,0.27382221817970276,0.0198210829583485,0.0,0.007240231229250575,0.09928257763385773,0.019571466371417046,0.11147435009479523,0.005744048859924078,0.0030975050521894073,0.0,0.06051737815141678,0.051137376576662064,0.013197870341594248,0.01598775551491084,0.014810104854404926,0.013658429495990276,0.11174262387796768,0.12279601987588608,0.004548411699071527,0.00798464570884964,0.0021411684469932503,0.0017992850528310727,0.0003482943866401911,0.0005160616128705442,0.18445157484212493,0.18767800107447571,0.04399505462481255,0.043703903763098524,0.0,0.0,0.17675631342859435,0.06639260206365127,0.06653615385212112,8.787679689703509e-05,0.04540931433439255,0.05630948022007942,0.001180564402602613,0.0029383711516857147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9951921701431274,0.42833417654037476,3.1969594955444336,0.43920236825942993,5.741677761077881,2.6769304275512695,5.079267501831055
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.060828449977790376,0.31555724143981934,0.0,0.0,0.0,0.0,0.0,0.06097636136001335,0.31550905108451843,0.037504703477022096,0.0,0.014676737792296009,0.17490917444229126,0.010945119895040989,0.154454305768013,0.0016355455154553056,0.0036619307605000543,0.0,0.10192324966192245,0.09157917648553848,0.013182364093081426,0.015832993996124523,0.02119544893503189,0.019679881632328033,0.14013131559956757,0.15145571831167481,0.002821102101310859,0.009417611581202431,0.002030036434176714,0.002347190373165395,0.00027093582320958376,0.0005382595700211823,0.33387897092949465,0.3362625658438715,0.09170198913923233,0.09253665920984634,0.0,0.0,0.218922150125437,0.09280139137306695,0.09297393638018868,6.190300337038934e-05,0.06262724101543427,0.07549518346786499,0.002724939491599798,0.008325164206326008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6747488975524902,0.5378714799880981,4.105532169342041,0.539465606212616,7.469233512878418,3.2451226711273193,5.926852226257324
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.06422016757385132,0.28627845644950867,0.0,0.0,0.0,0.0,0.0,0.06438323313674499,0.28626248240470886,0.05356561036176369,0.0,0.019640241401394157,0.21178844571113586,0.00268567749299109,0.14310221374034882,0.00034096717718057334,0.0034886528437736274,0.0,0.12934814393520355,0.12095215171575546,0.013130624864560944,0.01571468058288915,0.025901829823851585,0.024389715865254402,0.14851655143400178,0.15785890217746246,0.0022483175883841753,0.008664681917503815,0.0020397778362955844,0.0022618625035591053,0.00028034509791755795,0.000616178847849369,0.41373613587726255,0.4160986654301001,0.11627967851671508,0.11818267389012954,0.0,0.0,0.22040923836145754,0.11384392079328493,0.1140015453083725,-2.4433731596218422e-05,0.06855230778455734,0.08125842362642288,0.007678123656660318,0.015065541490912437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7107582092285156,0.5492636561393738,4.214780330657959,0.5522461533546448,7.885371685028076,3.1607532501220703,5.549349784851074
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0696171993387886,0.25417351722717285,0.0,0.0,0.0,0.0,0.0,0.06979907320142532,0.25416478514671326,0.06698992802450897,0.0,0.022859774135453415,0.23358188569545746,0.0009226548718288541,0.12290088832378387,0.0002624082553666085,0.0030537577708994626,0.0,0.1510227769613266,0.14455953240394592,0.012997156684186346,0.015512597555034632,0.03084496222436428,0.029454782605171204,0.1582893804067862,0.1667425304819214,0.002134557706719906,0.007984320810536728,0.0020444807808042485,0.0022774381182860993,0.00036925825088365854,0.0007103594252839684,0.4626589975900348,0.4661029778713855,0.12837225969302674,0.1311809154350705,0.0,0.0,0.2213733494441092,0.12903999086674195,0.12917883094685365,-0.00012423217413015664,0.0730525553226471,0.08583705872297287,0.011822461150586605,0.019258055835962296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6970555782318115,0.5541555881500244,4.3023834228515625,0.559418261051178,8.136480331420898,3.0647072792053223,5.3729472160339355
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.07549284755840256,0.22745518386363983,0.0,0.0,0.0,0.0,0.0,0.0756955164472226,0.2274729311466217,0.07660189963832413,0.0,0.024313521540168342,0.24748966097831726,0.0006415731622837484,0.1047915667295456,0.00031813382520340383,0.0029099511448293924,0.0,0.16985511779785156,0.16488079726696014,0.012974592776813952,0.015504950257441023,0.03500291705131531,0.03371073678135872,0.1667241528773523,0.1737633198275293,0.002082466390910933,0.007251108177729635,0.0021443767085871854,0.002429607559492476,0.000489611579648757,0.0008900017128325999,0.49016091298691894,0.49359946772292723,0.1341910519905072,0.13723555911687652,0.0,0.0,0.22564146515920777,0.1393042221858638,0.13944232467501283,-0.00019147574494127184,0.07683172076940536,0.08972302079200745,0.013281003572046757,0.02021956443786621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6819872856140137,0.5897103548049927,4.294551849365234,0.582931637763977,8.219229698181152,3.1595137119293213,5.2088775634765625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.07968234641579788,0.21131004393100739,0.0,0.0,0.0,0.0,0.0,0.07988258021456421,0.21127992868423462,0.08259507742723114,0.0,0.024820102920236512,0.2544216513633728,0.0005489184986799955,0.09357282519340515,0.0002585506299510598,0.002925851847976446,0.0,0.1826097071170807,0.17700187861919403,0.013055852334682178,0.015624544937322203,0.038109418004751205,0.036866940557956696,0.17261769769624602,0.17906329184854736,0.002087573413039872,0.006732315645286236,0.00222784778293264,0.002420163526349223,0.0005855135201985001,0.0009511999669484794,0.5033016234875702,0.5064287405377502,0.1348651283253549,0.13749348290685182,0.0,0.0002969932684209198,0.23354596494714722,0.14315603670553437,0.14328696133021332,-0.00018031001673080027,0.0780148059129715,0.09049072116613388,0.011128305457532406,0.016775056719779968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7017569541931152,0.6456208825111389,4.1136474609375,0.5896978378295898,8.390052795410156,3.456974983215332,4.83737325668335
