Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.015183439472779656,0.10685594379901886,0.0,0.0,0.0,0.0,0.0,0.015237210248277702,0.106944739818573,0.007678864809683294,0.0003815461532212794,0.002362411220067916,0.05250827595591545,0.009641280397772789,0.02346453256905079,0.005796407349407673,0.006880770336322708,0.0,0.009142477065324783,0.003876459551975131,0.01435911361989726,0.01764814206506081,0.006993885152041912,0.005678466521203518,0.031687044321947404,0.029162204611325265,0.002437587905087781,0.00481985357708272,0.001948662898550362,0.00044653803016923496,0.00034290278563275933,0.0006229598657228053,0.08055734333174087,0.07793553919230377,0.0042314217847227095,0.0033020412292894792,0.0,0.0,0.06241159141982178,0.03580863581710498,0.03583016684791664,0.00013932162255514413,0.009519543498754501,0.01065276749432087,9.830422641243786e-05,-0.0002753213339019567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29402226209640503,0.10932283103466034,0.7885371446609497,0.14534813165664673,1.5570052862167358,0.33587008714675903,1.6189594268798828
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.029286971683982504,0.21875829994678497,0.0,0.0,0.0,0.0,0.0,0.029344007146937218,0.21886217594146729,0.021406442261228828,0.0006576601299457252,0.004659638991402402,0.12335693836212158,0.007592997048050165,0.050624676048755646,0.0010320578003302217,0.012337756615058728,0.0,0.03537476062774658,0.02524225413799286,0.013542273095498915,0.016767744342377152,0.01762360706925392,0.01493416540324688,0.058881887777355195,0.05114249136478592,0.0022160641539593655,0.009024770929383507,0.0022139407682264115,0.0003664523176409298,0.0005788755370303988,0.0011400821385905147,0.19785959835219177,0.19147170485338777,0.01639326981276741,0.015280100978487664,0.0,0.0,0.10135464371450836,0.04878699075351948,0.04883483011047481,0.00028914178255945444,0.022544890642166138,0.024665750563144684,0.00034396833507344127,-0.0003090464451815933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5966500043869019,0.2109624594449997,1.4944803714752197,0.2907039225101471,3.1777050495147705,0.625666618347168,3.2607970237731934
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.04276728018993103,0.33363476395606995,0.0,0.0,0.0,0.0,0.0,0.04282222461018501,0.3337152302265167,0.03993773267136803,0.0006920763989910483,0.009594331406532507,0.19589582085609436,0.0023705046623945236,0.07173969596624374,0.0004382584011182189,0.014714390171290627,0.0,0.07678521424531937,0.06551844626665115,0.013135777963497616,0.016295729315332238,0.029438549652695656,0.025465555489063263,0.08671390265683594,0.07418030950886459,0.002068109897837335,0.012732886187414246,0.002352594711079554,0.0002771069014222133,0.0006876568077132106,0.0015817172825336456,0.33135710989027956,0.3234859980595447,0.03900609930926315,0.038756530046092606,0.0,0.0,0.148069584404599,0.07881475763621346,0.07887655569875893,0.00039223104249686003,0.039009518921375275,0.042752135545015335,0.00025126064429059625,0.00011254200944676995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9251711368560791,0.31447628140449524,2.1125993728637695,0.43248042464256287,5.102113723754883,0.8881781697273254,4.704031944274902
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.05584595103543106,0.4495578408241272,0.0,0.0,0.0,0.0,0.0,0.055913688786049805,0.4496495723724365,0.06037317567444633,0.0007349303341470659,0.015822352456187152,0.2646186053752899,0.0005964138545095921,0.08861571550369263,0.00028270063921809196,0.01696366139183479,0.0,0.1328253448009491,0.12260092794895172,0.013019069765926256,0.016283537554667726,0.04169498756527901,0.036464396864175797,0.11805132104202637,0.09998313184964859,0.0020355359293185177,0.016581336080482217,0.0023703673691635764,0.00018460098842417122,0.0007850020192563534,0.0020268119405955076,0.47484082953134155,0.46677761450259153,0.07598031144572967,0.0770131734595726,0.0,0.0,0.19801812468500304,0.11907946471118469,0.11915874034084488,0.00036378216464072466,0.060262035578489304,0.06648750603199005,0.00014023957191966474,0.0011310382978990674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2784554958343506,0.42559266090393066,2.7629103660583496,0.5977823734283447,7.640357971191406,1.169581651687622,5.616450309753418
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.06868043805495407,0.5585359334945679,0.0,0.0,0.0,0.0,0.0,0.06880965220516906,0.5587314367294312,0.0832120261341304,0.0007921315263956785,0.023814816221100883,0.31636449694633484,0.00011545691813807935,0.10063626617193222,0.00019819509179797024,0.01957745660482071,0.0,0.20250475406646729,0.19295282661914825,0.012898607264942123,0.016276689705815906,0.05354748293757439,0.04706520959734917,0.14904450477231232,0.12488933953941606,0.002017868656852985,0.01961958728444187,0.002334806313398281,0.00025645623454624057,0.0008345095557160676,0.00250218715518713,0.6201613910878808,0.6116821885035547,0.12609457697978943,0.12932322290432344,0.0,0.0,0.25336388944619204,0.16549998823800569,0.1656057834935596,0.0003419408167246729,0.08743485808372498,0.09677615761756897,0.000517640495672822,0.005812928080558777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6628178358078003,0.531639814376831,3.466132640838623,0.7656358480453491,10.447447776794434,1.4666111469268799,6.226446628570557
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.06774725752727387,0.5491881370544434,0.0,0.0,0.0,0.0,0.0,0.0679171776243167,0.5495583415031433,0.08793228135771439,0.0007266399916261435,0.027815107839306144,0.2860385775566101,7.463488873327151e-05,0.09146583825349808,0.00018228840781375766,0.019002419633582495,0.0,0.2307616025209427,0.22239269316196442,0.012935506695202478,0.016188138087884316,0.05348372831940651,0.047434642910957336,0.14916110116144166,0.1253900095435475,0.002066358257581392,0.017399520954564554,0.0021333016930718852,0.00039558964917320793,0.000616767624660821,0.0025536948814988136,0.6351584207188,0.6276106946010901,0.15597346621069244,0.16113468243552825,0.0,0.0,0.27132920327101107,0.17949125465368226,0.1796240687353821,0.00037221162347123027,0.09882480651140213,0.1096927672624588,0.004030441399663687,0.018146757036447525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7862507104873657,0.5488848090171814,3.532167673110962,0.7749284505844116,11.000666618347168,1.491537094116211,5.4952521324157715
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0669979998840042,0.5373482704162598,0.0,0.0,0.0,0.0,0.0,0.06713365779519821,0.5378121733665466,0.09091716958830597,0.0007015384035184979,0.03211781715641708,0.2492806315422058,4.434976654010825e-05,0.08357180655002594,0.0002131260553142056,0.01863511902185135,0.0,0.24700166285037994,0.23672789335250854,0.013049023493558205,0.015794700303349715,0.0522274523973465,0.04658450931310654,0.14816837761347412,0.12651107163916703,0.002137168320311875,0.014903627513448581,0.002055892385450376,0.0008026145338552484,0.0006740049543612349,0.002778461202979088,0.6375539563245471,0.6315879427189502,0.1842209624813797,0.19017464240383575,0.0,0.0,0.29543645681543945,0.1911923169737671,0.19133903976815034,0.00039725573151372373,0.10742224007844925,0.11852965503931046,0.01578429900109768,0.03414279222488403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8840053081512451,0.5755833983421326,3.7560014724731445,0.786788284778595,11.01523494720459,1.520019769668579,5.04996919631958
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.06633194148197129,0.5276609659194946,0.0,0.0,0.0,0.0,0.0,0.06641236869493759,0.5281354784965515,0.09053309954658066,0.0006509318482130766,0.03613220058977944,0.22177520394325256,5.8888530475087464e-05,0.08225090056657791,0.00016248266911134124,0.018534986302256584,0.0,0.2498370110988617,0.23708473145961761,0.013183145863663813,0.015745219488185185,0.05015584081411362,0.04482267051935196,0.14878105373623138,0.13034367559096466,0.002123011169950852,0.012726323325910359,0.001985001335400409,0.00115781201984141,0.0007893020455572546,0.0028877935837954283,0.632385046001598,0.6276961497946131,0.20552747038078126,0.2114734720101718,0.0,0.0,0.3214044630248846,0.20235849322821076,0.20251914862482667,0.0003919306327588856,0.11446624994277954,0.12464696168899536,0.029072051867842674,0.04848315194249153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0318551063537598,0.5929682850837708,4.028866291046143,0.812437117099762,10.794391632080078,1.5293680429458618,4.805502414703369
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0648185498836438,0.5150665044784546,0.0,0.0,0.0,0.0,0.0,0.0648132296143216,0.5154929161071777,0.08857401934465058,0.000729943800251931,0.03932788835972778,0.20424765348434448,-1.220367835230718e-06,0.08599048852920532,0.0001737023558234796,0.019918549805879593,0.0,0.24401310086250305,0.22630339860916138,0.013410877840678487,0.01573850715912558,0.04833420738577843,0.04295487701892853,0.150896483640231,0.13473198711956252,0.002027742165840545,0.011067371704348716,0.0019969060142552004,0.0013727929784548344,0.0009647604126060366,0.0029659676365554333,0.6203435391427063,0.6151665668851013,0.21815375320805297,0.22235583432439332,0.0,0.0,0.3476887106804083,0.21395151314214936,0.21412785650614716,0.00036576419370248914,0.1178978830575943,0.1257266104221344,0.03742935508489609,0.055533796548843384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1049296855926514,0.6100423336029053,4.307583808898926,0.8266298174858093,10.290048599243164,1.6029289960861206,4.789720058441162
