Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.004922507790938044,0.052711836993694305,0.0,0.0,0.0,0.0,0.0,0.004961502435297885,0.05265461280941963,0.009004608548245164,0.0,0.0052209894475283005,0.03368286043405533,0.00014164495223667473,0.014208421111106873,3.0154824344208464e-05,0.0009766383599007858,0.0,0.03189386799931526,0.03071848675608635,0.013185215391453101,0.01633086063900656,0.0074178664945065975,0.007342861033976078,0.034294360100679704,0.03673151579799652,0.0021019794124823928,0.002101155576547351,0.001961770259705924,0.0006093359279841608,0.0,1.4320254194899462e-05,0.081600446967052,0.08312968910370742,0.008796999738776588,0.00888975944599182,0.0,0.0,0.12517332286561111,0.08419254649170677,0.08422733845003541,3.126120282104239e-05,0.012178054079413414,0.015063988976180553,-2.740681156865321e-05,0.00015457058907486498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25931280851364136,0.07657847553491592,0.7386833429336548,0.1413435935974121,1.4338276386260986,0.7703272700309753,1.497883677482605
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.00931851043868412,0.12313051521778107,0.0,0.0,0.0,0.0,0.0,0.009373314452750053,0.12301398813724518,0.02601337838817623,0.0,0.009603104572566166,0.09565214812755585,0.0002467324666213244,0.03403056412935257,0.00014248001389205456,0.0019900736323755453,0.0,0.0587533600628376,0.056870318949222565,0.013024687373235012,0.01627613261372873,0.017725303769111633,0.01729409769177437,0.07018530888726998,0.07133969661028076,0.0021135533908599484,0.003941024885418286,0.002097919832405996,0.0008890959654960775,0.0,7.686734170420095e-05,0.19415902908015045,0.1944650352128467,0.022874231850807572,0.023440006650561028,0.0,0.0,0.21451124550112183,0.13386948261331313,0.13393780734161972,6.347846647258848e-05,0.023807823657989502,0.029118727892637253,7.695340900681913e-05,0.000359967234544456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5036733150482178,0.14742806553840637,1.4495649337768555,0.2697189152240753,2.8557322025299072,1.3278751373291016,3.285137176513672
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.016028874030947323,0.1992347240447998,0.0,0.0,0.0,0.0,0.0,0.016105782762801037,0.1990256905555725,0.050421329145300293,0.0,0.015766576309232692,0.17245697975158691,0.00026904273545369506,0.05843006446957588,0.00015909505600575358,0.0025122437081944848,0.0,0.07940836250782013,0.07853482663631439,0.012914179573953674,0.01616083464004808,0.0302552729845047,0.02899824269115925,0.11256400496224823,0.11254284236294479,0.0020229115036188754,0.005900175720135288,0.0021777068252743347,0.0012646031284481991,0.0,0.0001848485553637147,0.31524484191924074,0.31566512360695376,0.04298252632790558,0.04423594778739128,0.0,1.674556733632926e-05,0.3021254480234497,0.1842393517703058,0.18431669174397644,9.325217979494482e-05,0.03510989993810654,0.04284745827317238,-1.3065576240478549e-05,0.0004668538458645344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8415916562080383,0.2070440798997879,2.053938150405884,0.38887113332748413,3.8412351608276367,1.6226780414581299,5.800781726837158
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.022525937601736223,0.28052380681037903,0.0,0.0,0.0,0.0,0.0,0.02262139896275612,0.280234158039093,0.07124879189706634,0.0,0.02213829437855377,0.23172703385353088,0.00025306580937467515,0.09325401484966278,0.0002689104003366083,0.0034828081024690246,0.0,0.09704098850488663,0.09719940274953842,0.012825969772586982,0.016180921290182903,0.04259800538420677,0.04079173132777214,0.15071749759956726,0.1501578375338336,0.0018803580597173423,0.008075998208871098,0.002316985472585801,0.0013044758136596273,0.0,0.0003182032087352127,0.41247601286569213,0.4127060689017004,0.06733079832031005,0.06942050284008484,0.0,5.2949901146348566e-05,0.3879665046784418,0.2313385993614151,0.23143832683481386,0.00010526180267333984,0.046308573335409164,0.057039160281419754,-0.0001247463223990053,0.0003537502489052713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23099684715271,0.2926254868507385,2.7087042331695557,0.507676899433136,5.227382659912109,2.166069269180298,7.501341342926025
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.027880349038397333,0.3679666519165039,0.0,0.0,0.0,0.0,0.0,0.028009274478614198,0.36758413910865784,0.0829184807091922,0.0,0.028916089057428436,0.2681211531162262,0.00039351373561657965,0.14117968082427979,0.0006183523219078779,0.004672788981479626,0.0,0.11633250117301941,0.11700429767370224,0.012856681934790552,0.016154431106084766,0.05176626518368721,0.04925345256924629,0.17200720907319275,0.17064486745298646,0.0019193941002727992,0.010255520638938828,0.0025368732187291475,0.0014720210200714432,5.639731898554601e-05,0.0006072500254958868,0.4795617528642328,0.4787430882380518,0.09707618978134125,0.09988312539350876,0.0,0.0001845717488322407,0.469709914913111,0.2725405276218939,0.2726720571828296,0.0001653480576351285,0.06091369688510895,0.07433085143566132,-5.0997732614632696e-05,0.0009494733531028032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6175390481948853,0.3531990647315979,3.3926925659179688,0.6370213031768799,6.598773002624512,2.678463935852051,9.166345596313477
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0266615523661792,0.3833072781562805,0.0,0.0,0.0,0.0,0.0,0.026731221176000138,0.38287901878356934,0.07412678764528915,0.0,0.03133866994281605,0.23953485488891602,0.0004601091204676777,0.1582532525062561,0.0013571568997576833,0.004603135136679077,0.0,0.11428233981132507,0.11369380354881287,0.012909165298469291,0.016041713093429597,0.04755866900086403,0.045157209038734436,0.1514779039015387,0.15207008417571533,0.0018487376104182618,0.010106628170684319,0.0024392743808555363,0.0015505112197331714,8.980244684022413e-06,0.000624762149527669,0.44518038741458554,0.44497330112651123,0.10794008719238571,0.11037889106942794,0.0,0.00023366212553810328,0.46061744692240114,0.262604358758678,0.262767630813858,0.00022416948922909796,0.06614040583372116,0.07945170998573303,0.00010156392818316817,0.0016349888173863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6653575897216797,0.3637893795967102,3.5126452445983887,0.6382968425750732,6.816954612731934,2.7921786308288574,8.552979469299316
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.025538588501329042,0.39704224467277527,0.0,0.0,0.0,0.0,0.0,0.02557448686362053,0.3966815173625946,0.06831607921669723,0.0,0.03525313323031158,0.2146008312702179,0.000422395474743098,0.1688109189271927,0.005305805243551731,0.0041927361758237365,0.0,0.1143854558467865,0.11186724901199341,0.01274848432539279,0.015746905792884833,0.044155754148960114,0.041867658495903015,0.13880721483175873,0.14264532627354737,0.0018779662593237025,0.009791826075415,0.002315693530598607,0.001812037834129896,3.021637576131068e-05,0.0006706651765853167,0.42623543363282046,0.42774971353956787,0.12017946715819855,0.12249780764173934,0.0,6.720543024130166e-05,0.4484169036309302,0.2517512768154953,0.2519278466357498,0.0002901613770518452,0.07179930806159973,0.08473209291696548,0.00026850224821828306,0.002866455353796482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7328776121139526,0.3706577718257904,3.7136363983154297,0.6610497236251831,7.202174663543701,2.780402660369873,7.957986831665039
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.023007131960534593,0.4019879102706909,0.0,0.0,0.0,0.0,0.0,0.023035943413770563,0.4016648530960083,0.06373332388654267,0.0,0.038234281322363436,0.19619479775428772,0.000296573038212955,0.17692157626152039,0.007096991408616304,0.0036528336349874735,0.0,0.11709444969892502,0.11311923712491989,0.012905747331174498,0.015667139705460513,0.04095207154750824,0.03862293064594269,0.13387771697284942,0.14038740096232544,0.0018272410773163682,0.00860462023017624,0.0022513235320945,0.003552065582511611,4.659194466292635e-05,0.0007524639368057251,0.42046740722291137,0.4235593311472284,0.13149967876148042,0.1345861177554492,0.0,6.432295049307868e-05,0.43693301674917356,0.24080603720690186,0.24098256234018922,0.00025698839453980327,0.07470500469207764,0.08757773041725159,0.0005568957421928644,0.005710731726139784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8061003684997559,0.3884485363960266,3.7684688568115234,0.6669615507125854,7.317441940307617,2.6884942054748535,7.943938732147217
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.021752953511754686,0.40153929591178894,0.0,0.0,0.0,0.0,0.0,0.021815122464124564,0.4012894034385681,0.059243676336609194,0.0,0.04012988003105156,0.18681274354457855,0.00020170569769106805,0.17744359374046326,0.0024614178109914064,0.0032977897208184004,0.0,0.12751656770706177,0.12124694138765335,0.013096726219836902,0.015700434164768372,0.03855719044804573,0.036221351474523544,0.12953737525180709,0.13860133439386596,0.0018456223565166232,0.007961297296651992,0.0024112119483556123,0.005961967328712797,0.0,0.0007426682277582586,0.4203042119980835,0.4246264915829773,0.14131433598889098,0.14503034122708802,0.0,8.507728489348665e-05,0.4239116668609808,0.22470784184412232,0.2248730689418695,0.0001865965168690309,0.07813924551010132,0.09196849167346954,0.002249310025945306,0.012303965166211128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8860951662063599,0.40132996439933777,3.676542282104492,0.655424952507019,7.5142059326171875,2.6006975173950195,7.848691940307617
