Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.018184995273217583,4.468424594961107e-05,0.0,0.0,0.0,0.0,0.0,0.01823403679268173,-3.0390619940590113e-06,0.004805921397170753,0.0,0.007838358620622932,0.014214831404387951,0.00016616193170193583,0.036303967237472534,0.0007389656384475529,0.0004087325658865628,0.0,0.03165241330862045,0.03178677707910538,0.013228264371385893,0.01633774502095285,0.0033296681940555573,0.0034279958344995975,0.017538934263788768,0.02047238198223114,0.0017092405117820416,0.0010341957060338222,0.0018930829388153205,0.0018453783141378736,0.0007643427234143019,0.0007256308454088867,0.05554780435340263,0.05774167925749695,0.0303352331232666,0.030301893616524047,0.004799806047230959,0.004805487580597401,0.045325978668278255,0.034909359542964986,0.034911028715613156,1.1642694516922347e-05,0.021361608058214188,0.023623809218406677,0.01890585571527481,0.019618254154920578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40774840116500854,0.07663454860448837,0.46425867080688477,0.14832624793052673,2.234638214111328,0.7597180008888245,0.839051365852356
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.032441854845169676,0.0001366430806228891,0.0,0.0,0.0,0.0,0.0,0.03252761974690613,3.9861799450591207e-05,0.008594843893239765,0.0,0.013546976279290333,0.02520006336271763,0.00035354142892174423,0.07594648748636246,0.004088354296982288,0.0005911794241249782,0.0,0.05999277904629707,0.060701869428157806,0.013054681631746591,0.016285247922513842,0.006094672717154026,0.006228900048881769,0.024822567200866223,0.028241354005345595,0.001576684081715854,0.0014734491695635225,0.0020057522577847245,0.0047265065589014435,0.0014261731412261724,0.0013814324047416449,0.09929378892349991,0.10159911365589706,0.05935821629137268,0.059840825847858124,0.006656861398369074,0.006666769273579121,0.05496172608145172,0.03460985245482776,0.034622715224879884,2.1571755496552214e-05,0.041312217712402344,0.04611699655652046,0.03839922696352005,0.04066048935055733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8330733180046082,0.16190989315509796,0.9301161766052246,0.2894818186759949,4.3460612297058105,1.5220515727996826,1.8001772165298462
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.045100813208758465,0.00023071668692864478,0.0,0.0,0.0,0.0,0.0,0.04521945264253555,8.748382970225066e-05,0.011669836868512536,0.0,0.019567859735815506,0.03426118940114975,0.0005323594086803496,0.11823670566082001,0.010188745334744453,0.0007006566601984853,0.0,0.08497416228055954,0.0861557349562645,0.012857408308945537,0.016185437963302348,0.008589889854192734,0.008707997389137745,0.03251359239677849,0.03674175295693131,0.0013984079998324754,0.0017864130806723405,0.0021171334303983613,0.008439692279581051,0.00216690287925303,0.0021738712675869465,0.13923488889723756,0.1413541264784671,0.08681942542963975,0.08811587026678237,0.005302564240992069,0.005317911971360445,0.06422521140195064,0.03450661891598791,0.034539325451720976,-2.476573115473002e-07,0.059720251709222794,0.06699267774820328,0.05823228135704994,0.06223459914326668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.300466775894165,0.24971286952495575,1.3783719539642334,0.4172694981098175,6.243910312652588,2.3099043369293213,2.9609289169311523
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0566862982956678,0.00045156507985666394,0.0,0.0,0.0,0.0,0.0,0.05681071633817764,0.00023789428814779967,0.014455087268121948,0.0,0.025045618960892104,0.04231676086783409,0.0007759217987768352,0.16092553734779358,0.01907428912818432,0.0008438367276332057,0.0,0.10809437930583954,0.10831265151500702,0.01278775510442109,0.016180222900115348,0.010578205808997154,0.010589255951344967,0.03987703917666802,0.045261541718127365,0.0012418718825224788,0.0020349808478858184,0.002263666120139677,0.012336003467927474,0.003006313694640994,0.0030164136551320553,0.17695609704652404,0.17850284948794312,0.11263640802337402,0.11426720148186188,0.002541224705055356,0.0025650381576269865,0.07379419951172042,0.034448126090218856,0.03449654728674438,-5.8177705795969814e-05,0.07731105387210846,0.08662673085927963,0.07816876471042633,0.08379065990447998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7479387521743774,0.34190329909324646,1.784672498703003,0.5607670545578003,8.193000793457031,3.043269157409668,4.149814128875732
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.06723339374200012,0.0005487743765115738,0.0,0.0,0.0,0.0,0.0,0.06736636298483596,0.0002707591629587114,0.01673884011804764,0.0,0.030663971051079826,0.050164856016635895,0.0009711393504403532,0.20472900569438934,0.02999034710228443,0.0008948976422110904,0.0,0.12780649960041046,0.1281542032957077,0.012751275013142598,0.01614014081974029,0.012349804863333702,0.012336110696196556,0.04843355194795815,0.05525468963683388,0.001075771349437306,0.002168615057062192,0.0025024997905222566,0.01631994461413273,0.003666081465780735,0.0037550986744463444,0.21377497095715117,0.21491871475439392,0.13545164194217651,0.13754309084904084,0.0019073471194133162,0.0019325322937220335,0.08433270527952216,0.03462270827047039,0.03469315331505961,-0.00010312959784641862,0.09269081056118011,0.10397067666053772,0.09662815183401108,0.10391195118427277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2516210079193115,0.4199962615966797,2.209484815597534,0.6845976710319519,10.006153106689453,3.758211135864258,5.485525608062744
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.06396642315046189,0.0005261377082206309,0.0,0.0,0.0,0.0,0.0,0.06407986039599944,0.000229248107643798,0.016001694065996858,0.0,0.03030839993258312,0.04853297397494316,0.0010555892949923873,0.2078961730003357,0.03465089201927185,0.0009544621270860374,0.0,0.11926303058862686,0.11865955591201782,0.012752279332334568,0.01614262965056,0.011832348071038723,0.01168406754732132,0.05049476477404579,0.05782047804320801,0.0010667505006146671,0.00200080661240999,0.0025412955011113493,0.016485834722601584,0.0035238451736862375,0.003618510439991951,0.20903475693572662,0.20952382309630646,0.12912164824518493,0.13094843162967346,0.0009705271804705262,0.001013240311294794,0.08597034739766472,0.03480248177204586,0.034874658983415484,-0.00014132619253359735,0.08823754638433456,0.09875883907079697,0.09342190623283386,0.10087092220783234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.293490171432495,0.4300788640975952,2.1611506938934326,0.683867335319519,9.73133659362793,3.6835529804229736,5.833712100982666
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.061329814232701875,0.0004737678973469883,0.0,0.0,0.0,0.0,0.0,0.06143203393817688,0.00014650374941993505,0.015447807038822193,0.0,0.03010778462181778,0.048286210745573044,0.0010917766485363245,0.21075968444347382,0.038639362901449203,0.0008494859807936132,0.0,0.10903759300708771,0.10880633443593979,0.012560869776543266,0.01602606587109233,0.011173523962497711,0.01091763749718666,0.053746551310468904,0.06127752067338104,0.0010329252206223917,0.0018135124729078864,0.002533150657890316,0.01614651392137226,0.0033381907237515496,0.0034839618019759655,0.2070207111186679,0.207614441990343,0.12256034489142914,0.1243122624356694,0.0007013895083218813,0.0007781417807564139,0.08763914929433464,0.0345257460486133,0.034605404187983156,-0.00013465940719470382,0.08376304805278778,0.09374485909938812,0.08816982060670853,0.09551726281642914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.293402910232544,0.4094238877296448,2.142996311187744,0.6812159419059753,9.543642044067383,3.670336961746216,6.064232349395752
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.059878453459882276,0.0005274478462524712,0.0,0.0,0.0,0.0,0.0,0.05998335583010948,0.00021968275541439652,0.015118146724551067,0.0,0.029876085898283538,0.05041024088859558,0.0011202010791748762,0.21052759885787964,0.04021323099732399,0.0007354723056778312,0.0,0.0959915742278099,0.09715570509433746,0.012576102373500762,0.016101942565132858,0.010812899097800255,0.010584700852632523,0.05746045337559944,0.0657984167113031,0.0010691390591630733,0.001858849190898924,0.002620668501025318,0.015738836142731496,0.0031054247455518484,0.0032477795612066984,0.2090931690894809,0.2093035958690988,0.11645192739438827,0.11843591142801087,0.0004371835966594517,0.0004908223636448383,0.09213435870602746,0.034566250160104284,0.03464273495073288,-9.653359302319586e-05,0.07942842692136765,0.0889965146780014,0.07995734363794327,0.08767971396446228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.319798469543457,0.42222851514816284,2.086526870727539,0.6663637161254883,9.351784706115723,3.84840726852417,6.074778079986572
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.058689545822421724,0.00042791402665898204,0.0,0.0,0.0,0.0,0.0,0.05876522826534927,0.00014923125854693353,0.01524869267841465,0.0,0.03052510561555855,0.05593298375606537,0.001041123177856207,0.20975780487060547,0.038094814866781235,0.0007396310684271157,0.0,0.08533497154712677,0.08684025704860687,0.012717381713182013,0.016149704698631827,0.010730857960879803,0.010330837219953537,0.06194337604478729,0.06945926100099792,0.0010805559663580146,0.0017670590949369408,0.0025696029390468718,0.01484576628930912,0.0030627404154786827,0.0032334476709365845,0.21444574298868407,0.2149709682828064,0.11083198420895325,0.11295790143731597,0.000310371135128662,0.00034067349042743444,0.0976284727362822,0.036052355513732336,0.03612152600113369,-8.261859329650179e-05,0.07610409706830978,0.08524832874536514,0.07129033654928207,0.07908838987350464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3852415084838867,0.4430612325668335,2.0800209045410156,0.6591444611549377,9.250041961669922,4.103878498077393,5.857485294342041
