Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,-0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.024323621759280586,-0.0002167282218579203,0.0,0.0,0.0,0.0,0.0,0.02436919130818657,-0.00024197055608965456,0.01295266934390995,0.0,0.009014100751349508,0.04145631939172745,0.0015732493484392762,0.014454285614192486,3.3727170375641435e-05,0.0005872261397989822,0.00011188542703166604,0.04120694473385811,0.040657393634319305,0.013113270562492988,0.01639909949260719,0.00923837535083294,0.009175142273306847,0.028181024610452958,0.030342840376520158,0.0017823168358246729,0.0033376243629210855,0.0018383075799391071,0.0003863005386304068,0.0003992444253526628,0.00034216558560729027,0.0870202377118335,0.09078834206496154,0.011327496306264305,0.011491182746794528,0.0,0.0,0.0854881443175135,0.05273270088919441,0.0527187939900964,1.888930819404777e-05,0.02129312790930271,0.022406859323382378,0.004123513586819172,0.003960786387324333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3112246096134186,0.2755838930606842,0.2592335045337677,0.1998530924320221,1.4435985088348389,1.6755985021591187,0.6889455914497375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.04593985192048897,-0.0001497726480010897,0.0,0.0,0.0,0.0,0.0,0.04601069330928978,-0.0001860542397480458,0.02959956075895813,0.0,0.016007013637395515,0.09767346829175949,0.0019191622268408537,0.028152551501989365,8.469581371173263e-05,0.00087382333997751,0.00021781849500257522,0.08370423316955566,0.08314917981624603,0.012907934636149677,0.016376593852345574,0.019014554098248482,0.018809201195836067,0.04802031217387009,0.04888170208961655,0.0017681702240005565,0.006266512907015552,0.0019378265359339545,0.00043406551437480314,0.0008375300094485283,0.0007510710856877267,0.18641054446863922,0.19302668572744935,0.023186768805687333,0.024123396254652672,0.0,0.0,0.1324536502481311,0.0717125408716082,0.07167821150045037,5.8486941270530224e-05,0.04200419411063194,0.0443420447409153,0.007813163101673126,0.008311943151056767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6291636824607849,0.46665525436401367,0.5596511363983154,0.39358800649642944,3.2208008766174316,2.93217396736145,1.510427474975586
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0640596537279483,0.00040627384441904724,0.0,0.0,0.0,0.0,0.0,0.06412448134336411,0.0002571287041064352,0.05315082326995125,0.0,0.02274024431082485,0.1760156750679016,0.0011665878118947148,0.04286787286400795,0.00023371982388198376,0.001318558134668758,0.0004070437862537801,0.13068562746047974,0.12904717028141022,0.012839323050456528,0.01627924522590368,0.03124649077653885,0.030629081651568413,0.0762682706163353,0.07537730488640518,0.001815540992711963,0.00930335413632782,0.0021684850292115598,0.0005980590542555558,0.0013942973455414176,0.0012465628096833825,0.3112844112971399,0.3207970239174701,0.0393106827693557,0.04068417033516083,0.0,9.760380635270849e-06,0.1783345431438797,0.09442504646482483,0.09437681435311493,0.00012455070100259036,0.063478983938694,0.06746820360422134,0.012109413743019104,0.012866999953985214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9180104732513428,0.5209848284721375,0.9686979651451111,0.606808066368103,5.234122276306152,3.4115257263183594,2.7459638118743896
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.07920218010227982,0.0008543853764422238,0.0,0.0,0.0,0.0,0.0,0.07925804162742706,0.0005530471680685878,0.0827382949826796,0.0,0.03008703197005882,0.25771990418434143,0.0009722218965180218,0.05744857341051102,0.0004990730667486787,0.001978865917387483,0.00034613703610375524,0.18456381559371948,0.18117736279964447,0.012872048453994362,0.016266063061888724,0.045937106013298035,0.04481115564703941,0.1071116708044661,0.10407431271064484,0.0018051884972387926,0.012704466513743611,0.0023791659809795952,0.0004826110137140122,0.002001227578148246,0.001812505885027349,0.4507030047575531,0.46159221902338926,0.06325307693316215,0.06580723202089768,0.0,0.00020129012409597635,0.22240265308351684,0.12420837733888168,0.12414621114648987,0.00012033463281113654,0.08593013137578964,0.09177889674901962,0.019333332777023315,0.021417420357465744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2299776077270508,0.5729219317436218,1.3600572347640991,0.7448844909667969,7.384410858154297,3.7279136180877686,4.16884708404541
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.09111014272109176,0.0018041467992588878,0.0,0.0,0.0,0.0,0.0,0.0912029160816072,0.0014085817383602262,0.10843799330293838,0.0,0.03906923365543564,0.3191221356391907,0.000885009765625,0.07720714062452316,0.0007939815404824913,0.002717338469010811,0.00015884936146903783,0.24167537689208984,0.2358294278383255,0.01289447783521596,0.01624725758415162,0.060380157083272934,0.05876091867685318,0.13078202159274308,0.12523645463884614,0.001722332806397932,0.01501571241479723,0.002603904608064318,0.0006367924596809104,0.0026686915662139654,0.0025974339805543423,0.5729879506314904,0.584120762340835,0.09391814198604553,0.09671609219801315,0.0,0.0005120110581628978,0.26159389018052126,0.15134552423158174,0.1513029188228061,0.00010941743676085025,0.11167707294225693,0.11847791820764542,0.02936726249754429,0.034027595072984695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.561039686203003,0.7323706746101379,1.7333366870880127,0.9099668264389038,9.311922073364258,4.324063777923584,5.329061508178711
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.08551099884168503,0.014603856950998306,0.0,0.0,0.0,0.0,0.0,0.08558480644902755,0.0142630934715271,0.09986772404379532,0.0,0.040433055373032836,0.2762925624847412,0.0007447230746038258,0.08590622991323471,0.0010230434127151966,0.0025852282697113992,0.0,0.25558897852897644,0.24894626438617706,0.01294332144111597,0.016083768041128085,0.06010058522224426,0.05865367501974106,0.11616799312730774,0.10981518920386779,0.0016088074615815417,0.01421695329852436,0.002507173035234487,0.0007820002020651106,0.003032667743309827,0.0030747868586331606,0.551009000457417,0.5607157461185767,0.1105965842536383,0.1135138122625508,0.0,0.0005154156824573874,0.2514793366423642,0.15241132971261934,0.15239637642934037,0.00013652085908688605,0.11638864874839783,0.12368902564048767,0.037368226796388626,0.04421772062778473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5919363498687744,0.6715163588523865,1.8218611478805542,0.9382027387619019,10.010546684265137,4.1274333000183105,4.799556732177734
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.07951378319394073,0.03301965817809105,0.0,0.0,0.0,0.0,0.0,0.07959447072149063,0.03270692378282547,0.08725372655937912,0.0,0.043112735800845334,0.22018234431743622,0.0007586240535601974,0.09150310605764389,0.0009629636770114303,0.002476680734175968,0.0,0.27510109543800354,0.26720237731933594,0.012872073361258524,0.015835720286095353,0.05730682983994484,0.056390371173620224,0.09333320710604309,0.08879273833523865,0.0015896538277023955,0.01284426189074932,0.002244058293634977,0.0012777156049158835,0.0031895232355043934,0.0033224374055862427,0.5191787145681079,0.5286122165913257,0.1293077396916153,0.13159570415806243,0.0,0.00042386294808238745,0.23710720242663025,0.1422728925591324,0.14227182563679505,8.61561275087297e-05,0.1237158551812172,0.13113616406917572,0.04612182453274727,0.05518919974565506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6079974174499512,0.7471936941146851,1.9447526931762695,0.9606356620788574,10.288996696472168,3.992544651031494,4.551558494567871
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0753077229823108,0.050347700715065,0.0,0.0,0.0,0.0,0.0,0.07537131188312805,0.050104375928640366,0.07609195209994828,0.0,0.045729356786612094,0.18021146953105927,0.0007018637843430042,0.09393360465765,0.000961507554166019,0.002304391236975789,0.0,0.2900014817714691,0.28179070353507996,0.012850450013288937,0.015807523545067752,0.054139021784067154,0.053681209683418274,0.07960123570205932,0.07724602518221985,0.0015463696756881217,0.011454487797596245,0.0020833957927822097,0.0018193089659639073,0.003475291124157214,0.0037300086114555597,0.4989655621015277,0.5090256266279566,0.1462779500789624,0.14925598312524596,4.821062248083763e-05,0.0004407262895256281,0.2246737688501181,0.12669885309482987,0.1267030015954268,0.00010841608309419826,0.1298668533563614,0.13858537375926971,0.05674554035067558,0.06812508404254913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6409101486206055,0.8506228923797607,2.103126049041748,0.9815446734428406,10.263032913208008,3.906263828277588,4.447697639465332
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.07291827721623581,0.05335407704114914,0.0,0.0,0.0,0.0,0.0,0.0729534210501355,0.05318917706608772,0.06790093061526901,0.0,0.04809878261894218,0.1548200398683548,0.0005039465613663197,0.08710897713899612,0.0008016348001547158,0.0022013552952557802,0.0,0.30241474509239197,0.2930496335029602,0.012975454014403559,0.015863367630385615,0.05224885046482086,0.05188591778278351,0.07310194669202698,0.07310952767813911,0.0015967884478171703,0.010455232933828029,0.0018505616956185074,0.0020497162352879406,0.003691273955772257,0.0039915647357702255,0.487574371719458,0.49897610358058164,0.15761713020695434,0.16079290874722962,0.0003702616668306291,0.0006213331362232566,0.21033362149278625,0.10050624606088868,0.10050533266190506,5.54758298676461e-05,0.13390186429023743,0.1427038311958313,0.06734877824783325,0.0792897641658783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.620614767074585,0.8671265244483948,2.2745604515075684,0.9944543242454529,10.101804733276367,3.9328243732452393,4.540795803070068
