Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.011556798586711312,0.00017319174367003143,0.0,0.0,0.0,0.0,0.0,0.011589146149025478,0.00019266158051323146,0.0015921834222960784,0.00010484891390660778,0.0032200802652852514,0.007400938775390387,0.0053001041524112225,0.007612342480570078,0.01887068897485733,0.0004637055688754079,5.012351175537333e-05,0.0,0.0,0.014922194158892824,0.01817166514336087,0.0002631652168929577,0.00033110048389062285,0.013328910821505495,0.01628366324233413,0.0020743074613803,0.0009995782713123822,0.002122728899459441,0.0008372993343439376,0.000926125212572515,0.0008448396110907197,0.008590328754501123,0.010763161822005863,0.0019029839152856708,0.0017108746314984631,0.0,0.0,0.060287404814606704,0.06488424021490852,0.06486434118636544,0.0003878046409226954,0.0026843121740967035,0.002978647593408823,0.0010713764932006598,0.0009792455239221454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5248000621795654,0.529535174369812,0.3320855498313904,0.14585000276565552,0.9299637079238892,1.7296851873397827,0.7645632028579712
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.018648825954083098,0.023657171055674553,0.0,0.0,0.0,0.0,0.0,0.018706815091354217,0.023677755147218704,0.004290772936234741,0.00015709528815932572,0.005556577835055008,0.035189189016819,0.010256881825625896,0.05884837359189987,0.04291734844446182,0.000921146168300159,2.0186544134048745e-05,0.0,0.0,0.025888922463326837,0.02883861384545427,0.0014025373384356499,0.0014239123556762934,0.023456391489711285,0.02535063583583523,0.002016333296683939,0.0019849076624013687,0.0020049480389136712,0.0009816050226360553,0.0013732400257140398,0.001235124422237277,0.043885285063264695,0.045779963595481796,0.009565327717070485,0.009470019019716912,0.0,0.0,0.09891666473158295,0.10600232187579864,0.10597736533503174,0.0004970533773303032,0.005500771105289459,0.006433173082768917,0.0020522833801805973,0.002060496248304844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0331313610076904,0.8011478185653687,0.7438761591911316,0.2588561475276947,2.0155792236328125,3.100653886795044,1.8801720142364502
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.025025875716149445,0.0730559378862381,0.0,0.0,0.0,0.0,0.0,0.02511617127869068,0.07307799905538559,0.009362653759288693,0.00020387470431160182,0.00952351969155548,0.07071652263402939,0.011853685602545738,0.12595225870609283,0.061891037970781326,0.0014506376037087942,5.335253445082344e-05,0.0,0.0,0.04054514096310356,0.0429153986563488,0.003233571071177721,0.0030608263332396746,0.03746697307090226,0.03817864212853165,0.00181524832459289,0.00304500124385448,0.0018935811388258016,0.0013061980318986584,0.0017667950596660376,0.0016129440627992153,0.09460799728423096,0.09544277712229263,0.021222822572526855,0.02110779030584011,0.0,0.0,0.14379619214452438,0.15467438997926727,0.15464633403981384,0.0004867604875471443,0.008235127665102482,0.009771278128027916,0.002257981337606907,0.002456353046000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5476534366607666,1.176558256149292,1.2167567014694214,0.37616926431655884,2.855548858642578,4.541389465332031,3.085144519805908
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.03211584997158352,0.13844777643680573,0.0,0.0,0.0,0.0,0.0,0.0322269743156633,0.13854578137397766,0.014708069869645348,0.0003035808331333101,0.013634109484290028,0.09701491892337799,0.011384868063032627,0.1828385293483734,0.08515690267086029,0.0022823635717733478,0.0,0.0,0.0,0.047481510059208525,0.04976174084248154,0.006629874464124441,0.0062016090378165245,0.048660945874894945,0.04779109951245987,0.0017624843449462206,0.0036488876653965425,0.0021292775677431187,0.002373317130396862,0.001667266944423318,0.0015004898887127638,0.12426927165189361,0.12397844269720978,0.02968963440491432,0.029746703191203882,0.0,0.0,0.1804091244790094,0.1896777540817215,0.18965904712595155,0.00041120481910184026,0.009267570450901985,0.01095719076693058,0.002800950314849615,0.003174480050802231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.211874485015869,1.685882806777954,1.5756361484527588,0.5102472305297852,3.434476137161255,6.383927345275879,3.942378520965576
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.03952012102142479,0.19266223907470703,0.0,0.0,0.0,0.0,0.0,0.03965962814873444,0.19277212023735046,0.018355863839384957,0.00039767043199390173,0.017799671932560997,0.09944797307252884,0.0063931019976735115,0.2023804485797882,0.08143103867769241,0.0029973324519964265,0.0,0.0006573350983671844,0.0,0.03709345198323704,0.03968815021766796,0.009894125163555145,0.009096900932490826,0.05370350034106461,0.051309677991278384,0.0016578464633626904,0.004302069486047907,0.0024619793713884295,0.0036520395405198,0.0021179562900215387,0.0019963535014539957,0.14032017368923735,0.14046708940725647,0.03699804943314522,0.03652334701907524,0.0,0.0,0.19213898180954955,0.20343201164403443,0.20343826714281343,0.0004906204412691295,0.012896002270281315,0.014970018528401852,0.0040083155035972595,0.005066215991973877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7897870540618896,1.9839171171188354,1.9735722541809082,0.6109681129455566,4.272610664367676,7.918656349182129,5.086483478546143
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.03942219528214332,0.18196147680282593,0.0,0.0,0.0,0.0,0.0,0.03947755897721817,0.1819533109664917,0.01827493698663399,0.00042051143827848136,0.01912744215329483,0.07341191917657852,0.004690932109951973,0.1351565718650818,0.06498975306749344,0.0032506340348872186,0.0,0.00848256517201662,0.002707015024498105,0.022313222637012062,0.024911222829971255,0.010097039863467216,0.008921027183532715,0.04500963988800987,0.04228637326384533,0.0015876355185916468,0.004129677420929413,0.0026807322147640346,0.002628711280607395,0.0021240699051762535,0.002079136436805129,0.10183718911517761,0.10449574513629212,0.026870517157643357,0.02602687648309849,0.0,0.0,0.1565658018222844,0.16312910911058381,0.16314895748927308,0.0005957665853202343,0.012871140614151955,0.014209531247615814,0.0018970827804878354,0.002999188844114542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7006375789642334,2.0138843059539795,1.9669129848480225,0.5956141948699951,4.199412822723389,7.72339391708374,5.57664155960083
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.040529927797431566,0.13098663091659546,0.0,0.0,0.0,0.0,0.0,0.04055707172752167,0.13086628913879395,0.014706288936235924,0.0003901360323652625,0.01721602918247671,0.048112448304891586,0.010339684784412384,0.07255759835243225,0.06050167605280876,0.003073632893133688,0.0,0.021688850596547127,0.013621058315038681,0.013002584315735883,0.015620671428014363,0.009639378637075424,0.00845920480787754,0.03289937976544022,0.03177858220230217,0.0015855559337955218,0.004088572403888092,0.0028662288343719654,0.001641884617671039,0.0021066495651201056,0.0020263076294213533,0.06029054146477539,0.06441760960170356,0.011804499918401433,0.011762912770027618,0.0,0.0,0.12710197271509766,0.12389385249670487,0.12392252829211045,0.0007520506042055786,0.01364907342940569,0.014494956471025944,0.0010371573735028505,0.001605692319571972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.521362781524658,2.013627529144287,1.911676049232483,0.6124062538146973,4.323464870452881,7.558101654052734,5.89510440826416
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.04360607623710586,0.0734030231833458,0.0,0.0,0.0,0.0,0.0,0.04362660078207291,0.073198102414608,0.011025219633727417,0.0002633164112921804,0.015039763382080611,0.03425123170018196,0.01965891756117344,0.039530061185359955,0.059285737574100494,0.0029137900564819574,0.0,0.04110661894083023,0.03197837620973587,0.012754505627313338,0.015571939242495218,0.007824631407856941,0.006746858358383179,0.023531492813847123,0.024156720355066167,0.0015366445070497247,0.004477867503442554,0.0028681064153930833,0.0013101740647420658,0.0023759933473389387,0.0023157934192568064,0.03983485397331383,0.04392880648211113,0.00432293925319429,0.004111611110917134,0.0,0.0,0.11083489504650254,0.09770522417570526,0.09775257114260316,0.001251498470082879,0.01763385534286499,0.017898334190249443,0.0006344784633256495,0.0002477832022123039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2936549186706543,1.819127082824707,1.8711808919906616,0.6154402494430542,4.647443771362305,7.835432052612305,5.76327657699585
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.04848176239160698,0.032078132033348083,0.0,0.0,0.0,0.0,0.0,0.0485047245262307,0.03174520283937454,0.009588078679643936,0.0001867381506599486,0.013038945925834104,0.028564410284161568,0.02368408627808094,0.02443942241370678,0.060136664658784866,0.003237523138523102,0.0,0.06125587970018387,0.04945287108421326,0.012850376075684372,0.015702767760826096,0.0063995481468737125,0.005467174109071493,0.018019815514840012,0.019672857225782776,0.0017744781593804595,0.004815924335935507,0.0029599191823303224,0.0013477214837078811,0.0027633060050705435,0.002566389739513397,0.037125355774261855,0.03983312434612465,0.002487855969984696,0.001573410117547848,0.0,0.0004023452056571841,0.1016364380625914,0.07589674365596047,0.0759727276993177,0.0014001068193465471,0.02280900441110134,0.022972583770751953,0.0014462827239185572,0.0003924652992282063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.201887845993042,1.7196240425109863,1.8378175497055054,0.6492985486984253,4.804153919219971,8.236266136169434,5.33366584777832
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.05307157564554199,0.01701049879193306,0.0,0.0,0.0,0.0,0.0,0.05309790807226715,0.01663406565785408,0.008783198540748348,0.00020565040176734328,0.012446960283024045,0.029134545475244522,0.02490345388650894,0.029223354533314705,0.06933197379112244,0.004465831909328699,0.0,0.07986768335103989,0.06407078355550766,0.013139273224185394,0.016048313805984257,0.004669709596782923,0.0037203810643404722,0.01707721423599129,0.018625192400867702,0.0019421285533601361,0.004668423966282777,0.0031349512976946293,0.0015770167268478513,0.0031376532411875246,0.0028603191021829844,0.04701178742104324,0.048167443308377994,0.004284660414637709,0.0022393582908074305,0.0,0.00042241349001415074,0.09520130899381088,0.05569747577628437,0.05578018279592026,0.0015330025926232338,0.02798866108059883,0.02797282300889492,0.005762247368693352,0.0029817658942192793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22572922706604,1.649895191192627,1.7797439098358154,0.7007866501808167,4.965762138366699,8.172622680664062,5.200761795043945
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.053611966657836,0.03036751039326191,0.0,0.0,0.0,0.0,0.0,0.05361441073335472,0.02995065040886402,0.008759988872465705,0.000324631342664361,0.01236504503799965,0.04171216860413551,0.027219228446483612,0.05765296518802643,0.08913363516330719,0.00682547502219677,0.0,0.09429632127285004,0.07376886159181595,0.013162751546724076,0.016343637181362117,0.0036806657444685698,0.0026591536588966846,0.021815655732854884,0.022841739868405323,0.002050814976438251,0.0048125620374953465,0.004611307436839471,0.0027475575068375254,0.0038316111717426205,0.0034447346053679993,0.07170468497253724,0.07113765772403702,0.010738178445562553,0.007625897009005881,0.0,0.00021202221978455782,0.08779182210239204,0.03655352554037106,0.036649974807337,0.002328159287571907,0.033188238739967346,0.03365562856197357,0.010862642899155617,0.00755684869363904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2280831336975098,1.6186939477920532,1.8923594951629639,0.761394739151001,5.381711483001709,7.641254425048828,5.143594264984131
00:00:00:12.200,68,0.0,0.0,0.0,0.0,0.0,0.05164653638305702,0.05099647864699364,0.0,0.0,0.0,0.0,0.0,0.05159801862341591,0.050658367574214935,0.00939056931984726,0.0003789511974900961,0.015399006397317505,0.07277575880289078,0.02506491355597973,0.10190858691930771,0.09248876571655273,0.007560418918728828,0.0,0.11091342568397522,0.08919039368629456,0.013635465842738915,0.016440373624446957,0.004585972521454096,0.003454117802903056,0.027225892969814605,0.02785977926574377,0.0020924718770202215,0.005244121839433766,0.005105456355199857,0.0042434028064689735,0.004397774763157177,0.00402995960480792,0.12384184020444397,0.12411039437487748,0.02739656978814518,0.023378410287315483,0.0006709244335070252,0.0008937938255257905,0.08407452032849663,0.03246037333505579,0.03254792432621791,0.0025935876183211803,0.03982226550579071,0.039584141224622726,0.017464037984609604,0.014855173416435719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.183469533920288,1.5773218870162964,1.8581770658493042,0.8136478066444397,5.878323554992676,6.771935939788818,5.46776008605957
00:00:00:13.216,68,0.0,0.0,0.0,0.0,0.0,0.048936584489559176,0.08012665808200836,0.0,0.0,0.0,0.0,0.0,0.048842448358338016,0.07970099151134491,0.014787062320775795,0.00032709070364944637,0.020240485142381477,0.12771043181419373,0.020765764638781548,0.14204064011573792,0.07453420013189316,0.008048282004892826,0.0,0.12720830738544464,0.10396947711706161,0.014113774030880736,0.01662382417115717,0.007679955568164587,0.006251737009733915,0.03511503856519379,0.03615644576326797,0.0018351207493400837,0.00575872618482912,0.005428212631273642,0.005794497843135328,0.00498180306765542,0.00461792482982894,0.2073676235858728,0.20742266179583618,0.048313160039263,0.044401775899615706,0.007468127179890871,0.007736380212008953,0.08574694098675109,0.032159793025175736,0.0322563288550386,0.0018917083507403731,0.04649369418621063,0.04621950164437294,0.021755097433924675,0.020057564601302147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.100475788116455,1.4254826307296753,1.821133017539978,0.9095897674560547,6.0482964515686035,6.335018634796143,5.877105236053467
