Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,-0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00551896588326993,0.1266108751296997,0.0,0.0,0.0,0.0,0.0,0.005545149487124004,0.12664106488227844,0.011499112292191716,2.7450068955658935e-05,0.00774970835305172,0.04963182657957077,4.420228378876345e-06,0.020939186215400696,1.9903323845937848e-05,0.0019830466634111832,0.0,0.017165981233119965,0.01672743633389473,0.01322748533824212,0.01636917556350191,0.009067388251423836,0.008149130269885063,0.03845427256768257,0.03920438771250248,0.0017759628457226025,0.002106209398498502,0.0018294766446813873,0.0005236703164339489,0.0,0.00020946506992913783,0.10979042646067001,0.11025749147568618,0.01954220658656349,0.020051835591402358,0.0,0.0,0.08795535937870125,0.07120416912921707,0.07120101155527528,-1.534138573333621e-05,0.00759303942322731,0.009095916524529457,-1.259044529433595e-05,0.0001011305139400065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32666993141174316,0.15433189272880554,1.1388639211654663,0.12576761841773987,0.920220673084259,0.15959030389785767,2.1412901878356934
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.010630266177836552,0.25049182772636414,0.0,0.0,0.0,0.0,0.0,0.01066714875159916,0.25054433941841125,0.024375010616073875,8.443718979833648e-05,0.013775483723552837,0.10224282741546631,2.971662615891546e-05,0.0439341701567173,-8.564427844248712e-06,0.0036994270439457367,0.0,0.029804527759552002,0.029141655191779137,0.013148288816427468,0.016278820276073854,0.018623698502779007,0.01670673117041588,0.0699244119065075,0.0683934576454847,0.001787822319944013,0.0038544274856321717,0.0018730509490271921,0.0007081739825222635,0.0,0.00037106830859556794,0.21491093750166687,0.21445080043158143,0.04079030773610344,0.042262726924890213,0.0,0.0,0.1355713084460109,0.1052203387386679,0.10520491149048447,-5.429696830105968e-05,0.014872590079903603,0.01787381060421467,-8.674557466292754e-05,0.00022158247884362936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6824027895927429,0.2952759563922882,2.195697069168091,0.24736516177654266,1.7912886142730713,0.3093826174736023,4.40262508392334
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.017687215878307457,0.3711013197898865,0.0,0.0,0.0,0.0,0.0,0.017713162638878212,0.3711293935775757,0.03781200752125969,0.0001226643507834524,0.020359498825399856,0.14910852909088135,-1.2455619071261026e-05,0.06891468167304993,3.024465695489198e-05,0.0054385882258129025,0.0,0.04266456142067909,0.041237909346818924,0.012990568897975549,0.016097925351730765,0.02877511829137802,0.025870611891150475,0.1002119705126709,0.09650012556177825,0.0017110392292950432,0.005633331779072599,0.0018997346635626754,0.0008823979480900574,0.0,0.000583858520258218,0.3099850300410364,0.3088095165741779,0.06435101499730103,0.06658810308538589,0.0,0.0,0.1804387808195465,0.1370925992936136,0.1370770305272406,-7.412427657982334e-05,0.022675402462482452,0.0269442331045866,-0.00011034261115128174,0.0003975499712396413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.004679560661316,0.39069420099258423,3.1911826133728027,0.3655664920806885,2.5058681964874268,0.49984291195869446,6.8861188888549805
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.025058665618112718,0.4864313006401062,0.0,0.0,0.0,0.0,0.0,0.025061752818246803,0.4864371716976166,0.04827778019882034,0.00014697181177325547,0.02654585855666294,0.18386289477348328,-0.00011563083535293117,0.09308482706546783,1.2183279068267439e-05,0.00696704324762064,0.0,0.06165963411331177,0.0589982271194458,0.012885500045252124,0.016037267847136116,0.038357339799404144,0.03466608375310898,0.12553538454815277,0.11866571601617538,0.0016523945551321377,0.007000149271836491,0.0019330004256482049,0.0009773725662592541,0.0,0.0007532602758146822,0.3981974817911682,0.3959633328005499,0.08762164991332763,0.09035603082041245,0.0,0.0,0.22379167972536254,0.16769039038562317,0.1676729649297159,-0.0001249234628630802,0.030954325571656227,0.036636389791965485,-0.00020904031407553703,0.00043979226029478014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3707680702209473,0.57319176197052,4.359029293060303,0.4811495244503021,3.536851167678833,0.7455347180366516,8.739887237548828
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.03272440920606758,0.5878859162330627,0.0,0.0,0.0,0.0,0.0,0.03271457689589249,0.5879054665565491,0.05358169294893448,0.000170208586496301,0.03188318964789589,0.1989603042602539,-0.0001319452712778002,0.11769172549247742,8.49391144583933e-05,0.008476595360917072,0.0,0.08688381314277649,0.08182406425476074,0.012840579161929648,0.015932426985497395,0.045330461114645004,0.04098454862833023,0.14317568243611542,0.13351653817594789,0.0016598333855059504,0.00840905628811924,0.0019237953258072825,0.001026161687968161,0.0,0.0009813118958845735,0.4664215512956293,0.4632282376215967,0.11006863143554657,0.11267865565311798,0.0016849449602887034,0.0018528528744354844,0.2664085149668982,0.19407332245507722,0.19404996934656404,-0.00018311246822122484,0.039494212716817856,0.04672854021191597,-0.00026356775197200477,0.0006249411380849779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7570743560791016,0.7780612111091614,5.632619857788086,0.5962122082710266,4.8968095779418945,1.014897108078003,9.999446868896484
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.032517440494459836,0.5733988285064697,0.0,0.0,0.0,0.0,0.0,0.032484153456302185,0.5733529925346375,0.046450954092213365,0.00017311677220277488,0.030936891796191482,0.16750594973564148,-0.0001817866723285988,0.11638280004262924,0.00020399969071149826,0.008446556253150368,0.0,0.09903918951749802,0.09122219681739807,0.012867402427718319,0.015923469034234902,0.0415736623108387,0.037544041872024536,0.12890909689565644,0.12004469480241287,0.0016727452924548702,0.008058402097300034,0.0018650038992625607,0.0011047660328529405,0.0,0.0010233436478301883,0.43281883112300534,0.42947198076442017,0.11104480373176864,0.11226183905078552,0.006198244169354439,0.00644743861630559,0.26406528952036257,0.18284750279401735,0.18283811509444428,-0.00017706125800032169,0.04097795858979225,0.04828879237174988,-0.0002964182640425861,0.0007763917674310505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8009514808654785,0.8884563446044922,5.678206443786621,0.6132407188415527,5.69766092300415,1.1343530416488647,8.853814125061035
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.032001717574710466,0.5616574287414551,0.0,0.0,0.0,0.0,0.0,0.03196743146777893,0.5615760684013367,0.039690479176738284,0.00015517040446866304,0.030653189473254395,0.1415412873029709,-0.00022852029360365123,0.11189088225364685,0.0003373522777110338,0.008110226773638058,0.0,0.10822886228561401,0.09858183562755585,0.012771747440446641,0.0157485239876861,0.03839215636253357,0.03476725146174431,0.1135888845080626,0.1060328677464592,0.0016542669788554211,0.007433365276555404,0.0017806074422504268,0.0013343711585510933,0.0,0.0010057452600449324,0.3991809747762378,0.39639147150465576,0.1104791166948082,0.11106649359058807,0.013338273391127586,0.013607699424028397,0.2597671449343741,0.17446112927254182,0.17446547147171784,-0.00014454439224209636,0.04185143858194351,0.049192413687705994,-0.0003579540934879333,0.000855644466355443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7447021007537842,0.9344508647918701,5.574236869812012,0.6327890157699585,6.245168209075928,1.2137080430984497,8.338595390319824
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03173315137281372,0.5540743470191956,0.0,0.0,0.0,0.0,0.0,0.03172750016549862,0.5540275573730469,0.03368917427912269,0.00010323680908186361,0.031603322333100856,0.11912278085947037,-0.00021774139895569533,0.10808565467596054,0.00042474042857065797,0.00790606439113617,0.0,0.11567442119121552,0.10364693403244019,0.01271464025172958,0.015895801079882303,0.03530335798859596,0.03185076639056206,0.09942160548212295,0.09410089997193466,0.001725510762534479,0.007081944142260341,0.0017797914928666045,0.0015831924998514725,2.8370693978634756e-05,0.000999790383502841,0.36382824253670837,0.3617338769121515,0.10900843975019271,0.10879727412370484,0.020199786871671677,0.020480088889598846,0.2548408716638388,0.16947487892652924,0.16949290040819764,-0.00014297664165496826,0.043042078614234924,0.050289086997509,-0.00033410865580663085,0.0009265263215638697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7093989849090576,0.8632555603981018,5.298454284667969,0.6512686014175415,6.901663780212402,1.3769612312316895,7.945853233337402
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.03053127786246937,0.5506370067596436,0.0,0.0,0.0,0.0,0.0,0.030556909167591934,0.5506137609481812,0.030014661224685973,0.00010471515270182863,0.03125676194340221,0.10126369446516037,-0.0002144154568668455,0.10179318487644196,0.0004435540467966348,0.007580889854580164,0.0,0.1220337375998497,0.11003635078668594,0.012779905501256045,0.015982145914035205,0.03250307962298393,0.02916954830288887,0.08832331893876923,0.08362991511905898,0.0017802908055031088,0.0067124440155116654,0.0017439426940194787,0.0018600686911125542,5.6320848378444464e-05,0.0010986883426085114,0.33069765868196715,0.32922013810931394,0.10458168469561326,0.10371543385509017,0.028284642845392227,0.028533656150102615,0.2511521041301916,0.16707579788641205,0.1671103567016504,-0.00014015242049936205,0.04435652121901512,0.0522938147187233,-0.00029014903702773154,0.001151217962615192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5408867597579956,0.7235715389251709,5.114418029785156,0.6471896171569824,7.556955337524414,1.5363783836364746,7.666407585144043
