Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00147710312,0.0,0.0,0.0,0.0,0.0,0.0,0.0019448828000000003,0.0,0.0030027596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00360019208,0.0035795376,0.03728972968,0.027609947359999998,0.0,0.0,0.0,0.0,0.0,0.0,0.05890161392,0.06995436551999999,0.020080909120000004,0.02275752128,0.0,0.0,0.06592736248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.008952806264774009,0.016070310026407242,0.0,0.0,0.0,0.0,0.0,0.009422125443289929,0.016079984605312347,0.008711392224080983,0.0,0.0012532650725916028,0.01986062340438366,0.02383214421570301,0.007694900035858154,0.017678314819931984,0.0002621835155878216,0.00014591700164601207,0.008444605395197868,0.00801664125174284,0.00014014840417075902,2.237044282082934e-05,0.007240932115782747,0.007031915834019098,0.06040115135900002,0.048131433836776205,0.007412946783006191,0.005449212621897459,0.0007706584874540567,1.0856613243959146e-06,0.0013811677927151322,0.0013786631170660257,0.08310809356582605,0.0940194003043792,0.020181305757628266,0.022824600929696067,0.0,0.0,0.17537266314706818,0.09342939406633377,0.09344707429409027,0.0010003040079027414,0.01046603824943304,0.010827642865478992,0.0023179175332188606,0.0019851757679134607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26855719089508057,0.2699907720088959,0.4221096932888031,0.16907285153865814,1.1846835613250732,1.727480173110962,0.989965558052063
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.015768780759276468,0.04834698140621185,0.0,0.0,0.0,0.0,0.0,0.01624024824927809,0.04836023598909378,0.015265190021966153,4.6315555067621484e-05,0.002589963376522064,0.04360518231987953,0.05200035497546196,0.02026161551475525,0.03877123445272446,0.001028280588798225,0.00033311592414975166,0.013872911222279072,0.012491174973547459,0.0003554210707079619,2.9740065656369552e-05,0.012032574782229119,0.01145939843377287,0.08960265071558793,0.07468492533874924,0.014116267673671246,0.012182931415736675,0.0007479960913769901,0.0,0.0024619679898023605,0.002479683142155409,0.11185294989101258,0.12245178968336441,0.020193842497946604,0.022714420095481108,0.0,0.0,0.2925814628825293,0.18987412750720978,0.18992319703102112,0.002258986933156848,0.021237438544631004,0.022062133997678757,0.0036263582296669483,0.003662658855319023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4936489164829254,0.5015601515769958,0.8200691342353821,0.3390820324420929,2.519239902496338,3.1472582817077637,2.2329623699188232
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.021972814538046875,0.08740444481372833,0.0,0.0,0.0,0.0,0.0,0.022455146130240286,0.08747585862874985,0.021611391735238152,0.00011803619036691697,0.004673765040934086,0.07152093201875687,0.0836375430226326,0.038235679268836975,0.05885007232427597,0.0018031856743618846,0.0005000118399038911,0.02041933685541153,0.01719520427286625,0.00044270255602896214,0.0,0.017064880174936257,0.01611951480005459,0.1227266624521193,0.1056263074273738,0.018977776169776917,0.01886693760752678,0.0008689883397892118,0.0,0.0034563515800982714,0.00348940072581172,0.14560668766273346,0.15590910913011047,0.02072416557569462,0.022412871406719256,0.0,0.0,0.4081792533045331,0.2901799976825714,0.2902519702911377,0.0034674969501793385,0.0331055223941803,0.034559667110443115,0.005904692225158215,0.0061594718135893345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7515431046485901,0.7598065733909607,1.2199714183807373,0.5016464591026306,3.820089817047119,4.271517753601074,3.7031607627868652
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.027123723554157333,0.1272379457950592,0.0,0.0,0.0,0.0,0.0,0.02759343984395832,0.12734927237033844,0.028208596264030418,0.0001655648386509377,0.007433014921844006,0.09902989864349365,0.11181755363941193,0.0675356537103653,0.07504163682460785,0.003345167264342308,0.0005077497917227447,0.03521701321005821,0.027570808306336403,0.0005570726352743804,0.0,0.023224763930522842,0.02175628805876522,0.158906629642175,0.1402596890838916,0.02153669111430645,0.024566583335399628,0.0011439529480412602,0.0,0.004222304560244083,0.004219290800392628,0.19040358364157378,0.20047565695976563,0.0212950741587995,0.02219699199674971,0.0,0.0,0.5244366049592029,0.39151591062545776,0.39162033796310425,0.004406542517244816,0.047720231115818024,0.049139030277729034,0.008956643752753735,0.009934031404554844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9897476434707642,0.9444764852523804,1.5924667119979858,0.7005257606506348,5.207098007202148,5.191718101501465,5.291494369506836
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.03197674827351002,0.1460087150335312,0.0,0.0,0.0,0.0,0.0,0.03240572772796524,0.14622554183006287,0.034289502714954526,0.00045456161725121946,0.0130617655813694,0.13485342264175415,0.12515726685523987,0.12290748953819275,0.07932236790657043,0.006127345375716686,0.0006782045820727944,0.0681425929069519,0.0547771081328392,0.0009151327540166676,0.0,0.03007309508035473,0.027822894225516093,0.1972280532400363,0.1786246001673294,0.016972649842500687,0.02751225419342518,0.0009702947572804987,0.0,0.005295624025166035,0.005281695164740086,0.262940481276655,0.2727723121989392,0.028173768358819715,0.026935575655289354,0.0,0.0,0.6395251214612854,0.49474650621414185,0.49487340450286865,0.003717749146744609,0.06835561990737915,0.06829693168401718,0.016431771218776703,0.018921412527561188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2920925617218018,1.154563069343567,1.936415672302246,0.8838673233985901,6.517572402954102,5.918187141418457,7.121553421020508
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.030274931346331063,0.12082283943891525,0.0,0.0,0.0,0.0,0.0,0.03068045523622425,0.12113112211227417,0.03746017739867546,0.000770543298317826,0.01997092179954052,0.15350809693336487,0.08479360491037369,0.17558351159095764,0.049790624529123306,0.007497802376747131,0.0007107832934707403,0.10909261554479599,0.09349796175956726,0.0009370386833325028,0.0,0.03272284235900852,0.03006000481498291,0.1982005089562506,0.18264167011342652,0.006405936088413,0.021769730374217033,0.0005596713745035231,3.377925531822257e-05,0.005106691736727953,0.005075287073850632,0.33221389647532595,0.3408021211237775,0.05300377082924919,0.05001368039043606,0.0,0.0,0.6357410192623034,0.49794742465019226,0.4980684518814087,0.0020479431841522455,0.08091522008180618,0.07876886427402496,0.026314446702599525,0.031080806627869606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.418962001800537,1.1872754096984863,1.9439456462860107,0.9000692963600159,6.6620049476623535,5.548649311065674,7.1135172843933105
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.02841032782646221,0.09966086596250534,0.0,0.0,0.0,0.0,0.0,0.028731854596047823,0.09986679255962372,0.042653626567607954,0.0007815334814129358,0.027873603627085686,0.172745019197464,0.046733297407627106,0.21397820115089417,0.02524975687265396,0.007161414250731468,0.0006543734925799072,0.1560738980770111,0.1392245888710022,0.0009893131209537387,0.0,0.03602685521208931,0.03330177477039379,0.1899963796468286,0.1775938004648819,0.0013798943255096674,0.018359126523137093,0.00039305537939071655,0.0005452526966109872,0.004855370614677668,0.004773366264998913,0.40728095176668155,0.41592401265232665,0.0892367437812091,0.08613033446306839,0.0,0.0,0.6215029418792603,0.493713915348053,0.49381667375564575,0.0008151832153089345,0.09135608375072479,0.08698508143424988,0.040547966957092285,0.04642988368868828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5539507865905762,1.1466008424758911,2.0039823055267334,0.8992277383804321,7.1197028160095215,5.2274861335754395,6.832891941070557
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.026734141638218346,0.09372667223215103,0.0,0.0,0.0,0.0,0.0,0.02702054939993355,0.09385671466588974,0.04929776376674133,0.000975154635729525,0.03524026274681091,0.19148260354995728,0.024102576076984406,0.2269589602947235,0.009056184440851212,0.006820810958743095,0.00032534627825953066,0.1984321027994156,0.18018513917922974,0.0007606231956742704,0.0,0.03960986209263855,0.036701417679029465,0.18207764326701478,0.17199264169023284,0.00028492428828030825,0.015881575644016266,0.00036437928793020546,0.0006739969830960035,0.004340086132287979,0.004239384550601244,0.47941622730536193,0.4878633677778095,0.12648708371527953,0.12284532039499725,0.0,0.0,0.600494259616311,0.4850201904773712,0.4851319491863251,0.0003790661576204002,0.10147068649530411,0.09583456069231033,0.05661102756857872,0.06310904026031494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7122759819030762,1.020838737487793,2.136336326599121,0.8875582814216614,7.534256935119629,4.766798496246338,6.766223430633545
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.025870500853700257,0.09233085811138153,0.0,0.0,0.0,0.0,0.0,0.026119668400199546,0.09239866584539413,0.05852254891070633,0.0010983679010529244,0.04077974706888199,0.20927537977695465,0.011166839860379696,0.2263258546590805,0.002956375479698181,0.005454563070088625,0.00014248877414502203,0.23164333403110504,0.2146265059709549,0.0005862140678800642,0.0,0.043538552894266586,0.04079406525005127,0.17981589436975312,0.1707877814669275,8.339159103343263e-05,0.01425656396895647,0.0003265699779149145,0.00089681101962924,0.004192744847387075,0.004137604031711817,0.5391280532152674,0.5471840560685785,0.15738024117309296,0.15452790705275604,0.0,0.0,0.5786082506280908,0.47291719913482666,0.4730311930179596,0.0003505596541799605,0.1092243567109108,0.10291881859302521,0.07190082222223282,0.07890131324529648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.786867618560791,0.9883760213851929,2.2747199535369873,0.9059224128723145,7.876425266265869,4.4120306968688965,6.632859230041504
