Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0037947210893929245,0.0609077513217926,0.0,0.0,0.0,0.0,0.0,0.00380237067552022,0.06083958223462105,0.0045233315853390405,0.0,0.006053644681790648,0.019241858273744583,0.0023346405941993,0.011090477928519249,0.005495624616742134,0.0018420569984691573,0.0,0.0365842841565609,0.031236659735441208,0.013310904779822311,0.016175031459331066,0.006812579929828644,0.006458924151957035,0.020689965940468617,0.02437871207597256,0.0021667936138057083,0.0016831654322051668,0.002003163757373665,0.0013999750390578485,0.000252563098911196,0.0003963184426538646,0.04756824370996811,0.048345535999879,0.007022201591396236,0.006451358573940105,7.457010360667482e-05,0.00018110635573975742,0.06240525842631439,0.034901519847792835,0.03492740692894449,7.500434730900452e-05,0.015173593536019325,0.017564672976732254,0.0040979827754199505,0.006603204645216465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2534211277961731,0.07556822150945663,0.8621336221694946,0.1434289664030075,1.2802356481552124,0.5746239423751831,1.7253080606460571
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.006690335362586871,0.1295696645975113,0.0,0.0,0.0,0.0,0.0,0.006673985400629606,0.12938550114631653,0.014193885362634925,0.0,0.0122654373010713,0.07962404191493988,0.003422423033043742,0.04215727001428604,0.009580587968230247,0.003132314925939984,0.0,0.06873489916324615,0.058088403195142746,0.013276487675301853,0.015949968936200928,0.01572543755173683,0.014606299810111523,0.043425755186584473,0.04747806485922028,0.0019686535098807382,0.0033228741948478128,0.002122603445852537,0.002275954488388076,0.0005211649113334715,0.0008139710989780724,0.14617042060065064,0.14548122288069337,0.024996529733841324,0.024404296181672745,0.0,0.00023825904645491391,0.09729022533901627,0.038034803177374545,0.0380947269103968,0.00015917736163828522,0.030279632657766342,0.03424783796072006,0.007437652442604303,0.012435080483555794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5417531728744507,0.1397523432970047,1.62104070186615,0.28052836656570435,2.3169736862182617,0.9992215037345886,3.770878553390503
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.010841750017046566,0.21268823742866516,0.0,0.0,0.0,0.0,0.0,0.010777965710198269,0.21231403946876526,0.040625160490143204,0.0,0.021683656987278442,0.19568324089050293,0.0022704503498971462,0.07362338155508041,0.002008935669437051,0.0042114859834027196,0.0,0.09523725509643555,0.08065441995859146,0.01329530948964873,0.01564720220021448,0.03035152144730091,0.02781609073281288,0.09682359546880188,0.10030267838103027,0.0016822462513944496,0.005245102978924827,0.001976100551725075,0.0024371267829798866,0.0007263843435794115,0.0011621032608672976,0.3096250775912378,0.30783423557404055,0.05422836935096733,0.05432571402155075,0.0,0.00035659264540299773,0.1477663159719818,0.06057730468215958,0.06065966820979771,8.413106843363494e-05,0.044487908482551575,0.04912241920828819,0.008573555387556553,0.015231767669320107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8713781237602234,0.18753397464752197,2.2650697231292725,0.39246469736099243,3.184269666671753,1.202002763748169,6.426032066345215
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.01637390286456648,0.31258684396743774,0.0,0.0,0.0,0.0,0.0,0.01628842687579008,0.31206265091896057,0.0804465634462912,0.0,0.03253417330447331,0.3438549339771271,0.0009812487987801433,0.0891117975115776,0.0009486995404586196,0.005173938092391072,0.0,0.1144675612449646,0.09778578579425812,0.013425658542894675,0.015460611381681099,0.05009368062019348,0.04539743438363075,0.17554016484066376,0.17699691500652037,0.00161573483914393,0.007232041142335148,0.0019240077567666582,0.0020753276669632386,0.0006637639598920941,0.001228859880939126,0.49093444124856567,0.4876689530893988,0.08248299937679046,0.08382772779325944,0.0,0.00014497339725494385,0.2140862405154245,0.10623079691075821,0.10632253736175705,9.258771024178714e-05,0.05636008828878403,0.06166607886552811,0.006865878589451313,0.013360532000660896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1678544282913208,0.22568735480308533,2.9566075801849365,0.5070564150810242,3.9074349403381348,1.321913480758667,9.496389389038086
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.02502318362728264,0.42869022488594055,0.0,0.0,0.0,0.0,0.0,0.02490553396528946,0.42806053161621094,0.11877103216945831,0.0,0.04440229964206894,0.49894261360168457,-4.097249257029034e-05,0.0947132408618927,0.00010210883192485198,0.007099706180525045,0.0,0.13323435187339783,0.11441785842180252,0.0134803210184326,0.015272692596451188,0.07083676755428314,0.06338860839605331,0.2628702581034967,0.26219329539240144,0.001549274816656722,0.009648830105479641,0.002007575616686359,0.002042842072022941,0.0006086586508899927,0.001290547545067966,0.663153446503988,0.6576934575961145,0.1085952344190213,0.11101389047396072,0.0,0.0,0.2941366553210547,0.17472623590627198,0.1748344302487781,6.224125536391512e-05,0.0671008974313736,0.07203421741724014,0.004188040271401405,0.00875252578407526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4906456470489502,0.2605593502521515,3.652235746383667,0.6252912282943726,4.545801162719727,1.4340323209762573,12.680337905883789
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.029802955564421387,0.46120700240135193,0.0,0.0,0.0,0.0,0.0,0.029706761411638756,0.4606257379055023,0.12932115809387848,0.0,0.046555324109395294,0.5416843891143799,-0.000427970546297729,0.08238835632801056,-5.455005884869024e-05,0.007220044469252491,0.0,0.12343613803386688,0.10821451246738434,0.013411920923817364,0.015199525481577755,0.0757509395480156,0.06738442182540894,0.2922673233141516,0.29075981076682555,0.001501752081241371,0.010322122244611721,0.0020201685011550265,0.0017625980500213432,0.0004415964421699357,0.0011394217144697905,0.6870554100643506,0.6818896643657996,0.10936289476665786,0.1131657658405461,0.0,0.0,0.3292681813469922,0.21824163493131593,0.21832265257670594,4.3736992665799335e-05,0.0641220360994339,0.06846381723880768,0.001590175786986947,0.0033496664837002754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55298912525177,0.2488408088684082,3.6996259689331055,0.6041058301925659,4.333947658538818,1.2932432889938354,13.053510665893555
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.03463499490153275,0.48365238308906555,0.0,0.0,0.0,0.0,0.0,0.03455442951322342,0.4831450283527374,0.13364203228304627,0.0,0.04709613656292648,0.5560794472694397,-0.00031447852961719036,0.0789916142821312,1.9019953469978645e-05,0.007866378583926487,0.0,0.11646905541419983,0.1033255085349083,0.013340014067843593,0.014973783702562402,0.07796455919742584,0.06886522471904755,0.31218402836268067,0.30803826154957886,0.0015266236284309433,0.01128918881575285,0.0021279108907572906,0.0016291798643541001,0.00027964502487412573,0.0010078218765556812,0.694194879347771,0.6883414589161548,0.1062458756135704,0.11038184483837554,0.0,0.0,0.3624674827019751,0.25317606624420624,0.25325065251725004,5.377828983910149e-06,0.06250450015068054,0.0665627270936966,0.001268712687306106,0.0020211017690598965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.637265920639038,0.2615897059440613,3.82612681388855,0.5931993722915649,3.8792688846588135,1.242919921875,13.36689281463623
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03865920364513351,0.49804794788360596,0.0,0.0,0.0,0.0,0.0,0.03858675612012184,0.4975621700286865,0.13746654935136352,0.0,0.04702796690762383,0.5550588965415955,-0.0001417919556843117,0.08163447678089142,-0.00011313307913951576,0.007675837725400925,0.0,0.11090909689664841,0.10092708468437195,0.013398595350522955,0.014873826112438919,0.0803266316652298,0.07135437428951263,0.32045448572876223,0.3145837634577478,0.001521717716295181,0.011235177163758069,0.0022137165810123746,0.0014971228107191993,0.0001479321007696703,0.000946403422858566,0.6948386139833179,0.6895940832777369,0.10569625434350784,0.11018502671626847,0.0,0.0,0.3903371751029791,0.2794906437590259,0.279547080434252,-3.1456649594474584e-05,0.062171027064323425,0.06744088232517242,0.0008796666515991092,0.0015609987312927842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8262436389923096,0.3258364796638489,3.9870641231536865,0.6016784906387329,3.828382730484009,1.3417959213256836,12.878905296325684
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.040880355966369325,0.5034533143043518,0.0,0.0,0.0,0.0,0.0,0.0408106477795285,0.5030001997947693,0.14017779854138976,0.0,0.04727067293733589,0.5375992655754089,0.00015699182404205203,0.09037010371685028,5.353104279492982e-05,0.00834587775170803,0.0,0.1087014228105545,0.10046645998954773,0.013507291205778066,0.014986828789273564,0.08272245526313782,0.07381109893321991,0.31874329743818175,0.31095248609865417,0.001545681563105399,0.01105516672200838,0.002327467407894273,0.0013769700766173066,0.00012249451872622445,0.0009988045785576105,0.6919679969788575,0.6850842457181091,0.11197713844670044,0.11608131893399719,0.0,0.0,0.41015858053247434,0.2985284328170227,0.2985885471237085,-1.9498169422149658e-05,0.06505690515041351,0.07058049738407135,0.0010640008840709925,0.002547401702031493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.985613465309143,0.38137584924697876,3.9753434658050537,0.6016470789909363,3.8331525325775146,1.4737627506256104,12.420398712158203
