Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.011074122967287922,0.07053999602794647,0.0,0.0,0.0,0.0,0.0,0.011102278646693744,0.07052294164896011,0.006403089786878557,0.0,0.005100400170752583,0.03256857767701149,0.009535577148199081,0.04465615376830101,0.024653106927871704,0.0012183270453924669,0.0,0.0,0.0,0.024127474030714226,0.026843047352646962,0.0033339913934469223,0.0027129845693707466,0.02826462571268589,0.029568989548110963,0.0021321345897105455,0.0030045524437629844,0.0019169253933540012,0.0007038094063684767,0.0002371990995015949,0.0004135696217417717,0.049587835339473266,0.05068242923055565,0.005567909260505342,0.005430874435659952,0.0,0.0,0.08746652306044678,0.07287593412884513,0.07287872584350999,0.00012188261462142691,0.006388070993125439,0.0076558953151106834,0.00048748418339528143,0.0003930161183234304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3268902599811554,0.12807300686836243,0.6281999349594116,0.13295845687389374,1.4245572090148926,0.6865416765213013,1.5772581100463867
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.020019626613143576,0.1612662374973297,0.0,0.0,0.0,0.0,0.0,0.020064072457534637,0.16121217608451843,0.014421585350225238,0.0,0.009919371940018549,0.08073239028453827,0.017232496291399002,0.11676688492298126,0.04679672792553902,0.0021514431963872383,0.0,0.0,0.0,0.05090630504038849,0.05251427072291237,0.006246353965252638,0.0048797111958265305,0.05277918054034996,0.052409861201354754,0.0019570586165863517,0.005729463881718387,0.0019049211967942662,0.0011565582465406501,0.0004682217841036618,0.0007868368411436677,0.118180064512966,0.11824990214190094,0.015660565747027302,0.015799864656799965,0.0,0.0,0.13950051368483002,0.10857612494300597,0.10858639474730133,0.00016517532640136778,0.011280983686447144,0.013639301061630249,0.0005965072778053582,0.0005081885610707104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676681399345398,0.22665195167064667,1.3025176525115967,0.24684259295463562,2.6529879570007324,1.246909499168396,3.5446906089782715
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.027632832004367943,0.2591497004032135,0.0,0.0,0.0,0.0,0.0,0.02772602956805168,0.2590900659561157,0.021386248921024704,0.0,0.014462159391968231,0.13422299921512604,0.026739198714494705,0.17314735054969788,0.06647460907697678,0.0029567898172598982,0.0,0.0,0.0,0.07988835276296356,0.08024439069531403,0.009389675222337246,0.007196009159088135,0.07673146576146546,0.07496737394196243,0.0019969519927970263,0.008815662413517552,0.0019096143153331368,0.0013246736091338802,0.0006701621459797025,0.001101225265301764,0.179695773468313,0.1787042297375537,0.022168066556987685,0.02253555437885437,0.0,0.0,0.19140876237071686,0.1418012619227411,0.14180838762486633,0.0002787121047731489,0.014761257916688919,0.017993822693824768,0.00037767531466670334,0.00047227987670339644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9801737070083618,0.31887421011924744,1.9920974969863892,0.3496740758419037,3.6260478496551514,1.766598105430603,5.803701877593994
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.03609051679055992,0.3579387068748474,0.0,0.0,0.0,0.0,0.0,0.03621535951616379,0.35792964696884155,0.02915205785013031,3.7809550121892244e-05,0.018526360938583755,0.19797994196414948,0.0404767170548439,0.21225135028362274,0.0894036665558815,0.004470218182156859,0.0,0.0,0.0,0.10306300522503342,0.1030389949470958,0.01431342400610447,0.011432062834501266,0.1013709761027945,0.09811611320960724,0.002137977046951652,0.013256770602812978,0.0019064105549624934,0.0015636398359413933,0.0006270591402426362,0.0011612622765824199,0.24036006108918762,0.2383359886690802,0.023896278999583662,0.024511036782069017,0.0,0.0,0.2430151611420648,0.17001023296260376,0.1700293451539438,0.0003108785313088447,0.01853279210627079,0.02264750562608242,0.0003373616491444409,0.0004457441682461649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.260696291923523,0.402810275554657,2.614365339279175,0.4516522288322449,4.413589000701904,2.2448244094848633,8.431154251098633
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.042938924236451646,0.44901707768440247,0.0,0.0,0.0,0.0,0.0,0.043104944254815446,0.44905906915664673,0.03914593227207367,8.839622023515403e-05,0.02322118748675068,0.2722989320755005,0.051030904054641724,0.251407265663147,0.10264894366264343,0.0060708638877990054,0.0,0.0,0.0,0.11015337406744935,0.10973416716410293,0.0212925486266613,0.01734985038638115,0.12748569102156845,0.12000929120481751,0.001965570499609927,0.016997990605350417,0.0021145725096959954,0.002314710731206324,0.000626809021923691,0.0013044169172644615,0.3192933567250879,0.31639091371755923,0.028401569540414506,0.02902295184028038,0.0,0.0,0.2874147713088324,0.18801838461556916,0.1880472898793628,0.0003854769456665963,0.023678608238697052,0.02891729399561882,0.0010573331965133548,0.0010794921545311809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.589491605758667,0.4732637405395508,3.1841063499450684,0.5496349334716797,5.2713189125061035,2.586296558380127,10.986175537109375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0404208487536132,0.44592535495758057,0.0,0.0,0.0,0.0,0.0,0.04055597091397812,0.4459386169910431,0.043569438321062776,0.00017408683197572827,0.022609849112232475,0.29062867164611816,0.05059284716844559,0.24086645245552063,0.09457044303417206,0.006823024915322924,0.0,0.0,0.0,0.10590433177871948,0.10564872328147644,0.02453097328543663,0.02027333527803421,0.1286812730421637,0.11702172603333938,0.001800740300824778,0.017226727089360697,0.002388714158848202,0.00208498676792603,0.0008382599398376954,0.0015526104252785444,0.33939486852992673,0.33561227841571106,0.026358630605667153,0.02691006830705784,0.0,0.0,0.277408191584686,0.1724638670346637,0.1725059032423706,0.0004728350031655282,0.023785069584846497,0.027952203527092934,0.0019165055127814412,0.0019343330059200525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.595495343208313,0.4930461645126343,3.009413003921509,0.5489118099212646,5.167667388916016,2.6042425632476807,11.074539184570312
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.03675370160471878,0.4418316185474396,0.0,0.0,0.0,0.0,0.0,0.0368600154042318,0.44182777404785156,0.04446133925268891,0.00022584617545362562,0.02245003131817074,0.2862381041049957,0.05657503753900528,0.2396925389766693,0.1051410585641861,0.007295264107156325,0.0,0.0,0.0,0.11275531203708801,0.1123901441576619,0.02625197358429432,0.021908631548285484,0.12139654908125519,0.10699693562279816,0.0016965034253165958,0.018392439177731857,0.002375044855633702,0.0014481104995828532,0.0010719431998029996,0.0018220985075458884,0.32657613974282107,0.32345910894819824,0.020248836161375235,0.020753621508593063,0.0,0.0,0.2756583243767798,0.15511705275829774,0.15517951693671037,0.000571762619074434,0.023518214002251625,0.027357449755072594,0.0018743358086794615,0.0017631460214033723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5362341403961182,0.497869610786438,3.010317325592041,0.5663944482803345,5.32889986038208,2.7648215293884277,10.88248062133789
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0348588226701255,0.43422195315361023,0.0,0.0,0.0,0.0,0.0,0.034978991279995805,0.43428584933280945,0.04002157546535049,0.00028325937455520034,0.020608768767121848,0.24585941433906555,0.06773226708173752,0.21122393012046814,0.12344561517238617,0.008162916637957096,0.0,0.0,0.0,0.11155810657488968,0.11205327358779404,0.025630924850702286,0.021394426003098488,0.10507653655054336,0.08981364218136917,0.0017570496668297818,0.01896308047769287,0.002225861624013885,0.001130109858963303,0.0011021018080260396,0.001930125174112618,0.2668195671998706,0.2637939982099878,0.01126394041698988,0.011569748226380749,0.0,0.0,0.28166877326563017,0.14439516665483887,0.14447363469689012,0.000762580952141434,0.023405568674206734,0.027155470103025436,0.000987257226370275,0.0009527726215310395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.457848310470581,0.5553541779518127,3.03877854347229,0.6156682968139648,5.832247734069824,2.957426071166992,10.217905044555664
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.03262785447863739,0.43652400374412537,0.0,0.0,0.0,0.0,0.0,0.032803896242205505,0.4368114769458771,0.03251531821688301,0.000456804787972942,0.018285219167771264,0.19097080826759338,0.07863987982273102,0.1728811413049698,0.13978241384029388,0.010157977230846882,0.0,0.0,0.0,0.09906410722443024,0.1011568799779474,0.02268957905471325,0.018611233681440353,0.0892362534804715,0.07499747872436752,0.0021097930816480308,0.019575962685712968,0.0019018985969973252,0.0009593339803726286,0.0009875226930292308,0.001982415560632944,0.1996143639327072,0.19691566339789582,0.005123679416310653,0.005239665158573427,6.216906331246719e-05,0.0,0.2933448612598608,0.13956220445112458,0.13965875209692932,0.0010229155886918306,0.023881811648607254,0.028262967243790627,0.00023716669238638133,0.00037181153311394155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4353716373443604,0.6352788209915161,3.0322835445404053,0.638315737247467,6.425013065338135,3.1150362491607666,9.560111999511719
