Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.01874909176872673,0.0362006276845932,0.0,0.0,0.0,0.0,0.0,0.018773797829316177,0.03615289553999901,0.012046806334516736,6.0741062043234706e-05,0.007884093078294574,0.0593901164829731,0.0012092720717191696,0.041506994515657425,0.002124339807778597,0.0016339525035100413,0.0,0.008471688255667686,0.006597255356609821,0.013507784145652993,0.016415152321476043,0.0055723125115036964,0.004872354678809643,0.029810628637128182,0.030830592635297777,0.001832104460272745,0.0023860960465573932,0.0018628362038781978,0.0005790110317686996,0.00032603571889922023,0.0003013864334207028,0.09234615114109375,0.0944999828997699,0.013450215147101784,0.01326850105306179,0.0,7.606178314745193e-06,0.06804937497699837,0.06425581540652553,0.06425056980737145,2.5872588594211265e-05,0.0092001399025321,0.009827201254665852,0.0001247355539817363,3.068259320571087e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3909512162208557,0.16995954513549805,0.35573631525039673,0.14499302208423615,1.34708571434021,0.8005937337875366,1.6521494388580322
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.03574113212097038,0.10370717197656631,0.0,0.0,0.0,0.0,0.0,0.035765493062717285,0.10362591594457626,0.027774589470515518,0.00028448234661482275,0.013580670598717346,0.1377074271440506,0.002643992193043232,0.0889536589384079,0.0020945153664797544,0.00511867626749093,0.0,0.009291788563132286,0.0034074452705681324,0.018776776108115102,0.0211025204807983,0.012949300929903984,0.011075308546423912,0.06302999852469254,0.060934387111970675,0.0019236079107721766,0.004495654719787111,0.001971081875919726,0.0007559833395786577,0.0005886554718017578,0.0005366296973079443,0.19195161576437744,0.19299086333593934,0.02800392306417694,0.02768697915183895,0.0008932696655392647,0.0008958523976616561,0.10437737406500275,0.09980581555436843,0.09980656351666092,8.372504089493304e-05,0.017020326107740402,0.018164895474910736,0.0002142681332770735,-3.8495003536809236e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707833468914032,0.2487824708223343,0.7515789270401001,0.28749698400497437,2.6291935443878174,1.2579771280288696,3.898240566253662
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0536500191676017,0.19555625319480896,0.0,0.0,0.0,0.0,0.0,0.0537136323383802,0.19560332596302032,0.047144899074900055,0.0006660313811153173,0.02009715643200157,0.22572802007198334,0.004633891396224499,0.14369302988052368,0.007135539315640926,0.0098672473258984,0.0,0.007696365937590599,0.0003345469303894788,0.03360586018493393,0.03583537454805813,0.021842414513230324,0.01839599944651127,0.10232178867320481,0.09738059047323913,0.001995938102655405,0.00649353856189044,0.00204156933639414,0.0010638174319416989,0.0006618851330131292,0.0007324995240196586,0.2890835884669397,0.2884605504525043,0.04496577775054924,0.04467388173900757,0.0013709007762372494,0.0011205580085515976,0.13790640387452774,0.13465663941802994,0.13466456978285965,4.925027315039188e-05,0.023680783808231354,0.024861475452780724,0.0002851498138625175,-7.367804937530309e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9457851052284241,0.30747711658477783,1.072547197341919,0.3708837628364563,3.2099709510803223,1.6301205158233643,7.085933208465576
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.07161307086031739,0.2940210700035095,0.0,0.0,0.0,0.0,0.0,0.07170658016922088,0.2941473722457886,0.0643921194312651,0.0009767089504748583,0.026385488534604453,0.3022378087043762,0.007486184127628803,0.1915452480316162,0.0133440550416708,0.014196528796653328,0.0,0.007247042842209339,0.0,0.04159538561222042,0.04376942513289063,0.03189494088292122,0.027055352926254272,0.1380204118613852,0.13103866424548827,0.0021294248281642798,0.009057321629872533,0.0022336815495656616,0.0012545678084928285,0.0007753535755909979,0.0009703716496005654,0.3676627077261505,0.36511211767641966,0.06069205533696884,0.06007949387888412,0.00406666100025177,0.003624842269346118,0.16151194869013,0.15749658051871795,0.15751624405302217,8.87526257429272e-05,0.0284732636064291,0.028909197077155113,0.0004166892322245985,3.00165411317721e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2433948516845703,0.36362308263778687,1.3968946933746338,0.4574292302131653,3.5674490928649902,1.9802048206329346,10.397542953491211
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0869870137704959,0.381229966878891,0.0,0.0,0.0,0.0,0.0,0.08705794202870117,0.3811672329902649,0.07574529267847244,0.0011945058358833194,0.03314827960680206,0.3380851447582245,0.009052252396941185,0.23556891083717346,0.019517360255122185,0.018193688210231287,0.0,0.012887608259916306,0.0,0.03565888553013779,0.038067071517840764,0.041616156697273254,0.035703226923942566,0.15168099702466217,0.14368626776636384,0.0020415173817442305,0.010893051919456406,0.002316228727237308,0.0015158735076504313,0.0009622696088626981,0.0012253664899617434,0.4213521249974878,0.4167988717482599,0.07966980066410034,0.0780755591083754,0.013272076845169067,0.012968991883099079,0.17455823420517944,0.16267799142995362,0.162731781632941,0.0001455593155696988,0.034215860068798065,0.03332589194178581,0.0006274135666899383,0.00021557942091021687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6095407009124756,0.4443724751472473,1.737184762954712,0.5368028879165649,4.15998649597168,2.273676872253418,13.36066722869873
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.08543540525094864,0.37901896238327026,0.0,0.0,0.0,0.0,0.0,0.08539580012044479,0.3786555826663971,0.060247805131146165,0.0009325896971859038,0.035357813002665786,0.27753227949142456,0.004441696219146252,0.22133928537368774,0.012500687502324581,0.017084409219935797,0.0,0.033175207674503326,0.010964482091367245,0.014232540734655616,0.01611855026173757,0.03952443227171898,0.03385162726044655,0.12005656289955124,0.11531914915765273,0.0017382907275184112,0.009429473771229725,0.0023752065472642837,0.0016891699006862568,0.0012405652732471538,0.001435483223758638,0.3927427839409222,0.38796840233996643,0.0868287255099707,0.08405499889327667,0.030046630650758743,0.029986364766955376,0.15221864136371965,0.12695316519950822,0.12703698426320267,0.0002558574196882546,0.03606338053941727,0.033710822463035583,0.0011284510837867856,0.0011389829451218247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9263924360275269,0.4960319995880127,1.8951914310455322,0.5876038074493408,4.887414455413818,2.4544458389282227,11.772992134094238
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.08325119558703384,0.372192919254303,0.0,0.0,0.0,0.0,0.0,0.08319260196090485,0.3719004690647125,0.048996258067586444,0.0008529035840183496,0.037581007533175656,0.2315760999917984,0.0015532425604760647,0.20413921773433685,0.0037877524737268686,0.01618598465712719,1.6124247849802487e-05,0.07537336647510529,0.05076666176319122,0.013264500221602655,0.015421031025443996,0.03555988147854805,0.030530545860528946,0.09187266979162811,0.08895548881779786,0.0015581640224785677,0.008379493086139545,0.0021664256230531707,0.0020560207163688206,0.0014345601634875584,0.0017528135795146227,0.386106397921532,0.3824492298359546,0.0975171330140831,0.0948608400423474,0.04543934762477875,0.04527519643306732,0.13465455921097397,0.09249589886721116,0.09259551536577035,0.00034643590333871543,0.04186394810676575,0.03985060378909111,0.004241010639816523,0.007994512096047401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1777713298797607,0.5533324480056763,2.033316135406494,0.6410370469093323,6.31523323059082,2.6799657344818115,9.702615737915039
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0813092774118419,0.366682231426239,0.0,0.0,0.0,0.0,0.0,0.08120978055397308,0.3664860427379608,0.04356617800846611,0.0009489840012975037,0.03983625673354012,0.20635217428207397,0.0006685724947601557,0.184335857629776,0.001683863578364253,0.018262606114149094,0.0,0.1126638725399971,0.08203158527612686,0.013224549613155832,0.015325496693680989,0.03341813385486603,0.02833184413611889,0.07197336481454139,0.06909561154982696,0.0014174671043831876,0.007906992100902586,0.0021491571509828986,0.002722037143570967,0.0017205320117842197,0.002202821895480156,0.38897287916772033,0.3838644556684839,0.10914492693614776,0.10598695982602875,0.059473514556884766,0.05910134315490723,0.11978824284866471,0.061195734535111734,0.061336573249984976,0.00048825712292455137,0.05098588764667511,0.04802959784865379,0.012394293211400509,0.01927288807928562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.329721450805664,0.602833092212677,2.123525619506836,0.6883946657180786,7.4409708976745605,2.819160223007202,8.117247581481934
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.07762223852900665,0.3634300231933594,0.0,0.0,0.0,0.0,0.0,0.0774833368001622,0.36332693696022034,0.038471446456514666,0.000903976266272366,0.043722579797210614,0.18581195175647736,5.0938466301886365e-05,0.17218099534511566,0.0011784674134105444,0.018375998362898827,0.0,0.13942614197731018,0.10518962889909744,0.013318784531756583,0.015385191077525083,0.032133713364601135,0.027155963703989983,0.054406543801583176,0.05242546796882858,0.0013346709833725703,0.0073065835802940465,0.0020939954213185226,0.004677456500158167,0.002216247357572055,0.0028321356512606144,0.3948399752617859,0.39028581193743894,0.12544068776262984,0.12188486673358444,0.06785254180431366,0.06734099984169006,0.11282602547685608,0.04052337395847907,0.04067010219592668,0.00048702151980251074,0.05941985175013542,0.05606268718838692,0.022042250260710716,0.030516482889652252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.511920928955078,0.653142511844635,2.2441234588623047,0.731351912021637,8.272006034851074,2.802558660507202,7.0387749671936035
