Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.013086570421323204,-6.5293761508655734e-06,0.0,0.0,0.0,0.0,0.0,0.01323302176283411,2.0791292627109215e-05,0.004174051160922975,0.0,0.006278441271254597,0.026766527444124222,0.00017120609118137509,0.020387059077620506,5.8084388001589105e-05,0.00029505715141840103,5.146950570633635e-05,0.03797435760498047,0.04051107168197632,0.013161801374402574,0.01636432862976754,0.004597288556396961,0.005280504934489727,0.018380425653808423,0.021548819515132905,0.0017335137885039838,0.0009918268735238575,0.001827359697537583,0.0006928238454204476,0.0008302681380882859,0.0008901118999347091,0.08374464210646011,0.08623462916050827,0.024850991131031418,0.026323406512346572,0.013008655980229378,0.013053946197032928,0.0470957066955624,0.034858733077001554,0.03484852919285777,6.17241530562751e-05,0.01875903084874153,0.023428229615092278,0.01519433967769146,0.0173024944961071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3400914967060089,0.07277257740497589,0.4631534218788147,0.15223075449466705,1.8833532333374023,0.988094687461853,1.045632243156433
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.023477662722948683,5.6703895097598433e-05,0.0,0.0,0.0,0.0,0.0,0.023734321591836777,8.880805398803204e-05,0.011691158971677093,3.5991965887660626e-06,0.011173922587009086,0.0817941203713417,0.00029283834737725556,0.05503401905298233,0.00012955264537595212,0.00035169637242446066,5.9793830587295815e-05,0.059677012264728546,0.06576626002788544,0.01295663794646238,0.016373901136847887,0.009304792620241642,0.01049590390175581,0.03495054280629444,0.037334227899023784,0.001706402855394032,0.001789141678156724,0.001856259130247299,0.0007472167419761413,0.001629041857086122,0.0017338249599561095,0.1940230708854178,0.1963377088435611,0.054458535676901246,0.05791127075957649,0.020741049200296402,0.020853813737630844,0.06142806449242527,0.03458198072593847,0.034563080657728805,0.0001503573002992198,0.03394261747598648,0.04261772707104683,0.024908127263188362,0.029512006789445877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8151776194572449,0.1498376876115799,0.9648886919021606,0.289503276348114,3.813349485397339,1.7635459899902344,2.068476915359497
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.03312848269814216,8.814851753413677e-05,0.0,0.0,0.0,0.0,0.0,0.0334744244447702,0.00012584190699271858,0.026107558910715485,5.298972155287629e-06,0.01717499494972704,0.1561930775642395,0.0003935444401577115,0.10490775853395462,0.00040433023241348565,0.0005619380544584895,3.8358091842383146e-05,0.0603097528219223,0.07034202665090561,0.012714587460095003,0.01632271753014541,0.014367024414241314,0.01556983683258295,0.06277671829323235,0.06366466436249466,0.0016028575993830467,0.002500821780095415,0.0018440691713079004,0.000884610595904361,0.0022985769901424646,0.0024807832669466734,0.3166829231837366,0.318173734093938,0.08691652139597886,0.09209502419792327,0.02197556383907795,0.022154612466692924,0.07889310050524406,0.03445261203375047,0.03443194598249352,7.958516653161496e-05,0.046059876680374146,0.05768047273159027,0.02955201268196106,0.03709491714835167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3749361038208008,0.24335744976997375,1.454315185546875,0.4085065722465515,5.610905647277832,2.5336952209472656,3.141763687133789
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.04338738445918861,7.53029016777873e-05,0.0,0.0,0.0,0.0,0.0,0.04379322955729576,5.5990454711718485e-05,0.04276113190627884,2.0983041395084e-05,0.02321835661891594,0.2310163527727127,0.0006206691032275558,0.16525092720985413,0.002378215314820409,0.0008988050740091777,1.9185781638952903e-05,0.04121918976306915,0.05437535047531128,0.013251314229330896,0.016413037929564177,0.019808579236268997,0.0208347849547863,0.09670825375362763,0.09618674811113083,0.0015646023958120496,0.003200663996314616,0.0019028061474238335,0.0010586884357247244,0.003094651736319065,0.0033848718740046024,0.4320267833868561,0.432935885338468,0.11773949693872207,0.12474425262073975,0.017846744507551193,0.01811385154724121,0.09582543222637344,0.03433864284333088,0.034308090267495636,3.9503695006715134e-05,0.05609562247991562,0.06987695395946503,0.03215106204152107,0.040939830243587494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.007075309753418,0.3533559739589691,1.9510581493377686,0.5277121663093567,7.101269721984863,3.3562145233154297,4.419610023498535
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.05439952651992943,9.18187197385123e-06,0.0,0.0,0.0,0.0,0.0,0.05485924470013367,-0.00017306119843851775,0.05834967337548439,3.645196557044983e-06,0.030194966315729217,0.2975587844848633,0.0010837673908099532,0.23106804490089417,0.006061298307031393,0.0011946712286593723,4.0114522562362254e-05,0.015903640538454056,0.029644206166267395,0.026437495640420687,0.028297624369994546,0.024921167641878128,0.025770768523216248,0.12733862401116577,0.12557411495149873,0.0014584032065018586,0.003921363909657879,0.0017741354260453822,0.0013074688357839846,0.0037366016767919064,0.004033887758851051,0.5276950963224084,0.5283379673884424,0.14628559079280823,0.15462147560608278,0.010937921702861786,0.011479723267257214,0.11135769336455367,0.034370129408879145,0.034331991481052246,5.856037023477256e-05,0.06370212882757187,0.07964413613080978,0.03174450993537903,0.04206644371151924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5307343006134033,0.45958411693573,2.4559247493743896,0.6440534591674805,8.583677291870117,4.245422840118408,5.807445526123047
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0552288963164508,1.9120350771117955e-05,0.0,0.0,0.0,0.0,0.0,0.05561079288205673,-0.00034334510564804077,0.05703531594342873,0.0,0.03193242719968155,0.28462210297584534,0.0014022523537278175,0.2509239912033081,0.014065834693610668,0.0012615348377975463,3.8273632526397705e-05,0.0,0.006152785383164883,0.039730517541601715,0.0400138561050629,0.023465849459171295,0.023888394236564636,0.12450292783876404,0.123626062235484,0.0013440864598684998,0.003882751210108738,0.001841582257008454,0.0014095913457765805,0.003852127999335022,0.004026898182928562,0.49173686019290586,0.49250848217204346,0.1424419154456549,0.14945707454158447,0.0049103861674666405,0.005607228260487318,0.113155284546951,0.0342802866578738,0.03424965776047253,0.00010916218161582947,0.05940390005707741,0.07331454753875732,0.026298081502318382,0.034937020391225815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3694841861724854,0.4510907530784607,2.436210870742798,0.6323264241218567,8.554184913635254,4.387131690979004,5.901452541351318
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.05601870138179741,0.0002372599410591647,0.0,0.0,0.0,0.0,0.0,0.056361720126874695,-0.00022271423949860036,0.052870399790504,0.0,0.03380650987516136,0.2620510756969452,0.0011190539225935936,0.2657969892024994,0.02185354195535183,0.0012277064975162626,0.00010428339010104537,0.0,0.0020795983728021383,0.05116042719445381,0.05066957174564789,0.020916162058711052,0.021183719858527184,0.11315131936018585,0.11333856435309525,0.0012921309195893717,0.0038710389663529255,0.0019363889543991051,0.001423555656034168,0.003853532482479577,0.003913539461791515,0.45390453558632693,0.4556420050854358,0.13866025979983826,0.1448348196346707,0.0018937117420136929,0.0026335371658205986,0.11345677079363464,0.034019122946203066,0.03399369512096725,0.00012806832091882825,0.056037236005067825,0.06838257610797882,0.022180909290909767,0.02893344685435295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25781512260437,0.4490728974342346,2.3670578002929688,0.6252477169036865,8.435592651367188,4.613628387451172,5.985284328460693
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.055382493730926054,8.104994776658714e-05,0.0,0.0,0.0,0.0,0.0,0.05571324927607811,-0.00032086088322103024,0.04732220940247093,0.0,0.035362626394632876,0.2418440878391266,0.0010270318016409874,0.2771933078765869,0.03013213910162449,0.0013205506838858128,0.0,0.0,0.0014660257147625089,0.05842631015526917,0.05797965672549698,0.018364891409873962,0.018484249711036682,0.10070207716467147,0.10197355595967422,0.0012352110163731521,0.003957965290897278,0.0019427175006272931,0.001380222153415568,0.003784004534206891,0.003810628317296505,0.42199525308243896,0.4246739380045282,0.13477483478259858,0.14029037166742125,0.0014041706454008818,0.0020688320510089397,0.11198025790050645,0.034001364994445504,0.03398593347109712,0.00016427278751507401,0.0532316155731678,0.06374005973339081,0.018731139600276947,0.023690516129136086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18489933013916,0.46793338656425476,2.318068742752075,0.6234748959541321,8.368875503540039,4.877719402313232,5.908749103546143
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.052930004877130205,1.6094221791718155e-05,0.0,0.0,0.0,0.0,0.0,0.053244541758124236,-0.00036379427183419466,0.044131782921158144,0.0,0.036343889852466504,0.22861787676811218,0.0010199814569205046,0.2923085689544678,0.042594365775585175,0.0014015283668413758,0.0,0.0,0.001564670237712562,0.06699715106197754,0.06686602981544129,0.016910554841160774,0.01669185608625412,0.09058898834422958,0.09267588108862151,0.001151185840602347,0.004076249786385689,0.001891287325860885,0.001329363078494078,0.003692171285072899,0.0036490282509475946,0.398764762306311,0.4018435399895782,0.13144000701798186,0.13633850880387788,0.0011802574153989553,0.0017955732764676213,0.10982567667047485,0.03388716632622426,0.033876199212736186,0.00021208942052908242,0.050382308661937714,0.059300441294908524,0.01559409499168396,0.019238967448472977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2105205059051514,0.4829590916633606,2.2567360401153564,0.6182388663291931,8.232088088989258,5.011456489562988,5.941998481750488
