Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.008101145731374645,0.10705741494894028,0.0,0.0,0.0,0.0,0.0,0.008157049701229848,0.10712900012731552,0.004742350249550075,1.1960208212258294e-05,0.004584418360585151,0.031884126365184784,0.0003593523579183966,0.03899446129798889,0.0031961295753717422,0.0007042667283194495,7.292353984666988e-05,0.01342711877077818,0.014255163259804249,0.013327984602832446,0.016282156551075885,0.0027177243027836084,0.0023667216300964355,0.02368480131720812,0.02703718819769621,0.0018996235352189213,0.0012445319991276824,0.0019432670702115564,0.00366059539559525,0.0002600157749839127,0.000654245144687593,0.06685362455026962,0.06965315342579757,0.02562830834206333,0.027656991521325416,0.01329457201063633,0.013248845934867859,0.051031563440209426,0.034766624601346004,0.03477461112419269,0.00012144100764999166,0.007995391264557838,0.011617343872785568,0.0012748956214636564,0.006087819114327431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39302724599838257,0.10616747289896011,0.7088673114776611,0.10239604860544205,1.4289686679840088,0.4910423159599304,1.6853103637695312
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.015048231366459027,0.2151275873184204,0.0,0.0,0.0,0.0,0.0,0.015138786060196724,0.21528267860412598,0.013382917604337005,2.0666398995672353e-05,0.009289682395579233,0.08050108700990677,0.0001218070974573493,0.07506220042705536,0.0010887566022574902,0.001178240326159842,0.00015646553947590292,0.03954758495092392,0.04042769595980644,0.013229940318541723,0.016153599321131803,0.007107769604772329,0.006232726387679577,0.040679968504813195,0.04306672137410332,0.0019363337498142813,0.0021276951291583682,0.001985443015539449,0.007010606372452154,0.000485477561596781,0.0012750679161399603,0.16507357175516876,0.16795625687918275,0.060199643885795975,0.06443122541117065,0.02726963721215725,0.02716674469411373,0.06588627958007748,0.034437184849316384,0.03445110449222973,0.00020090008911211044,0.016972288489341736,0.0241402480751276,0.0032513432670384645,0.012953711673617363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7988247871398926,0.2071855068206787,1.3861851692199707,0.1940462738275528,3.029066324234009,0.9729021787643433,3.175323963165283
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.022575331329047318,0.32268062233924866,0.0,0.0,0.0,0.0,0.0,0.022663469948505745,0.32281622290611267,0.028934454475510026,0.0,0.01470257100137947,0.14248228073120117,0.00014178300625644624,0.09012822061777115,0.000357625016476959,0.0019263315634515787,0.00026024581165984273,0.08513715863227844,0.0837145671248436,0.013103822481525071,0.016079087703290525,0.01646384224295616,0.014942950569093227,0.06726634130339089,0.06801087114674301,0.0020113122010941746,0.0031632503398308326,0.002077534540400201,0.0096720862968602,0.0006895544938743114,0.0018262520898133516,0.2866136315920923,0.2886124528897144,0.09286753853732102,0.09898279538713607,0.04004364088177681,0.03998873755335808,0.07667375508464508,0.034301250777720255,0.03433634334006161,0.00022587274725083262,0.02801891788840294,0.03837640583515167,0.004763810895383358,0.018158968538045883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2030774354934692,0.31008702516555786,1.9855440855026245,0.3087462782859802,5.040191650390625,1.4662556648254395,4.356781482696533
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.03036470089834038,0.42730236053466797,0.0,0.0,0.0,0.0,0.0,0.03044864366175743,0.4274023175239563,0.05205761992312263,0.0,0.0216648341960062,0.2180432379245758,0.0001503658277215436,0.08668826520442963,0.0004350986273493618,0.002958012255455432,0.00016959858476184309,0.1519237458705902,0.1482287347316742,0.013195746489566668,0.015953910568609297,0.0328763946890831,0.030358269810676575,0.10487590802952179,0.10215306874501907,0.0020411723517477515,0.00420973687191865,0.0021786850452337227,0.01080278480846693,0.0009265996632166207,0.0025191004388034344,0.4331776298681793,0.4341839469954199,0.1244305206461119,0.13252572840313415,0.04945958033204079,0.04949430376291275,0.08491719736190009,0.03414233283482593,0.03419251108052783,0.0002515296800993383,0.04222169890999794,0.055375147610902786,0.006823287345468998,0.023404289036989212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6373506784439087,0.38325756788253784,2.510810375213623,0.44267815351486206,7.4483232498168945,1.891326904296875,5.236914157867432
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.037736984743033906,0.5307586193084717,0.0,0.0,0.0,0.0,0.0,0.03780536490267502,0.5307689905166626,0.08092238821088973,0.0,0.029860777973634796,0.31001898646354675,0.00024176955048460513,0.07708817720413208,0.0005180144216865301,0.0046781650410415935,0.0,0.23700809478759766,0.22935903072357178,0.013349797120026645,0.01585183978863507,0.05508257821202278,0.051246434450149536,0.15838505924809662,0.1530196845859363,0.0020999138974135316,0.005185347923006697,0.0023931672932905944,0.012195234277805176,0.0013461651979014277,0.0033835850190371275,0.5888254411901147,0.5887667059824976,0.15762188758960693,0.16720406082165132,0.05699075385928154,0.05715007334947586,0.0900524973773291,0.034200317306821014,0.03427367332380847,0.0002045211149379611,0.05824309214949608,0.07344703376293182,0.007966656237840652,0.026754407212138176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0229873657226562,0.43024522066116333,3.018773078918457,0.5719433426856995,9.812400817871094,2.2860777378082275,6.245350360870361
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.03793471294299957,0.5299011468887329,0.0,0.0,0.0,0.0,0.0,0.03797270188412239,0.5298382043838501,0.09631090627379105,0.0,0.03276085911889866,0.34598830342292786,0.00025498270406387746,0.0585949569940567,0.0003226280095987022,0.005083101073071623,0.0,0.27173638343811035,0.26246777176856995,0.013417447159144488,0.015769420304124968,0.06713846325874329,0.0625869482755661,0.18856334763666138,0.1824387698980664,0.002059865600460121,0.005443369845375757,0.002425811181716895,0.011806907360636406,0.0013242514750803423,0.003415583400055766,0.6208881150852551,0.6204469315548254,0.16264884369882873,0.17233701779319427,0.05021342262625694,0.05046573653817177,0.08254611643467301,0.03410783346755735,0.0341943776538647,8.302807691507041e-05,0.06372374296188354,0.0787733793258667,0.0072862994857132435,0.025246132165193558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9806174039840698,0.40280503034591675,3.06272029876709,0.5854641199111938,9.77128791809082,2.1131458282470703,6.50311279296875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.03914980087410889,0.5304712653160095,0.0,0.0,0.0,0.0,0.0,0.03919322432280327,0.5303964018821716,0.1050016651923442,0.0,0.03538700526247711,0.3676302433013916,0.00023161768331192434,0.04864715039730072,0.00022333144443109632,0.0049867636421506885,0.0,0.2895275354385376,0.2805042266845703,0.013345221616227216,0.015566228609504948,0.07448723167181015,0.06959109008312225,0.20902722332422852,0.2030175149608719,0.002036131957263396,0.005504395058850631,0.0024936855145450197,0.01197518809621748,0.0014493421153918553,0.003554276190698147,0.6354462168759998,0.6354993187184009,0.16765514786708374,0.1779517563183255,0.04654349759221077,0.04683126509189606,0.07795215772195457,0.033775253256036745,0.03385474976728416,-1.0639429319780902e-06,0.06775825470685959,0.08308053761720657,0.007094564847648144,0.024618804454803467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9810476303100586,0.38455671072006226,3.07545804977417,0.5882934331893921,9.553633689880371,1.9445555210113525,6.865894317626953
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.04066740706219627,0.5312643647193909,0.0,0.0,0.0,0.0,0.0,0.04072456611195839,0.5312120318412781,0.10836669005408799,0.0,0.03652252905667168,0.3650556206703186,0.00021302461391314864,0.046605147421360016,0.00016524553939234465,0.0049248929135501385,0.0,0.2923623323440552,0.28477758169174194,0.01332150966460671,0.015575228892107489,0.07684437930583954,0.07209281623363495,0.21390437336208587,0.2081600278391565,0.00204106496972535,0.005724524260290651,0.0025245643350205113,0.012607795770777055,0.0014593656459670305,0.003618469927459955,0.6355488009416309,0.6363848976774561,0.17180073347759064,0.1827818821778659,0.04802315682172775,0.048321738839149475,0.07845891115263123,0.033632367874496305,0.033707488808698,-3.846347317448817e-05,0.07016564160585403,0.08648747205734253,0.007390263024717569,0.025494318455457687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9442713260650635,0.3812934160232544,3.080533266067505,0.597873330116272,9.399744987487793,1.8382761478424072,7.1861724853515625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0426148287775914,0.5318551063537598,0.0,0.0,0.0,0.0,0.0,0.04269296618682564,0.5318048596382141,0.10633583095868714,0.0,0.03658518808096878,0.33988097310066223,0.0001886475074570626,0.04908660426735878,0.00014688968076370656,0.00453719450160861,0.0,0.2869945764541626,0.280780553817749,0.013370712692003045,0.015624438839308273,0.07568470388650894,0.07157383859157562,0.20619898436502349,0.20147647112692108,0.0020175632757612853,0.005729261674651299,0.002527053575476584,0.013765895901397323,0.0015600038274699807,0.003770906012505293,0.6230752796174073,0.6247370462781067,0.17432554893387542,0.1857180661750174,0.05619296431541443,0.056508831679821014,0.08496855421940788,0.033340537513197786,0.03341258705337133,-3.547310916474089e-05,0.07173946499824524,0.08921099454164505,0.008121214807033539,0.027323944494128227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9118127822875977,0.3982986807823181,3.10780668258667,0.5961893796920776,9.123856544494629,1.8261985778808594,7.4933013916015625
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.044692164693212355,0.5317730903625488,0.0,0.0,0.0,0.0,0.0,0.04476108836391983,0.5317674875259399,0.09841889945948243,0.0,0.03607097532371971,0.2986918091773987,0.00012209177657496184,0.05677236244082451,0.0001929974532686174,0.004530095495283604,0.0,0.2747305631637573,0.2688232660293579,0.013534733642261649,0.015921179922432024,0.07220190018415451,0.0685913935303688,0.18924735781046753,0.18457447882821656,0.0019988847771448956,0.005644977153057031,0.0024984451996048897,0.013886020231772328,0.0017974393109532118,0.0040711271576583385,0.5891289584105567,0.5904796928496606,0.17482501230093994,0.1857898454468335,0.06876108795404434,0.06903500854969025,0.09362681132387565,0.03304298403763529,0.03312276603499878,-2.816319465637207e-05,0.07327598333358765,0.09144879132509232,0.00955091044306755,0.029870962724089622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9099618196487427,0.431964635848999,3.2435731887817383,0.6026883125305176,8.944412231445312,1.8896913528442383,7.442613124847412
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.04629290370960907,0.5298442840576172,0.0,0.0,0.0,0.0,0.0,0.04634413046158615,0.52986741065979,0.08262906636124573,0.0,0.035468144354358216,0.24427902698516846,6.854176172055304e-05,0.06991200149059296,0.0002143383026123047,0.0048303683288395405,0.0,0.25575050711631775,0.2484927922487259,0.013705799016997526,0.01602152019137049,0.06616739928722382,0.06299924105405807,0.1623658910192099,0.15863000455278442,0.0020150463105992646,0.0055823364669954495,0.0025673634391341154,0.014039782023929633,0.002007034065579715,0.0043178595307876875,0.5277953438756592,0.5291262402755164,0.17382376018033904,0.1835602140650955,0.08419693261384964,0.08442146331071854,0.10342219769629273,0.03268575487877112,0.032778030634621695,1.8254519090987742e-05,0.073868528008461,0.09207155555486679,0.011282620020210743,0.03253898024559021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9658759832382202,0.46599018573760986,3.375744104385376,0.59859299659729,8.626840591430664,1.9627430438995361,7.445577621459961
00:00:00:12.200,68,0.0,0.0,0.0,0.0,0.0,0.04674277657570877,0.5279426574707031,0.0,0.0,0.0,0.0,0.0,0.04678850866061875,0.5280085802078247,0.06605224966061417,0.0,0.03416783475954399,0.19414588809013367,6.151437992230058e-05,0.09165602922439575,0.00018970489327330142,0.00511559471487999,0.0,0.2345098853111267,0.22415421903133392,0.013873005231502167,0.016257644941162008,0.05816233158111572,0.055409450083971024,0.1299349404661334,0.1294715359853926,0.002037938458286595,0.005404023406237221,0.0026687272362734063,0.016595824220576056,0.0015200242127604365,0.0035778159990094375,0.458462554392066,0.4603918057246509,0.1764343239512912,0.1842262548432895,0.10234934091567993,0.1025204285979271,0.1129413366405713,0.037236363193955055,0.03736762835674192,1.970827543118503e-05,0.07547175139188766,0.09277404844760895,0.013653376139700413,0.035284075886011124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9992265701293945,0.5049797296524048,3.4737355709075928,0.56952965259552,8.262572288513184,2.1945858001708984,7.456647872924805
00:00:00:13.216,68,0.0,0.0,0.0,0.0,0.0,0.04576736827394867,0.5244444012641907,0.0,0.0,0.0,0.0,0.0,0.0457936372504641,0.5245440602302551,0.05025304599470597,0.0,0.03399175539186745,0.15315870940685272,3.188610207871534e-05,0.12917734682559967,0.0004220777773298323,0.004874825943261385,6.00588318775408e-05,0.20350560545921326,0.19319337606430054,0.01428926527910909,0.016629989744879854,0.04793180152773857,0.04547839239239693,0.09998827945331253,0.1019374951936383,0.0020236893563127783,0.005183497590585594,0.002668433468103036,0.019262173383731575,0.0014772122378210783,0.0035665352175714587,0.3974448390189935,0.4006473899032886,0.17985365221627259,0.18734803781220002,0.1185312271118164,0.11864712834358215,0.12519562693083144,0.03604394710605468,0.03618642152785601,7.45993820601143e-05,0.07510755211114883,0.09231334924697876,0.01684952713549137,0.04057138413190842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00984525680542,0.5574736595153809,3.588803768157959,0.5825521945953369,8.073075294494629,2.451721429824829,7.110542297363281
