Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007124560879632855,0.006686258129775524,0.0,0.0,0.0,0.0,0.0,0.007178213377163925,0.00670869555324316,0.0057331489464256475,1.5169083553701057e-06,0.005872809544646917,0.016169873997569084,0.0013130370061844587,0.021809827536344528,0.00028916148585267365,0.000877571773201449,7.428711251122877e-05,0.00038057187339290977,3.5229801142122597e-05,0.013335566201598129,0.01652397538525939,0.004392115864902735,0.004265785217285156,0.03033478629534752,0.03434016254844666,0.001784259098140097,0.0017918769701102042,0.0018609118083730272,0.00042985081567191094,0.00012460927246138453,2.4727769414312206e-05,0.028053805945085067,0.02995266207192814,0.005574165885561609,0.0054296613880065155,0.0,0.0,0.07833725959981064,0.06396342854687015,0.06400532090850766,1.9863127818098292e-05,0.005114469677209854,0.005310164298862219,8.373298624064773e-05,2.9492230169125833e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4882587492465973,0.1090618371963501,0.7245849967002869,0.10641254484653473,1.8652890920639038,0.7476588487625122,0.9216802716255188
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.012334720599833622,0.011390320956707,0.0,0.0,0.0,0.0,0.0,0.012421806116980877,0.01140354759991169,0.010083655229697494,0.0,0.009263274278314724,0.03198208659887314,0.0029032838065177202,0.04482627287507057,0.00045646485523320735,0.0016812191269558144,0.00028341446886770427,0.0034889865200966597,0.001671711215749383,0.013132664294079534,0.01633815598690391,0.008452964015305042,0.008250601589679718,0.047294532491472245,0.05211106684238602,0.001808413640152054,0.003360001834946146,0.001949908635535639,0.0005102137157192979,0.00023710246023256332,2.753843364189379e-05,0.060056233807084886,0.06165101529440491,0.012863335600201989,0.012515227771872216,0.0,6.573134305654094e-05,0.12071754784592087,0.09524355683397048,0.09533504541735291,4.021310815005563e-05,0.010947708040475845,0.011376854032278061,0.00016848044469952583,4.685384192271158e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9872130155563354,0.21205511689186096,1.4419106245040894,0.21590495109558105,3.7223572731018066,1.460271954536438,1.8717691898345947
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.016724021582543488,0.013798329047858715,0.0,0.0,0.0,0.0,0.0,0.016837607660030708,0.013783305883407593,0.014134732005166913,0.0,0.013363032978503685,0.05315900593996048,0.0026259575970470905,0.07904897630214691,0.0005797406192868948,0.0026176461405765915,0.0005471990443766117,0.019675614312291145,0.015951961278915405,0.013036025908831447,0.016150976226797894,0.012175895273685455,0.0118981022387743,0.06392121687988701,0.06963784698111267,0.0018097452413628938,0.005100931450406627,0.001996569022845769,0.0006312058651480596,0.00040408974746242166,6.515736458823085e-05,0.12093385641365982,0.12224079444530975,0.03196104822629444,0.030955131411182023,5.58033605102537e-07,0.00020117685198783875,0.16329137388385467,0.12955220939817444,0.1296913146849936,6.566834053955972e-05,0.018242428079247475,0.018845289945602417,0.00022019905736669898,0.00022972002625465393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5674327611923218,0.31768733263015747,2.134361982345581,0.3295231759548187,5.6220245361328125,2.0752341747283936,2.784783363342285
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.020661131784132158,0.017367631196975708,0.0,0.0,0.0,0.0,0.0,0.020793037660141907,0.017352458089590073,0.01913705632961582,0.0,0.01915868798855438,0.08321486413478851,0.0015908956993371248,0.11895067989826202,0.0003914061526302248,0.003207474224816141,0.0007665164303034544,0.05048314854502678,0.044710613787174225,0.01306883439107231,0.015985298795098368,0.01597774401307106,0.015779225155711174,0.08070004059120545,0.08750411715495789,0.0018213255671449006,0.006778297058692188,0.002028712610350484,0.0007435929049018514,0.00057371542789042,0.00010229763574898243,0.21058739201226806,0.21147564723936982,0.06342421304418319,0.061571752040190504,8.860510570229962e-05,0.0003470884694252163,0.20584966836900878,0.164316454566951,0.1644930571309488,4.677057222579606e-05,0.02772916480898857,0.02853403054177761,0.00021527490753214806,0.000521564856171608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.166020154953003,0.41124820709228516,2.9779129028320312,0.4427221417427063,7.617420196533203,2.4489595890045166,3.710726499557495
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.02469821910396721,0.02067897468805313,0.0,0.0,0.0,0.0,0.0,0.024842883895695077,0.020718388259410858,0.025184907689687654,0.0,0.02569451016138275,0.11824920773506165,0.000752308638766408,0.152155339717865,0.0004516304761637002,0.004097606487703543,0.0006039169384166598,0.0883343294262886,0.07993122190237045,0.013045226945832704,0.01595520191881088,0.020317604765295982,0.020186088979244232,0.09704051763880936,0.10472429099977754,0.0020004035937150515,0.008048588816936894,0.0020993846503062972,0.0007881841919690856,0.000800341076683253,0.0001964042749023065,0.31442428309570863,0.3144196987078699,0.098685030902538,0.09610469010364898,0.00036212228587828577,0.0005798156489618123,0.24932090639107726,0.19785140756764893,0.19805118444685244,4.069507212989265e-06,0.0383245125412941,0.03938698768615723,0.00026320797041989863,0.0009446944459341466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8163790702819824,0.5079168677330017,4.0666375160217285,0.5606621503829956,9.42181396484375,2.742992877960205,4.564547538757324
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0242562330033004,0.02263958938419819,0.0,0.0,0.0,0.0,0.0,0.024382971397848625,0.022678596898913383,0.028075285417505952,0.0,0.027801564546426086,0.12653401494026184,0.0005827998975291848,0.14828331768512726,0.0004036236787214875,0.0032997999505850317,0.0,0.11081137508153915,0.1000177413225174,0.013085374825595339,0.01589595373995721,0.021067790687084198,0.021114446222782135,0.09793668317695603,0.1062731906386708,0.0020460074623421818,0.007896785499975424,0.0020400895674236065,0.0007651082079007853,0.0008215309998835039,0.00012903001334052533,0.35057249776233335,0.3509012274284674,0.11251596557411483,0.10943551345540664,0.00030262969085015357,0.0004628474998753518,0.2501881957284009,0.19806675907587007,0.1982673436386795,5.388557838159613e-06,0.0409846268594265,0.04222438484430313,0.00032972541521303356,0.0010300506837666035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.809197187423706,0.49692589044570923,4.266671180725098,0.5697647929191589,9.415877342224121,2.6085286140441895,4.570134162902832
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.02402056436967335,0.025526542216539383,0.0,0.0,0.0,0.0,0.0,0.024111159306772004,0.02556404285132885,0.030814095872142334,0.0,0.0303773056496212,0.12766297161579132,0.0005613332032226026,0.1433740109205246,0.0003109861572738737,0.0029526345329170703,0.0,0.13004112243652344,0.11697573959827423,0.012959460355240888,0.015613692911547447,0.02231411263346672,0.022394966334104538,0.09940771017019867,0.10903516115437623,0.0020648804008464227,0.00782864325727044,0.0019824570802109763,0.0008074535258818829,0.0007887681681484627,6.66950290906243e-05,0.3663206360883411,0.36711760389753906,0.12267812366950531,0.11930647065233657,0.0001670744240982458,0.0002961237623821944,0.2501649260680258,0.1992058634405945,0.19940894242661286,2.5640130843385123e-05,0.04452899470925331,0.04527147114276886,0.00017497774388175458,0.001019996590912342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8296010494232178,0.4936602711677551,4.497286796569824,0.5802995562553406,9.357476234436035,2.5177366733551025,4.513909339904785
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.02354732513084366,0.02826254814863205,0.0,0.0,0.0,0.0,0.0,0.02363515822092331,0.02827458083629608,0.03275076247706924,0.0,0.031902835673097193,0.11629286408424377,0.00046389494673348963,0.14338093996047974,0.00021708112035412341,0.002847142517566681,0.0,0.1439535766839981,0.12958364188671112,0.01303130304565042,0.015496141211901786,0.023341817781329155,0.02344653755426407,0.10007371009828811,0.11055042592427383,0.0018303128702057546,0.007546217293270616,0.0018939835585330342,0.0007951526227720452,0.0008178277575257957,6.331961776595563e-05,0.34035426449410583,0.3421136669798242,0.13032828357887086,0.12606895674375335,0.0,0.00013282849977258593,0.24832714197233338,0.20060352386976654,0.2008275092014563,2.5203078621416353e-05,0.04819679260253906,0.049035750329494476,0.0003042187890969217,0.0013185233110561967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8309829235076904,0.4656679630279541,4.524715423583984,0.5764883160591125,9.487759590148926,2.526881694793701,4.477468013763428
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.023285448533574754,0.030711466446518898,0.0,0.0,0.0,0.0,0.0,0.023350197249476318,0.030763838440179825,0.031693735243879625,0.0,0.03302521499008171,0.09464222937822342,0.00032077732612378895,0.14700253307819366,0.00017367940745316446,0.002458713250234723,0.0,0.1492786407470703,0.13413099944591522,0.01323293594442429,0.01546786271982855,0.023502858355641365,0.023397371172904968,0.09682503489688767,0.10932202041233291,0.0016926064213051808,0.007118978426524792,0.0019184206960284607,0.0010252245286577256,0.0009709262337112784,0.0002803645620588213,0.27237978878031005,0.27530642560778806,0.13080807857407317,0.126478112418685,0.0,0.0,0.24581732451002106,0.20345373448805085,0.2036897868049524,2.9811561034875922e-05,0.051462575793266296,0.05285026133060455,0.0006484442856162786,0.003003625199198723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.840898036956787,0.472861647605896,4.408655166625977,0.5734622478485107,9.554991722106934,2.5832269191741943,4.4551682472229
