Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.01410632766233387,0.07267006486654282,0.0,0.0,0.0,0.0,0.0,0.014141639624403037,0.07264535874128342,0.0036200532289210273,4.020592677989043e-05,0.003612913058580635,0.008082380518317223,0.0046875858679413795,0.010310307145118713,0.022148922085762024,0.0021393089708390068,4.896175960311666e-05,0.03235713392496109,0.02895507588982582,0.01323495498878289,0.016251354843168073,0.0036335960030555725,0.003199949860572815,0.012693777696617552,0.014413434275170417,0.004169238110416841,0.001949181078253057,0.005200674687850375,0.0023327113613415933,0.0009244425455108285,0.0011537072714418173,0.023056805846856612,0.023262903100594635,0.0030025295403241156,0.0025506767187830877,0.0018744192784652114,0.001924822456203401,0.05862003938282112,0.0348600933900371,0.034862620013371724,0.0006312851910479367,0.01935967616736889,0.022871527820825577,0.008187114261090755,0.011015425436198711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22467784583568573,0.0921320915222168,0.6285184621810913,0.16428864002227783,1.294203758239746,0.6788926124572754,1.771531343460083
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.02869905940759529,0.15534573793411255,0.0,0.0,0.0,0.0,0.0,0.02873563185094055,0.1553332358598709,0.008637607431898384,0.00014154663949739188,0.006914201676668539,0.043185971677303314,0.011486108414828777,0.053249724209308624,0.04151098057627678,0.004989026386217422,0.0,0.06601936370134354,0.05915451794862747,0.013227633563491638,0.01605594017384548,0.00818355567753315,0.00688501913100481,0.022726966610756398,0.021686225162753356,0.004115179051201181,0.004074908326285352,0.00547204578640255,0.004008216106987371,0.0017478590598329902,0.002233243780210614,0.08898059095310959,0.08692220748743622,0.0167413385865139,0.01649448973643177,0.0005222873878665268,0.0005352807347662747,0.08259294555791313,0.03552246053158784,0.03552589879376008,0.000794258143287152,0.04382713884115219,0.05025463551282883,0.02128983661532402,0.027974378317594528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4770553708076477,0.18385960161685944,1.1259151697158813,0.30757901072502136,2.3515686988830566,1.3054814338684082,3.9199013710021973
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.04474529385441505,0.25224459171295166,0.0,0.0,0.0,0.0,0.0,0.044774448089932785,0.2521670162677765,0.020757652749287987,0.00013949378626421094,0.013162349727480392,0.11190114170312881,0.013112197630107403,0.09878715872764587,0.023579826578497887,0.006997742356331339,0.0001971530873561278,0.10956161469221115,0.10067233443260193,0.013230530358441114,0.015816503198309902,0.01644047349691391,0.013899574987590313,0.045848969374699025,0.040794688125078395,0.0027604310600425246,0.006421697269807176,0.0029387331963119222,0.004524904379878263,0.0021613705903291702,0.0029864725656807423,0.22092837427645662,0.2169410414946414,0.04896273856931679,0.05003234675489578,0.0,0.0,0.11337668601192169,0.05148300493361965,0.05148390381301102,0.00041115545900538564,0.07195741683244705,0.08212723582983017,0.03556545823812485,0.04720289260149002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7368520498275757,0.2502199709415436,1.535561203956604,0.4689981937408447,3.119081497192383,1.6437063217163086,6.582385063171387
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.060491779193094404,0.35772544145584106,0.0,0.0,0.0,0.0,0.0,0.06052102724434944,0.3576366901397705,0.03997101985789131,0.00013548522838391364,0.02350364307526245,0.1818094551563263,0.004244271200150251,0.12339766323566437,0.0015758378431200981,0.008408910338382302,0.0002271680859848857,0.16692689061164856,0.15852884948253632,0.013276202515465125,0.015774664151362538,0.02901214361190796,0.025387849658727646,0.07482753021761307,0.06503038700807297,0.0025296386439017955,0.008500194221189233,0.0026795352646296657,0.006207188465188046,0.0025907368399202824,0.0037723644636571407,0.38289351240792846,0.3773887373491949,0.09821960907413238,0.10233873253921967,0.0,0.0,0.14509460924596954,0.0774321571364357,0.07742649242200066,0.00041796587174758315,0.09984638541936874,0.1129753589630127,0.05013677477836609,0.06853022426366806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098240613937378,0.3249790370464325,2.020582675933838,0.5781584978103638,4.234031677246094,1.9182384014129639,8.948694229125977
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.07382457221881057,0.45728370547294617,0.0,0.0,0.0,0.0,0.0,0.07387162881678329,0.4573613107204437,0.057281938120719834,0.0002215154527220875,0.03574988451550682,0.22255229949951172,0.0012182128848508,0.1462106704711914,0.0009368134778924286,0.010513287004214745,8.683085616212338e-05,0.22823768854141235,0.21905502676963806,0.013190183040860441,0.015828480050228345,0.04131375625729561,0.03653190657496452,0.09940075726378647,0.08581907603443406,0.0023085921452862717,0.00977288972299902,0.002625892726597363,0.008497421720584717,0.0030233419965952635,0.0046877129934728146,0.5144734152043969,0.5075842857287439,0.15164953198543518,0.15693824854385743,0.0,0.0,0.1749572127961447,0.09700001333156114,0.0970186814976146,0.0003588211548049003,0.12743474543094635,0.14173567295074463,0.07005513459444046,0.09415149688720703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4950430393218994,0.41587141156196594,2.5990777015686035,0.7658332586288452,5.9151506423950195,2.2333710193634033,10.538629531860352
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.072063468274039,0.4628799557685852,0.0,0.0,0.0,0.0,0.0,0.07208044285258819,0.46295365691185,0.05721742303437874,9.073063847608864e-05,0.04120342678030327,0.19713695347309113,0.0008836293127387762,0.1402759701013565,0.0009515488054603338,0.009766105299607182,0.0,0.2467479705810547,0.2363172173500061,0.013157503590763939,0.015667996132535653,0.04219130426645279,0.03759582340717316,0.0969599493136023,0.0855435296508168,0.001975672846457833,0.009225714361742477,0.0025295879323373495,0.011616662373029404,0.0032484146713162377,0.004960135091096163,0.5142459880482068,0.5063307992954565,0.16746576326402954,0.17147428526355407,0.0,0.0,0.17991336586389894,0.10083747204755739,0.10089921504094315,0.00012395501835271716,0.13085485994815826,0.14458486437797546,0.07777118682861328,0.1028330996632576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.630852222442627,0.4471997618675232,2.802978038787842,0.7846534848213196,6.753064155578613,2.3744149208068848,9.371541976928711
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.06999426577221832,0.46322205662727356,0.0,0.0,0.0,0.0,0.0,0.06995746509433533,0.4633053243160248,0.05370169832060578,4.148021253058687e-05,0.045765824221474835,0.1701078861951828,0.000779260415583849,0.14092007279396057,0.0008558559347875416,0.009313327901977825,0.0,0.2586083710193634,0.246235191822052,0.013039689982442221,0.015397439897033224,0.04147597774863243,0.03735332563519478,0.08751866970007538,0.07936786563883896,0.001756387088514575,0.008586931219796524,0.0025313032049405835,0.01337411562835392,0.003774175184388523,0.005474921315908432,0.4976111314840015,0.49091892468878356,0.17692063029277344,0.18010549565147826,0.0,0.0,0.17970140279932617,0.09861973967607957,0.09868475940363694,6.17563709965907e-05,0.13300159573554993,0.14618855714797974,0.08450846374034882,0.10932670533657074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6566646099090576,0.4717945456504822,2.9441170692443848,0.8165490627288818,7.303705215454102,2.561039686203003,8.516929626464844
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.06848278253927186,0.4606350064277649,0.0,0.0,0.0,0.0,0.0,0.06843674359718598,0.46070656180381775,0.04947118036404167,0.0,0.04819583424032074,0.15147602558135986,0.0007784747867844999,0.1469772309064865,0.000964843318797648,0.00779414176940918,0.0,0.2642248272895813,0.2526557147502899,0.01309330137861747,0.015370569795909332,0.03946540132164955,0.03582213073968887,0.08208578081371551,0.07650107888123642,0.0018250094829084372,0.00803563615379551,0.002500107367653652,0.014945467587126084,0.003927491773463392,0.005654030945152044,0.4843917794191089,0.4800054065866815,0.1815485664911252,0.18523546267656127,0.0,0.0,0.18495473858907838,0.09800608607078964,0.0980545208224547,5.153536767465994e-05,0.13427789509296417,0.14826025068759918,0.0897085964679718,0.11587836593389511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.792290449142456,0.510420560836792,3.020197868347168,0.8182222843170166,7.47987699508667,2.6952621936798096,8.073110580444336
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.06636786831645172,0.4557044208049774,0.0,0.0,0.0,0.0,0.0,0.06628584431988419,0.455739825963974,0.047341962428890536,0.0,0.05012740062684051,0.14142359793186188,0.0007394552230834961,0.14931482076644897,0.0009253889438696206,0.008089090697467327,0.0,0.26862069964408875,0.25499850511550903,0.01318658736682618,0.015473279961310614,0.039690349251031876,0.03602677956223488,0.08243376908735169,0.07803977429950942,0.0018096735961747703,0.007688318733790312,0.002482030590044287,0.015406008040681934,0.004096787637243604,0.005743844900280237,0.473205897235968,0.46929382494746397,0.18313274614704833,0.18591333099130158,0.0002699613687582314,0.000136953589390032,0.19118184446374878,0.10056134310440293,0.10061315746430374,3.361284689162858e-05,0.13634268939495087,0.14923886954784393,0.09385217726230621,0.11905301362276077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8496208190917969,0.5184298157691956,3.067335844039917,0.8225201964378357,7.16018009185791,2.8161208629608154,8.219155311584473
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.06373752880487427,0.4506533741950989,0.0,0.0,0.0,0.0,0.0,0.06359572397926865,0.4505769610404968,0.047522232515455474,0.0,0.05188162889103386,0.13781185448169708,0.0007569169974885881,0.15021772682666779,0.0007208162569440901,0.008501572534441948,0.0,0.2725123465061188,0.25499919056892395,0.013518405374741355,0.015737338345050197,0.03967910259962082,0.03575555980205536,0.08455901887509232,0.08092568215062713,0.001789718370723905,0.007524271090293102,0.00254735797018539,0.01652816840611782,0.004180321017533731,0.005736454855650663,0.4634956292574957,0.45948972407295774,0.17879733404967346,0.18048892126489532,0.0037285410799086094,0.003654536558315158,0.19963947233390258,0.10642730000635925,0.10649454148332108,1.5743971744086593e-05,0.13659143447875977,0.14727863669395447,0.09405650943517685,0.1175341010093689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9101405143737793,0.5329221487045288,2.966215133666992,0.7941235303878784,6.79863166809082,2.8394460678100586,8.652746200561523
