Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.020109102124437714,0.001206478918902576,0.0,0.0,0.0,0.0,0.0,0.020193353225157775,0.0012219470227137208,0.00426165089663002,0.0,0.0033385308761836865,0.00808767694979906,0.009202823974192142,0.0050748721696436405,0.011096447706222534,0.0004246783654189092,5.036753282183781e-05,0.024752195924520493,0.024818237870931625,0.013156699094573713,0.016405644070961997,0.0034290715120732784,0.0036823514383286238,0.015829312398486443,0.01898837394195199,0.004671045889490556,0.0019072985707500243,0.0068916684718458845,0.0028661709530208683,0.0023165829479694366,0.0023106129374355078,0.020096802865730304,0.021974173380776996,0.002527479357311034,0.0025692626577434015,0.00014716915029566735,0.0001019968040054664,0.054285248750692405,0.03492040553437898,0.03491361424534125,0.0004091010778211057,0.025117194280028343,0.02820366621017456,0.020717959851026535,0.019888456910848618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3131036162376404,0.1319049894809723,0.4491184651851654,0.18333598971366882,1.5432519912719727,1.2845308780670166,0.9703420400619507
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.03795617110598434,0.002001143991947174,0.0,0.0,0.0,0.0,0.0,0.03809384792802986,0.002047482645139098,0.008118061683068542,0.0,0.00458669734169723,0.021161537617444992,0.02512749470770359,0.024119792506098747,0.02512892708182335,0.0007847369224030746,8.450829773209989e-05,0.046710144728422165,0.04744888097047806,0.013064920995947561,0.01628238224658973,0.007095875684171915,0.007582292892038822,0.029233341647890092,0.03309423100382973,0.006989308037351208,0.003984604495482912,0.011174686647675361,0.005270942834860458,0.004788329359143972,0.004806678742170334,0.0439424272911528,0.04587499947628586,0.004781576274042034,0.005526736374521189,0.0002081099373754114,0.0001261890574824065,0.07466584072717125,0.03465841676888418,0.03465524678443451,0.0007753967074677348,0.05246107652783394,0.058935146778821945,0.04024645686149597,0.040287233889102936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5914156436920166,0.27917397022247314,0.8586400151252747,0.3391513228416443,3.1173911094665527,2.6068341732025146,2.052802562713623
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.057651144860922925,0.002903758315369487,0.0,0.0,0.0,0.0,0.0,0.05784303840312897,0.0029615014791488647,0.012786613707411194,0.0,0.007448763963310699,0.04433932155370712,0.04946867749094963,0.06454509496688843,0.04682951420545578,0.001284213752084663,0.00019563692330848426,0.07204744219779968,0.07443884760141373,0.01283743907947553,0.01616982357636337,0.010352710261940956,0.010899881832301617,0.04703101143698159,0.05137199241382332,0.005221917090412522,0.006177022996971922,0.011933272930288048,0.007846543642018061,0.007038681302219629,0.0071447319351136684,0.08810520504504181,0.09008318706873428,0.014155649784443301,0.016295210703837014,0.0004083825624547899,0.0003076884604524821,0.09601687047399216,0.03477638936361835,0.03477932091273647,0.0008945806766860187,0.08434532582759857,0.09502332657575607,0.06478597223758698,0.06789439171552658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8332947492599487,0.38839858770370483,1.1859984397888184,0.49326449632644653,4.728557586669922,3.8207132816314697,3.3121960163116455
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.07772267360966507,0.006215192377567291,0.0,0.0,0.0,0.0,0.0,0.07794217223646255,0.006233135238289833,0.01724656277275871,0.0,0.012792810412382031,0.07563851773738861,0.0655408576130867,0.12575611472129822,0.06707381457090378,0.00158933966847795,0.00026329635875299573,0.1133926510810852,0.11746088415384293,0.01288995561159289,0.016073273821061173,0.013222252018749714,0.013641168363392353,0.060979266447271196,0.06513427417862618,0.002581708714425564,0.008570799648215981,0.007899860870107803,0.008975511290619869,0.007746593561023474,0.007952257990837097,0.1538153685728607,0.1558583594843573,0.037471322528855745,0.04137762388448219,0.00098618573974818,0.0008842187817208469,0.11444888113470245,0.03498244933079098,0.034988815150336514,0.0008406038396060467,0.1204795241355896,0.1347505897283554,0.09429673850536346,0.1015511006116867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0591589212417603,0.4955516457557678,1.5016562938690186,0.6510809659957886,6.3433403968811035,4.738848686218262,4.807392597198486
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0950393032564273,0.0089208222925663,0.0,0.0,0.0,0.0,0.0,0.09532320636099563,0.008983513340353966,0.021098582744595452,0.0,0.020736273571354942,0.10570985078811646,0.0595012865960598,0.17919880151748657,0.06518026441335678,0.0013448277852880167,0.0004781678435392678,0.17787417769432068,0.18311482667922974,0.012948146470007353,0.0160749893705056,0.01603151112794876,0.016687994822859764,0.06284523607362,0.0688526548773124,0.0020872740747423417,0.010205805708583279,0.0038504463465744497,0.009443050341268864,0.007575908210128546,0.007866345345973969,0.23461127955566954,0.23827854990225159,0.07717733558526962,0.0827483546425093,0.001464030472561717,0.0012712915195152164,0.12499024420016311,0.03512358577470739,0.03513708510047174,0.000746469188015908,0.15411221981048584,0.17144210636615753,0.1207907497882843,0.13239756226539612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3568159341812134,0.5482229590415955,2.0030012130737305,0.8152530789375305,8.184587478637695,5.1748456954956055,6.252295970916748
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.09163048851148484,0.006468476727604866,0.0,0.0,0.0,0.0,0.0,0.09192158485135604,0.006533009931445122,0.02095229753620312,0.0,0.02563499717613056,0.10836043953895569,0.03921888768672943,0.17471717298030853,0.03874293342232704,0.000921263562307024,0.000571683922316879,0.21611279249191284,0.21852724254131317,0.01304547011254674,0.01594896432440905,0.01641177572309971,0.017207441851496696,0.050508052884540404,0.05857118736828316,0.0018609958382164182,0.009051087653711777,0.0028381984312425314,0.00999966566004675,0.006736077316373081,0.007003524340689182,0.27190837375033994,0.2767832092781378,0.10253768610271743,0.10823346658422134,0.004567555617541075,0.004346904344856739,0.11357844772253388,0.03665824133334055,0.036658817853993296,0.000608451955486089,0.1549193263053894,0.17187172174453735,0.12353651970624924,0.1375822126865387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3936477899551392,0.5157898664474487,2.1319448947906494,0.8035858869552612,8.216277122497559,5.064554691314697,6.230947017669678
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.08735143635403594,0.0016506686806678772,0.0,0.0,0.0,0.0,0.0,0.08763434008956696,0.0016605788841843605,0.02111798851440193,0.0,0.029833230726821137,0.10116119682788849,0.020560389384627342,0.16038881242275238,0.021280033513903618,0.0008031083284688771,0.0006544307107105851,0.24174438416957855,0.24005228281021118,0.013085303630113638,0.015518277196652094,0.017915520817041397,0.018830062821507454,0.04092999364977001,0.05063456000577087,0.0016568919624636782,0.007915153345565185,0.002806699917763423,0.011178249781183567,0.006420672169496183,0.006635138764977455,0.2826367579049762,0.28848644125410644,0.11820185955035706,0.12377497126650283,0.01007393840700388,0.00990774855017662,0.101889252678591,0.03550602010190378,0.03550258633965838,0.00047174483188427985,0.15018506348133087,0.16619201004505157,0.12123178690671921,0.13567133247852325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4943525791168213,0.5396931767463684,2.3850293159484863,0.790837824344635,7.5493011474609375,4.909064769744873,6.805722713470459
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.08065453529014542,0.0005976764368824661,0.0,0.0,0.0,0.0,0.0,0.0809016766945485,0.0005692544509656727,0.021456183343677864,0.0,0.03261468276977879,0.08741968870162964,0.009956976398825645,0.1591557413339615,0.01931934431195259,0.0008251055842265487,0.0004695227835327387,0.24159188568592072,0.237783282995224,0.013062216392213886,0.015459026581215667,0.018774759024381638,0.019364215433597565,0.03733741120936638,0.04660595578691612,0.001454756663642267,0.006948331483431844,0.0027169913532121767,0.012459754596961328,0.006523251236028576,0.006684005260467529,0.2717789418660846,0.27715661451057066,0.12453187343549545,0.12890507985261718,0.010219668038189411,0.010000210255384445,0.09477494505241532,0.03382653502890087,0.033821030965821446,0.00040516883018426597,0.1405247151851654,0.15459249913692474,0.11787272244691849,0.1310948133468628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6175321340560913,0.6447528600692749,2.455376386642456,0.7870193123817444,6.719909191131592,4.995701313018799,7.447343349456787
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.07305220885304611,0.0005832043825648725,0.0,0.0,0.0,0.0,0.0,0.07322983013970077,0.0005045345169492066,0.02093844589789993,0.0,0.033947898616495054,0.07664158940315247,0.004476787522435188,0.16877026855945587,0.024989359080791473,0.0009606887469999492,0.00017706066137179732,0.22281822562217712,0.22010599076747894,0.01307684273025142,0.015618672613795202,0.018509963527321815,0.0187715832144022,0.03936766607598198,0.049165824056513215,0.0013421394482733098,0.005845305864432249,0.0026900549621581555,0.012932913540080642,0.006722609261194801,0.006877239793539047,0.25304568114290465,0.2586176019078369,0.1222975113262056,0.12588950165036683,0.005022258963435888,0.004821373615413904,0.09283631145040497,0.03342582904593918,0.033447637945991676,0.00040258257649838924,0.13008524477481842,0.14116181433200836,0.11145556718111038,0.12230478972196579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5843522548675537,0.5670886635780334,2.549912452697754,0.7761635780334473,6.432318687438965,4.692728519439697,8.091203689575195
