Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.02070452272342148,0.11021105945110321,0.0,0.0,0.0,0.0,0.0,0.020799849112198867,0.11036358773708344,0.005420748895964355,0.00025143331731669605,0.0016972198046034106,0.017750684171915054,0.022507011890411377,0.0002829737786669284,0.0031908098608255386,0.00429493458145134,0.0,0.00041299607255496085,0.0,0.022771012945335102,0.02615046280077614,0.005734128877520561,0.00498606450855732,0.03347206373458416,0.03174972419741154,0.013582543314778518,0.0063792424008899595,0.0019108726588199778,0.00042740438042552717,0.00012470317597035319,0.0005433731712400913,0.02169390839116432,0.02078109700863039,0.0005760098996027351,0.00038983776630588125,0.0,0.0,0.07736827061498741,0.04170154262074272,0.041734983695676874,0.00015305411943700165,0.008507228456437588,0.011014443822205067,-5.1280501793371513e-05,-7.777500286465511e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25919848680496216,0.13818475604057312,0.7963310480117798,0.13009342551231384,1.5980480909347534,0.5798193216323853,1.4476070404052734
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.040467933188561095,0.22200576961040497,0.0,0.0,0.0,0.0,0.0,0.04064209177849945,0.2223649024963379,0.010560188776741294,0.0005685104406438768,0.001362454979503467,0.036406464874744415,0.04277125746011734,0.005814951844513416,0.015562422573566437,0.009038225088195153,0.0,0.0007418401073664427,0.0,0.03240119742897072,0.036394172191666185,0.010655244812369347,0.009096398018300533,0.058694446070697785,0.05304216217429329,0.02103546388496025,0.012016516177820435,0.002116861245551508,0.0004978240106280887,0.0002142213488696143,0.0010055513121187687,0.04607749546932968,0.043138278288455886,0.0006483266410278321,0.00029712830604568903,0.0,0.0,0.12806914747961456,0.05552274960945839,0.0556052863202536,0.000300529005471617,0.018906068056821823,0.023874083533883095,0.00015619849727954715,7.145118433982134e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.513823390007019,0.27092352509498596,1.501175880432129,0.25681009888648987,2.9198243618011475,1.1453081369400024,3.27282452583313
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.05953286349648201,0.3363513648509979,0.0,0.0,0.0,0.0,0.0,0.059756980799769745,0.33682578802108765,0.015164052997696305,0.0007818499580025673,0.0014693418908963908,0.06166626140475273,0.048213470727205276,0.055739082396030426,0.03761588782072067,0.012831898537994614,0.0,0.0011018714867532253,0.0,0.046982651215102464,0.05134831222794495,0.014425785280764103,0.011899520643055439,0.08387167752246323,0.07592212114197464,0.020158535597320937,0.015472242086807805,0.0022765766409759535,0.0006088191842088248,0.00031319152913056314,0.0013748463243246078,0.09276770387679077,0.08726068362120162,0.0021457804548119736,0.001424836880622691,0.0,0.0,0.18576044741786651,0.0789534278422834,0.07908150254452881,0.00038219403359107673,0.03175082430243492,0.03904131054878235,0.0004531624144874513,0.0003077202127315104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8180611729621887,0.3786616921424866,2.1488325595855713,0.38123321533203125,4.103269577026367,1.6740918159484863,5.270814895629883
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.07641766716521088,0.45217204093933105,0.0,0.0,0.0,0.0,0.0,0.07660934532405944,0.4525059163570404,0.019786823326118697,0.0007884406368248165,0.002316169659341475,0.1010037288069725,0.033708639442920685,0.15802589058876038,0.05540976673364639,0.014819609676103173,0.0,0.003570267464965582,0.0,0.06015583799895729,0.06399404851498215,0.016720514744520187,0.013101565651595592,0.10569264812513718,0.09685499813544952,0.012173983849644661,0.016512600749185296,0.0023375428759174234,0.0009687505564864469,0.00034991264692507684,0.0014936333755031228,0.17344925777116393,0.16339846625773377,0.02227904293669933,0.020896162225408365,0.0,0.0,0.25246637164087465,0.11218301359557648,0.11235961615957428,0.0005559487035498023,0.046192873269319534,0.05494726449251175,0.0006590976845473051,0.0005162973538972437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.252338171005249,0.5240653157234192,2.8009674549102783,0.5062345266342163,5.244991302490234,2.2544474601745605,6.9829254150390625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0915571403040042,0.5684165954589844,0.0,0.0,0.0,0.0,0.0,0.09169691937750564,0.5685365200042725,0.026620856225487634,0.0007585810380987823,0.005192127737654047,0.15226469933986664,0.019102241843938828,0.2711554765701294,0.052022818475961685,0.01655023727951668,0.0,0.011851911433041096,0.003639735048636794,0.05621206461539246,0.059055172657505414,0.018835509195923805,0.01397675834596157,0.12677386255133835,0.1157685995429828,0.006109806770413885,0.01734772458386032,0.0022667074101138727,0.0015922444616983198,0.00045847639557905495,0.001641729730181396,0.2941550679887445,0.278141838304809,0.07090919938198059,0.06896568205845245,0.0,0.0,0.32453618644707705,0.15731999580064301,0.15754407647375368,0.0007036161259748042,0.062221307307481766,0.07258601486682892,0.0006191983702592552,0.001000298303551972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.912614345550537,0.6865283250808716,3.7355761528015137,0.6111276149749756,6.5203857421875,2.7844066619873047,8.057477951049805
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.08750008779422638,0.5703557729721069,0.0,0.0,0.0,0.0,0.0,0.08755132759294082,0.5703178644180298,0.032518271518418046,0.0005405677948147058,0.011566798785825519,0.1749228686094284,0.0061325086280703545,0.28528863191604614,0.025158295407891273,0.014568853860512638,0.0,0.02839941903948784,0.01806739531457424,0.03613713790996319,0.038470313734862746,0.01839291676878929,0.013239440508186817,0.13279915678401932,0.12268944974864471,0.0033035081608993053,0.01534037698663805,0.002208075719942613,0.002166330577068739,0.0004996887354994726,0.0015809186734259129,0.3669830571781506,0.34995801372721924,0.10859064208778671,0.10658013804628036,0.0,0.0,0.3384651184311902,0.18513438400243715,0.18535253703429413,0.0006003975868225098,0.06703244894742966,0.07618881016969681,0.0008467264706268907,0.0022351250518113375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.192548990249634,0.7178094387054443,3.953141689300537,0.6083859205245972,6.751489639282227,2.8569018840789795,7.112113952636719
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0825036117805191,0.5756151676177979,0.0,0.0,0.0,0.0,0.0,0.0825167225420549,0.5754866600036621,0.040280919062593006,0.0003499787417240441,0.016745063081783963,0.1922396868467331,0.0015478921122848988,0.2613769471645355,0.008393151685595512,0.012652547740358639,0.0,0.05127379298210144,0.04079299420118332,0.015820793260254002,0.017923997610314588,0.01920853741466999,0.01387931127101183,0.14179209623282074,0.13243575842867966,0.0027569977198230932,0.013473610571126327,0.0022810334296617172,0.002978721223003831,0.0004957688183811205,0.0015299140941351652,0.41963514309593997,0.4035040937657031,0.13635475213992615,0.13478699644398162,0.0,0.00020031929307151586,0.35315193237467407,0.2148361384516571,0.21504309173958588,0.0004186779260635376,0.07130545377731323,0.08022986352443695,0.0011348850093781948,0.0034771813079714775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.364525318145752,0.7076195478439331,4.25651741027832,0.5975943803787231,6.865081787109375,2.9145689010620117,6.4700117111206055
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.07802286356344178,0.5809291005134583,0.0,0.0,0.0,0.0,0.0,0.07801777301231659,0.5808488726615906,0.04747570998921905,0.00020156719256192446,0.021142492970827636,0.20065069198608398,0.0005694234278053045,0.2283288538455963,0.0015576648293063045,0.010980797000229359,0.0,0.08299531787633896,0.07317157089710236,0.01346822114261653,0.015537601684759365,0.021054111421108246,0.015874123200774193,0.14790364356281524,0.1396998613848413,0.0024730025427373145,0.011994021591522484,0.0022431225383330797,0.004243787496847696,0.0004612738202173054,0.0014732048148289323,0.45390215587250854,0.439270012824093,0.1512186833925229,0.14983048249391356,0.0,0.0001646280288696289,0.36697704193189756,0.24277282657171662,0.2429778576263678,0.00024008034961298108,0.07539324462413788,0.08415964245796204,0.0013061338104307652,0.005299555137753487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3689942359924316,0.6931020021438599,4.521004676818848,0.5964584350585938,6.927825927734375,2.969759702682495,6.1376729011535645
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.07347968591479462,0.5877909064292908,0.0,0.0,0.0,0.0,0.0,0.07348890172821701,0.5877451300621033,0.052722332151733706,9.621828939998522e-05,0.02392862977594368,0.20460228621959686,0.0005095660453662276,0.19743244349956512,0.00055503606563434,0.009877476841211319,0.0,0.11523351818323135,0.10527551919221878,0.01358142465734044,0.015530528156245414,0.02357369475066662,0.018546681851148605,0.15199036298231017,0.1444019988187622,0.002415393895238021,0.010967495740124377,0.0022397584309596093,0.006023296782896375,0.00022234090618286132,0.0012719451915472746,0.47443062367449035,0.4614487808114166,0.15772648982895598,0.15678999491456513,0.0,0.00017553329234942794,0.38069823979417783,0.26501317319349516,0.2652108252180002,0.00010889649274758995,0.07883623987436295,0.08819001913070679,0.0018399644177407026,0.00841864850372076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.319986581802368,0.6794014573097229,4.7733306884765625,0.5905748605728149,6.835361003875732,2.9833929538726807,6.095804214477539
