Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.010749070899650479,0.11577045917510986,0.0,0.0,0.0,0.0,0.0,0.010837119002507247,0.11594521999359131,0.006057382847181291,0.00036908878246322274,0.001642242115897862,0.02241501398384571,0.0221105869859457,0.0005974260857328773,0.005274210590869188,0.006481555189423485,0.0,0.005179858300834894,0.0011310463305562735,0.013292774599570992,0.016755655670910627,0.0068186065182089806,0.005653650965541601,0.028364253013782807,0.02371281643512249,0.013039887727582168,0.007693340881978836,0.0019260071163187667,0.000383777349307151,0.00022555394389200956,0.0006245857221074402,0.028270843220518607,0.025620656094297523,0.0007469087780257665,0.0001326746050831747,0.0,0.0,0.07188328356469253,0.05401587713249962,0.054049711691221546,0.000292766751954332,0.006401794962584972,0.007925182580947876,-2.0407653209986165e-05,-0.0001836185110732913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21311111748218536,0.10086405277252197,1.0139350891113281,0.13214793801307678,2.1690099239349365,0.3129350244998932,1.0270533561706543
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01991101577449192,0.2277737855911255,0.0,0.0,0.0,0.0,0.0,0.0200708208209103,0.22822073101997375,0.011190370059500007,0.0010407250374555588,0.0011417668031621121,0.04239729046821594,0.044064007699489594,0.0005603072931990027,0.009778056293725967,0.016587220404223748,0.0,0.024551833048462868,0.011089686304330826,0.01287889394645312,0.016567792179574933,0.014164549298584461,0.011476239189505577,0.044488248957899094,0.030385369399496806,0.026115903035293656,0.01509274914758133,0.0021595095475934337,0.0004466069806509645,0.0005369663122110069,0.0014134538359940052,0.05331682975458893,0.044438792032810134,0.0015585430013807656,0.0,9.556648001307622e-05,0.0,0.10576038063772614,0.07016784552406066,0.07025580998282074,0.0006519809830933809,0.017971638590097427,0.020704898983240128,-2.356834738748148e-05,-0.0005159975844435394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40151453018188477,0.20779752731323242,1.8043861389160156,0.2860599160194397,4.65527868270874,0.6498275995254517,1.9335441589355469
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.02908198483163082,0.3370102345943451,0.0,0.0,0.0,0.0,0.0,0.02929671626601158,0.3376339375972748,0.016615606774556542,0.001669160439632833,0.0006346073043632318,0.059543877840042114,0.0639784038066864,0.001145431655459106,0.016827041283249855,0.02669654986035942,0.0,0.0612628348171711,0.035799890756607056,0.012642810836723015,0.016463074827059273,0.02115657553076744,0.016823934391140938,0.05841726065139237,0.03492964882117958,0.039377162960764316,0.02136595960674675,0.0024983545229372694,0.0002593898282163548,0.0008855039486661553,0.002203736687079072,0.08113405440836884,0.06557029634240638,0.0027228351397936773,0.0,0.00017560255946591496,0.0,0.1364814058295601,0.08466471137704865,0.08480589537585434,0.0010820927564054728,0.04147956520318985,0.045632269233465195,0.0002820758381858468,-0.0005100573762319982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5713579058647156,0.32455992698669434,2.4063663482666016,0.4782148599624634,7.237258434295654,1.0199424028396606,2.849384069442749
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.039891009524276884,0.4446798861026764,0.0,0.0,0.0,0.0,0.0,0.040113354272862396,0.4453062117099762,0.021692972415455092,0.002017069375142455,0.0003504417476032618,0.07750353217124939,0.08186584711074829,0.007104855962097645,0.026301031932234764,0.03464160554538208,0.0,0.11755647510290146,0.07924939692020416,0.012760079464408486,0.016292974646316304,0.026810741052031517,0.02091498300433159,0.06904150990888008,0.0386864881603738,0.047914607100248335,0.02604953017776272,0.0030550635606197453,2.6575978400905143e-05,0.00146479532122612,0.0031373295933008194,0.12218418941894149,0.1000950105473227,0.004788673436106982,0.0,0.00019578666251618415,0.0,0.1667175799462335,0.09762483242892761,0.09782386124052216,0.0013971359003335238,0.0864124447107315,0.09254683554172516,0.020047131925821304,0.020177002996206284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7880924940109253,0.44810715317726135,2.854538679122925,0.69996178150177,9.83039379119873,1.352515459060669,3.771373748779297
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.05391371513739731,0.551134467124939,0.0,0.0,0.0,0.0,0.0,0.054102001215875016,0.5516017079353333,0.025876610279080316,0.0018524345941841602,0.0009755072719134857,0.11228395253419876,0.07542160153388977,0.0560084730386734,0.028158318251371384,0.036196781288963774,0.0,0.19434015452861786,0.150776669383049,0.012977631698886265,0.016246221604202683,0.03038908541202545,0.023548254743218422,0.07127594054806916,0.041214873301990244,0.04046731215524651,0.028090606850500983,0.0035766044476861,0.0,0.0021363270934671164,0.003960771951824427,0.2281673021997125,0.2019424855635675,0.030729235227021867,0.02113031153273472,0.00012007079931208864,0.0,0.19805557726853393,0.11097143147387986,0.11120492968086503,0.0014470574678853154,0.1497955024242401,0.15927278995513916,0.06830066442489624,0.07260868698358536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.115901231765747,0.5763749480247498,3.318474531173706,0.9258621335029602,12.23427963256836,1.6139898300170898,4.680535316467285
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.05955479654328224,0.5458306074142456,0.0,0.0,0.0,0.0,0.0,0.05966431105813553,0.5461989045143127,0.02733981811768696,0.001291853142902255,0.005615280825768857,0.1416553258895874,0.030470654368400574,0.11034336686134338,0.009133955463767052,0.029104635787919424,0.0,0.24641630053520203,0.21369951963424683,0.01307840406529924,0.016022036044589502,0.02803618460893631,0.021813588216900826,0.051996406941614,0.028056273757169133,0.018521021472553634,0.023659787482098085,0.002596259045355296,0.0004459761504165459,0.00235771662023613,0.004012550227344036,0.3707554351459851,0.34866799040034546,0.10413761632952026,0.09716580792142532,0.0001345666532870382,0.0,0.19281620683584566,0.10957846340154603,0.1097881823761673,0.0012501237215474248,0.17933914065361023,0.1895001381635666,0.09593285620212555,0.10644344985485077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3073633909225464,0.5663062334060669,3.304776906967163,0.9278600811958313,12.28575325012207,1.54183828830719,4.559514999389648
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.06544299665820083,0.540995717048645,0.0,0.0,0.0,0.0,0.0,0.0654956849038675,0.5413840413093567,0.036673135596015476,0.0010823494521901011,0.014934070013863755,0.17494820058345795,0.0021012392826378345,0.12378709763288498,7.896434544818476e-05,0.026828002826291848,0.0,0.30175960063934326,0.2735452950000763,0.01282761010433155,0.0159460451366341,0.029618389904499054,0.02339610829949379,0.046504095231939546,0.023337864147530744,0.006066696495233745,0.020022646701435432,0.002023212352704674,0.0013392302758764886,0.00251123588213778,0.004204485099762678,0.5139027498311695,0.49318860995718566,0.18291869040000458,0.17751331945251891,0.0,0.0,0.18087038399382233,0.1093708008175705,0.10958773788349915,0.0008703235071152449,0.19674371182918549,0.20614802837371826,0.12054625153541565,0.1365995556116104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5872865915298462,0.5843619704246521,3.4890217781066895,0.9409082531929016,12.266313552856445,1.3224953413009644,4.450159072875977
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0697978249157901,0.5364391803741455,0.0,0.0,0.0,0.0,0.0,0.0697552355925206,0.5367887616157532,0.047194964661746365,0.0010249330662190914,0.021568919500711974,0.19320665299892426,-1.2749098459607922e-05,0.10918726772069931,-0.00022085715318098664,0.0266555305570364,0.0,0.3355053663253784,0.30609533190727234,0.012897259344540944,0.01583860565746808,0.0325423926115036,0.025871897116303444,0.054290030165932236,0.029671216361137735,0.0030017083147497866,0.016470170226671486,0.0018549204700535823,0.003228094314722009,0.002552102953739071,0.004310403950512409,0.5831217474900928,0.561693006007229,0.22944630768966492,0.22492065240052977,0.0,0.0,0.16576307115152497,0.10909856261755402,0.10933404419510484,0.0007617190713062882,0.20499034225940704,0.21209008991718292,0.13889719545841217,0.1573089212179184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7562047243118286,0.5952168703079224,3.843796968460083,0.9298730492591858,12.015975952148438,1.2057735919952393,4.4077253341674805
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.07065609468249481,0.5380443334579468,0.0,0.0,0.0,0.0,0.0,0.07052962797266663,0.5382962226867676,0.05296065759857781,0.0012199294287711382,0.026209205930533334,0.199066624045372,-4.207577512715943e-05,0.10743937641382217,-0.00032564150751568377,0.03003760799765587,0.0,0.32549697160720825,0.2877158224582672,0.013011392057259846,0.015759478455306085,0.03607339784502983,0.02859937585890293,0.0655705869002713,0.04024012908423653,0.002473589099712053,0.013671182916232738,0.0018911879362798751,0.004440375998765683,0.003145207865307665,0.004839666187763214,0.5771161645890259,0.5520533542996521,0.2231597834099649,0.215427166898284,0.0,0.0,0.15669505893270477,0.11094740030245057,0.11122601778630234,0.0007378339651040733,0.1976701021194458,0.20018823444843292,0.12953530251979828,0.14452768862247467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.861170768737793,0.6097236275672913,4.14895486831665,0.9392364621162415,11.649103164672852,1.1318689584732056,4.495241165161133
