Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,-0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.014504211949273968,0.043034158647060394,0.0,0.0,0.0,0.0,0.0,0.014553362433479346,0.04296195134520531,0.012573404057881566,0.0,0.00872626759342271,0.05530797690153122,0.00013578358630184084,0.014887163415551186,-6.873585334687959e-06,0.0008294523148315383,5.445677015813999e-05,0.04414352402091026,0.04405617341399193,0.013157814178733832,0.016350794682855038,0.01170421577990055,0.011633011512458324,0.037180547385864564,0.039019747424149515,0.0017368481325048886,0.0019505373167523407,0.0017564729674375548,0.0004017196861607446,0.00032206421019509435,0.0004886228707619011,0.11244658824579574,0.11288190633688842,0.018199395896160507,0.018570092061963386,0.0,0.0,0.08124255389893631,0.06528353173025886,0.0653008967805713,-3.4023672924377024e-05,0.018062729388475418,0.0208880715072155,0.003160239662975073,0.005459349136799574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25436970591545105,0.08502917736768723,0.5008410811424255,0.15687859058380127,2.111740827560425,0.7851526141166687,1.034585952758789
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.026071656863573683,0.10200174897909164,0.0,0.0,0.0,0.0,0.0,0.026140540612322655,0.1018180251121521,0.024173403493056564,0.0,0.015165555309327259,0.11315734684467316,0.0002764953824225813,0.03676151484251022,0.00010958198981825262,0.0016577340820070577,0.00012636554311029613,0.07133186608552933,0.07124157249927521,0.012980443570103618,0.01633630739890479,0.023648979142308235,0.02341407909989357,0.06723273320367623,0.06844349574477364,0.0016997493050220386,0.0039776526381246945,0.0017925260343620445,0.0003378667681969696,0.00048630699166096747,0.0007747303461655974,0.21061962659525665,0.20925747753462404,0.030486668860618973,0.03159354207622402,0.0,0.0,0.1391258388877719,0.10380038473676437,0.10384230460743546,-2.064678119495511e-05,0.03125208616256714,0.03649485856294632,0.0018141738837584853,0.005164896138012409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5047991275787354,0.15575028955936432,1.0586800575256348,0.2934063971042633,4.012755870819092,1.4975240230560303,2.3392248153686523
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.03695418074601852,0.17007502913475037,0.0,0.0,0.0,0.0,0.0,0.03704217221651016,0.16985087096691132,0.035046959226000214,0.0,0.02163592111739395,0.17026959359645844,0.0010348617797717452,0.06371289491653442,0.0003633448504842818,0.0024636431052994633,6.081193532736506e-06,0.08817577362060547,0.08896978199481964,0.012764260917492151,0.01632582584834202,0.03524266555905342,0.034568965435028076,0.09794986993531647,0.09895340803724975,0.0016404906929808798,0.006587288751880245,0.0018461181973873763,0.00024186373434595344,0.0007067276164889336,0.0010696054669097066,0.2982353154280756,0.29535954966667666,0.03981474807435028,0.041469450354205704,0.0,0.0,0.2007741570822113,0.14599096926155106,0.14604948161805328,7.6361147876014e-06,0.04253614321351051,0.049499478191137314,0.0008989908965304494,0.004192146938294172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7438459396362305,0.228099524974823,1.5760260820388794,0.43403419852256775,5.639764785766602,2.282212734222412,3.8504581451416016
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.047285297259500654,0.24350503087043762,0.0,0.0,0.0,0.0,0.0,0.04741343686701866,0.24323423206806183,0.045285090589292754,0.0,0.028851550618444823,0.23002664744853973,0.0034288051538169384,0.09351973235607147,0.0004758175346069038,0.0034893001193060254,0.0,0.1001889705657959,0.1023896187543869,0.012581489163915544,0.016381812720905452,0.046243585646152496,0.044937409460544586,0.12577908558889755,0.12652931954848967,0.001567267200736329,0.009265384680977078,0.0018079203332455641,8.483259195720078e-05,0.0008840191876515746,0.0013901179190725088,0.3768440879980621,0.3730632580801672,0.04776635970904106,0.05000739669661026,0.0,0.0,0.26323590277166536,0.1881254405155136,0.18820175826467683,8.090865594567731e-05,0.05344795063138008,0.06215826794505119,0.0005090649356134236,0.0025828175712376833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765540361404419,0.30859827995300293,2.106703281402588,0.5555540323257446,6.894432067871094,3.036059856414795,5.833293437957764
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0587701488567939,0.32201087474823,0.0,0.0,0.0,0.0,0.0,0.05893886598533379,0.32166048884391785,0.05346541918813889,0.0,0.03461971339534004,0.28917649388313293,0.008831687271595001,0.12585321068763733,0.0006090957904234529,0.00461444441614769,0.0,0.11338304728269577,0.11744865775108337,0.01242635010014042,0.01643595331665575,0.056626878678798676,0.0548861064016819,0.1516881793843576,0.15302346948087953,0.0015554254200966138,0.012800961208458824,0.0017309310807706656,0.0,0.0008531928178854287,0.0014408291317522526,0.4582945771897943,0.4534250914977106,0.055082776660833055,0.058063780187486494,0.0,0.0,0.3273371577166846,0.23228538338342195,0.23240384462599062,0.00011359415657352656,0.06384632736444473,0.07415365427732468,0.00043587188702076674,0.0020092919003218412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1704763174057007,0.3807147741317749,2.6706855297088623,0.6730350255966187,8.002808570861816,3.712756872177124,8.0766019821167
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.058298084762257306,0.33873286843299866,0.0,0.0,0.0,0.0,0.0,0.05846759135207703,0.338440477848053,0.05093915031618759,0.0,0.0347864279766877,0.2939833104610443,0.008697215467691422,0.1313629299402237,0.000490974576678127,0.004835701284721756,0.0,0.10593904554843903,0.10877286642789841,0.012479788622430918,0.01641591486593129,0.056512750685214996,0.054876457899808884,0.1511705376495932,0.15444899495566833,0.0016181262757178916,0.013789725831225853,0.0017552708605642377,0.0,0.0008582756335730266,0.0013693474465981126,0.45875173918117185,0.45384053511813416,0.051543733202546155,0.05443105458094261,0.0,0.0,0.33376791479502077,0.2443076252601047,0.2444315135462494,6.403840961866081e-05,0.059733666479587555,0.06901651620864868,0.0003649733553174883,0.0014958487590774894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0737031698226929,0.35871589183807373,2.7954609394073486,0.6548306941986084,7.61845588684082,3.615433931350708,8.676453590393066
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.056851262785310365,0.35455521941185,0.0,0.0,0.0,0.0,0.0,0.057005353432901154,0.35427865386009216,0.050522937911250614,0.0,0.03548211564908714,0.3014731705188751,0.009055322036147118,0.1379900425672531,0.00042432505870237947,0.004817616836149025,0.0,0.09749016165733337,0.09929540008306503,0.012417499738412014,0.016156907001250262,0.0569559708237648,0.055262159556150436,0.1518271789306891,0.1569783210922348,0.0016416820532844302,0.01487563381950079,0.0017185080462321155,0.0,0.0007622797243118929,0.0012757662916556,0.4610270224160846,0.45642509090849487,0.04917760963904877,0.05192975645255516,0.0,0.0,0.3360265940587103,0.25445464547928315,0.25456603762047575,5.2925497584510595e-05,0.05646570026874542,0.06458780169487,0.00027513306122273207,0.0012043152237311006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0202232599258423,0.3060709238052368,2.924590587615967,0.633594274520874,7.291714191436768,3.2844038009643555,9.40347957611084
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.053020212646865385,0.36635729670524597,0.0,0.0,0.0,0.0,0.0,0.05317050767937935,0.36613571643829346,0.049323636516480786,0.0,0.036821323415640414,0.31185343861579895,0.009900269098579884,0.15238463878631592,0.000630849739536643,0.004450549837201834,0.0,0.0826440304517746,0.0830950066447258,0.012680973166211916,0.015885724315144116,0.055921703577041626,0.054194241762161255,0.15363035352470641,0.16094024477145324,0.0015751976855056381,0.01531522871998766,0.0016542045063248564,0.0,0.0006347865500334442,0.00108032813295722,0.46492895555131103,0.4602196447534906,0.04822287795018967,0.0504957135429744,0.0,0.0,0.33970764872625486,0.2690204620554584,0.26910319928019166,-5.0778089644154534e-05,0.051902685314416885,0.05894513055682182,3.3445769076934084e-05,0.0007807429064996541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9786093831062317,0.24543851613998413,2.953812837600708,0.5875463485717773,6.460015773773193,3.0792880058288574,10.707198143005371
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.04858795179156464,0.3804895281791687,0.0,0.0,0.0,0.0,0.0,0.048730752789799575,0.3802827000617981,0.04962074113091118,0.0,0.03821189569443695,0.32341477274894714,0.011628041043877602,0.17264123260974884,0.0014415844343602657,0.004223478026688099,0.0,0.0613357350230217,0.06124443933367729,0.013102913199426885,0.0156865843576219,0.05433981120586395,0.05247671529650688,0.15447322426275145,0.1639528587468933,0.0015267535140750345,0.015598358475336227,0.0016677697624340178,0.0,0.0005594348582947611,0.0009141779155470431,0.4673014313221954,0.46396931222735593,0.04867599614156471,0.051224201102290194,0.0,0.0,0.34281325935403806,0.28145492073969114,0.28150758446578006,-0.00011662483302643523,0.04696597531437874,0.05309739708900452,-1.4242716133594513e-05,0.0006624402012676001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9081911444664001,0.20249928534030914,2.9164748191833496,0.5610073804855347,5.829063415527344,2.7520735263824463,11.965577125549316
