Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.006858552800580883,0.08966268599033356,0.0,0.0,0.0,0.0,0.0,0.006883065611736097,0.08959247171878815,0.009671139351091118,3.387525794096291e-05,0.0071774562657566645,0.03899659961462021,0.000174965854967013,0.009441816247999668,3.748846211237833e-05,0.0022345971236454676,0.0,0.03136899322271347,0.027743792161345482,0.01327472988271781,0.016308972263847962,0.011953206732869148,0.011535171419382095,0.03543352034633667,0.03789569695594311,0.0018268705874744736,0.00247732677615222,0.0018480158665368498,0.0006031655084737068,0.0001205139997182414,0.0002544716699048877,0.08917355236189224,0.08964511007700836,0.010245102965497875,0.010305625873115367,0.006039449013769627,0.006148675922304392,0.060776432985311546,0.03490300837775346,0.034894961731368766,1.6782998500275426e-05,0.007445374969393015,0.00996404979377985,-3.988742719229776e-06,0.00016035318549256772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24953989684581757,0.05747731775045395,0.650135338306427,0.13404147326946259,1.4457341432571411,0.5069116353988647,1.8287185430526733
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.014932250040951863,0.18392637372016907,0.0,0.0,0.0,0.0,0.0,0.014965744463188019,0.18377071619033813,0.021402910686025886,7.256859680637717e-05,0.011961892265649452,0.08868434280157089,0.0003251957823522389,0.0184396393597126,7.808685040799901e-05,0.004236463263557501,0.0,0.06235966831445694,0.05537719279527664,0.01317256316453417,0.016202204256859584,0.025039279833436012,0.024082984775304794,0.06439719496538926,0.06567754220397164,0.0018718088696695362,0.004813530946987142,0.001979931255729998,0.0007462970609337085,0.00022589918808080256,0.0004908398259431124,0.18436588163542542,0.18346896172842592,0.020462339213197137,0.021052447609180146,0.013493160717189312,0.013761123642325401,0.08505637572415764,0.03465657762144007,0.03464813407020536,6.658125494141132e-05,0.015330374240875244,0.020685918629169464,-6.672966264886782e-05,0.0003226454427931458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4937358796596527,0.11057386547327042,1.2729458808898926,0.250783771276474,2.6613612174987793,0.9478060603141785,3.949481964111328
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.024514976366102333,0.27934175729751587,0.0,0.0,0.0,0.0,0.0,0.024571979009246216,0.27908819913864136,0.03493138954507103,0.00017152038344647735,0.01620751098218439,0.14775192737579346,0.000504375493619591,0.033709898591041565,0.0001313324028160423,0.006801458207489243,0.0,0.09416612982749939,0.08339590579271317,0.013014486323981486,0.016116459458588025,0.039468228816986084,0.03770942986011505,0.09569034725884858,0.09508730921608657,0.001917155954461837,0.007793585247973518,0.0022264726215110286,0.0008427601899263221,0.0003604188095778227,0.0008259456371888518,0.2885245565035913,0.28606381788376345,0.03440283631855003,0.03504985129796181,0.02018984779715538,0.02055997960269451,0.10833168927348785,0.03463197446886987,0.03461660967669264,0.00015208698459900916,0.025764673948287964,0.034532006829977036,-0.00011788129631895572,0.0006349253817461431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.796306848526001,0.15712891519069672,1.905070185661316,0.36928313970565796,3.728630542755127,1.3218281269073486,6.224968910217285
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.03334778670947853,0.37638208270072937,0.0,0.0,0.0,0.0,0.0,0.03341703692795845,0.37604182958602905,0.046249128663309325,0.00011749487748602405,0.02273922468188896,0.19026115536689758,0.000811317004263401,0.05753423646092415,0.00041506573325023055,0.007598492991725979,0.0,0.12399456650018692,0.11246286332607269,0.013059150295214645,0.015980612972893448,0.050326913595199585,0.04788791388273239,0.11969862951084503,0.11692720499026978,0.0019263528220485897,0.010770834095230313,0.0023967155034335143,0.0008599251061890018,0.0006098424200899899,0.001319464179687202,0.3869670130411682,0.38392838016001646,0.05665954779817337,0.05812514325837593,0.031569335609674454,0.03210202604532242,0.1346916019770639,0.03457402376742669,0.03456131100747377,0.00021405649022199214,0.037401869893074036,0.049112070351839066,-0.00023433493333868682,0.002390386536717415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.177016019821167,0.24568741023540497,2.507071018218994,0.49992236495018005,5.5940961837768555,1.9103294610977173,7.401315212249756
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.04070866371527817,0.46639060974121094,0.0,0.0,0.0,0.0,0.0,0.04077896612471329,0.4661121070384979,0.05100514061748688,4.0095896110869944e-05,0.03155371007273872,0.20379917323589325,0.000543189060408622,0.08890210837125778,0.0005711457342840731,0.008901091259104233,0.0,0.16170984506607056,0.14380571246147156,0.013053542957932089,0.015804532778244274,0.05729225277900696,0.05448678880929947,0.12840614319909302,0.12711538675726197,0.0019254845133533276,0.011457189393158837,0.002387301299846718,0.0012141650985533856,0.0008148136548697948,0.0017472925828769803,0.4637979634488733,0.4593356072829279,0.09107202764860123,0.09253366407644638,0.05140851065516472,0.05187663063406944,0.15973001419537566,0.034374730626703674,0.034400041133379564,0.00016640663670841604,0.05121450498700142,0.06482592225074768,0.0009246200206689537,0.008449230343103409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7632882595062256,0.35484743118286133,3.335930824279785,0.6484795212745667,7.62767219543457,2.6494781970977783,7.943560600280762
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.04208481299535629,0.45413100719451904,0.0,0.0,0.0,0.0,0.0,0.042143767870278855,0.4539249837398529,0.04569982753462479,0.0,0.03563313803275421,0.1690940260887146,0.00040966749656945467,0.10291028022766113,0.0005336523172445595,0.007278474250600004,0.0,0.1681147813796997,0.1512916386127472,0.01311386165484639,0.01561692301372418,0.05019887909293175,0.04778464138507843,0.10518173950811371,0.10560365911448943,0.0018948620739699395,0.009484447880164127,0.0021110494936572334,0.0017826894719235229,0.0010150292136589599,0.0020681906025856733,0.43639883509982724,0.4346215836544348,0.11333377855333618,0.11571234448625228,0.06413502991199493,0.06454333662986755,0.15688876213941927,0.034372844066480605,0.03439646362948048,0.00021758078946731985,0.05829687416553497,0.0717928409576416,0.008278979919850826,0.020075296983122826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0354928970336914,0.41598087549209595,3.3489174842834473,0.663457989692688,8.36850357055664,2.7604947090148926,6.77565860748291
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0433730619026371,0.43355342745780945,0.0,0.0,0.0,0.0,0.0,0.04339232311845566,0.4333566427230835,0.041165545123317264,0.0,0.03802071844826431,0.14688938856124878,0.0004032468714285642,0.11803197115659714,0.00040649890433996916,0.006692084194142151,0.0,0.17520053684711456,0.15742892026901245,0.012957672492384015,0.015544941718662927,0.0440683551132679,0.041601572185754776,0.08820432428066849,0.0899968713689911,0.0017451408882128907,0.008286448373000011,0.0019698805074393265,0.0026453643191378974,0.0011192604401902009,0.00212960341013968,0.42048385363289675,0.4205031596417102,0.13445376630294342,0.13658917268108794,0.08260677009820938,0.08288951218128204,0.1598041057745993,0.03386158537440825,0.03388213094929212,0.00017298042075708508,0.06584320217370987,0.07912076264619827,0.02547050081193447,0.03888969495892525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1360292434692383,0.409629225730896,3.280191421508789,0.6891186833381653,8.983453750610352,2.648914337158203,6.186647415161133
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.045527446862601774,0.4060942530632019,0.0,0.0,0.0,0.0,0.0,0.0455448607901696,0.40579405426979065,0.03994535975113426,0.0,0.04011517666876656,0.13641475141048431,0.0003295505011919886,0.13531024754047394,0.0004218792892061174,0.006339715328067541,0.0,0.17864303290843964,0.15931198000907898,0.01309394303076755,0.015541724533381866,0.039411548525094986,0.036672964692115784,0.07697595657350784,0.08043430743357788,0.00164316284941314,0.007214668785013942,0.0020138300182440047,0.005164106029582806,0.0014494760479625106,0.002333968412131071,0.4072144932710376,0.40857403799728026,0.15335410919856843,0.1558847646823291,0.09531548619270325,0.09569822251796722,0.1599152743537726,0.033942913428880894,0.033958686930684816,0.00018834351794794202,0.07245606184005737,0.08556775748729706,0.04182260483503342,0.05599495768547058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3569865226745605,0.4428563714027405,3.032808780670166,0.6734497547149658,9.329057693481445,2.651695489883423,5.789718151092529
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.04819751156596344,0.3672548532485962,0.0,0.0,0.0,0.0,0.0,0.04819495918733299,0.3669016659259796,0.039236084642015764,0.0,0.04176622124523155,0.13469241559505463,0.0001612329506315291,0.144194558262825,0.0004135298659093678,0.004996887873858213,0.0,0.1824730634689331,0.16275547444820404,0.013132050615703966,0.015681841684722163,0.03521977737545967,0.03264057636260986,0.06939078269437683,0.07394062504256477,0.0015921374992770956,0.006507738847949896,0.0021224190861625354,0.008957407599464512,0.0016121754703620433,0.002416037954390049,0.40636986794481506,0.4099239628678436,0.16754167609108672,0.17048094340089326,0.10530838370323181,0.10571399331092834,0.15500531195680603,0.036206167395051024,0.036225930987038385,0.00012257814523763955,0.07856711745262146,0.0916757583618164,0.056720245629549026,0.07262621819972992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.371323823928833,0.4385567307472229,2.8212156295776367,0.6795237064361572,9.855360984802246,2.64754581451416,5.497832775115967
