Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.013470033178195381,0.06433607637882233,0.0,0.0,0.0,0.0,0.0,0.013513407599792995,0.06434851139783859,0.0025045146998006417,3.3883006835822016e-05,0.0031754675856547334,0.011520268395543098,0.012937530875205994,0.0372917540371418,0.07458087056875229,0.0008586578922795487,0.0,0.0,0.0,0.03674950634525318,0.03909681143811859,0.0002407178544672206,0.00011493397323647514,0.021962850138001748,0.025958000469231607,0.00292932599165411,0.002382044094865885,0.0022173860812215998,0.0003238236331892623,0.00038769806269556284,0.0005726065137423575,0.009932389730231542,0.011037884752049799,0.0007466083828397074,0.0004873550196858008,0.0,0.0,0.093471411624795,0.0755916037011985,0.07559566946514543,0.0019152499735355377,0.0032665759790688753,0.004355606157332659,-5.535401669476414e-06,-3.294357884442434e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32394111156463623,0.27821654081344604,0.4902234673500061,0.12492267787456512,1.0267179012298584,1.2298831939697266,1.5111770629882812
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.022771152104619635,0.14947941899299622,0.0,0.0,0.0,0.0,0.0,0.022838562501055565,0.14943231642246246,0.00558988550577548,4.23471319663804e-05,0.00496843086537899,0.040642231702804565,0.0241000447422266,0.11713244765996933,0.12992408871650696,0.0016923109459888411,0.0,0.0,0.0,0.0568492084994606,0.05799080508952004,0.0009198362240567803,0.00045630038948729634,0.041024069844391824,0.04579813774854828,0.002505651428851621,0.0048734876316957375,0.0021182580256866182,0.00046981678703711307,0.0007535122567787766,0.0011188844218850136,0.04666125218438896,0.046325502557369155,0.00462593969896903,0.004503460131162339,0.0,0.0,0.15039983392961914,0.11146711412738555,0.11147526051621079,0.0025238394737243652,0.0067137060686945915,0.009313463233411312,4.207297934044618e-06,0.00012739449448417872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6014069318771362,0.47940778732299805,0.9650386571884155,0.248387411236763,1.9885190725326538,2.2809252738952637,3.345640182495117
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.03159272990995609,0.2520468831062317,0.0,0.0,0.0,0.0,0.0,0.03165970142993866,0.2519010603427887,0.012711027567255402,6.261518865358084e-05,0.007884271353958826,0.09372580796480179,0.024687092751264572,0.19525957107543945,0.12126034498214722,0.002792420463235369,0.0,0.0,0.0,0.05755154566099861,0.057815088360528566,0.0031902873888611794,0.0018172615673393011,0.06596101820926133,0.06963132399780006,0.002469428844224954,0.007549138683507757,0.002138170799549961,0.000992970617745142,0.001019431627355516,0.0014892714098095894,0.13416534994631746,0.1316931299817897,0.023137562181291503,0.023519878521191216,0.0,0.0,0.20614756051219635,0.14335768075885788,0.14337101279462036,0.001462379703298211,0.012080474756658077,0.016191741451621056,1.8661692138266517e-06,0.0005401612143032253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9374327659606934,0.6929994821548462,1.389283299446106,0.37101346254348755,2.9647510051727295,2.921008586883545,5.471615314483643
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.041690917059591444,0.3527587652206421,0.0,0.0,0.0,0.0,0.0,0.041731173343678436,0.35242515802383423,0.026401471131809462,0.00012267142301425338,0.014201480509971524,0.15561583638191223,0.018482044339179993,0.24473226070404053,0.07774442434310913,0.003750633657525358,0.0,0.003651207312941551,0.0037243247497826815,0.027529595622093332,0.027187279777248784,0.00783631857484579,0.005146275274455547,0.08828551394983658,0.08921368267524445,0.0021629445246085528,0.009667453400244923,0.0024028404918646253,0.0014670741413932036,0.0008747393148951232,0.0014089297037571669,0.25353003517785644,0.25036873593775694,0.05753780733777756,0.05872772014002304,0.0,0.0,0.24654111860723663,0.1677060366048767,0.16771684884943178,0.0007700049900449812,0.02214149944484234,0.027525300160050392,2.26181455218466e-05,0.0016078926855698228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4153296947479248,0.9971205592155457,1.7956533432006836,0.48387670516967773,3.921762466430664,3.561488389968872,7.310691833496094
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.05310226122871544,0.4369334876537323,0.0,0.0,0.0,0.0,0.0,0.05319201337879883,0.4368159770965576,0.03864507444202606,0.00019401393365114927,0.0222548676724263,0.1978921741247177,0.011008157394826412,0.25494977831840515,0.0396566241979599,0.004577822484207373,0.0,0.04317628964781761,0.04769204556941986,0.01415152490691967,0.015265762159512187,0.014554815366864204,0.010886170901358128,0.10291866065133301,0.09988464716375611,0.0020279011546650476,0.01083512924325077,0.0025476240863883735,0.0026621330506707095,0.0007007336826063693,0.0015246585244312882,0.3654696710790308,0.36302728652220095,0.09763920780530899,0.10024160262834915,0.0,0.0,0.2725588351392081,0.1837393075624991,0.1837533265662601,0.0004961746744811535,0.03652535751461983,0.04343803972005844,0.0007522158557549119,0.007265191525220871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.891733169555664,1.1996575593948364,2.236264228820801,0.6227074265480042,5.277933120727539,4.6143293380737305,8.559392929077148
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.05365114646808502,0.4207000434398651,0.0,0.0,0.0,0.0,0.0,0.053751995957704087,0.420678049325943,0.040334139180847856,0.0001793055998859927,0.02688319666882351,0.177425816655159,0.005188765935599804,0.2167559564113617,0.010679730214178562,0.004415147209331656,0.0,0.0800996795296669,0.08369728177785873,0.013753504141777215,0.015140201979804577,0.017634054645895958,0.014166910201311111,0.09961987364192948,0.09609613712752807,0.0020209502575759828,0.009463369256332855,0.0023443110850046335,0.004382457579680496,0.000672797445941211,0.0016663388814777136,0.3714981984268536,0.37157849593356385,0.11064537810596756,0.11377802475167892,0.0,0.0,0.24927548470411653,0.16305300888036683,0.1630789369328232,0.0003701073001138866,0.044591136276721954,0.05203407257795334,0.002780486596748233,0.013976904563605785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9407771825790405,1.1971180438995361,2.2716612815856934,0.6594703197479248,5.776092052459717,4.582335472106934,8.011402130126953
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.053503947891110994,0.4053993225097656,0.0,0.0,0.0,0.0,0.0,0.053577818137414704,0.4053633213043213,0.0407040598864341,8.920364052755758e-05,0.02974322398792,0.16301555931568146,0.00494691776111722,0.1887976974248886,0.002544072223827243,0.004161717080492306,0.0,0.0996129959821701,0.10065519064664841,0.013542530569147355,0.015036403445965449,0.019802628085017204,0.01650092750787735,0.09989946339075684,0.09591087402592774,0.0019442161526034487,0.009046864873270378,0.002067850270813166,0.004156635430805054,0.0007849171493024277,0.001808173255994916,0.3622665665692981,0.3635370038742694,0.11122701342570801,0.11449764241766403,0.0,0.0,0.23250605167551636,0.1432879224067543,0.14332781877653886,0.00023944422719068825,0.05005766823887825,0.05760558694601059,0.003232689807191491,0.015044160187244415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8233604431152344,1.131091594696045,2.3515570163726807,0.6828339099884033,6.041593074798584,4.825159549713135,7.688290596008301
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.05320015906944229,0.39181727170944214,0.0,0.0,0.0,0.0,0.0,0.05325271366039551,0.39170801639556885,0.040935519560723645,7.749989890726283e-05,0.03135679752230984,0.15836180746555328,0.006712390575557947,0.1668441742658615,0.0012264145771041512,0.0044971974566578865,0.0,0.11183696985244751,0.10911773890256882,0.013532426113456895,0.01507915963170025,0.021589647978544235,0.018309975042939186,0.10332227499725585,0.0992420464529718,0.001924945808477143,0.008867314663507729,0.001990647842306896,0.0033706167037912084,0.000826334108676368,0.0017539229011163116,0.35924261879555847,0.36103593632415404,0.10513060626458938,0.10771938372758667,0.0,0.0,0.22267097827985902,0.11784657986904556,0.11786981675713182,0.00020369187404867262,0.052341118454933167,0.05996360629796982,0.0025877151638269424,0.012922371737658978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.727177619934082,1.0635358095169067,2.503002643585205,0.6770761013031006,5.960137367248535,4.909806728363037,7.695960521697998
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.05322812495855492,0.3856129050254822,0.0,0.0,0.0,0.0,0.0,0.05325344147664726,0.38543838262557983,0.041640047999225924,6.71758534736e-05,0.03204790370673172,0.16683229804039001,0.013130612671375275,0.14908340573310852,0.0009588207467459142,0.005129407159984112,0.0,0.11729156225919724,0.11046004295349121,0.01359515339982817,0.015196501282202367,0.023762516677379608,0.02054573968052864,0.10791449395851029,0.10314911753023376,0.0019127198115469304,0.00916503824360052,0.001909022094195661,0.0024547341039036275,0.0008249887429686248,0.0016421498730778694,0.3600169450284027,0.36179643086253355,0.09085299156798111,0.09312669106248382,0.01039238553494215,0.010602077469229698,0.21978240310232147,0.09288981181458703,0.09290566222194649,0.00026613415684551,0.05165090411901474,0.05970878526568413,0.001809390028938651,0.010134306736290455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.551395297050476,0.8457168340682983,2.7133970260620117,0.6587083339691162,6.028942584991455,4.890659332275391,7.845265865325928
