Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.013587443152532006,0.03398286551237106,0.0,0.0,0.0,0.0,0.0,0.013645549234614886,0.033953286707401276,0.006193866773507328,0.0,0.003685925488801477,0.0266613457351923,0.0009563317289575934,0.005390510894358158,7.292271038750187e-05,0.0007758717555070651,0.0,0.0403800830245018,0.03779574856162071,0.013200243030618156,0.01632651176503451,0.007592043839395046,0.007854705676436424,0.020441224581950017,0.023478511507833005,0.0027137291229975343,0.0021561472641953494,0.0019435462559811703,0.0006763267320277593,0.0002769596758298576,0.00028806942282244563,0.05949003320710518,0.06172865257297432,0.006383546204531097,0.006794179344978638,0.0005390901351347566,0.0006465354235842824,0.05605158024454693,0.035017522197179525,0.035011777001671816,4.71285566163715e-05,0.012576250359416008,0.016260260716080666,0.0003935937420465052,0.001360180671326816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2892273962497711,0.0892215222120285,0.42316871881484985,0.1657567173242569,2.037912368774414,0.9440214037895203,0.9524685740470886
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.02727819643485893,0.082244373857975,0.0,0.0,0.0,0.0,0.0,0.027358559665662613,0.08212868869304657,0.017720969728122024,0.0,0.0070191407760697745,0.08032731711864471,0.001493950141593814,0.01513621211051941,6.551599653903395e-05,0.0015070210601400805,0.0,0.08089921623468399,0.07525135576725006,0.013031651817999902,0.01626105979086689,0.01811470463871956,0.018380824476480484,0.03952234572043705,0.04247559603483368,0.0028395694545687604,0.004230654797422161,0.0020171979866720627,0.000884978239147737,0.0005007220315746963,0.000525648589245975,0.15006509239840302,0.15260345639071077,0.015769193349485303,0.01670818915175789,0.0007509717834182084,0.0010318526765331626,0.07610411198147232,0.03502908948730225,0.035026250693529236,7.462858775397763e-05,0.025677278637886047,0.032708000391721725,0.0002814602921716869,0.0016218790551647544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.580798327922821,0.14811213314533234,0.847946286201477,0.32711464166641235,4.076452732086182,1.5141204595565796,2.302487850189209
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.04231476917737686,0.1472865790128708,0.0,0.0,0.0,0.0,0.0,0.042410136722659454,0.1470869481563568,0.03848278701769104,0.0,0.012088544112174492,0.1656404733657837,0.0015413692453876138,0.0285626333206892,4.172945045866072e-05,0.0025525124665063525,0.0,0.1227855384349823,0.11470720171928406,0.012820387014243692,0.016129730314149156,0.03360407054424286,0.03328872472047806,0.07762102038125458,0.07950314584833831,0.0021014086962084415,0.006723634376803951,0.0020938867167172148,0.0009376038399302172,0.0006447820924222469,0.000815365114249289,0.28469361697226503,0.2867874182713367,0.030020768027243537,0.03112780234180603,0.00033816002542153,0.0007839188911020756,0.09471015039600067,0.035081740873796646,0.035079115512150344,9.296178177464753e-05,0.03965049237012863,0.04955970495939255,0.00016346454503946006,0.001024859957396984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9366142153739929,0.18383356928825378,1.3641573190689087,0.47946470975875854,5.737679481506348,1.7596752643585205,4.198671340942383
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.05689320836942497,0.21827486157417297,0.0,0.0,0.0,0.0,0.0,0.057001324541588745,0.2179710566997528,0.06448598929620575,0.0,0.017982855985199355,0.2571651339530945,0.0012636680621653795,0.043211113661527634,7.834053394617513e-05,0.003571256971533475,0.0,0.16266784071922302,0.15384073555469513,0.012757015776935882,0.016135146829296298,0.05174100399017334,0.05082675814628601,0.12504518849893936,0.12618927505004607,0.002018751459255815,0.00938090965842268,0.0022069381270704604,0.0009307783523320896,0.0008953367359936237,0.001257916446775198,0.4317631818453369,0.43266569748370115,0.0482010228557753,0.0502415051148365,0.00012116623111069202,0.0007378177833743393,0.11357793806524444,0.03531371547368456,0.035314578282759676,9.462261368753389e-05,0.05425690487027168,0.06706063449382782,0.0005315074813552201,0.0017726134974509478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3522846698760986,0.25452977418899536,1.949631929397583,0.5929160714149475,7.248335838317871,1.9721543788909912,6.198878765106201
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.07057242359057571,0.29636600613594055,0.0,0.0,0.0,0.0,0.0,0.07070408898180709,0.2959809899330139,0.08763659812509719,0.0,0.025292422815663414,0.3220815360546112,0.0010422945488244295,0.05802728608250618,7.788896618876606e-05,0.004134951591623049,0.0,0.20090854167938232,0.19202491641044617,0.012794257987406903,0.01606051386010814,0.06892426311969757,0.0675492063164711,0.16834615768063751,0.16808720234335206,0.0020224099894536234,0.011793520708497448,0.0022448819674411656,0.000986639850361135,0.0010748808272182941,0.001680021290667355,0.555549538918844,0.5562416434214624,0.07284828748813599,0.07615918037187942,0.0,0.0006167220999486744,0.13156524746649764,0.035967052674530785,0.035956982437822735,7.595479837618768e-05,0.06857884675264359,0.08473645895719528,0.0006428193883039057,0.002711293753236532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8515974283218384,0.3360109329223633,2.6270883083343506,0.6959142088890076,8.998809814453125,2.370394229888916,7.708074569702148
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.06772617238418457,0.31823837757110596,0.0,0.0,0.0,0.0,0.0,0.06787821853837539,0.3179260492324829,0.08345630036062882,0.0,0.027348138975103645,0.2836056351661682,0.0006506270146928728,0.06429702043533325,0.00012187600077595562,0.0038754169063421728,0.0,0.2012491375207901,0.19343970715999603,0.012916135167460582,0.01597148362422772,0.06820240616798401,0.06715375930070877,0.16432415026327118,0.16380017395938384,0.001855530167960474,0.010985888882056217,0.002152525980897522,0.0011250803609925883,0.0010834081976557684,0.0018117150757461786,0.5358973752628674,0.5369315258999182,0.08695583986553482,0.0913321374244847,2.4616718292236328e-05,0.0006903886678628623,0.12678641232166643,0.03615570060340061,0.036159386577299356,2.7687548936228268e-05,0.07062123715877533,0.08754460513591766,0.0010916328756138682,0.005746133159846067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.126265525817871,0.36396169662475586,2.881596326828003,0.6913344860076904,9.344734191894531,2.456414222717285,6.759286880493164
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.06356860939394912,0.3341915011405945,0.0,0.0,0.0,0.0,0.0,0.06373814509511734,0.3340069055557251,0.07355471654484512,0.0,0.02937150893400402,0.2339797168970108,0.0005853319307789207,0.06942200660705566,0.00017566978931427002,0.003385068326238322,0.0,0.20389841496944427,0.1958691030740738,0.012931653566092289,0.01564742861662137,0.06442189961671829,0.06380803138017654,0.15173623714392304,0.15360632242451783,0.0018859866638171387,0.010286127394537315,0.0020991617827883845,0.0013473815020878278,0.0010626529078752447,0.0018640953348949552,0.5010068378991779,0.5033656262154255,0.10159263040292282,0.10681077410768935,0.00034778116969391704,0.0008845340926200151,0.1237425208251059,0.034887890191468256,0.03490977105736944,-1.4653205653303303e-05,0.07178792357444763,0.0892372727394104,0.0022155405022203922,0.011036191135644913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3215408325195312,0.3863494396209717,3.14279842376709,0.6783051490783691,9.6199312210083,2.512787103652954,5.939682960510254
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.059079669263505476,0.348206490278244,0.0,0.0,0.0,0.0,0.0,0.05926658017436302,0.34814631938934326,0.06405648536935364,0.0,0.032379393434527934,0.19782188534736633,0.00045669646351598203,0.07722283154726028,0.00012458562559913844,0.0031601903028786182,0.0,0.2009926438331604,0.19177180528640747,0.012990790935660189,0.015512529884422192,0.059373825788497925,0.05888934060931206,0.14228043706657653,0.14701662955424438,0.0018941711271138883,0.009082734231629162,0.002024740949694785,0.0015169620770343019,0.001187029113605225,0.00199333974160254,0.4772164530717578,0.4804578356428491,0.12019579944085891,0.1254713009705905,0.0008932471391744912,0.001339633483439684,0.1187472700794043,0.03414873362239512,0.03417670133812211,-6.30724462098442e-05,0.0733327865600586,0.09062713384628296,0.006376890931278467,0.018446940928697586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4301114082336426,0.40455716848373413,3.386359930038452,0.6957534551620483,9.677017211914062,2.477792978286743,5.580920219421387
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.05664579196004074,0.35821619629859924,0.0,0.0,0.0,0.0,0.0,0.05681644322854698,0.35825347900390625,0.057572645219169924,0.0,0.03482250737160675,0.17687229812145233,0.0004814714193344116,0.09234771877527237,0.00015745937707833946,0.0028311333153396845,0.0,0.19185902178287506,0.183546245098114,0.013105346250549238,0.015528984983843107,0.054401837289333344,0.05390165373682976,0.13803766069845091,0.14638255685652007,0.001992792161648476,0.008174626045593414,0.00198646073681577,0.0020241886835177304,0.0014508426935920477,0.0023258221335709095,0.4672874540329956,0.4728564839726562,0.14235247008694396,0.14859256811860566,0.0037949765101075172,0.004068052861839533,0.11559210567752823,0.033298851369238845,0.033321005418892685,-5.761861757491715e-05,0.07400574535131454,0.091224305331707,0.01455233059823513,0.02926498092710972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.508847713470459,0.4120560884475708,3.5490241050720215,0.6783021688461304,9.643624305725098,2.392043113708496,5.391009330749512
