Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.01384174636946621,0.03551023453474045,0.0,0.0,0.0,0.0,0.0,0.013868519966171302,0.035477470606565475,0.013174593268892499,0.0,0.011490874907443105,0.04523041844367981,0.0001032279251376167,0.014767450280487537,2.6986084776581265e-05,0.00045540557843468907,0.0,0.04659328609704971,0.04471980035305023,0.013257729451319181,0.016253806244255528,0.011041027493774891,0.010830924846231937,0.0280138037795356,0.03063781445028782,0.001711822017905575,0.002177447659214702,0.001820978006045886,0.0007833975560427135,0.0002575854887254536,0.00034044409403577447,0.09642397311107971,0.10020355135832702,0.01826696334894886,0.01850383777400524,0.0,0.0,0.07092306391323189,0.050480791774774,0.05045227987506087,-1.3660013792105019e-05,0.016001127660274506,0.017961174249649048,0.0037150676362216473,0.006040418054908514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3681612014770508,0.2810327708721161,0.3701581060886383,0.15716291964054108,1.224111795425415,1.2271513938903809,1.2916302680969238
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.02373879253435482,0.077647864818573,0.0,0.0,0.0,0.0,0.0,0.023756801856142845,0.07758428156375885,0.024220262057075767,0.0,0.02072378808614792,0.08851014077663422,0.000223905939492397,0.03429646044969559,0.00010080818174174055,0.0007977398153592122,0.0,0.08218563348054886,0.07797586917877197,0.013213479614040936,0.01606375813209426,0.021020501852035522,0.020495964214205742,0.04631551502516556,0.0480375066045015,0.001673062220266644,0.003958603831844797,0.0018973485438184704,0.0011142525693427765,0.00044654784142039716,0.0005418815999291837,0.1836807560460547,0.18875866533598512,0.03579889184803238,0.03627676656054848,0.0,0.0,0.11458355189569885,0.0769072942800402,0.0768615245423758,-1.5893339877948165e-05,0.029563236981630325,0.03265032917261124,0.006798144429922104,0.010607565753161907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.752470850944519,0.5652993321418762,0.7524720430374146,0.3068726360797882,2.418062925338745,2.3948965072631836,2.6382546424865723
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.029945786519586678,0.1303912252187729,0.0,0.0,0.0,0.0,0.0,0.029950396679972992,0.13029001653194427,0.036927835945951844,0.0,0.02928951140913246,0.13636603951454163,0.00040472441469319165,0.05920498073101044,0.0002499583351891488,0.0011402549143594409,0.0,0.10856625437736511,0.10256676375865936,0.013176114097176991,0.015727038780185495,0.030837276950478554,0.02984633296728134,0.06842318922738495,0.06953648928267211,0.0015753496701934504,0.0055737788227001,0.002025060879783531,0.001477697475139122,0.0006366335437633097,0.0007588712614960968,0.273052502022085,0.27910166754845156,0.05404432138377182,0.054895824998246766,0.0,0.0,0.16617583635963135,0.12079654040040985,0.12072558401787933,-1.4941691915737465e-05,0.04034583643078804,0.0439402237534523,0.007915224879980087,0.013158584013581276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2109445333480835,0.9422460198402405,1.0947694778442383,0.41859397292137146,3.6184799671173096,3.4968109130859375,3.926222085952759
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.03472180788200203,0.1813928186893463,0.0,0.0,0.0,0.0,0.0,0.03470536524774643,0.18125560879707336,0.05062301807976555,0.0,0.039034132460390475,0.18799003958702087,0.0005288067040964961,0.08322586864233017,0.00030895337113179266,0.0013498000098271941,0.0,0.13568218052387238,0.12854774296283722,0.013170721124390989,0.015603578710110321,0.04049425199627876,0.039192087948322296,0.09184619857117066,0.09291879680144989,0.0015828831410922577,0.006603390953889103,0.002064119675647961,0.0019540113765027117,0.0007617651135660708,0.0009272312745451927,0.3732924856344757,0.38049226179568235,0.07603677939607376,0.07744369035820466,0.0,0.0,0.21408579348058868,0.16294164363288421,0.16285269260324647,-6.840204878244549e-05,0.04930949956178665,0.053660016506910324,0.009092837572097778,0.01680890843272209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6852750778198242,1.372454285621643,1.5049006938934326,0.5469127297401428,5.020524024963379,4.722726821899414,4.883973121643066
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.038316677166377565,0.24465574324131012,0.0,0.0,0.0,0.0,0.0,0.0382781899232267,0.2445080578327179,0.06358500637113754,0.0,0.049592619955045776,0.2283918559551239,0.0005519617116078734,0.10933250188827515,0.0004022253560833633,0.001395007911269586,0.0,0.16455358266830444,0.15705379843711853,0.013154174093797204,0.015528281271369005,0.04913553595542908,0.047357067465782166,0.11359752566683975,0.11597529354990266,0.0014976279885873705,0.007584225327636881,0.002106025798808537,0.0023452971107865237,0.000960791134275496,0.0012392449425533414,0.46648336131226137,0.4754551172183069,0.09992676701656311,0.10221685585272201,0.0,0.0,0.2615734308862021,0.20882433954873567,0.20873028043035768,-0.00011536210513440892,0.05653483048081398,0.061380624771118164,0.010025786235928535,0.01957620307803154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1804604530334473,1.7323039770126343,1.9625120162963867,0.6812670230865479,6.471976280212402,6.1424784660339355,5.6399078369140625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.03372306364433166,0.2557152807712555,0.0,0.0,0.0,0.0,0.0,0.033671872860999603,0.25563278794288635,0.06000199930138275,0.0,0.05105985200603798,0.19941505789756775,0.0004361412429716438,0.11656979471445084,0.00043340216507203877,0.001210689398251736,0.0,0.16867507994174957,0.16202707588672638,0.013053053013708835,0.01558420832923034,0.046064458787441254,0.04418696090579033,0.10863237905403123,0.11264387663329589,0.0014001833800300078,0.007562073288932781,0.002069017489326839,0.0024475988421670722,0.0010369835135410142,0.001462642103433609,0.44792482367862363,0.45714296026423706,0.10510458993229202,0.10757780059053085,0.0,0.0,0.26238513889227266,0.2151686280629535,0.21509339213206483,-0.00015715003246441483,0.05442135035991669,0.05897779017686844,0.011359436437487602,0.022183125838637352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2282907962799072,1.7040528059005737,2.0390615463256836,0.6778367161750793,6.952580451965332,5.972799777984619,5.261850357055664
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.029724069498295404,0.2649673819541931,0.0,0.0,0.0,0.0,0.0,0.02966648542583729,0.2649418115615845,0.05442978395769837,0.0,0.05259847601543159,0.16712623834609985,0.00034284626599401236,0.12548434734344482,0.00048578035784885287,0.0009522105697353959,0.0,0.17326104640960693,0.16679836809635162,0.012924396133066191,0.015398557687849576,0.04282908886671066,0.041119031608104706,0.10267578068916916,0.10847583861838456,0.0013105885397612018,0.006982274065266237,0.0020083535084803104,0.0032563286918919944,0.0011493921015233446,0.0017385220853611827,0.42255594950386843,0.4320937596554431,0.11213114138114472,0.11491589566063354,0.0,0.0,0.26056669654055237,0.21637712713535767,0.21631164249317933,-0.00016134828911162913,0.05341104045510292,0.058135736733675,0.013889171183109283,0.026440264657139778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32405686378479,1.727015495300293,2.096633195877075,0.6897103786468506,7.252841472625732,5.653349876403809,5.0881571769714355
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.02600428260519459,0.2710341811180115,0.0,0.0,0.0,0.0,0.0,0.025926604772603876,0.2710206210613251,0.049491755142360074,0.0,0.05412666403353554,0.14502912759780884,0.0003560179902706295,0.13841600716114044,0.0006343273562379181,0.0010946985566988587,0.0,0.17007318139076233,0.16322118043899536,0.013007550594707427,0.015417681825187983,0.04015147313475609,0.038475170731544495,0.0975998789215303,0.10577949879309784,0.001370119261318261,0.006708671916999607,0.002100449874363801,0.004846003490997143,0.0013822225672971249,0.0020061787217855453,0.4027222700082507,0.41293396875098815,0.1184950628585797,0.12127084989455979,0.0,0.0,0.25893295404508726,0.21225185098196442,0.21218451861231447,-0.00015463233285117894,0.052715662866830826,0.05716292932629585,0.017984425649046898,0.032211124897003174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253100633621216,1.8005359172821045,2.1326630115509033,0.6953397989273071,7.292039394378662,5.569182395935059,5.006626605987549
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.023442756367007905,0.27520570158958435,0.0,0.0,0.0,0.0,0.0,0.023337240689818267,0.2751748263835907,0.04573750969966538,0.0,0.054141862859430234,0.13336309790611267,0.00026415023603476584,0.1496449112892151,0.0006137217278592288,0.001057432615198195,0.0,0.16277143359184265,0.15484808385372162,0.013143054555720929,0.015471619616886888,0.038018181920051575,0.03621640428900719,0.09999898968175781,0.10900966972196807,0.0012443259852019486,0.005937575251528416,0.0021450289168564447,0.007219341280088281,0.001454861001255548,0.0020751953125,0.3846683532238983,0.3948649685746307,0.12166436098707901,0.12511005171063905,0.0,0.0,0.2610310822633932,0.2130867540545868,0.21301858426455475,-0.0001407447416568175,0.052755922079086304,0.05691879242658615,0.022287145256996155,0.037298932671546936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.295072317123413,1.8953769207000732,2.1938090324401855,0.7026931047439575,7.008902072906494,5.606049537658691,5.101480007171631
