Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007612356444910193,0.04128386825323105,0.0,0.0,0.0,0.0,0.0,0.007638920959697285,0.04131598770618439,0.006571336003950567,0.0,0.00998604482270199,0.01212633028626442,0.0002210555539932102,0.089812733232975,0.03726174682378769,0.0006409591158835573,0.0,0.00018461850413586944,0.00011099183757323772,0.01684715270460744,0.020306798746948615,0.0027267916593700647,0.0022315015085041523,0.03763686191981346,0.043960080269002916,0.0017560204429356925,0.0014907163533100151,0.0026910645424975945,0.0024904744950984097,8.163780148606747e-05,0.0002036037330981344,0.04615959223883011,0.04593135417138016,0.019351773471796417,0.018866882214751548,0.0,0.0,0.14824692905867676,0.12165272090324203,0.12169337274321015,8.937698294175789e-05,0.0094223003834486,0.009782381355762482,0.0004025596135761589,0.0012062696041539311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47335177659988403,0.18049852550029755,0.4060486853122711,0.12009792029857635,1.2761311531066895,1.3375966548919678,1.0383224487304688
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.011370263430658474,0.09435993432998657,0.0,0.0,0.0,0.0,0.0,0.011404685450178947,0.09445283561944962,0.011482535264382629,0.0,0.017429369520218983,0.02262452244758606,0.00036329947761259973,0.22194921970367432,0.0873185321688652,0.0010086429928627086,0.0,0.0002177949354518205,7.817268487997353e-05,0.03430595139709034,0.0375971541107164,0.00452969316393137,0.0035764812491834164,0.06748310251405526,0.07780927416116883,0.0017323270593970791,0.0024146805507116223,0.003238587801999774,0.005420363763070478,0.0001691932848189026,0.0004415661096572876,0.09389687891173157,0.08993116916498749,0.039773433869783784,0.039055836848491364,0.0,0.0,0.2731455117584079,0.21924725774596923,0.21933735307078003,0.00022572409943677485,0.01625792682170868,0.01694214716553688,0.0008718706667423248,0.0029267598874866962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.030078649520874,0.3523486852645874,0.8811337351799011,0.2396097630262375,2.535317897796631,2.4162611961364746,2.28365159034729
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.012838609925150509,0.15719427168369293,0.0,0.0,0.0,0.0,0.0,0.012880963795518265,0.1573125720024109,0.016108879749643708,0.0,0.025092271533339004,0.03276008367538452,0.0005331174470484257,0.3846202492713928,0.14509564638137817,0.0013890407435309792,0.0,0.00032238513813354075,6.496202695416287e-05,0.06488352791598061,0.0674449898590847,0.005735732614994049,0.004276742693036795,0.10255812854031983,0.11746420416695327,0.0016230609837209935,0.003220971617529707,0.0035120414034065916,0.008520659601572972,0.00034103129291906953,0.0007988945581018925,0.15225211118250825,0.14297142400864135,0.06332030912810319,0.061778198241817094,0.0,0.0,0.4059457123628967,0.3251371622294428,0.3252822130795783,0.00040659052319824696,0.0203442070633173,0.021167604252696037,0.0014971084892749786,0.0049457550048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7190965414047241,0.49736136198043823,1.402558445930481,0.3423648774623871,3.6038084030151367,3.3545174598693848,3.7927725315093994
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.013473908722212944,0.22858984768390656,0.0,0.0,0.0,0.0,0.0,0.013500111348648987,0.2287408411502838,0.021112281614311446,0.0,0.03224834854367867,0.045356038957834244,0.0008960563573054969,0.5441617369651794,0.1975824236869812,0.0017724522385625815,0.0,0.0005056964000687003,0.0,0.10474876614031281,0.1057640298992595,0.006659870035946369,0.004746242891997099,0.1405623115424765,0.15914495136726103,0.0016190126162123634,0.0038372111017014694,0.005593820959344301,0.013224934101591606,0.0006160583579912782,0.0012557936133816838,0.2136957444349823,0.19836082234827943,0.08582681249810928,0.0838266176567505,0.0,0.0,0.5454536288830774,0.4349904299154236,0.43519957661546876,0.0006207115366123617,0.022946713492274284,0.023435909301042557,0.0016644701827317476,0.006442719139158726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3718113899230957,0.7276557683944702,1.9125093221664429,0.458101749420166,4.2697601318359375,4.315189361572266,5.624394416809082
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.013375482363854904,0.3029654026031494,0.0,0.0,0.0,0.0,0.0,0.01340019932723032,0.30312058329582214,0.026553180739280625,0.0,0.03926765006731232,0.06122802197933197,0.0011047866428270936,0.6660462021827698,0.23053975403308868,0.0019195555608170437,0.0,0.0008155395044013858,0.0,0.1468116611157892,0.1461078643853821,0.0071002161130309105,0.004686195868998766,0.17712517679799286,0.19818209412992738,0.001636783970329449,0.004399776399995966,0.007110889333658839,0.017785721549352495,0.0009736567735671997,0.0017232715617865324,0.27431780774246767,0.2544565915988001,0.10382659461608856,0.1013115283538092,0.0,0.0,0.6868007898234656,0.5448725700775672,0.5451304316831043,0.0008938094833865762,0.025543879717588425,0.025957155972719193,0.0017533092759549618,0.007089460268616676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8558971881866455,0.9494233131408691,2.544792652130127,0.5737823247909546,4.787403583526611,5.256128311157227,7.62192440032959
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.011329474736314984,0.314449667930603,0.0,0.0,0.0,0.0,0.0,0.011314968749197025,0.31457385420799255,0.027184045103856774,0.0,0.03932075447042778,0.06738417595624924,0.0009129980462603271,0.5966408252716064,0.20421253144741058,0.0017766575028898954,0.0,0.0008588398923166096,0.00012216389586683363,0.1623787790290857,0.16149992946490999,0.006720735225826502,0.004316659644246101,0.1758392013897513,0.19435874517882812,0.0017097347402902374,0.004072879782393913,0.005354871901624179,0.015524015990280323,0.0008772473729098749,0.0015849291812628508,0.27008354774821897,0.2517740391035391,0.09268649863514236,0.09035975470019958,0.0,0.0,0.6982423305741345,0.5530034333131213,0.5532320618612976,0.0009270438458770514,0.023097258061170578,0.023350611329078674,0.0010939877247437835,0.00515412725508213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.539893388748169,0.8495408296585083,2.7459216117858887,0.5668340921401978,4.35059118270874,5.246516704559326,8.272648811340332
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.00906867682915411,0.31884729862213135,0.0,0.0,0.0,0.0,0.0,0.00906383541674162,0.3189336061477661,0.0287438253934169,0.0,0.03869757761846275,0.07452194392681122,0.0009284511324949563,0.5096006989479065,0.16201168298721313,0.0016456083990445019,0.0,0.0005319095798768103,0.0,0.1715547278638855,0.17042911647583436,0.00613752193748951,0.0036649492103606462,0.1698073223585379,0.18559738697301026,0.0015946104746921354,0.004112212630460844,0.0029422510081156604,0.011672508259467449,0.0009410054740317809,0.001491990638896823,0.2602485082692798,0.24452324736067382,0.08037944163548966,0.07885635217022369,0.0,0.0,0.713487878457743,0.5630341052656982,0.5632416396989136,0.001016857335343957,0.02117444947361946,0.02119610831141472,3.304761048639193e-05,0.0017795487074181437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2315380573272705,0.837792158126831,2.929962158203125,0.560910701751709,4.123899936676025,5.4702253341674805,8.481749534606934
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0067714162509079166,0.302895188331604,0.0,0.0,0.0,0.0,0.0,0.006785514204448824,0.30299532413482666,0.029687039032130585,0.0,0.03722191505730492,0.07899019867181778,0.0013732746010646224,0.4054369628429413,0.12188886851072311,0.0016004303470253944,0.0,0.0002528740151319653,0.00023101866827346385,0.1716028347943988,0.17087950405415986,0.005702829919755459,0.0031326613388955593,0.1597598120713449,0.17098413405558716,0.0014733679156591205,0.004212718103804378,0.0024610722916110148,0.007445444937361069,0.000900470819867754,0.0013615769566968083,0.24091993343464996,0.22741084620193114,0.06753785994720275,0.06631985266116898,0.0,0.0,0.7307942270953955,0.5733511388495105,0.573536902702738,0.001040143077261746,0.01955459639430046,0.0199686661362648,-3.47371787938755e-05,0.0008053715573623776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9969992637634277,0.7197147011756897,3.0521347522735596,0.5386912822723389,4.3081231117248535,5.625466346740723,8.399572372436523
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.005935381149033718,0.2680717408657074,0.0,0.0,0.0,0.0,0.0,0.005981146251235609,0.26817190647125244,0.03061089952489025,0.0,0.035333635827007215,0.07839924097061157,0.0017449632287025452,0.32064396142959595,0.09505193680524826,0.001750352093949914,0.0,0.0,0.0,0.16414232103535095,0.16353422852016083,0.004573592450469732,0.001954602310433984,0.15200632212594878,0.15804980844343414,0.0014607045609167193,0.003890843718045745,0.002318823541144793,0.0050693654214595315,0.0006727604010650873,0.0011223912006244063,0.2185277670861267,0.2071972411042328,0.05495302461279617,0.05457403056744103,0.0,0.0,0.7498217880634497,0.5835852026648926,0.583775970352926,0.0008525887387804687,0.019811958074569702,0.02060527354478836,0.000267895869910717,0.0006868203054182231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.752703309059143,0.6895747780799866,3.169412851333618,0.5389426946640015,4.854907989501953,5.945470333099365,7.721926689147949
