Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.005582197563812161,0.09467349946498871,0.0,0.0,0.0,0.0,0.0,0.005611501563952484,0.09472309052944183,0.004088460288009376,8.136750693665817e-05,0.002845942142860768,0.02735034003853798,0.02003740891814232,0.019266271963715553,0.030886447057127953,0.0019437192393916083,0.0,0.0,3.9727929106447846e-05,0.03672447053180237,0.03952055575898804,0.0015672402223572135,0.001007881248369813,0.02663925361578972,0.0282716022536397,0.004116731773474526,0.003579052510922518,0.0018389412976574085,0.0004716236744936979,0.0001382149348501116,0.00030396139482036233,0.026197054205106277,0.02740228549276268,0.0007986716066873611,0.0007205494830482525,0.0,0.0,0.08455997706378082,0.06181381124743263,0.06183354558237488,0.0005437712534330785,0.004763612989336252,0.0058353436179459095,4.1810499169514515e-06,6.29736459814012e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25579673051834106,0.29031309485435486,0.6500723361968994,0.12036804109811783,0.9388077855110168,0.8298785090446472,1.8806869983673096
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.009447358916882172,0.19382473826408386,0.0,0.0,0.0,0.0,0.0,0.009497144964916077,0.19392220675945282,0.008687198496351509,0.0001704940223135054,0.004449310730965748,0.06965050846338272,0.0373280830681324,0.055647414177656174,0.05291708558797836,0.0037774208857875536,0.0,0.0,0.0,0.04869782629159012,0.05145685824756485,0.004681158345192671,0.0034038559533655643,0.045198851807621,0.04533564668328453,0.004198144292946296,0.0075216153626315495,0.0018355239898230772,0.0006557880190227175,0.00027344428235664964,0.0005995503743179142,0.07024407203364166,0.07062578351578323,0.0022205595672922375,0.0025457274127244282,0.0,0.0,0.12905877084740097,0.08593703661035293,0.08596864115218758,0.0007566920830868185,0.01069895550608635,0.01302995067089796,-2.7392223273636773e-05,0.00012257225171197206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4762538969516754,0.5629459023475647,1.184047818183899,0.23388460278511047,1.8024009466171265,1.7334734201431274,3.924907684326172
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.012780246733367081,0.29899778962135315,0.0,0.0,0.0,0.0,0.0,0.012845816612874851,0.29914283752441406,0.018658555974233056,0.0002717875177040696,0.00898957476439951,0.1500202715396881,0.045614294707775116,0.10604344308376312,0.06016058474779129,0.005972945263208141,0.0,0.0,0.0,0.04353048802545288,0.04657261486254177,0.011572246439754963,0.0088954521343112,0.07189490646581116,0.06998450014454574,0.0030892134238372686,0.011465562916974145,0.00178257934046659,0.0008259134958741027,0.0005427959258668125,0.0010542358504608274,0.16171674762755373,0.1617977298748828,0.010776166077194137,0.012249395496772862,0.0,0.0,0.16738968495048218,0.10296379180850998,0.10300153194630798,0.000796983833424747,0.019191719591617584,0.02285321056842804,-2.249365388706792e-05,0.0003986770170740783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7318263053894043,0.7320455312728882,1.5499796867370605,0.35370540618896484,2.6176533699035645,2.2985610961914062,6.578146457672119
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.016894051179102098,0.41170376539230347,0.0,0.0,0.0,0.0,0.0,0.01697152497591587,0.4118059575557709,0.042034793430336226,0.00032584797008894384,0.01777912358406677,0.2852165997028351,0.04251911863684654,0.15514948964118958,0.04820268228650093,0.007153238379011927,0.0,0.0007391673279926181,0.0012544197961688042,0.02259853223082508,0.025915727370997354,0.027399782091379166,0.022852372378110886,0.11656112296625504,0.11377398517120087,0.002488201250381768,0.016667518808891984,0.0019846850450414046,0.0012696334645364176,0.0009196813334710896,0.0016484297811985016,0.31501225606599426,0.31661944761721555,0.026426052860753477,0.02973859137157898,0.0,0.0,0.19299333392114806,0.1069862410798027,0.10699074268259216,0.0006481042946688831,0.029977891594171524,0.036070309579372406,-8.752384746912867e-05,0.0005943778669461608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9558408856391907,0.8981545567512512,1.9154411554336548,0.4704001545906067,3.2481436729431152,2.8403961658477783,9.387455940246582
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.02275095957354214,0.5353685021400452,0.0,0.0,0.0,0.0,0.0,0.02281602236217247,0.5353240966796875,0.07889666475355331,0.0002617298741824925,0.030318128138286667,0.46560919284820557,0.025891508907079697,0.16809013485908508,0.022279441356658936,0.007963072940838556,0.00019146234262734652,0.029447317123413086,0.02777715213596821,0.01299939453921966,0.016403400827809046,0.05389701947569847,0.04700702056288719,0.1945077240573236,0.19185743037164948,0.00204246360548004,0.02135155670058338,0.0021145531374588476,0.0018298430112729334,0.0010042351204901934,0.0019602766260504723,0.5199259885038049,0.523275327675155,0.0508329654883477,0.05681729805362114,0.0,0.0,0.209913161387377,0.10867917094626908,0.10865303877119324,0.0005632853717543185,0.042319584637880325,0.050562962889671326,-0.00014948713942430913,0.0007313702953979373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1416447162628174,0.8774682879447937,2.356921911239624,0.595172643661499,3.59358286857605,3.1754889488220215,13.008665084838867
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.025318240624231072,0.5510536432266235,0.0,0.0,0.0,0.0,0.0,0.025373367763371964,0.5509483218193054,0.10032977179951355,0.0002517077955417335,0.037242564024527816,0.5401185750961304,0.007025846280157566,0.12446796149015427,0.0022289182525128126,0.008335983117833996,0.00012611418787855655,0.061647139489650726,0.057820454239845276,0.012833154195095106,0.016299855076497213,0.07018064707517624,0.062082234770059586,0.24511660712858185,0.24406001862014282,0.0018838281424556913,0.019757313063815576,0.0022595297351351885,0.0015844207328825819,0.0008425321493181002,0.0018377442611381412,0.5975140940319409,0.6007652394314124,0.06299890401276878,0.06964332594348571,0.0,0.00011613145761657506,0.18597670795832033,0.0941162921152015,0.09408501088454438,0.00038786442019045353,0.04355376213788986,0.05135495588183403,-0.00013193894119467586,0.0004473608860280365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.108848214149475,0.6713297367095947,2.3785717487335205,0.5960071682929993,3.325568914413452,2.860382080078125,13.917182922363281
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.027716329879874803,0.5633694529533386,0.0,0.0,0.0,0.0,0.0,0.02776516617537285,0.5632676482200623,0.11182691110918762,0.00029181758873164654,0.040726985387904355,0.5809001326560974,0.0016640047542750835,0.09939596056938171,0.0005793059826828539,0.009132406384665299,9.685665281722322e-05,0.07328443974256516,0.06882496923208237,0.01271702262810272,0.016093304072246725,0.07957053929567337,0.07063300907611847,0.28120755407755493,0.280042198317157,0.0019149064707538945,0.0182856444181007,0.0023043322974070422,0.001231785569503572,0.0007286483855739879,0.0017921319231390953,0.6316120288915332,0.6342723571056995,0.06899561758506317,0.07626213451218078,0.0,9.800925909075886e-05,0.16972097756071686,0.0858056649213646,0.08577888604538728,0.0002695787698030472,0.04119206592440605,0.048276424407958984,-3.347922029206529e-05,0.00021951779490336776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1417337656021118,0.5417532324790955,2.416210889816284,0.5991387367248535,3.329393148422241,2.8447771072387695,14.058690071105957
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.029553951543116113,0.5715004205703735,0.0,0.0,0.0,0.0,0.0,0.02960333404938019,0.571414589881897,0.12020162440791642,0.00038181402487680316,0.04300627388656479,0.5981166362762451,0.0011203926987946033,0.08913829177618027,0.000452947715530172,0.01039981935173273,6.557315646205097e-05,0.07237302511930466,0.06734296679496765,0.012797746412402776,0.016076710417241784,0.08500433713197708,0.0755230262875557,0.302303887918017,0.30057634410998474,0.001995638576099092,0.017523438316561966,0.0023378784257362326,0.0010018189228453113,0.0007197626336324751,0.0017709408421069384,0.6459786601030079,0.6482411555929529,0.07173010793399627,0.0793570946565036,0.0,0.00017123058205470443,0.16009671089246888,0.08242905290867264,0.08240127567141176,0.00021922081941738725,0.03864030912518501,0.044894542545080185,0.0001385609502904117,0.0001383648777846247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1660993099212646,0.45108503103256226,2.4760613441467285,0.5933760404586792,3.4240291118621826,2.853910446166992,13.950456619262695
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.03057678228346508,0.5755972266197205,0.0,0.0,0.0,0.0,0.0,0.030607623407070045,0.5754783749580383,0.1251475783904422,0.00042455922812223434,0.044620836695136945,0.5973207950592041,0.0008570763748139143,0.08678170293569565,0.00040794265805743635,0.010885583236813545,1.4189183275448158e-05,0.06750871986150742,0.06211047247052193,0.012906148139799817,0.016136940951850552,0.08851956576108932,0.07895495742559433,0.31084890065626036,0.3089587703355621,0.0019352782487416056,0.01711112808502594,0.002350043860360001,0.0008551674130470366,0.0006580413716422379,0.0017329123802483082,0.6499941677094483,0.6520229797726745,0.07158523880137192,0.07917989708903793,0.0,0.00015224769595079124,0.1512272417453955,0.08114683997706643,0.08111128882888771,0.0001597777009010315,0.0357961542904377,0.041449252516031265,0.0001938865752890706,5.826816050102934e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2055975198745728,0.46212008595466614,2.5501532554626465,0.5864907503128052,3.528505563735962,2.977733612060547,13.610875129699707
