Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0045930806026757,0.13044114410877228,0.0,0.0,0.0,0.0,0.0,0.004607058991358795,0.13049080967903137,0.005920453748664589,3.0182583941495977e-05,0.009946556745538293,0.01507088728249073,0.0002161960583180189,0.08953720331192017,0.013723181560635567,0.001968301382333262,0.0,0.0,0.0,0.036858122771840286,0.03997759299925484,0.001989418640732765,0.0011099748080596328,0.03433884006684334,0.04017235224249363,0.001734073073175892,0.0015175616101079845,0.0018358052598812782,0.001332077607039777,0.0,0.00025837577413767576,0.06434698101656296,0.06282856688533699,0.023357905955278778,0.02224759619912178,0.0,0.0,0.12901870162213425,0.12487510446199218,0.12491375209577973,5.66036396776326e-05,0.005205651745200157,0.005171571858227253,-0.00013040781777817756,0.0001752666139509529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4484672546386719,0.14528509974479675,0.9238742589950562,0.1151648759841919,1.3249824047088623,0.42851123213768005,1.5970213413238525
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0066415945956443696,0.25805291533470154,0.0,0.0,0.0,0.0,0.0,0.006648268790376749,0.2581610083580017,0.011043130754421024,6.013789607095532e-05,0.01832585038599552,0.028931325301527977,0.0003971757832914591,0.18679098784923553,0.030026227235794067,0.0036310803069930743,0.0,0.0,0.0,0.06567225682285346,0.06867390948538643,0.0034252996556460857,0.0017231199890375137,0.05701684354117203,0.0660232714954107,0.0016881087878354323,0.0025681462128631974,0.001842500352606539,0.0022862141707006836,0.0,0.0004543976974673569,0.12501735056805405,0.12006880493244736,0.044232338136141205,0.04247800772594803,0.0,0.0,0.24015305937536652,0.22284013632606262,0.2229254036746466,0.0001303384342463687,0.00918995589017868,0.008950015529990196,-0.00025620960514061153,0.00030117822461761534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9054566621780396,0.2780000865459442,1.855179786682129,0.228358656167984,2.5144925117492676,0.8430412411689758,3.3683295249938965
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0077382600294944,0.38515570759773254,0.0,0.0,0.0,0.0,0.0,0.007732594907914982,0.3852868676185608,0.01658979237543335,7.0085225161165e-05,0.026529216584293823,0.0437491238117218,0.0005479302490130067,0.2933011054992676,0.048181504011154175,0.005067929291696539,0.0,0.0,0.0,0.10666372777154663,0.10893019887707672,0.0044456785544753075,0.002035429934039712,0.08053965867022934,0.09296706769329757,0.0016453208592709283,0.003588879191930013,0.0017842582385822325,0.0025903001262583543,0.0,0.0006986231892369688,0.18912798498660066,0.18018051757935058,0.06212336217933647,0.0600922138091198,0.0,0.0,0.36480625871337585,0.3252654314249994,0.32539078294003665,0.0002684040227904916,0.011669458821415901,0.011027250438928604,-0.0003383610164746642,0.0002959163102786988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2944519519805908,0.4058235287666321,2.7644975185394287,0.3317803144454956,3.5956733226776123,1.2462584972381592,5.375001430511475
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.008207036487570438,0.5143145322799683,0.0,0.0,0.0,0.0,0.0,0.008204833309819422,0.5145612359046936,0.021964814299114455,8.005273411981761e-05,0.0347574880218853,0.058512963354587555,0.0008124656742438674,0.40512600541114807,0.06977220624685287,0.0065309426044924835,0.0,0.0,0.0,0.16313030870375123,0.16438869235815612,0.005228195805102587,0.0021963263861835003,0.10464270485683808,0.12036917951095306,0.0015612586421789602,0.004576827909251661,0.0017466081376334465,0.0030674248603384685,0.0,0.0008440876263193786,0.255965182940155,0.24252744689433045,0.07852539997531646,0.07621394222835999,0.0,0.0,0.5009223729226129,0.4316084623708679,0.43178184628404787,0.0003510641981847584,0.014461656101047993,0.01320364885032177,-0.0004253320803400129,0.00018095492850989103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7832272052764893,0.5423224568367004,3.6783270835876465,0.45338907837867737,4.570675849914551,1.6124149560928345,7.432452201843262
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.007974139256631393,0.6414011120796204,0.0,0.0,0.0,0.0,0.0,0.007957067310422526,0.6417005062103271,0.027614804655310556,8.034319034777582e-05,0.04276119378159721,0.07947224378585815,0.0010344493202865124,0.5124322772026062,0.09229434281587601,0.007586124785375814,0.0,0.0,0.0,0.2239537954246042,0.2236311852986969,0.006237328052520752,0.002684448380023241,0.12741238475907532,0.14633255008161805,0.0015562468466074246,0.005567255371179266,0.001677056543654749,0.0029358732025677823,0.0,0.0011550766648724675,0.3214818604673059,0.30361123084287966,0.093537245954189,0.09090754505884537,0.0,0.0,0.6257014989756873,0.531361419002204,0.5315786302400043,0.0004951706505380571,0.015757132321596146,0.013764145784080029,-0.0002695939037948847,0.000462248339317739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1852800846099854,0.6678656339645386,4.477227210998535,0.5603921413421631,5.602385520935059,2.0645065307617188,9.425517082214355
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.006088992458146782,0.6387837529182434,0.0,0.0,0.0,0.0,0.0,0.0060823314667360975,0.6391456127166748,0.028065227133700105,5.8663190429797396e-05,0.043275895180304794,0.08534330129623413,0.0011721790069714189,0.4959053099155426,0.10200825333595276,0.007194412609353924,0.0,0.0,0.0,0.24054436979217775,0.23987297419414277,0.005461874417960644,0.0020270037930458784,0.12789568382402405,0.14552407856906402,0.001573480981607368,0.005427895455137234,0.0016459943882062046,0.002468771762409024,0.0,0.0012612753780558705,0.31981709710467954,0.30212755127146973,0.08259736942562393,0.08004755510760925,0.0,0.0,0.6394644618264234,0.5343923598191638,0.5346110343916626,0.0005704945069737732,0.013909590430557728,0.011819870211184025,-0.00026856185286305845,0.00032179473782889545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0514519214630127,0.6488444209098816,4.552122116088867,0.5608296394348145,5.1227874755859375,2.055140495300293,9.992157936096191
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.00509054874982915,0.6382110118865967,0.0,0.0,0.0,0.0,0.0,0.0051043035209252935,0.6386889219284058,0.029173092457153816,7.447481038980186e-05,0.043719671272141644,0.09536930173635483,0.0015255868202075362,0.46219781041145325,0.1014026626944542,0.007195539017189074,0.0,0.0,0.0,0.25006900579891356,0.2495478004100461,0.005064243450760841,0.0014794539893046021,0.12739447507803559,0.14413901867161866,0.0015149203342820418,0.0055436936118703935,0.0015856135535239689,0.0021977442634996437,0.0,0.0012671321164816618,0.31614616137215457,0.2993958197827014,0.07549744124877472,0.07335307021927306,0.0,0.0,0.6518770009438575,0.5341160177832458,0.53433314856427,0.0007102906820364296,0.01347698550671339,0.011292219161987305,-0.00013408898666966707,0.00044939041254110634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9195313453674316,0.6220408082008362,4.625556945800781,0.5361634492874146,4.706275463104248,1.9127520322799683,10.555015563964844
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0047787445004220195,0.6408302187919617,0.0,0.0,0.0,0.0,0.0,0.004815090818947916,0.6413661241531372,0.030391388982086525,0.00012249038263689727,0.044396634182337344,0.10953933000564575,0.0019718348048627377,0.4143044650554657,0.09521663933992386,0.007378940470516682,0.0,0.0,0.0,0.2563482269977298,0.2560094207220981,0.004958274308592081,0.001407916541211307,0.12889713795425659,0.14431981740138183,0.0015239249507970197,0.005493044500031261,0.0016314152757546593,0.0019124067644901944,0.0,0.0012790620094165206,0.30823418569199706,0.29353468939498534,0.06612028268050964,0.06472596485523026,0.0,0.0,0.66738150116995,0.5374345123961108,0.5376416743168128,0.0008080890984274447,0.013185005635023117,0.011506128124892712,-0.00013563870743382722,0.00042396067874506116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7287631034851074,0.5895065069198608,4.765861988067627,0.5172680020332336,4.435108661651611,1.9545328617095947,10.84904670715332
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.003852562495599203,0.6486318707466125,0.0,0.0,0.0,0.0,0.0,0.00390264637341023,0.6491165161132812,0.034439568491779635,0.0001019117989926599,0.044650169630947034,0.1330174058675766,0.003162158653140068,0.36038681864738464,0.08750207722187042,0.007325583137571812,5.119264096720144e-05,0.0,0.0,0.2655446335525171,0.2644558593795358,0.005455700680613518,0.001939487410709262,0.1324108406706227,0.1474050894388031,0.0016255688474060383,0.0058025306842414475,0.0017868735505993934,0.0015673429464553358,0.0,0.0012139215832576156,0.2961162954808258,0.2842736165886993,0.05252677656902061,0.05183149047616486,0.0,0.0,0.6840270221142004,0.5379174947448181,0.5381234020126245,0.0007841724436730146,0.013644578866660595,0.011723191477358341,-7.152438047342002e-05,0.00042288779513910413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.391636610031128,0.5758242011070251,4.79942512512207,0.5128577947616577,4.195472717285156,2.07938814163208,11.257509231567383
