Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,-0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.02543042972134056,0.07316078990697861,0.0,0.0,0.0,0.0,0.0,0.025527339358494796,0.07314278185367584,0.012243325642308922,0.0,0.005629318284312067,0.015528714284300804,0.0001762090396368876,0.00445597292855382,1.0059140549856238e-05,0.001456042883403821,0.0,0.08279028534889221,0.08354604244232178,0.013210783164717002,0.0162971981873644,0.01145173516124487,0.011700224131345749,0.03281696212237389,0.03247671646180153,0.0026028652986225605,0.001758783237328496,0.0020400746757985025,0.0012940716133382595,0.0005319098709151149,0.000889718416146934,0.09001477506534912,0.09095124900971328,0.02570908939954033,0.02664062801977665,0.0,0.0,0.09201888740981201,0.07196394208558837,0.07200231777318414,1.4884173651807941e-05,0.04464446008205414,0.051715146750211716,0.013477936387062073,0.017574217170476913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18901260197162628,0.061503659933805466,0.9286090731620789,0.26778632402420044,1.8141610622406006,0.43872904777526855,1.1191785335540771
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.052283853660706175,0.15142402052879333,0.0,0.0,0.0,0.0,0.0,0.05247849762199577,0.15139801800251007,0.025385959408173828,0.0,0.010446488875718727,0.03921884298324585,0.0002996584225911647,0.0148163465783,-6.983490311540663e-05,0.0032641846145700882,0.0,0.16336065530776978,0.16454508900642395,0.01305698642228812,0.016154522661980916,0.023696694523096085,0.023909950628876686,0.058491797729042054,0.05419469621212174,0.0022761943266013133,0.002961097284125557,0.002028949276675366,0.0024732735694412136,0.0013000334147363901,0.002003058325499296,0.19444584663080963,0.1937192767985782,0.06185317731470337,0.0636345050256192,0.0,0.0,0.13890392334469254,0.10316826257776016,0.10324727888922333,-2.334714054086362e-06,0.0933649092912674,0.1071852445602417,0.03451133519411087,0.04328814893960953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43012866377830505,0.12535853683948517,1.626694917678833,0.5433362722396851,4.033938407897949,0.8463195562362671,2.2018380165100098
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.08182782068723404,0.22805921733379364,0.0,0.0,0.0,0.0,0.0,0.08208117779407441,0.22801929712295532,0.03978979021774521,0.0,0.01632246040227888,0.06995918601751328,0.0003687495773192495,0.036203958094120026,-0.00012163633073214442,0.004812673331768503,0.0,0.23266072571277618,0.23431171476840973,0.012880332974190764,0.016003462960086864,0.03521599993109703,0.03519047051668167,0.08384334296445313,0.07576474252802581,0.0021417501267849597,0.004305054377446489,0.001976699221155549,0.004451002536598663,0.0023717693984508514,0.003437583800405264,0.30588923727065065,0.3034442342770435,0.1052833946602916,0.10799876531921539,0.0,0.0,0.1781477868906372,0.12960761191549316,0.12972743509972748,-4.85621094412636e-05,0.14011633396148682,0.15958568453788757,0.06119139865040779,0.07486709952354431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7440404295921326,0.20382195711135864,2.0954885482788086,0.7941991090774536,6.470534324645996,1.2446324825286865,3.164886236190796
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.11509092648308579,0.29540327191352844,0.0,0.0,0.0,0.0,0.0,0.11541484499694915,0.2953648269176483,0.05332698279000114,0.0,0.021582190493379973,0.10537800937891006,0.0005009672604501247,0.07213600724935532,-0.00012499370495788753,0.006319801997940121,0.0,0.28168612718582153,0.28568899631500244,0.012841199967136058,0.015934469377211224,0.044235117733478546,0.04390915483236313,0.10292263401790985,0.09114055182922089,0.0021875509983524683,0.005748319483747692,0.002056685313160559,0.007283645555863877,0.0034049865789711475,0.004893930163234472,0.4145118691126404,0.4105308569952673,0.1590674726290869,0.16323204463581542,0.0,0.0,0.21011326311559844,0.1512987405433609,0.15145462304271867,-8.059430547291413e-05,0.18342003226280212,0.208736389875412,0.09498148411512375,0.11439964920282364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.197324275970459,0.2955717444419861,2.449838876724243,1.0113766193389893,9.184656143188477,1.527809500694275,3.8797993659973145
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.150184850050365,0.34729015827178955,0.0,0.0,0.0,0.0,0.0,0.1505748717743753,0.34721603989601135,0.06681482560932342,0.0,0.02822166141818245,0.1459323912858963,0.0005675795837305486,0.13107265532016754,-3.98536394641269e-05,0.0075436839499893,0.0,0.3114948868751526,0.31649672985076904,0.01278576911310652,0.01586425118989292,0.05059630796313286,0.049607206135988235,0.11760693640578476,0.1018709868520572,0.0021684365379174746,0.007158473540957852,0.0021381836942839304,0.011964869776328888,0.004277251660823822,0.006134227383881807,0.5213047631467492,0.5162322640345606,0.21933276679626434,0.22547950711738954,0.0,0.0,0.23827451168530486,0.1688331693808127,0.16900806132082247,-8.293181599583477e-05,0.219576895236969,0.24955709278583527,0.1263861209154129,0.1517876535654068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606451511383057,0.42186689376831055,2.817497730255127,1.2202494144439697,11.63973331451416,1.8936524391174316,4.618377208709717
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.152462296065253,0.31706738471984863,0.0,0.0,0.0,0.0,0.0,0.15280176157435943,0.3169279098510742,0.06518073396153137,0.0,0.03032939939399555,0.15418404340744019,0.0004903033841401339,0.18364737927913666,0.00018361638649366796,0.006962412705436611,0.0,0.26497817039489746,0.26948150992393494,0.012755356422121097,0.01584929223797403,0.04452751949429512,0.043098632246255875,0.10869237857957825,0.09368480142081725,0.0019352840930529924,0.007098005494550209,0.0021411766584485716,0.015972445947312525,0.004354585841565819,0.006177533883601427,0.521530867732655,0.5161151997585608,0.23670479851278595,0.24325186743213317,0.0,0.0,0.22465946676645632,0.15417862233137086,0.15434401035144044,-9.019285789690912e-05,0.20176610350608826,0.22943873703479767,0.12733566761016846,0.15280842781066895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.100796937942505,0.4683958888053894,2.6542041301727295,1.0849246978759766,11.649370193481445,1.8553003072738647,4.492832660675049
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.14777545127999267,0.2986968159675598,0.0,0.0,0.0,0.0,0.0,0.14804679171443724,0.2984674274921417,0.06173825963089707,0.0,0.032873503469330975,0.15691299736499786,0.0004826823133043945,0.24564996361732483,0.0006506065838038921,0.006781663455981541,0.0,0.21967048943042755,0.2213253229856491,0.012662029598040542,0.015642645867747093,0.03927873075008392,0.0373297743499279,0.10232975337450623,0.0888149038125145,0.0017717830439300177,0.0070494685233634564,0.0021685326457907893,0.018978682634584274,0.0043257863694623755,0.006105928216129541,0.5164577029294666,0.5098752580876026,0.24646098192203064,0.25254510660957763,0.0,3.778293830691837e-05,0.21264977754755615,0.1328680991774414,0.13303522911207963,-0.00011739939509425312,0.17925070226192474,0.2036232352256775,0.12170112878084183,0.14586608111858368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3933403491973877,0.5158451199531555,2.500455617904663,1.0055501461029053,11.505853652954102,1.839402437210083,4.458844184875488
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.13700604051008178,0.3041154742240906,0.0,0.0,0.0,0.0,0.0,0.13717103181282317,0.30382880568504333,0.05581403098955665,0.0,0.035366020134094775,0.1540277749300003,0.0005290762055665255,0.3174634277820587,0.0025353897362947464,0.007882604375481606,0.0,0.18029290437698364,0.1764661967754364,0.012896814696219226,0.015494564075329335,0.0366976372897625,0.033975906670093536,0.1029571667456842,0.09176228193184982,0.001693922090689095,0.0070449869341931625,0.0023125041201852922,0.020394324909461328,0.004597149026192331,0.0063512325286865234,0.5089590854608265,0.49906476661399474,0.24320551839542207,0.2474936764350299,0.0032012907322496176,0.003679089481011033,0.2065483241994681,0.1139901220991748,0.11417717490284562,-3.1684936402598396e-05,0.15490537881851196,0.1740332990884781,0.10795103758573532,0.12957735359668732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.691045045852661,0.549643874168396,2.4811460971832275,0.9567780494689941,10.938284873962402,1.725888967514038,4.8101277351379395
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.12289310617474716,0.3154275715351105,0.0,0.0,0.0,0.0,0.0,0.12295322435480774,0.31508395075798035,0.0490088845511306,0.0,0.03752505647152893,0.15077245235443115,0.0005874231574125588,0.3616724908351898,0.0033239347394555807,0.008778725750744343,0.0,0.1466853767633438,0.13821886479854584,0.013002164069357142,0.0155989321549845,0.035060781985521317,0.03159889206290245,0.10722427217201126,0.09885711371982803,0.0016164951607364577,0.007049542274990473,0.0025560106935239853,0.020035220472291566,0.004929871512720918,0.00658353790640831,0.49507478179941405,0.48313840440570066,0.23112865619553313,0.23422079451802735,0.026881253346800804,0.027252819389104843,0.2029114723114203,0.103643931419413,0.10384903402451492,4.0048660594038665e-05,0.13001681864261627,0.1446814388036728,0.09118451923131943,0.10974821448326111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9422097206115723,0.5681366920471191,2.5400142669677734,0.8774178624153137,10.17066764831543,1.707151174545288,5.2002129554748535
