Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.008126266295179749,0.08438273519277573,0.0,0.0,0.0,0.0,0.0,0.008196028810606517,0.0845082625746727,0.007063088758847446,9.785746078705415e-05,0.0028086216607818284,0.02593405172228813,0.023241113871335983,0.005803069099783897,0.018417086452245712,0.0032750348480867575,0.0,0.00012230360880494118,6.31986913504079e-05,0.03360770826623936,0.03688104415885128,0.0043119220063090324,0.0035201418213546276,0.025757156095855542,0.02391834163221121,0.00574503078439207,0.005978151104664173,0.0018031222458119436,0.0004722932335792067,7.13963236194104e-05,0.000308098184177652,0.029827439007924575,0.030148752040013427,0.0006287066053821887,0.0003851257815763705,0.0,0.0,0.11886974425042252,0.08004562411197463,0.08008765430935319,0.0003038377617485821,0.006311669945716858,0.00698878476396203,8.312892896356061e-05,1.670551318966318e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20245309174060822,0.13465075194835663,0.7778239846229553,0.13340498507022858,1.7321147918701172,0.4476627707481384,1.5113489627838135
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.015120974178794518,0.1696135401725769,0.0,0.0,0.0,0.0,0.0,0.01524616382775959,0.16989478468894958,0.013033710754404335,0.0002248746604891494,0.0027619351351726197,0.04841414839029312,0.04564885050058365,0.006866469979286194,0.02856593206524849,0.006818056844101496,0.0,0.0,0.0,0.04824127333906212,0.051828537911222994,0.008630197495222092,0.006992538459599018,0.04140422454347897,0.03320205394358326,0.012596468776951867,0.012429876251982918,0.001726669217416447,0.0005119953729801332,9.022879385156557e-05,0.000593035772908479,0.05506671781706604,0.053248220694871826,0.0005398983998084606,0.0003402506076223481,0.0,0.0,0.2066951841235965,0.12611263099979156,0.12620930518726944,0.0006621064967475832,0.012735290452837944,0.014121340587735176,9.328222222393379e-05,-1.84516902663745e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39361169934272766,0.2701795995235443,1.768247365951538,0.27647313475608826,3.6587302684783936,0.9226523637771606,2.621295928955078
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.02286604367071354,0.2571789026260376,0.0,0.0,0.0,0.0,0.0,0.02306735474679409,0.2576639652252197,0.018417777423727417,0.00045177910942584276,0.0027431625914859582,0.0698070228099823,0.06623770296573639,0.010785368271172047,0.042390286922454834,0.011468636003853073,0.0,2.503466748748906e-05,0.0,0.06408421845367172,0.06838864686987839,0.013588674366474152,0.011096869595348835,0.05770175904492798,0.0432630934165165,0.019016585109230422,0.018378153852800446,0.0016589461522710635,0.0004986642563842009,0.00016716241952963173,0.0009962518233805895,0.08233177994280792,0.07782747372511398,0.00038713077148735345,0.0002220141595250726,0.0,0.0,0.2973812461248749,0.17765801551046387,0.17781452535355743,0.0009553878335282207,0.01970965601503849,0.021876260638237,7.868671673350036e-05,-0.00016415334539487958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5903201103210449,0.4119802713394165,2.766812801361084,0.4302418828010559,5.348608016967773,1.3787553310394287,3.988852024078369
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.030645084872654115,0.3466871380805969,0.0,0.0,0.0,0.0,0.0,0.030916931278725586,0.3475990891456604,0.023163893976577032,0.000823787588160485,0.0031890457251828853,0.09224648773670197,0.0849485993385315,0.026300635188817978,0.05893544480204582,0.01740931787023979,0.0,0.0,0.0,0.08952687235292878,0.09451953170599549,0.017199264839291573,0.013790843077003956,0.07531322611614594,0.05399430018055641,0.022671430952906607,0.023471409499099465,0.001720195160029251,0.0003221503186717373,0.00017559182015247643,0.0014101851265877485,0.11400290803113555,0.10680228397099442,0.0003073007215986574,0.0003632644936534345,5.533790681511164e-05,0.0,0.38976880012483767,0.23499690894031067,0.23522091209806612,0.0012011013459414244,0.028140470385551453,0.030976802110671997,-0.00013946056424174458,-0.00017930316971614957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7794934511184692,0.5757685303688049,3.6944713592529297,0.5970897674560547,6.914944648742676,1.991194486618042,5.392818927764893
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.03892454768553879,0.44043418765068054,0.0,0.0,0.0,0.0,0.0,0.0392949632067083,0.44174233078956604,0.027828969731923982,0.0011288555106148124,0.0038966049509771635,0.12898989021778107,0.09822048246860504,0.07082131505012512,0.09273828566074371,0.022491855513435823,0.0,0.0,0.0,0.13624535947194077,0.14215150178028718,0.020204538479447365,0.015851270407438278,0.09309305847752777,0.06815260204971574,0.02139393758583046,0.02720650233041851,0.0017302995858574153,0.00032439586711847425,0.00022704555885866284,0.0017283440101891756,0.15455005247246337,0.14429105519514404,0.00028683031703113796,0.0004037221922509486,0.0002102994913002476,0.0,0.48695458172791506,0.2981626570622015,0.29844409230474733,0.001519082230515778,0.036974042654037476,0.039989568293094635,-0.00016586005222052336,-0.00016830801905598491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.957036018371582,0.7140980362892151,4.640867233276367,0.7357127666473389,8.338937759399414,2.4394264221191406,7.0325093269348145
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.039470367010992734,0.4509006440639496,0.0,0.0,0.0,0.0,0.0,0.03986115956983139,0.4522393047809601,0.027673995283910485,0.0011046031722798944,0.00511614221719399,0.1620844602584839,0.08202548325061798,0.13238346576690674,0.10978946834802628,0.021503749040678404,0.0,0.0,0.0,0.16118312475605256,0.1671197384963965,0.018500756472349167,0.01418254617601633,0.09436750489374146,0.07347735535229194,0.013698249476293946,0.02521847129471634,0.0017855586639477818,0.00022950657429989462,0.00032806647409448146,0.0016791550442576408,0.18629717937816284,0.17622246964171662,0.00041875619643486387,0.0006309164963172521,0.00034897803561761975,0.0,0.496561223291496,0.31121167835210756,0.311469304559967,0.0016303348820656538,0.038329362869262695,0.04112778604030609,-2.924501859524753e-05,-7.397472654702142e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0243877172470093,0.6902170181274414,4.603242874145508,0.7162856459617615,7.938405990600586,2.3369312286376953,7.555233955383301
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0383909517897316,0.46629562973976135,0.0,0.0,0.0,0.0,0.0,0.03874900208116318,0.46755391359329224,0.03331650747606995,0.000926403678022325,0.009540780984265518,0.21170808374881744,0.05964533984661102,0.19587130844593048,0.10575712472200394,0.019272464037854004,0.0,0.0,0.0,0.16598950178585206,0.17135431467319917,0.017767343670129776,0.013261708430945873,0.09814464304392456,0.08200393320809479,0.007048840411423416,0.02303853741894184,0.0019887727860430702,5.0346305757429624e-05,0.0005235919347786057,0.001760635175742209,0.2513083926982578,0.24148789572664825,0.0020027321519257547,0.0024830463000036287,0.00034351350041106343,0.0,0.5071067363183082,0.3263361930495117,0.3265636950387268,0.0016077947802841663,0.040118999779224396,0.04223502799868584,1.926481672853697e-05,3.756880687433295e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12124764919281,0.6755274534225464,4.498039245605469,0.6956200003623962,7.7172017097473145,2.1629655361175537,7.87919282913208
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03731825187458946,0.4874466061592102,0.0,0.0,0.0,0.0,0.0,0.03762414855757988,0.4885301887989044,0.04686456866517578,0.0007625752477906644,0.016679679943624553,0.26049068570137024,0.03655119240283966,0.2325889766216278,0.07529190182685852,0.017124006524682045,0.0,0.0,0.0,0.15000421259152558,0.15441117283639405,0.018955616280436516,0.014175282791256905,0.11154747010710006,0.09904494134328018,0.003326828368935177,0.0209886791378043,0.0020612452184865446,0.0,0.0005991494917157829,0.0017470350721850991,0.34584471654526855,0.33755337521270384,0.015958194554565507,0.01763364445773403,8.394718315685168e-05,0.0,0.51679316756323,0.3483401477530139,0.3485156298050177,0.0013692904030904174,0.04201020300388336,0.04353387653827667,-0.00018611669656820595,0.00017597198893781751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.257487177848816,0.6318318843841553,4.527073860168457,0.656684160232544,7.525287628173828,1.9005300998687744,8.264357566833496
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.03699165953425568,0.5103978514671326,0.0,0.0,0.0,0.0,0.0,0.0372410746155423,0.5112831592559814,0.06414157626231796,0.0006459116120822728,0.02304347472399704,0.2979484498500824,0.02058030664920807,0.23660936951637268,0.04522211104631424,0.015752555802464485,0.0,0.0,0.0,0.1255175947994844,0.12901885511136643,0.0213547945022583,0.016019636765122414,0.13381961880163085,0.12369632870043029,0.002267872399418929,0.018891986348399316,0.0020038940622265906,6.303614858583215e-05,0.0005537741632709264,0.0016834528651088476,0.4356862038613342,0.42976414374171445,0.041673873441350325,0.0442690915656424,1.7585754903848283e-05,0.0,0.5198919832615088,0.36180257794336546,0.3619408637416742,0.0010149157606065273,0.04410169646143913,0.04518214613199234,-0.00030311703449115157,0.00010406732326373458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3840779066085815,0.6154802441596985,4.5622711181640625,0.6432506442070007,7.211265563964844,1.7045445442199707,8.770613670349121
