Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.013963373372420693,0.002970957662910223,0.0,0.0,0.0,0.0,0.0,0.013996248063312091,0.002927683759480715,0.002941982408053012,0.0,0.004332150083476482,0.0032476913183927536,0.0014729828108102083,0.0004845776711590588,0.0007592258625663817,0.0006048951043730957,0.0,0.024587390944361687,0.021884966641664505,0.013234040057462851,0.01631639962868313,0.0020384269300848246,0.0019411727553233504,0.011155270842059188,0.01411091139537804,0.0025125722944450497,0.001341271909204986,0.002165800298436631,0.0007510026353341019,0.0006942766485735774,0.0006237376946955919,0.017942680758999366,0.019629414199635143,0.0027326243419586657,0.0023209366690930796,0.010942962020635605,0.010991005226969719,0.058497088039165535,0.03487901059277471,0.03486724271027788,0.00013505113020073622,0.010757813230156898,0.012212893925607204,0.004054520279169083,0.00394741864874959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3131466209888458,0.15179196000099182,0.43693575263023376,0.15736405551433563,1.6530193090438843,1.262494444847107,0.9326821565628052
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.026134631033424033,0.011622268706560135,0.0,0.0,0.0,0.0,0.0,0.026174852398616638,0.011474674567580223,0.005470036397615938,0.0,0.006834091637106552,0.014195377007126808,0.004043254069983959,0.007919435389339924,0.0030109439976513386,0.0011776683776837063,6.507396756205708e-05,0.04827878251671791,0.042381949722766876,0.013162427391779731,0.01616795233350687,0.0042354087345302105,0.00402023596689105,0.012196627755296112,0.014762674073623012,0.0024504142794975507,0.00254497909815835,0.002335135375571799,0.0013674354634273791,0.001240029465407133,0.0011013123439624906,0.04782547990846428,0.04921210707506744,0.007161481706504726,0.006616855501705342,0.019279535859823227,0.019433341920375824,0.08401625232108528,0.034619723475493504,0.03459563322888478,0.0002380309160798788,0.022251103073358536,0.02534259483218193,0.008697213605046272,0.008897420950233936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.597032904624939,0.27606531977653503,0.8782774209976196,0.29278555512428284,3.2120964527130127,2.37776255607605,2.1058542728424072
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.03776227071756088,0.03817129507660866,0.0,0.0,0.0,0.0,0.0,0.037831915133332596,0.03791116923093796,0.010768604394960309,0.0,0.010768670965461712,0.052747003734111786,0.006010642275214195,0.03805331885814667,0.006094280630350113,0.00230385446135818,8.433830953435972e-05,0.07222167402505875,0.06387988477945328,0.012988376986640446,0.01598558088999019,0.008027882315218449,0.0075328717939555645,0.01799762715111437,0.01949817066726537,0.0017789091727452482,0.004209404289404468,0.002314498058946164,0.0015072656863146234,0.0016488868277519941,0.0014935117214918137,0.13059161935835817,0.13144911601665984,0.02048731243186943,0.019845611661302186,0.023678375408053398,0.023951444774866104,0.10979790393031769,0.03434136177871913,0.03430518947944325,0.0002975478128064424,0.036044903099536896,0.04122641682624817,0.014112070202827454,0.015552335418760777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8846961259841919,0.2853287160396576,1.3967393636703491,0.4262206554412842,4.520380973815918,2.6617932319641113,4.310094356536865
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.049809583768060835,0.08214718848466873,0.0,0.0,0.0,0.0,0.0,0.04990914667369934,0.08182978630065918,0.020087202796109427,0.0,0.016071304293607615,0.12058155238628387,0.006287236697971821,0.08078144490718842,0.003017309121787548,0.0035750362785412645,0.000156686786795035,0.09848524630069733,0.08873726427555084,0.012957838613568024,0.01597067902428929,0.01405009813606739,0.013144785538315773,0.03187984859689602,0.031123807990433808,0.001673457466532942,0.006132012277295799,0.0023511127114908582,0.001634508245180149,0.0020521145779639482,0.001982364570721984,0.25728173033395385,0.2571335054918951,0.044443065486686174,0.04503605639795761,0.022596951574087143,0.022920342162251472,0.1370700061175363,0.03432871583826402,0.03427360749255974,0.0003676466876640916,0.050262950360774994,0.05801086500287056,0.019707277417182922,0.023603219538927078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.208304762840271,0.3727271258831024,1.8254280090332031,0.5766960382461548,5.939697265625,3.05830717086792,6.2823286056518555
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.062639816506063,0.13702574372291565,0.0,0.0,0.0,0.0,0.0,0.06277803468292938,0.13674181699752808,0.0338501005619735,0.0,0.024876052706939773,0.1846301406621933,0.006347062531858683,0.1187647134065628,0.00278520118445158,0.003748073442039113,0.00025220512179657817,0.1353570967912674,0.12627623975276947,0.013002104746119451,0.015976632242879086,0.021524423733353615,0.020547911524772644,0.045256724964267886,0.04251430112422249,0.0016332322043441276,0.008334850368019028,0.0025125789417745413,0.0018365400354916715,0.002622642321512103,0.002671749796718359,0.39132855016838625,0.3924954950736078,0.07553925838581055,0.077521869211315,0.01771494187414646,0.018110234290361404,0.159848880758219,0.03438521508403799,0.03433867576870718,0.00047230304335244,0.0680566132068634,0.07794202119112015,0.028233814984560013,0.0357498899102211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.544672966003418,0.44838863611221313,2.2689619064331055,0.697562038898468,8.109599113464355,3.6948843002319336,7.258482933044434
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.06384935217754242,0.1597880870103836,0.0,0.0,0.0,0.0,0.0,0.0639588555165248,0.15955381095409393,0.03895523787803337,0.0,0.031701546745498924,0.17994147539138794,0.002625669352710247,0.12181875109672546,0.0012456804979592562,0.002899412035733724,0.0002211755490861833,0.15775476396083832,0.14811229705810547,0.01304640111497922,0.01592751357718257,0.023352717980742455,0.02202819101512432,0.05021348673006042,0.04757079999769676,0.001602166312169807,0.008499431765154343,0.0024000676504208653,0.0019071279049001264,0.00278010330562243,0.003004655009135604,0.4203778814445843,0.4219427518387152,0.0920108948877745,0.09385014309360168,0.017798859626054764,0.01814446412026882,0.15497782977733965,0.03440390523958441,0.03435482740222875,0.00031714318902231753,0.07308762520551682,0.08227190375328064,0.03472587466239929,0.0443255789577961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7285974025726318,0.47945132851600647,2.2392196655273438,0.7129998207092285,8.803956031799316,3.5614571571350098,6.603984832763672
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.064489277638311,0.1743198037147522,0.0,0.0,0.0,0.0,0.0,0.06459712253213669,0.17417913675308228,0.03888967587301972,0.0,0.03604318162093849,0.1524755209684372,0.0007951414445415139,0.11795337498188019,0.0010169915622100234,0.0024748595328813075,6.867319461889565e-05,0.1852954477071762,0.17550575733184814,0.012933363925448655,0.015660237954553055,0.02545027807354927,0.024219196289777756,0.04809415343945145,0.045859255658494184,0.001496184205004656,0.007821900016168937,0.0023369551156600453,0.0019910425731685423,0.0027475221982047604,0.003082788549363613,0.417580243164986,0.42068328487822143,0.10731724675166626,0.11043480356525848,0.02522706426680088,0.025459326803684235,0.14820390196247696,0.03393517252342609,0.033896984423859765,0.000254899263381958,0.07966402918100357,0.08960912376642227,0.042632874101400375,0.054500728845596313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8476935625076294,0.4368375241756439,2.3433163166046143,0.731817364692688,9.582618713378906,3.3731131553649902,5.873714923858643
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.06706727653398468,0.17189018428325653,0.0,0.0,0.0,0.0,0.0,0.06717706648508347,0.17178064584732056,0.03719142772212539,0.0,0.03909670465290886,0.12544485926628113,0.0006710267043672502,0.11210428178310394,0.0009304308914579451,0.0021018751431256533,0.0,0.20944876968860626,0.19900040328502655,0.013010258415093122,0.015675231632617297,0.026559069752693176,0.02535255439579487,0.044464293881676255,0.04281285961708675,0.0015062545601352139,0.007438669093676595,0.002130475713259909,0.0023416471691184116,0.002993209921367073,0.0034246831201016903,0.40421226691834594,0.40851377770141234,0.11955719527673538,0.12276049662736695,0.03664587438106537,0.03676489740610123,0.14687368121936936,0.03384037317632527,0.033798285163395884,0.0002221286267740652,0.08705408871173859,0.09745527058839798,0.05248476564884186,0.06468662619590759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0216751098632812,0.4541498124599457,2.3849363327026367,0.7650085091590881,9.450517654418945,3.315335273742676,5.8365583419799805
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.06956648452309769,0.15200701355934143,0.0,0.0,0.0,0.0,0.0,0.06965735124928177,0.15184670686721802,0.03614657473763115,0.0,0.04128350185364715,0.1098547950387001,0.0005630433443002403,0.10881754010915756,0.0007665228913538158,0.0019058961188420653,0.0,0.22493796050548553,0.21519149839878082,0.01306357232943764,0.015709912045435336,0.02638857811689377,0.025180289521813393,0.043476750682152634,0.04184464514339676,0.0013501486041362744,0.006851873715141211,0.0021379502693429637,0.002745410356820083,0.003340585371623373,0.0037621587980538607,0.38928708734522094,0.3954729955559845,0.12396495871437775,0.12693365581754212,0.04271649941802025,0.04282374680042267,0.14470926522294983,0.033471266004255894,0.03342049481148898,0.00019518852059263736,0.09461286664009094,0.10467546433210373,0.06221969425678253,0.07293608784675598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.162447929382324,0.47342240810394287,2.355064868927002,0.7753193378448486,9.018068313598633,3.5465691089630127,5.965263843536377
