Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.02865008823023739,0.10085441917181015,0.0,0.0,0.0,0.0,0.0,0.0286774224831324,0.10089932382106781,0.010608171864411564,0.0,0.006985095778921423,0.0311493668705225,8.484537102049217e-05,0.01899784430861473,0.00024996610591188073,0.00035706567072611126,0.0004641817358788103,0.033809155225753784,0.03268199414014816,0.013328450984439558,0.01622578899803294,0.007508912123739719,0.007379054091870785,0.029591058164291688,0.033154730471992494,0.00179322786913886,0.0011709416250416302,0.0020082656006450697,0.005502271118566809,4.77338362543378e-05,0.0002308126277057454,0.05405292731301643,0.058287546044930576,0.01827982677634945,0.019183550516572303,0.00979530904442072,0.009662301279604435,0.0359155995630307,0.03526836467763412,0.03525128770201127,-0.00010341634333599359,0.012724300846457481,0.01643974706530571,0.0006436007679440081,0.0028255092911422253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21966442465782166,0.1511780321598053,0.8150115013122559,0.23204883933067322,2.1324305534362793,0.481576532125473,0.905608057975769
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.053982161353710784,0.2053031474351883,0.0,0.0,0.0,0.0,0.0,0.054027722922546234,0.20540010929107666,0.019838424733767776,0.0,0.011778435688288822,0.06418364495038986,0.0001547046995256096,0.038410864770412445,0.0004261519352439791,0.00046140844181293965,0.0008733773720450699,0.0671079009771347,0.064871646463871,0.013291681621030095,0.01602839907356512,0.014890767633914948,0.01464149821549654,0.04890831707289505,0.053380053454944384,0.0018322895931995903,0.002147273159491291,0.002154603500341427,0.010018102613932267,6.161148485261947e-05,0.00038852603756822646,0.1074962672131041,0.1142241075762233,0.03525077871054878,0.037280825428241425,0.02143801748752594,0.021180590614676476,0.03619660845760847,0.03532765037534306,0.03529238304593726,-0.00020225264597684145,0.02417982555925846,0.03161199018359184,0.0006792795029468834,0.004400325007736683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46158236265182495,0.3176669180393219,1.6781482696533203,0.44247013330459595,4.2109270095825195,0.8994720578193665,1.8877016305923462
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.08352694049352372,0.3064388036727905,0.0,0.0,0.0,0.0,0.0,0.0835729330411905,0.3065958619117737,0.033834339980947876,0.0,0.01824518237683056,0.10345294326543808,0.00016597459034528583,0.05485985055565834,0.0003436639963183552,0.0005655689610347802,0.0011715182336047292,0.11365703493356705,0.10957726091146469,0.013258176145199627,0.015761733863926593,0.024048103019595146,0.023685626685619354,0.07343539596061173,0.07838379297119827,0.0018272026647453326,0.0030537200529673863,0.0022968946070944084,0.016363946331922036,0.00012641685316339135,0.0006903012981638312,0.17960439954787233,0.18884606435421478,0.06183155273967735,0.06568675419651183,0.03172551095485687,0.031313277781009674,0.03625861451729767,0.035721201097989236,0.03567996601278242,-0.0002638016012497246,0.03894902020692825,0.05000996217131615,0.0021509805228561163,0.009700710885226727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6853397488594055,0.4351656436920166,2.4639031887054443,0.6882656216621399,6.406523704528809,1.3692314624786377,2.7452919483184814
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.11430098612587754,0.414203405380249,0.0,0.0,0.0,0.0,0.0,0.11435806954624267,0.41438260674476624,0.04009463989115547,0.0,0.022330813655887984,0.1285192370414734,0.00020649840007536113,0.08293911814689636,0.000688510132022202,0.0006463679655800289,0.0018455780809745193,0.14443327486515045,0.13836747407913208,0.013275318341095849,0.015675378121781557,0.029576551169157028,0.02915322780609131,0.08955392314239868,0.09655749645221436,0.0017810568961445243,0.003694058905741186,0.00249252138427997,0.022303509399781724,3.278422082075849e-05,0.0007719610584899783,0.22063594535985565,0.23287298455683655,0.07898151706887954,0.08418464785675507,0.04509619250893593,0.04459523782134056,0.03734429938191045,0.036582487998466084,0.03652590578340102,-0.0004658556426875293,0.052383847534656525,0.06792892515659332,0.003092306200414896,0.012624496594071388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9430640339851379,0.6511431932449341,3.2985827922821045,0.983742892742157,8.102985382080078,1.9093458652496338,3.83668851852417
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.1420502167476764,0.5046165585517883,0.0,0.0,0.0,0.0,0.0,0.14210761475151765,0.5048530101776123,0.05520545385777657,0.0,0.030073890655738907,0.1603527069091797,0.0001735279365675524,0.08693622797727585,0.0008076830417849123,0.0006672924166927445,0.002145948354154825,0.2095029652118683,0.20139282941818237,0.013331239499093366,0.015510150574524696,0.03964027017354965,0.03941455855965614,0.11237536967862335,0.1195530176490619,0.0017500046265327878,0.004118567739542408,0.0026393496975162865,0.02978468974824795,0.00011262875341344625,0.0010980190709233284,0.307242608853689,0.32177598475675906,0.11587820675483673,0.12302750465166458,0.06245224550366402,0.06179409101605415,0.03705546170444094,0.03671704278574769,0.03666220329080126,-0.0005513328360393643,0.06843175739049911,0.08742135763168335,0.006179064977914095,0.020938770845532417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0753718614578247,0.7144027352333069,4.1126909255981445,1.172837257385254,10.76158618927002,2.3975701332092285,4.441718101501465
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.14538238185302613,0.5114045143127441,0.0,0.0,0.0,0.0,0.0,0.14545142108878661,0.5116394758224487,0.05600013600058243,0.0,0.030277580605943946,0.16219617426395416,0.00025033269776031375,0.08959761261940002,0.001540925819426775,0.000598152487330401,0.0021591184195131063,0.21309159696102142,0.20358140766620636,0.013371705541930554,0.015472722323167862,0.03981832414865494,0.03946209326386452,0.1147633277167891,0.12184074666226852,0.00177551621469474,0.004239305729493837,0.002824625743493712,0.031508432929598505,0.0,0.000997776398435235,0.3106561612259259,0.32556788249209656,0.12097100364479355,0.12787028386069915,0.07049375772476196,0.06983628869056702,0.03786110051412338,0.03656211347681775,0.03650356475099039,-0.000639621983282268,0.07289432734251022,0.0931943878531456,0.008560068905353546,0.024145672097802162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1272233724594116,0.8097051382064819,3.985823631286621,1.1523830890655518,10.279351234436035,2.4343979358673096,4.819849491119385
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.1454030076039978,0.5068539977073669,0.0,0.0,0.0,0.0,0.0,0.14547118560672545,0.507148027420044,0.05303766159961464,0.0,0.029423616432053757,0.15340368449687958,0.00015177759632933885,0.07728515565395355,0.0011742193019017577,0.0005046084420567036,0.0017975285882130265,0.21481828391551971,0.20516851544380188,0.013192306918690017,0.015348560275715614,0.03997957333922386,0.03976963460445404,0.11057846996729492,0.11782594473849411,0.00173221714312368,0.004252252346376762,0.002724847257249009,0.029078395393840637,0.0,0.0008663474000059068,0.2984780333585437,0.31335680711218444,0.1103994252847435,0.11720704605173538,0.06700172275304794,0.06630908697843552,0.03750953219561576,0.03622711651231985,0.03616339719208169,-0.0006438365671783686,0.06904485821723938,0.0888996496796608,0.00571898277848959,0.019276950508356094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1865214109420776,0.9264209270477295,4.134132385253906,1.2525100708007812,10.14511489868164,2.4707651138305664,4.622891902923584
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.1481202056969638,0.4988326132297516,0.0,0.0,0.0,0.0,0.0,0.1481524127523068,0.49910682439804077,0.05795780517116104,0.0,0.03176348560154778,0.16091176867485046,0.00011846217967104167,0.07604474574327469,0.001355562824755907,0.0005710559198632836,0.0016483796061947942,0.22636400163173676,0.21580888330936432,0.013186551884942164,0.015375196373629378,0.04132192209362984,0.04098803550004959,0.11389610917808776,0.1207867339029039,0.0018628190548582023,0.004484765344091444,0.002775994305396705,0.030042005355966874,7.554464256607704e-05,0.0009535723947919905,0.31438496780030395,0.3292623989267694,0.11947301861715133,0.12693030346540252,0.06651085615158081,0.06579820811748505,0.037705079531371775,0.036543513062177846,0.03647793157896816,-0.000582994834985584,0.07331779599189758,0.09252922981977463,0.006837327033281326,0.020687032490968704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2273772954940796,0.7941328287124634,4.202945709228516,1.239044427871704,10.127635955810547,2.335721492767334,4.6498870849609375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.14862597359446686,0.5153534412384033,0.0,0.0,0.0,0.0,0.0,0.1486435266075772,0.5155967473983765,0.05503346499999649,0.0,0.03017982149631016,0.15508005023002625,8.977863762993366e-05,0.07524340599775314,0.0010378288570791483,0.0005738193285651505,0.0016441944753751159,0.2320414036512375,0.22063642740249634,0.013332656610609311,0.015428112417152438,0.039893824607133865,0.039672087877988815,0.10880277452901733,0.11563024818981399,0.0017711336781516087,0.0046788504167584516,0.0027190309103838624,0.029518509445861436,0.0,0.0007486771210096776,0.313977244520285,0.328265718734848,0.1181483425964235,0.12466215260747436,0.07696152478456497,0.07626375555992126,0.03779524950328275,0.03569679029175212,0.03563478376168824,-0.0005911497282795608,0.07297370582818985,0.09304258972406387,0.005547313019633293,0.0192890502512455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1582614183425903,0.784264087677002,4.250099182128906,1.1050946712493896,10.032029151916504,2.4936861991882324,4.7668375968933105
