Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.006672214711174393,0.042690981179475784,0.0,0.0,0.0,0.0,0.0,0.00669843929322175,0.04264463856816292,0.0042188640749070356,0.0,0.002897163720311401,0.01457445602864027,0.011766909621655941,0.01305535901337862,0.009688319638371468,0.0009626983818116022,0.0,0.005376019980758429,0.005123492330312729,0.013241989651882039,0.016361752460558918,0.003733572084456682,0.0038293800316751003,0.032319823994689294,0.037236281457567216,0.004037149095320415,0.0026842151966595318,0.004282702156680722,0.0018266789866541004,0.00020347570534795523,0.00024811309413053095,0.028876882759498138,0.03140302748118317,0.001326085343250537,0.0015574438939434361,0.0,0.0,0.08493946493590454,0.06068652908989231,0.06071254053898747,0.0001908802951220423,0.007344351150095463,0.009265697561204433,9.893628157442436e-05,-2.8552263756864704e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2888326942920685,0.06590119004249573,0.6052934527397156,0.12290865182876587,2.0839908123016357,0.7240402698516846,1.0366835594177246
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.011882481533471241,0.08795910328626633,0.0,0.0,0.0,0.0,0.0,0.011915736605805721,0.08783261477947235,0.008385219014177589,0.0,0.005248909136103406,0.04936141148209572,0.02121831104159355,0.0521988682448864,0.021863486617803574,0.0015554842929553462,0.0,0.008876700885593891,0.008987532928586006,0.013100406262214294,0.01637852311616272,0.008173997513949871,0.008238200098276138,0.05637052430084038,0.06362585347325493,0.003843759987990694,0.005086967254894247,0.005683418059445348,0.003142399269810691,0.0004279630375094712,0.0005045910365879536,0.07859933192896637,0.08176086248240082,0.009980285009448434,0.011064219750040703,0.0,0.0,0.1293450072527736,0.07723485160540336,0.07728332426170945,0.00036051784991286695,0.017017772421240807,0.02133694663643837,0.00023952082847245038,0.0002948703186120838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5525857210159302,0.11913397163152695,1.1688803434371948,0.244398832321167,4.265342712402344,1.385967493057251,2.020573377609253
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.016746814771234627,0.1452987939119339,0.0,0.0,0.0,0.0,0.0,0.016792678796386108,0.14504408836364746,0.014750219811665917,0.0,0.010800399262933712,0.12151029706001282,0.02267434448003769,0.12038390338420868,0.03079017624258995,0.0019830598184552694,0.0,0.009809772484004498,0.01066798996180296,0.01309181406645564,0.01652578630573592,0.01383111160248518,0.013576564379036427,0.08172468096475068,0.09148139957052917,0.002226176700961137,0.007373773902336673,0.0035932297980946614,0.002525556676346879,0.0006641929503530264,0.0007598816300742328,0.1773473951676462,0.18031987323883544,0.03276334350877754,0.03516259348355446,0.0,0.0,0.1708337605348938,0.08817777188720718,0.08823221250141319,0.00039015000220388174,0.028735646978020668,0.03561233729124069,0.00032145887962542474,0.0010462668724358082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9574087858200073,0.1595548838376999,1.7523550987243652,0.3459373116493225,6.22942590713501,1.854682207107544,3.286642551422119
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.022494304299166833,0.2196568250656128,0.0,0.0,0.0,0.0,0.0,0.022576717830916367,0.21938678622245789,0.027606043749817122,0.0,0.019218773195778274,0.22011585533618927,0.019497938454151154,0.18782657384872437,0.03095298446714878,0.0023760164385541057,0.0,0.019426967948675156,0.021331049501895905,0.012919951530841795,0.016367890525256678,0.02239064686000347,0.021635418757796288,0.10831707043692002,0.11891454305637085,0.0019024720523171128,0.009694599590649815,0.0020029185825443697,0.0008812948847401631,0.0010421226033940911,0.0012448697816580534,0.31702859179177856,0.3187388993784613,0.06352400612069839,0.06749548143009644,0.0,0.0,0.20974745450945068,0.10242246989154358,0.10248440056957413,0.00045793369645252824,0.03894108161330223,0.04790787026286125,0.00023487411090172827,0.0014760545454919338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4850057363510132,0.21737655997276306,2.4148733615875244,0.4554240107536316,7.838886260986328,2.263073205947876,4.915957450866699
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.029257246135031244,0.3008174002170563,0.0,0.0,0.0,0.0,0.0,0.029360558341801034,0.3004619777202606,0.04614884473383133,0.0,0.028736107244593696,0.31997424364089966,0.014795983210206032,0.22452646493911743,0.022713102400302887,0.002968750395012121,0.0,0.04313776642084122,0.04445347934961319,0.013013283614709374,0.016252306021894137,0.03527556732296944,0.033689580857753754,0.14554939271081177,0.1569193482726886,0.0017633189741305582,0.011830982227738781,0.001970755891476279,0.0005425996531805509,0.001027607824653387,0.0013207937590777874,0.46417961198937013,0.46428288220625247,0.0908127027403447,0.09651222941172012,0.0,6.429404038499342e-06,0.24289826749794982,0.11712559614577775,0.11718685928110383,0.00043775857193395495,0.04858649894595146,0.05909617245197296,7.722672307863832e-05,0.001951715792529285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9918965101242065,0.30015829205513,3.150423049926758,0.5616634488105774,8.776180267333984,2.6583950519561768,7.155434608459473
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.031139045831125946,0.32053691148757935,0.0,0.0,0.0,0.0,0.0,0.03125477226755192,0.32019367814064026,0.05643272416062042,0.0,0.03151488176186874,0.3462778925895691,0.00971043948084116,0.2030140459537506,0.010628286749124527,0.002954000111460948,0.0,0.06377799808979034,0.06517671048641205,0.013021396995599774,0.016227203562877865,0.043189067393541336,0.041171204298734665,0.15855084437032685,0.16781803365672576,0.0017280637651871944,0.011966238139644604,0.0018795100341656192,0.0004793762155657265,0.0007494977971422088,0.0011776357423514128,0.5118752133022656,0.510640811159165,0.09595285552057556,0.10239426030589721,0.0,0.0,0.23000884952459688,0.11276162710403398,0.11281606852843476,0.0003062663890887052,0.049849480390548706,0.060415204614400864,0.00010662402928574011,0.0021219351328909397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9302024841308594,0.2825111150741577,3.2473371028900146,0.549221396446228,8.060543060302734,2.410912275314331,8.190049171447754
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.034424933232183076,0.3391742706298828,0.0,0.0,0.0,0.0,0.0,0.03452200086117531,0.3388654291629791,0.0649168412263179,0.0,0.033850282036168286,0.36728110909461975,0.008591359481215477,0.178289532661438,0.0014644588809460402,0.0031395039418523787,0.0,0.08210114389657974,0.08235660195350647,0.01288384709031511,0.015948588171131747,0.051163449883461,0.04878056049346924,0.17001242194121002,0.17832889856587525,0.001627946460482608,0.01243194769183813,0.001897718054586973,0.0003491367357090527,0.0005976010547772693,0.00116247427649796,0.5465414784497913,0.5449955068821583,0.09490613664853592,0.10210381766151855,0.0,0.0,0.2112274766127646,0.10913697924669724,0.10916309204237748,0.0001137383296736516,0.049783896654844284,0.0601666197180748,2.6674904802348465e-05,0.0024813006166368723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9093244075775146,0.26482826471328735,3.263835906982422,0.5312308669090271,7.69044828414917,2.1602842807769775,8.991903305053711
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.037234052863263624,0.3535720109939575,0.0,0.0,0.0,0.0,0.0,0.037332987318432695,0.35328853130340576,0.06946023501410996,0.0,0.035349815121296466,0.3725014925003052,0.0049504609778523445,0.15640763938426971,0.0003803111321758479,0.003087018383666873,0.0,0.0985768586397171,0.09766751527786255,0.012942645895023306,0.01587311793277412,0.05656169727444649,0.05411577224731445,0.1744649335885263,0.18241934476039062,0.001625962962188434,0.012222387474753647,0.001962844807552426,0.00032401812731627355,0.0005477794265221596,0.0012010351056233048,0.5670015521012989,0.5650707416220057,0.09320360508632476,0.10053658444789688,0.0,0.0,0.1945040434320273,0.09789748640800888,0.09791850302307725,5.33744678250514e-05,0.04976532980799675,0.06011417508125305,0.00011613946116995066,0.0030208276584744453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8674631118774414,0.24087604880332947,3.30627703666687,0.5189945697784424,7.383821487426758,1.951576828956604,9.581746101379395
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.039389304799119645,0.3654692769050598,0.0,0.0,0.0,0.0,0.0,0.03948027583343208,0.36519354581832886,0.07138234850963242,0.0,0.03596472608059875,0.3647325038909912,0.0022654649801552296,0.13884347677230835,0.0002382732491241768,0.0030230297707021236,0.0,0.11155370622873306,0.11012336611747742,0.013013878768569603,0.015924257871387813,0.0602523609995842,0.05783775821328163,0.17468574045137297,0.18246293217027892,0.0016034971754137308,0.012005152069696578,0.0021861531406552055,0.00035619548210919503,0.0005769212545404195,0.0012660520151257515,0.5743874043465638,0.5722112875348205,0.08983217261923539,0.09730750240806106,0.0,0.0,0.18069868384878143,0.0865833833523201,0.08659448401454903,1.5945137420203537e-05,0.049135927110910416,0.059404630213975906,1.8198416000814177e-06,0.0025860487949103117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8831928968429565,0.22936835885047913,3.4579241275787354,0.5256550312042236,7.40001916885376,1.8414065837860107,9.547097206115723
