Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.03219373151110115,0.011023269034922123,0.0,0.0,0.0,0.0,0.0,0.0323070883049231,0.011064751073718071,0.007250814984551401,0.0,0.006084967388281403,0.04173460230231285,0.005256404168903828,0.03152405470609665,0.007472039200365543,0.000530746431507392,0.00014365097740665078,0.033187977969646454,0.031331174075603485,0.013175381752838592,0.016381209768203106,0.004684644751250744,0.004567867144942284,0.015923755026810475,0.018626188646280767,0.001785737008840584,0.002446229216893878,0.0017600760070961832,0.0006614585891295648,0.0006219783681444824,0.0005601149750873446,0.06750362810270645,0.06892263517414009,0.016706927255952263,0.01634915035447151,0.016303664073348045,0.016334926709532738,0.0437012333514748,0.03475292972844097,0.034768839019705865,1.4000297596794553e-05,0.032653696835041046,0.03632999211549759,0.011705688200891018,0.014127212576568127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5509483218193054,0.13100984692573547,0.4695932865142822,0.1634165346622467,1.9087588787078857,0.7150537371635437,0.9642545580863953
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0600410778032576,0.02451765350997448,0.0,0.0,0.0,0.0,0.0,0.06021922245381531,0.024552887305617332,0.01692214641619709,0.0,0.01083364153263153,0.09773404151201248,0.008876447565853596,0.06096746399998665,0.008248521946370602,0.0012722441851359082,0.0003157203027512878,0.06939338147640228,0.06460961699485779,0.013025223815037991,0.01628930881271928,0.011064584366977215,0.010686326771974564,0.02777479550113964,0.029694486373969806,0.001763086126789773,0.0046982369375400445,0.0017517565737509991,0.0009017098566543305,0.0011722155613824725,0.0010376486461609602,0.15273073132204804,0.1533941418059787,0.03356479055256119,0.03286029910253876,0.025097671896219254,0.025204142555594444,0.052878048282942125,0.034356158053646925,0.03439700469146608,2.8972624477319187e-06,0.06061263754963875,0.06707149744033813,0.01844686083495617,0.02303028292953968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1035455465316772,0.24468426406383514,1.022217869758606,0.300455242395401,3.9261908531188965,1.278497576713562,1.9158008098602295
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.08248663827651703,0.038988612592220306,0.0,0.0,0.0,0.0,0.0,0.08269588794622361,0.03898290544748306,0.03298281312452545,0.0,0.015916472677617054,0.17469261586666107,0.009815187193453312,0.0854535698890686,0.001271899207495153,0.0025649095341277028,0.00042104514432139695,0.11177721619606018,0.10377297550439835,0.01287322581879323,0.0161435576385866,0.02069934830069542,0.0198974646627903,0.05239970610002938,0.05337564725143166,0.0017474659909483175,0.006868447586576061,0.0016820084931862666,0.0010096275548227836,0.0017059948295354843,0.0014955615624785423,0.2696906808474634,0.2692717887413837,0.05349088853174202,0.05228137901388321,0.023719480261206627,0.02391516976058483,0.0594149154029005,0.03412225356202178,0.034189756149959755,-9.248971764463931e-06,0.08322803676128387,0.09129681438207626,0.019930124282836914,0.02632509171962738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5837395191192627,0.32651424407958984,1.669138789176941,0.44195443391799927,6.0738396644592285,1.7279328107833862,2.924659252166748
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.09893922258894745,0.05799375846982002,0.0,0.0,0.0,0.0,0.0,0.09915842319252105,0.05789879709482193,0.0573251319763739,0.0,0.022308294276033782,0.26911044120788574,0.008374342694878578,0.1037423387169838,0.00034346579923294485,0.0032442195569975948,0.0005658903392031789,0.15607452392578125,0.14570149779319763,0.012937829570057952,0.01608992168865765,0.0343007892370224,0.03288968652486801,0.09105500651642212,0.0909905790923854,0.0017499531159424224,0.009049379310956212,0.0017354286578630841,0.0010980201671112071,0.002115985145792365,0.0018498258432373405,0.40463266746202087,0.4042781509443945,0.07658638637496704,0.07577133303741913,0.01369517482817173,0.014062143862247467,0.06302521786124873,0.03400036385509286,0.03408029676566009,2.3117065666156122e-06,0.10006608814001083,0.10970184952020645,0.020479852333664894,0.028410281985998154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9876563549041748,0.40893882513046265,2.3055243492126465,0.5925706028938293,8.350041389465332,2.1162056922912598,3.9310104846954346
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.1103615489138713,0.08215448260307312,0.0,0.0,0.0,0.0,0.0,0.11059326815193878,0.08205263316631317,0.08552185513078872,0.0,0.029689060717327194,0.37604576349258423,0.006293412297964096,0.11906751990318298,0.0002106189785990864,0.005043601118159513,0.000526004412677139,0.20174232125282288,0.18879088759422302,0.013004155154630874,0.01600975871701531,0.04950067400932312,0.04700754955410957,0.1352224782215425,0.13337375524938844,0.0016395419511669356,0.011171620746072216,0.0018033069229079278,0.001285358655786004,0.0024428486358374357,0.0022096289321780205,0.5471787222112329,0.5456853032038721,0.10401780631652802,0.1037727904011,0.0024465369060635567,0.0028349494095891714,0.06515306866698764,0.034116412447909604,0.03421292070026859,-7.021665805950761e-05,0.11331840604543686,0.12399034202098846,0.01914958283305168,0.028728380799293518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.417017698287964,0.4666394591331482,2.889312982559204,0.7339512705802917,10.699743270874023,2.4492411613464355,4.991728782653809
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.10077024984018204,0.09499344229698181,0.0,0.0,0.0,0.0,0.0,0.10095326805791427,0.09486756473779678,0.09518249349064514,0.0,0.03173646016617611,0.40517157316207886,0.004519219975918531,0.11073387414216995,0.0001403188653057441,0.004504841023847723,0.00048042237176559865,0.20407867431640625,0.19270867109298706,0.012970424270451461,0.016066277657657654,0.05389875918626785,0.0509021058678627,0.15127295333047852,0.14960462745154846,0.0016720581219139563,0.01125842087574337,0.0018913575050526245,0.0013119415335438775,0.002507859323441477,0.0023137626703828573,0.57135546318401,0.5701412670154883,0.11316427039417556,0.11378962530566833,0.0011646318016573787,0.0015730309532955289,0.06163452158186787,0.03461166707695767,0.0347105512146191,-9.862423030426726e-05,0.10480532050132751,0.11435315757989883,0.015551382675766945,0.02450026012957096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3898632526397705,0.43965208530426025,2.827225685119629,0.7368370294570923,10.93552017211914,2.2927956581115723,5.040312767028809
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.09217158202063522,0.10728831589221954,0.0,0.0,0.0,0.0,0.0,0.09233064220548416,0.10714010149240494,0.09869597061226608,0.0,0.033775925241810986,0.4095965623855591,0.0017301642801612616,0.10040560364723206,-9.765624781721272e-06,0.0036812824560140847,0.00033671915298327804,0.211675763130188,0.2007416933774948,0.012902391265278718,0.01578198431777321,0.05691848695278168,0.053817130625247955,0.15650210533087372,0.15539590718041535,0.001617180444279629,0.010866515515844211,0.0018542272257571555,0.0013718915257376098,0.0026737116245374726,0.002504837466403842,0.5853202603406604,0.5839284859890613,0.12405999030339737,0.1254661189515538,0.0008906173752620816,0.0013773918617516756,0.05832557754321693,0.0344218061419193,0.03452240611711729,-0.00014438688231166452,0.09835874289274216,0.1073552593588829,0.013659577816724777,0.022940419614315033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3961985111236572,0.4437781572341919,2.8556313514709473,0.7347944974899292,10.822815895080566,2.2501983642578125,5.119260787963867
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.08580074816598847,0.11397804319858551,0.0,0.0,0.0,0.0,0.0,0.08595520434776581,0.11384527385234833,0.09710546530738388,0.0,0.0343179432362352,0.37138867378234863,0.0010064670350402594,0.0947350487112999,7.616043149027973e-05,0.003411616198718548,0.00017846703121904284,0.21699878573417664,0.20590358972549438,0.013029958346819913,0.015683994261184935,0.057316526770591736,0.05476941540837288,0.14726568014862304,0.14695081112525116,0.001650264147664795,0.010488007795789032,0.0018163961953392913,0.0013741636672370506,0.0026934474525820255,0.0025836965069174767,0.579105050083324,0.5770288638754236,0.13435858574580964,0.13580595661309997,0.00095974444411695,0.001448962721042335,0.05908489075496811,0.03422661783010761,0.034331629322234984,-0.00011778533371398225,0.09276621788740158,0.10148150473833084,0.013440242037177086,0.02300574816763401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.458625316619873,0.4552115499973297,2.9043357372283936,0.709486722946167,10.83359146118164,2.2585952281951904,4.961520195007324
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.08170631898669403,0.11386262625455856,0.0,0.0,0.0,0.0,0.0,0.08186733292919815,0.11378246545791626,0.08467177775701172,0.0,0.03537903221458427,0.2869252860546112,0.0007456695893779397,0.09300756454467773,0.00010853290586965159,0.0031275227665901184,0.0,0.22379855811595917,0.21153926849365234,0.01321989088001782,0.015626747922664795,0.0550311841070652,0.05351083725690842,0.1215972319050206,0.1232339456685852,0.00169142720685465,0.009940107241937312,0.001772816400488791,0.0013368644161713184,0.0026393378899941208,0.0026260942686349154,0.521302136802771,0.5196342687970276,0.14019116096390472,0.14066239364865785,0.001149997697211802,0.0015840029809623957,0.06056873909215435,0.03380839939933402,0.03392047347302615,-0.00011819422070402652,0.09092964231967926,0.10015011578798294,0.016014961525797844,0.025548076257109642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.546252965927124,0.46979859471321106,3.0439257621765137,0.67437744140625,10.774250984191895,2.3721396923065186,4.756786346435547
