Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.014855916606351757,8.063983841566369e-05,0.0,0.0,0.0,0.0,0.0,0.014860011567042388,3.2218933483818546e-05,0.006289664941838712,0.0,0.00876284389055687,0.027574237436056137,-2.6100874492840376e-06,0.01938501186668873,0.00010472440771991387,0.0007940211370105279,4.1418923501623794e-05,0.03024407848715782,0.026067715138196945,0.01320079985965437,0.016391449834533986,0.002112301532179117,0.0018908230122178793,0.01205830882994146,0.014316756065213682,0.0017184283764164828,0.0013102643389904165,0.0017469468908273547,0.0006563809893489307,0.0007478636689484119,0.0007605222635902464,0.0801372944988475,0.08384260535870468,0.023473922671043777,0.022770327071156806,0.028441091999411583,0.028442155569791794,0.060199748733883895,0.0348437090248836,0.03483330978855383,6.554240098921582e-05,0.015747208148241043,0.016255442053079605,0.005243946332484484,0.003816697746515274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4350215792655945,0.1798408478498459,0.46698060631752014,0.162680983543396,2.115278959274292,0.698614239692688,0.8528743982315063
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.02619911208320011,0.00013126754492986947,0.0,0.0,0.0,0.0,0.0,0.026188328636271324,5.0036429456667975e-05,0.015088060273716716,0.0,0.0159824695622641,0.07244943082332611,-5.545401290873997e-05,0.04177340120077133,0.00020956897060386837,0.0013400051201891375,0.0,0.05750768631696701,0.04973471164703369,0.013029265966014593,0.016375394847290333,0.004871070850640535,0.004341243766248226,0.01683485655358124,0.01746612900116433,0.001702020571588861,0.0021522635350920464,0.0017441196704314913,0.0008780463470172131,0.0015807878226041794,0.001623955904506147,0.1710522454516867,0.17749328316530794,0.046973082637493516,0.04577172314333313,0.05530811473727226,0.05530660226941109,0.08538608999260361,0.0345169148801641,0.03450351985059804,0.0001445087109459564,0.03022942505776882,0.031167853623628616,0.0075134350918233395,0.005065662320703268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8648073077201843,0.32211416959762573,0.9986893534660339,0.310678631067276,4.207674980163574,1.2460477352142334,1.8683574199676514
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.035981727241217724,0.00022041464399080724,0.0,0.0,0.0,0.0,0.0,0.03596570488128601,9.676408808445558e-05,0.02864561595486393,0.0,0.023722120937435608,0.13608963787555695,-9.005784522742033e-05,0.06973635405302048,0.00032680321601219475,0.0018615239686977769,0.0,0.07783213257789612,0.06749691069126129,0.012846976426544074,0.01627004073206811,0.00886160135269165,0.007757974322885275,0.03086656332473221,0.029796813462798312,0.0015721836318250875,0.002982888314555006,0.0017059673193910285,0.001094977971889149,0.002359839389100671,0.002472060266882181,0.2753003123858545,0.28426986708763613,0.07145135125094407,0.0704386078413597,0.0762038454413414,0.07623951882123947,0.11038976315177612,0.034293665664667045,0.03428133784264606,0.00020318591850809753,0.04304967448115349,0.04468940198421478,0.007044682279229164,0.00458783283829689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.277252435684204,0.4601200520992279,1.583738088607788,0.4553275406360626,6.133887767791748,1.6534560918807983,3.20280122756958
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.043642052754572065,0.0004557590582408011,0.0,0.0,0.0,0.0,0.0,0.04362660104753586,0.0002853012119885534,0.045964222186573256,0.0,0.03184778297904625,0.21332824230194092,-0.00011250829265918583,0.10087709128856659,0.0005728034884668887,0.0024621649408592557,5.0937414926011115e-05,0.0941140279173851,0.0813756212592125,0.012780580115270718,0.016296784745176717,0.014361193403601646,0.012517089024186134,0.05140742732330689,0.048563888633134,0.0014620920110624284,0.003729878503283472,0.001701395860887859,0.0013008576254572462,0.003207945730537176,0.003417820204049349,0.38800931946435546,0.39922206774203245,0.09695723485185379,0.0961910796747635,0.08735356479883194,0.08745748549699783,0.13482586143942046,0.034175540480000044,0.03416612934588563,0.00026133202482014894,0.05392170697450638,0.056147895753383636,0.005025868304073811,0.002889344934374094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.628074288368225,0.5674313306808472,2.1234242916107178,0.5955610275268555,7.873425483703613,2.008526563644409,4.917147159576416
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.04866618926659729,0.006218390539288521,0.0,0.0,0.0,0.0,0.0,0.048656263824164735,0.00597644317895174,0.06647877462207977,0.0,0.03967081588457306,0.301609069108963,-0.0001614093780517578,0.13307403028011322,0.0007104110554791987,0.0034066303299190807,0.00019665480067487806,0.1079278215765953,0.09397075325250626,0.012674297826306295,0.016374958614730085,0.02235899679362774,0.01957777701318264,0.08071791977751938,0.07519056576789163,0.0013511371248883701,0.004772188083197756,0.001746229218211943,0.0015067290841209256,0.004036362282931805,0.004393392242491245,0.5090307958806665,0.5213872909472498,0.12303568151107758,0.12365999188911804,0.08640258014202118,0.08669358491897583,0.15726640521519683,0.03415618422921259,0.03415616516042384,0.000300081679597497,0.06420911103487015,0.06742033362388611,0.002339002676308155,0.0017464905977249146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8197567462921143,0.6598486304283142,2.564648389816284,0.7364869117736816,9.467744827270508,2.260660409927368,7.195526123046875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.04487053665177223,0.037744391709566116,0.0,0.0,0.0,0.0,0.0,0.04484797099909355,0.03750858083367348,0.07384027556843445,0.0,0.040046988638242034,0.32797110080718994,-0.00018859267584048212,0.13692006468772888,0.0006159043405205011,0.0036191206590982915,0.00020798832701984793,0.10460714995861053,0.09217306226491928,0.012704016246561353,0.016397171358832882,0.026605524122714996,0.023145031183958054,0.09747371154924378,0.09053746010983932,0.001318466095982963,0.004921784500107508,0.0017386599366425483,0.0014350823431357371,0.004100820463418455,0.004560374654829502,0.5350478302608838,0.5459516756077124,0.12653008299383453,0.1282896770425,0.06543250381946564,0.06575492024421692,0.154963867389301,0.03420155104670513,0.0342054533930314,0.000337307748850435,0.06130606681108475,0.06420207023620605,0.0012787777232006192,0.0011641359888017178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6910253763198853,0.6292807459831238,2.5172343254089355,0.7292501926422119,9.247919082641602,2.101573944091797,7.866929531097412
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.042374836839551545,0.07153534144163132,0.0,0.0,0.0,0.0,0.0,0.04232180507183815,0.07129555195569992,0.08007433964560272,0.0,0.04002063681970329,0.3415316045284271,-0.00011622547754086554,0.1374400109052658,0.000419025425799191,0.003669785045999813,0.00024741352535784245,0.10972017049789429,0.09892597794532776,0.012627285736279598,0.016146820166586737,0.030596476048231125,0.026813143864274025,0.11007733646576523,0.10148594977151032,0.0013379863327803922,0.0052587806158763024,0.0017737019472941272,0.0014683544837642871,0.004162473368068104,0.004694601520895958,0.5615136883802112,0.5716763340229664,0.13122326906192322,0.1340793253977246,0.0505271814763546,0.050813592970371246,0.15130027385159134,0.03375388618414182,0.033753002252138474,0.0003352177154738456,0.05971069261431694,0.06283077597618103,0.0011493349447846413,0.0013166710268706083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5998249053955078,0.5951989889144897,2.4211628437042236,0.7176423668861389,9.119735717773438,1.8960070610046387,8.523402214050293
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.04248800485982849,0.09814704954624176,0.0,0.0,0.0,0.0,0.0,0.04240578962365425,0.09789887070655823,0.08136594988360916,0.0,0.04055489503443581,0.3225135803222656,-0.00012539983435999602,0.13114099204540253,0.00022409915982279927,0.004302406217902899,0.0001956230407813564,0.12459767609834671,0.11245867609977722,0.012697933350651001,0.016056145708848717,0.032720375806093216,0.028883013874292374,0.11228670181276565,0.10270947960755478,0.00139536667416841,0.005447182916828184,0.0017948032195123573,0.0013918033242538942,0.0043572985386322975,0.0049692196771502495,0.570834249969646,0.5790794424696314,0.1373249599046689,0.13986266363767424,0.04781559109687805,0.04810507595539093,0.14743682590320725,0.03359172823152101,0.033600697548802454,0.00033723414526320994,0.059643734246492386,0.06243652477860451,0.0010752362431958318,0.0014506736770272255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6208008527755737,0.603833794593811,2.37734317779541,0.7308764457702637,9.451200485229492,1.8900015354156494,8.20877742767334
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.04303382707862061,0.11106222867965698,0.0,0.0,0.0,0.0,0.0,0.04292866530400932,0.11079733073711395,0.0732374238689769,0.0,0.041293254663648526,0.2545067071914673,-5.385756594478153e-05,0.1230810284614563,0.00010825633944477886,0.0050839320756495,0.0001231843198183924,0.14548344910144806,0.12928757071495056,0.012889143214587867,0.01594053418857074,0.033362872898578644,0.02980731427669525,0.09560369847253693,0.08575353920543899,0.0014239451061015364,0.005597332381376419,0.0018055232560522379,0.0012659684747089507,0.004288313193390703,0.004917825572192669,0.5309533208848023,0.5376330833798523,0.1434093498457788,0.14479076035741334,0.06180860102176666,0.062079448252916336,0.14689820854942306,0.03322828587266748,0.03324298024677738,0.0003970926918555051,0.06007562577724457,0.06274519115686417,0.0016683414578437805,0.002052903873845935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7339057922363281,0.6143702864646912,2.4614832401275635,0.7295399308204651,9.88477897644043,1.8684399127960205,7.592446804046631
