Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.03750970959113541,0.06896447390317917,0.0,0.0,0.0,0.0,0.0,0.03751435123817734,0.06892024725675583,0.008669351979157658,0.0,0.008090703731844007,0.0337606742978096,6.100583777879365e-05,0.03699219971895218,7.850669135223143e-06,0.0002998858588789479,0.0004946539993397892,0.03697727993130684,0.02938779816031456,0.013286021153938935,0.016213991054589413,0.003249516710639,0.002782856347039342,0.02421405051594288,0.028332115869247915,0.001705810163339407,0.0005457115150240474,0.0023858859672798707,0.008285133286372242,0.000642672530375421,0.0007349328952841461,0.06495197561161377,0.06835129857693588,0.035936099053585434,0.036695460344162295,0.06542592495679855,0.0653461217880249,0.041545939640944995,0.034785971961994684,0.03480366268416992,-4.1022598452400416e-05,0.016750458627939224,0.01952330954372883,0.009762593545019627,0.013495134189724922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18104803562164307,0.11394281685352325,0.3909979462623596,0.06749466806650162,3.102984666824341,0.655138373374939,0.4471118450164795
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.07666881419289459,0.13337267935276031,0.0,0.0,0.0,0.0,0.0,0.07665717765448746,0.13329258561134338,0.023185747078547744,0.0,0.015663787741037025,0.0844850242137909,-6.881808076286688e-05,0.06595180928707123,-0.00013734908134210855,0.0002973846848611475,0.0009872368536889553,0.08417598158121109,0.07002081722021103,0.013147185301039956,0.016049372792639512,0.007451504468917847,0.006609467323869467,0.046118491871860505,0.05118764188320328,0.001665646153174663,0.0006955545967430079,0.0028152645553493763,0.01754672990525402,0.0012102536857128143,0.0014121939893811941,0.1573358159797171,0.16325938106855958,0.08534716761678925,0.08791664754557006,0.12652872502803802,0.12638725340366364,0.043720955041131326,0.03433934727372149,0.03437856686189896,-9.318873344454914e-05,0.03597556799650192,0.041891634464263916,0.022122135385870934,0.03041854128241539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.366843044757843,0.22110620141029358,0.7830500602722168,0.13599246740341187,6.344089508056641,1.2592819929122925,0.8450635075569153
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.12006078794473374,0.18581074476242065,0.0,0.0,0.0,0.0,0.0,0.12002910818967759,0.18569347262382507,0.046803081338274384,0.0,0.02463655118319271,0.15034547448158264,-0.00012830470222979784,0.08047448098659515,-0.0001911541767185554,0.00031626923825290963,0.001418733736500144,0.1372128278017044,0.1171959787607193,0.013006754425759368,0.015831539605003882,0.01271139271557331,0.011284412816166878,0.07807884365777436,0.08362389061314315,0.0016269988702249842,0.0005836230722801554,0.0028014777856481387,0.026845205186192017,0.002058421028777957,0.002363421255722642,0.275581080065069,0.28419568910721316,0.1411602126615619,0.14572127839885865,0.17843171954154968,0.1782301813364029,0.04219835590339832,0.034020115560782854,0.0340784310880797,-0.00013972770830150694,0.05807905271649361,0.06675112247467041,0.03586065396666527,0.048521604388952255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5757411122322083,0.3308568000793457,1.1850204467773438,0.22086183726787567,9.578445434570312,1.813027262687683,1.2410237789154053
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.17192020763438048,0.20803895592689514,0.0,0.0,0.0,0.0,0.0,0.171865435488244,0.20779451727867126,0.07829769679284881,0.0,0.03558401445511475,0.22320954501628876,-0.00011946937593165785,0.08888564258813858,-0.00021913662203587592,0.00028805657164153594,0.0020424348767846823,0.19770605862140656,0.17113250494003296,0.012899196000114794,0.015752225068976566,0.01836341619491577,0.016125505790114403,0.11732994092747101,0.12331503477084839,0.0016168535576448777,0.00043759642044453444,0.0033641394879815913,0.039145133331904905,0.003639285219833255,0.0040039620362222195,0.40216977373757934,0.41383754387347166,0.20468842070533508,0.2106941950903366,0.23515525460243225,0.23499460518360138,0.046404291302277335,0.03380511935328234,0.03388583306141306,-0.00019967085972893983,0.0872536152601242,0.09834994375705719,0.056004177778959274,0.0732368528842926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8394429087638855,0.5403664708137512,1.4367172718048096,0.3399176597595215,12.18256664276123,2.793236255645752,1.7255535125732422
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.2225899797214618,0.24295072257518768,0.0,0.0,0.0,0.0,0.0,0.22249118375366914,0.24259038269519806,0.10527081854641143,0.0,0.04577866774748047,0.28810933232307434,-0.00016730156494304538,0.08311083912849426,-0.00018193532014265656,0.0003155051920479495,0.002366414060816169,0.2547558844089508,0.22174997627735138,0.012927792007685505,0.015610350231551374,0.025791537016630173,0.02302556112408638,0.15528844894040314,0.16138105395735047,0.0014936180846549145,0.00031537568375824215,0.0033206852696696164,0.04765245793159851,0.004949045367538929,0.005343676079064608,0.5153054364408166,0.5295775055811914,0.24883557584396332,0.25533693399917967,0.285773903131485,0.2855522036552429,0.04374499413155817,0.03362034353674833,0.03372482399765751,-0.0002741534262895584,0.1094958484172821,0.12279737740755081,0.0677289366722107,0.08715523779392242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0349397659301758,0.6474664807319641,1.738929271697998,0.4849148988723755,15.204638481140137,3.5689473152160645,2.2280373573303223
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.22378880518333313,0.21368680894374847,0.0,0.0,0.0,0.0,0.0,0.22370962256869842,0.21326856315135956,0.1002264694995372,0.0,0.047104204656680373,0.26319968700408936,-0.00011876728240167722,0.059820059686899185,-0.00020401824440341443,0.0003279091752146199,0.002069212729111314,0.27013328671455383,0.23424869775772095,0.012927719012213332,0.01570340033110583,0.028911545872688293,0.026452960446476936,0.14286604601045594,0.14924907084430206,0.0015215028282561393,0.00029876176929600866,0.0030340104577469586,0.04348935954757851,0.005347672798007221,0.005616850219666958,0.48535382858623166,0.5000885240574194,0.22029158669027618,0.2242884857840695,0.28355687856674194,0.28341591358184814,0.04578398971323126,0.03373808394083127,0.033840642495295524,-0.00027307518757879734,0.11042953282594681,0.1229931190609932,0.06379445642232895,0.07972704619169235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9718040227890015,0.6392397284507751,1.8457835912704468,0.463941365480423,15.158937454223633,3.676753520965576,2.1585898399353027
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.22003121171128234,0.24742090702056885,0.0,0.0,0.0,0.0,0.0,0.2199598999440744,0.24704328179359436,0.08818250103543045,0.0,0.04490611290226669,0.23396506905555725,-0.00025595721672289073,0.04219549149274826,-0.00023145902378018945,0.0003598030030073255,0.0019981672521680593,0.27576515078544617,0.2383638322353363,0.012798289164756577,0.015586581034558664,0.032356444746255875,0.03030729852616787,0.12914689633791565,0.134277638809787,0.0014142189563221199,0.0005247728577878929,0.0029167479617706947,0.03824810805653748,0.005233671745826368,0.005454035475850105,0.4362301490850147,0.44986723887869445,0.18352402027118225,0.18625668009113738,0.28449633717536926,0.2843080759048462,0.043344711900788535,0.03332738500293236,0.03342923527868676,-0.0002940674021374434,0.10186783969402313,0.11465698480606079,0.05070130527019501,0.0639970600605011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8912086486816406,0.5651810169219971,2.0094504356384277,0.5351095199584961,15.258489608764648,3.5223045349121094,2.148338556289673
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.21082473903551055,0.26138973236083984,0.0,0.0,0.0,0.0,0.0,0.21074742255607878,0.26100942492485046,0.07223620958581482,0.0,0.04146083348095757,0.1898166984319687,-0.00014660235319752246,0.02342813089489937,-0.00025208311853930354,0.0004278874839656055,0.0016009173123165965,0.2904272675514221,0.25178763270378113,0.01289165695904143,0.015516127976429643,0.03629861772060394,0.03496897965669632,0.10441556574346786,0.1090597435607637,0.0014109018041010967,0.0008416749148412932,0.0028632504412813772,0.03259053605378944,0.005116779059715176,0.005327546037733555,0.3636048145257678,0.3766644231958734,0.14675663498115357,0.14751727093366424,0.2813626229763031,0.2811940610408783,0.043490590872317735,0.03335496782860781,0.03345889220535613,-0.0003018089337274432,0.10034193098545074,0.11279068142175674,0.041593488305807114,0.05182359740138054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.773726224899292,0.4959214925765991,2.2630395889282227,0.41810569167137146,15.602144241333008,3.2409493923187256,2.145298957824707
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.2048160172822873,0.28245824575424194,0.0,0.0,0.0,0.0,0.0,0.20476192551237762,0.28210705518722534,0.05942558598717339,0.0,0.03576181696862213,0.15746071934700012,0.00012556527508422732,0.023576389998197556,-0.00016720373241696507,0.0005260715261101723,0.001546673127450049,0.27835729718208313,0.23826809227466583,0.01293093584946245,0.015509527559783597,0.03443794697523117,0.03307585418224335,0.08767028300002945,0.09218605756843795,0.0013352650216560227,0.0012272963120726682,0.0029965781343429805,0.030460301948860742,0.004926276141921615,0.005062140058726072,0.29536605181703796,0.30696316770373533,0.12232380442513215,0.12241867103103164,0.29642003774642944,0.29616937041282654,0.05081529392878517,0.03301070819731002,0.03309970596024833,-0.00027292832965031266,0.09460828453302383,0.10752474516630173,0.03494001179933548,0.04451717808842659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7480995655059814,0.4974459409713745,2.287778854370117,0.471601277589798,15.310587882995605,3.433037757873535,2.1783461570739746
