Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.005995125038638735,0.09180072695016861,0.0,0.0,0.0,0.0,0.0,0.006019534938649454,0.09181726723909378,0.006743396918288202,0.0,0.0071896174759359935,0.010950436815619469,0.00042066629976034164,0.007875882089138031,0.0002956482640001923,0.0008274242435099912,0.0,0.03185611963272095,0.030943676829338074,0.013201424758912042,0.016345673689263193,0.004993465729057789,0.004750640131533146,0.019141913175039597,0.02295975179525614,0.0030366464828786373,0.0020700449787729646,0.002033638494660233,0.0005965946930157444,0.0001249791675945744,0.00033492554211989045,0.051322837141917724,0.053041651851281284,0.0076484447766481875,0.00805339917769701,0.0,0.0,0.10750105977976898,0.08767153177150527,0.08768229933269914,5.050807885709219e-05,0.012211857363581657,0.014558655209839344,6.593849684577435e-05,0.002234210493043065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24193421006202698,0.10209844261407852,0.6390036940574646,0.12845857441425323,1.6029036045074463,0.8881810903549194,1.387247920036316
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.010688821222070351,0.18777431547641754,0.0,0.0,0.0,0.0,0.0,0.010728272383493748,0.18780091404914856,0.01670428585160759,0.0,0.014065473358901157,0.03095206618309021,0.00043459382141008973,0.023053225129842758,0.00037819845601916313,0.0014077927143510652,2.314341145392973e-05,0.06922416388988495,0.06740263104438782,0.013057765575485193,0.016272054432210022,0.010981319472193718,0.010390857234597206,0.03350323958566475,0.03856816698045422,0.003201801665614681,0.0036465222937040235,0.0022294653916763033,0.0010397436783675098,0.00019574290490709245,0.0006898903520777822,0.12582105959820541,0.12727637739262193,0.022319774543945695,0.02389781130062931,0.0,0.0,0.18185980619200165,0.14352527860473388,0.14355241652350068,8.65949405124411e-05,0.027000004425644875,0.03196991607546806,0.0008934208890423179,0.007170448545366526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.501937985420227,0.1892234981060028,1.2343921661376953,0.2557521462440491,3.153503656387329,1.7572853565216064,2.8612797260284424
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0159064339833852,0.28919196128845215,0.0,0.0,0.0,0.0,0.0,0.015983052142595634,0.28921934962272644,0.03277137309776535,0.0,0.023392578032343368,0.07077319920063019,0.0005234997952356935,0.04739736393094063,0.0002941082348115742,0.0021180588673514033,0.00014148061745800078,0.11770636588335037,0.1145038977265358,0.012951662562726937,0.01617061392725921,0.018687378615140915,0.017528405413031578,0.05902678892473641,0.06670871082407684,0.0024460349524731877,0.00524033740131052,0.002262422429590778,0.0019614118684791733,0.0002270635886816308,0.001036022906191647,0.24577178393393495,0.24685284271362792,0.04961973449164383,0.05212474918328438,0.0,0.0,0.2581181317917221,0.20360350014867798,0.20365811585152802,7.949352584546432e-05,0.04591377079486847,0.05352504551410675,0.005287947598844767,0.016878869384527206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8010472059249878,0.2020491361618042,1.8793120384216309,0.3763025999069214,4.842519283294678,2.3239505290985107,4.398484706878662
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.021822505935838853,0.3951756954193115,0.0,0.0,0.0,0.0,0.0,0.021900659598132095,0.3951745331287384,0.05876677834368538,0.0,0.03455201591018334,0.13801774382591248,0.000615488039329648,0.0728835016489029,0.000459066970506683,0.002715820190112171,0.0002662088954821229,0.17028453946113586,0.1658806949853897,0.012932345480715307,0.01608286587605502,0.0301575418561697,0.02807648479938507,0.10133911742016205,0.11152039315688812,0.00225234200392291,0.007045550781687708,0.0023185443901603854,0.0028667322960894298,0.00037721480475738645,0.0015549941454082727,0.3998335696856079,0.40006082430331175,0.0859057066960501,0.09016151851276856,0.0,0.0,0.336848041400625,0.26961676184081573,0.269678401946203,2.433991539874114e-05,0.06633834540843964,0.07617854326963425,0.013899967074394226,0.03066587820649147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1446231603622437,0.2522691786289215,2.464186191558838,0.5013306140899658,6.557229518890381,2.7032363414764404,6.100437164306641
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.02876488196686413,0.5086667537689209,0.0,0.0,0.0,0.0,0.0,0.028856852527320252,0.5086736083030701,0.09395362503826324,0.0,0.047244297533733444,0.23383358120918274,0.0007095265318639576,0.09510939568281174,0.0004089475842192769,0.003330457922202568,0.0003383579896762967,0.23177604377269745,0.22752678394317627,0.01291814030075316,0.01611200504089221,0.045299842953681946,0.04185176268219948,0.16353029609788147,0.1752957731813266,0.0020425175639817066,0.008707448315735741,0.0023290817354665936,0.003554832979624953,0.00045303438673727214,0.0020290364045649767,0.5803315408910424,0.5792182207034143,0.13164679434410065,0.13854671385776887,0.0,0.0,0.4187002599143317,0.34337024692693235,0.34343984726194643,-8.465915743727237e-05,0.08717717975378036,0.0980607196688652,0.02449669875204563,0.0464351549744606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.553847074508667,0.29094529151916504,2.9403860569000244,0.6213096976280212,8.047860145568848,3.0693788528442383,8.117344856262207
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.030041161801975937,0.524359405040741,0.0,0.0,0.0,0.0,0.0,0.030109893701286812,0.5243597030639648,0.1138881893581836,0.0,0.051675154479344634,0.2940923869609833,0.0006749203894287348,0.09462809562683105,0.0003617037436924875,0.0033090708011540414,0.00015103489567991346,0.24583114683628082,0.24260802567005157,0.012893301838622237,0.016135152541821615,0.05391586944460869,0.04946603626012802,0.20357041138311371,0.21452687080825317,0.0018175401668137925,0.008359041406289082,0.002226022378715029,0.0032958679322234916,0.00029297287160293876,0.001966920681297779,0.6459209334026684,0.643410872652085,0.1537171770862036,0.16124545766784332,0.0,0.0,0.4221496522656476,0.35496539172147706,0.3550404191000671,-0.00014188021305017173,0.08786462992429733,0.0971856489777565,0.027861014008522034,0.04958287626504898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6353869438171387,0.2806631922721863,2.856191635131836,0.6026508808135986,7.656919956207275,2.832022190093994,8.891349792480469
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.03134250137936554,0.5395800471305847,0.0,0.0,0.0,0.0,0.0,0.031394563776262055,0.539575457572937,0.13116390957186463,0.0,0.05508995761762352,0.3450186550617218,0.0005919703980907798,0.0881749838590622,0.0002645112108439207,0.0034563138047044753,0.0,0.25025030970573425,0.2485421597957611,0.012825581163533068,0.015883373530205178,0.06245768070220947,0.05697954073548317,0.23722217235510468,0.24687961937676545,0.001718928174066068,0.008285159422556743,0.002031925210084252,0.0029926517132442855,0.000183087799540599,0.0018704604590311646,0.684496667201012,0.681005259632555,0.1678810047672989,0.17575653215240905,0.0,0.0,0.4254235774437964,0.3636103748923157,0.3636873453511505,-0.00012940139276906848,0.08688154816627502,0.09510274231433868,0.027217378839850426,0.04740610718727112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5993281602859497,0.2416713684797287,2.8913345336914062,0.5893017053604126,7.2232346534729,2.589647054672241,9.667266845703125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03291524931445076,0.5578729510307312,0.0,0.0,0.0,0.0,0.0,0.03294662563005722,0.5578259825706482,0.14475671894803557,0.0,0.05826419123113495,0.3903616964817047,0.0005471238982863724,0.08386918157339096,0.00029235254623927176,0.003409827360883355,0.0,0.23686285316944122,0.2369023859500885,0.012947510833114793,0.015763475197804737,0.06830352544784546,0.06196421757340431,0.26459176094772585,0.2734899669661249,0.0017135156333636513,0.00808320624826172,0.002055436745125587,0.0028896216559537126,0.00020281769040373862,0.0018062314484268427,0.7022413916551319,0.6987693838758814,0.1723145553178769,0.18071212578920165,0.0,0.0,0.4314184844215216,0.37086271645571167,0.37092927101938844,-0.00019932762370444834,0.08427759259939194,0.09181389212608337,0.024159898981451988,0.04167203605175018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5126309394836426,0.20941440761089325,2.8963944911956787,0.5701855421066284,6.446277141571045,2.2726378440856934,10.947612762451172
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0336237773123185,0.5800755620002747,0.0,0.0,0.0,0.0,0.0,0.03360725136977852,0.5799883008003235,0.15372568097909575,0.0,0.06172745915264122,0.4293666183948517,0.0004303440800867975,0.08410528302192688,0.00011711370461853221,0.0034986636601388454,0.0,0.20513170957565308,0.2044076919555664,0.013111469449094776,0.015649953730912235,0.07256285101175308,0.06525621563196182,0.28599719105199706,0.2952876403936218,0.0016640653279622432,0.008122269884416255,0.0020374192883986504,0.0023209824451808692,0.00015538853374738097,0.0017503334674984217,0.7108174294472718,0.707246683157074,0.1669425451029657,0.17525025375607972,0.0,0.0,0.4422210514454077,0.3774058818526672,0.3774710029495142,-0.0001852554123615846,0.07778618484735489,0.08359595388174057,0.014280644245445728,0.029451115056872368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4023780822753906,0.1886351853609085,2.865121603012085,0.547561764717102,5.905766010284424,2.0873332023620605,11.971967697143555
