Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.010099481785759354,0.04878365620970726,0.0,0.0,0.0,0.0,0.0,0.010182343353198089,0.04878980666399002,0.007248836855402918,0.0,0.005525775935942111,0.031900081783533096,0.00024883460719138384,0.010594988241791725,-3.1760453566676006e-05,0.0005032257912198437,0.00010016476880991831,0.05038904398679733,0.0503169409930706,0.013215262091429184,0.01620680072772039,0.009290965273976326,0.009541070088744164,0.028503794937782594,0.03144616891744137,0.002124620126205769,0.0019802837597855593,0.0019147936905681553,0.0010802435590815222,0.0001265836035599932,0.00035451693111099303,0.08601663705484726,0.08916777372990524,0.015760762193465137,0.017563626656737632,0.030497252941131592,0.030573368072509766,0.06266666577184776,0.03464609984048645,0.03464994492463893,-1.298642200708855e-05,0.018245572224259377,0.023800164461135864,0.004267561249434948,0.008216248825192451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28062137961387634,0.05947573110461235,0.6855264902114868,0.1517781913280487,1.431278109550476,0.7171099185943604,1.4890762567520142
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.022540521244887007,0.09575654566287994,0.0,0.0,0.0,0.0,0.0,0.022673329112512436,0.09573792666196823,0.020825766361246376,0.0,0.009965859837653055,0.09701217710971832,0.00035505866981111467,0.02279284968972206,1.83596603164915e-05,0.0008267388720263017,0.00010263514559483156,0.0954919084906578,0.09443868696689606,0.013111150826279429,0.016092697176662948,0.020877808332443237,0.02089001052081585,0.06003911940625,0.06179691102535416,0.0024972804687203335,0.0035236428947173263,0.0019451054557723816,0.0014514363358754659,0.00036262362846173346,0.0008405949920415878,0.20404584522414002,0.20798014999708742,0.03542373648852577,0.03988493000673645,0.07237792015075684,0.0725463479757309,0.08690070362099106,0.03422646192638682,0.03423364719031504,-3.28803071170114e-06,0.03439848870038986,0.04485909640789032,0.007762443274259567,0.015432004816830158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5963261723518372,0.11664421856403351,1.378676414489746,0.2696378231048584,2.807584762573242,1.2449778318405151,3.2251930236816406
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.039277987031876675,0.1502322107553482,0.0,0.0,0.0,0.0,0.0,0.03946887847099243,0.1501583606004715,0.041936466400492096,0.0,0.016077955630152206,0.18458981812000275,0.0004696565738413483,0.03775629773736,0.0001670279452810064,0.0013129841690596843,0.0001986429706448689,0.13445746898651123,0.13207973539829254,0.013094814554960407,0.015892605160204794,0.03591562807559967,0.035251911729574203,0.10527234524945679,0.10456552061897964,0.0022465540971013847,0.004818587042073326,0.002062241656200321,0.0020561375024505664,0.0006535473512485623,0.0014046973083168268,0.34211840067893007,0.3466474093449451,0.06019925719076149,0.06714342465959701,0.11289000511169434,0.11324379593133926,0.11067595485366516,0.03409653546747357,0.034093627565841195,2.43029589910293e-05,0.0496809221804142,0.06486349552869797,0.008586238138377666,0.019632352516055107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.068665623664856,0.17570267617702484,2.2567086219787598,0.3760574460029602,3.707853078842163,1.5139609575271606,5.433595657348633
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.057851740464380415,0.2133791446685791,0.0,0.0,0.0,0.0,0.0,0.05807643214585396,0.2131534069776535,0.06630526461578201,0.0,0.02345101217392578,0.27352651953697205,0.000540914770681411,0.056614529341459274,0.00013156510249245912,0.0019866130078091,0.0001432371063856408,0.1740572154521942,0.17018578946590424,0.013127039039739325,0.01568775438016413,0.053990017622709274,0.05246805399656296,0.1559056050901068,0.15234236266601286,0.002130952197186649,0.006466101899197311,0.0020001548341462318,0.0018289388292681169,0.0008068365859799087,0.0019157560309395194,0.4839404620329437,0.48720132484881346,0.0915616510434317,0.10090477889637452,0.1519552320241928,0.15260013937950134,0.1364790782186525,0.03386486771277253,0.03386662601760697,3.368187026353553e-05,0.0655081644654274,0.08468951284885406,0.00822190660983324,0.022552747279405594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5549825429916382,0.2440348118543625,3.0602147579193115,0.47688230872154236,4.406225681304932,1.7713514566421509,8.051118850708008
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.07405517513886596,0.28567296266555786,0.0,0.0,0.0,0.0,0.0,0.0742787285405992,0.2853673994541168,0.08789241380989257,0.0,0.031660564437014656,0.33964481949806213,0.0006377625395543873,0.07804638892412186,0.00018492937670089304,0.0025548578371676015,0.0,0.21594539284706116,0.21025781333446503,0.01307744561374407,0.01565138220871314,0.07123690843582153,0.06911434978246689,0.19627398849595276,0.1917285502284839,0.0020485621385292656,0.008058095757778569,0.0021642714584106447,0.0020508330525437855,0.0012584904907271266,0.002782337134703994,0.6098532446111352,0.6124031066821131,0.12874680485836,0.14036399987232576,0.18930865824222565,0.19005733728408813,0.1650269299649527,0.03385086304522563,0.03386218074785895,6.089449016144499e-05,0.08128204941749573,0.10390718281269073,0.009688835591077805,0.02723073959350586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.983344316482544,0.3310142755508423,3.807403087615967,0.56490159034729,5.471872329711914,2.14193058013916,10.245174407958984
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0722228436435878,0.30186787247657776,0.0,0.0,0.0,0.0,0.0,0.07244629616221954,0.30161601305007935,0.08485639856524155,0.0,0.03426128125389412,0.31236323714256287,0.0004799604357685894,0.08471211791038513,0.0003018331481143832,0.003140587329656148,0.0,0.22308173775672913,0.21551938354969025,0.013115487671302092,0.015617640655975581,0.07032346725463867,0.0683223307132721,0.18279504853387818,0.17963733669246185,0.0019597870153681427,0.008210177874639969,0.002163413963977987,0.002377066407547109,0.0013692506535793257,0.002959243021905422,0.5976778279911389,0.5990151278515173,0.14294776516470245,0.1536987198777356,0.1959424465894699,0.19662289321422577,0.1688183784714734,0.03379766518612697,0.0338374662196548,7.52031774027273e-05,0.08432339876890182,0.10556686669588089,0.012545011006295681,0.03176811710000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0850396156311035,0.33611658215522766,3.8173770904541016,0.5817525386810303,5.849521636962891,2.084628105163574,9.771146774291992
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.06754426155220947,0.31029871106147766,0.0,0.0,0.0,0.0,0.0,0.06776651011110092,0.31006360054016113,0.07849033876011612,0.0,0.03607331549416275,0.26893386244773865,0.0003900599549524486,0.084714375436306,0.00030801535467617214,0.0033048705095236777,0.0,0.23517771065235138,0.2250923365354538,0.013039669697072393,0.015363394614514733,0.0682598426938057,0.06662341952323914,0.16259893033449768,0.16168100835572358,0.0018055239731415075,0.008499141959945545,0.0021243203075380977,0.0026313937820267343,0.0013774862713933635,0.003042392199859023,0.5758992693967517,0.5776166521305713,0.15314734752643128,0.16329865475487182,0.21860238909721375,0.21924510598182678,0.17969886960192322,0.033405923784895646,0.033460569917748005,5.5626631365157664e-05,0.08838603645563126,0.10944938659667969,0.019576750695705414,0.04002667963504791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0933337211608887,0.3582049012184143,3.8054232597351074,0.57984459400177,6.499610900878906,2.3790273666381836,8.772663116455078
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.06249411016359283,0.3114960789680481,0.0,0.0,0.0,0.0,0.0,0.0626615899602536,0.3112684190273285,0.07065180636897599,0.0,0.03827478640377861,0.22528061270713806,0.0003380036214366555,0.08290307968854904,0.000352927454514429,0.0030571932438760996,0.0,0.24695327877998352,0.23369568586349487,0.013179061664928158,0.015207679818690749,0.065090611577034,0.06392781436443329,0.1412484720492578,0.14191903171679626,0.0017959259814772776,0.008151150886692791,0.0021210903664028932,0.0029567062179871274,0.001634263601697588,0.0033275580499321222,0.5504547662698475,0.5542738966627466,0.16164109197330293,0.17125531245378295,0.25989168882369995,0.2604195475578308,0.2040085404832663,0.0332047879889148,0.033268476756614145,6.512284016935155e-05,0.0945797935128212,0.11528979986906052,0.028634831309318542,0.05030028522014618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1634714603424072,0.3827923834323883,3.814112424850464,0.5984972715377808,7.120134353637695,2.6485631465911865,7.755373001098633
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.057653371227065736,0.30399665236473083,0.0,0.0,0.0,0.0,0.0,0.05779508816582382,0.30383992195129395,0.06299430605968125,0.0,0.04031982513278953,0.19556018710136414,0.00026709079975262284,0.08825256675481796,0.0010472536087036133,0.0024687121622264385,0.0,0.24930720031261444,0.23433883488178253,0.013415779158558044,0.01503221365173376,0.06035597622394562,0.059531982988119125,0.12178196160034073,0.12432754933918228,0.0017252483753267091,0.007514472008415852,0.0019081779375932635,0.0035290857070688964,0.0016766501172954201,0.0034631318412721157,0.5270580977440857,0.5336603145962829,0.1720493965615152,0.18250190385106568,0.3138574957847595,0.3142194449901581,0.22802709638158783,0.03285061116918122,0.032901434310824346,0.00018726706912275404,0.10088294744491577,0.12189197540283203,0.03901463747024536,0.062308911234140396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2466959953308105,0.4111761450767517,3.807234287261963,0.5976561903953552,7.185610771179199,2.8673007488250732,7.357537269592285
