Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.013421317556962395,0.0900631695985794,0.0,0.0,0.0,0.0,0.0,0.013449591514335193,0.09003732353448868,0.008623418218455048,2.269794094900135e-05,0.00569901846579629,0.04348106309771538,0.00010127151472261176,0.014376466162502766,7.961203664308414e-05,0.001394756270058675,0.0,0.02665172517299652,0.026958096772432327,0.013231281915644802,0.016390274410857372,0.00807938352227211,0.007690951228141785,0.029698044776373216,0.03010996130409241,0.0018212835979012705,0.0021655552520134713,0.001884948334529151,0.00045143017090619117,0.0002242970949737355,0.0003728328156284988,0.10083188560383179,0.10167647153769409,0.015883249738478565,0.016815623755064315,0.014939099550247192,0.01499611884355545,0.043807703079527416,0.03487833997333207,0.03485740849504373,1.7891108655021526e-05,0.00699410866945982,0.009734632447361946,-2.5473511414020322e-05,0.00043326098239049315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44464340806007385,0.07335575670003891,0.8519201278686523,0.1142425686120987,1.2975075244903564,0.4073767066001892,1.7030012607574463
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0261918701188599,0.17764265835285187,0.0,0.0,0.0,0.0,0.0,0.026242775616628494,0.1775868833065033,0.021693211383114128,6.430324719985947e-05,0.00910496899840416,0.10388759523630142,0.0002219783200416714,0.02813570760190487,0.000144017263664864,0.002751071976424403,0.0,0.0562179870903492,0.056993842124938965,0.013129146192131104,0.016290476087323365,0.0182856023311615,0.017302867025136948,0.05705156697204399,0.05425915863544632,0.0018966389481428509,0.00419597234474348,0.0019297926647798428,0.0004899868202043458,0.0003978752647526562,0.0006980366306379437,0.21261013860869202,0.2124393820889911,0.03355366683572998,0.036246330938810044,0.030638322234153748,0.030779670923948288,0.0510813277334779,0.03453865351338651,0.03450237988266288,4.465818346943706e-05,0.014716374687850475,0.02065611630678177,-8.363218512386084e-05,0.0010248370235785842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8842528462409973,0.13413822650909424,1.5943890810012817,0.23311209678649902,2.6262192726135254,0.816534161567688,3.490507125854492
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.04122598603242599,0.26241058111190796,0.0,0.0,0.0,0.0,0.0,0.0413041278353685,0.2623089849948883,0.040723154251444245,0.0001284909958485514,0.012634058859674911,0.1798616200685501,0.00034983534715138376,0.04097805917263031,0.00020362730720080435,0.0041420230563443804,0.0,0.08940219134092331,0.09132523089647293,0.013077008263962284,0.016113027975096002,0.03067455068230629,0.028967266902327538,0.0903787687466568,0.08392452154022903,0.0019112307201710659,0.006382883004526214,0.001957101213316754,0.0005488870795040396,0.0006035697879269719,0.0011154240928590298,0.335519063816366,0.3344311095726825,0.0557456093090152,0.06055097213350449,0.04633656516671181,0.046550482511520386,0.05726040120936565,0.03433251548027691,0.03427333827649523,6.179344927659258e-05,0.02436373382806778,0.03394045680761337,-0.00033098578569479287,0.0017581405118107796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.298832893371582,0.19204774498939514,2.1711981296539307,0.3525485396385193,3.9847187995910645,1.2316529750823975,5.4495391845703125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0596329358665258,0.3461803197860718,0.0,0.0,0.0,0.0,0.0,0.0597383325767717,0.34601259231567383,0.06375437953449081,0.0001578979572514072,0.01676928492847576,0.26579922437667847,0.0004532530438154936,0.05513046309351921,0.0002912321942858398,0.005446467292110501,0.0,0.12397496402263641,0.12704256176948547,0.013027513587497092,0.016074645200828252,0.04439762979745865,0.04184568673372269,0.1258504099969519,0.11615832742440903,0.0019464848437942565,0.008377929262271138,0.0020116365963041595,0.0007087625683846627,0.0009518073056824505,0.0017098288517445326,0.4648053146997986,0.4623162962481207,0.08213537018729919,0.08949865525822144,0.05885579437017441,0.059210993349552155,0.06385345420272517,0.03424791551450601,0.03416102319524732,9.488772775512189e-05,0.03593972325325012,0.04947102814912796,-0.00046048607327975333,0.003337842645123601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6912227869033813,0.24988619983196259,2.721804618835449,0.47404995560646057,5.441775321960449,1.5856914520263672,7.42651891708374
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.08080443258420135,0.42743828892707825,0.0,0.0,0.0,0.0,0.0,0.08095693724936233,0.427190899848938,0.08461192317306701,0.00020014322944916785,0.02011139337669094,0.3338681757450104,0.0004975711344741285,0.07233848422765732,0.0003235114854760468,0.0066831977703990745,0.0,0.15543891489505768,0.1600276231765747,0.01290531219085083,0.016137100982856745,0.05861152708530426,0.05567457154393196,0.15465987325776306,0.14253577891290925,0.0019919442161468364,0.01018893293749897,0.0021834224336873607,0.0011244160740709417,0.0012967869406566024,0.002271127188578248,0.5800415046895654,0.5767383098528894,0.10761765864006012,0.11642851051580795,0.07312452048063278,0.07361938804388046,0.07341551481717132,0.03432925820423268,0.03422770778899896,0.0001575169007992372,0.04967452958226204,0.06800700724124908,-0.0003645523393061012,0.004997709300369024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1044421195983887,0.3183135986328125,3.236443519592285,0.5952687859535217,7.407162189483643,2.122964859008789,8.602578163146973
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.08735310274021027,0.4162929058074951,0.0,0.0,0.0,0.0,0.0,0.08753520453652908,0.41605204343795776,0.08069857971138641,0.00010278217814629897,0.021245279001196174,0.30162590742111206,0.00048549805069342256,0.0811624825000763,0.0006203390075825155,0.006195999419108296,0.0,0.15282286703586578,0.1570071280002594,0.012773866050837954,0.016292083218715878,0.05796439200639725,0.05536548048257828,0.1335907437195395,0.12360586371148574,0.0019568192395688086,0.010745331986323338,0.0022347642962693183,0.0007788943140383441,0.0014143572834203553,0.0024239530321210623,0.5533469330440869,0.5506103150387122,0.1039662827781134,0.11371149851752899,0.06966568529605865,0.07030028849840164,0.07780996488843316,0.03453463040189191,0.034443299245129365,0.0002625480410642922,0.053392134606838226,0.07251998037099838,-0.00018285114492755383,0.006116130854934454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0809848308563232,0.3005099892616272,3.1870217323303223,0.6000082492828369,8.001321792602539,2.194498062133789,8.015692710876465
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.09296839181315383,0.39443904161453247,0.0,0.0,0.0,0.0,0.0,0.09318461285234238,0.3942858874797821,0.06542438967774154,6.659306382061914e-05,0.02204758634458275,0.23621182143688202,0.000516996718943119,0.08366098254919052,0.0005028137238696218,0.005940278702396679,0.0,0.15417152643203735,0.15616349875926971,0.012623679960860907,0.016079159290502618,0.05304764211177826,0.05104666203260422,0.10239178690855621,0.09413049818764802,0.0019495781841191364,0.010766906841198787,0.0024150884667131565,0.0007154227683675887,0.0015013411143616486,0.002540494780987501,0.4680368862695392,0.46686311590620605,0.09322422768342514,0.10166597684215972,0.07569228112697601,0.07623603940010071,0.07858307661219238,0.034090110892149465,0.034016738871810746,0.0003024348698090762,0.05849629268050194,0.0780780166387558,0.00028733533690683544,0.007540185935795307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.218930721282959,0.3375541567802429,3.100478410720825,0.6253234148025513,8.771563529968262,2.6413989067077637,6.568334579467773
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0976693442429538,0.3478798270225525,0.0,0.0,0.0,0.0,0.0,0.09789063213268555,0.3477592468261719,0.04984690196767364,2.372778908465989e-05,0.022757795608047065,0.16263845562934875,0.00074119953205809,0.070005863904953,0.00042633304838091135,0.005660092458128929,0.0,0.1669604480266571,0.1645626276731491,0.012814323059970266,0.01587932636188715,0.046347908675670624,0.04500569403171539,0.06872677059414153,0.06435117495796333,0.0020004541831979547,0.010696439650633126,0.002452564310645937,0.0008152116666628418,0.0015041529485802889,0.002515160944312811,0.35604506802193786,0.3570050232096063,0.07939999637079055,0.08613257814554016,0.08551337569952011,0.08601397275924683,0.07933296483948846,0.03375970689707963,0.03371667038326708,0.0002587512135505676,0.06551332771778107,0.08583972603082657,0.0017459647497162223,0.010753652080893517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2929859161376953,0.3737509250640869,2.9410674571990967,0.656153678894043,9.683429718017578,3.0272297859191895,5.256469249725342
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.09940292311934631,0.30100366473197937,0.0,0.0,0.0,0.0,0.0,0.0996533961830777,0.3009535074234009,0.03794624757965691,0.0,0.022256009822192117,0.10952331870794296,0.0008988681365735829,0.05177640542387962,0.000443819270003587,0.005520435981452465,2.572447010606993e-05,0.17463549971580505,0.16797053813934326,0.012903780643236579,0.01587015831800672,0.04010046645998955,0.039156168699264526,0.048643933217085725,0.04752744883383026,0.0020294447690260946,0.009969070442685279,0.0024355508996899695,0.0012580295318369628,0.0015728463001126408,0.002530414843931794,0.2621533304692291,0.2640452902680511,0.0664014302958368,0.07187147356990341,0.09619055688381195,0.0966714397072792,0.07941902278940186,0.033244802005413375,0.03322663285804048,0.00026871293084695935,0.07224898040294647,0.09220855683088303,0.003678821725770831,0.014997686259448528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.221107244491577,0.3951094150543213,2.8055953979492188,0.6674368977546692,10.20427417755127,3.456986904144287,4.56903600692749
