Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.021278290072545433,0.007593807764351368,0.0,0.0,0.0,0.0,0.0,0.021371409226820983,0.007555538322776556,0.012719653367063733,0.0,0.006232724508711872,0.05438222363591194,0.00024218333419412374,0.016763795167207718,4.653217547456734e-05,0.0005140565488936735,7.534974429290742e-05,0.034992896020412445,0.03581953048706055,0.013133195321310057,0.016376082786498145,0.008912228979170322,0.008996378630399704,0.031116873740606614,0.031402730169916154,0.0018353550598205,0.0023001396295332576,0.0018315404846105656,0.0005370239469268782,0.0005028578452765942,0.0005837450735270977,0.11091004010813095,0.1135044321480838,0.017111162231528664,0.018732823918071097,0.04838188737630844,0.04849626123905182,0.05610046909177879,0.03478292819609403,0.034766093458928025,3.846114850603044e-05,0.0188091229647398,0.023258473724126816,0.004559457302093506,0.007206731475889683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3686380982398987,0.0830579400062561,0.4684313237667084,0.1470431238412857,2.1242551803588867,0.6543333530426025,1.0597690343856812
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.041265048454884184,0.022717924788594246,0.0,0.0,0.0,0.0,0.0,0.04142239108441528,0.022629106417298317,0.0283132925247052,0.0,0.011847597565324917,0.10734810680150986,0.00036476910463534296,0.03693930059671402,8.129791967803612e-05,0.0006944302976329101,0.00014201366866473109,0.06827376037836075,0.07028095424175262,0.012922888373413245,0.016308282854896713,0.018876083195209503,0.01887715794146061,0.054155589623954774,0.051629018003055346,0.001855150288225474,0.004034507552998533,0.0018593128496579717,0.0007608561648081982,0.0009622689103707671,0.0011978567345067859,0.21733404512572083,0.2211146295197925,0.0390426734742569,0.04270375659274452,0.09309744834899902,0.09332044422626495,0.08086018265493805,0.03440033832311643,0.03436683033481366,5.016231443732977e-05,0.03775999695062637,0.046216920018196106,0.008899854496121407,0.014469173736870289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81874018907547,0.1745895892381668,1.0083262920379639,0.28217965364456177,4.008403301239014,1.176913857460022,2.3637309074401855
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.06110877677673065,0.04052248224616051,0.0,0.0,0.0,0.0,0.0,0.06134429719362198,0.04039604961872101,0.04180166677104225,0.0,0.018452438902585487,0.14333905279636383,0.0003913135442417115,0.056278329342603683,9.620768832974136e-05,0.0007765837517280782,0.000347047985997051,0.10462435334920883,0.1069287583231926,0.012654064327534228,0.01619410463290299,0.029816806316375732,0.02994890883564949,0.0700271800206131,0.06597931388479919,0.0017735261137120555,0.00573009572891386,0.0018284081091008274,0.000995884289523657,0.0015321110840886831,0.001977012027055025,0.3040505829909418,0.30927610173347964,0.06688132902556412,0.07237084141336593,0.138131245970726,0.13848872482776642,0.11016265455402069,0.03411747616825231,0.03407667836809811,3.316167203593068e-05,0.058311402797698975,0.07136107981204987,0.014837713912129402,0.02369711361825466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3594419956207275,0.24478819966316223,1.6591585874557495,0.4214057922363281,5.511518478393555,1.491639256477356,4.05393123626709
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.07852710534613434,0.05803334712982178,0.0,0.0,0.0,0.0,0.0,0.07882480526687713,0.05782683566212654,0.04979230814553093,0.0,0.026137376750146293,0.1641484498977661,0.0004180429386906326,0.08047372847795486,0.00015392788918688893,0.0009153239425151325,0.00041892449371516705,0.14518126845359802,0.14641053974628448,0.012606791335622697,0.01615206018567218,0.03852923959493637,0.03888813406229019,0.07589560074850449,0.07214179482448303,0.0016964352317168378,0.006967595822563381,0.0019281657118846475,0.0011163671054158102,0.0019291043281555176,0.0025307596661150455,0.37803132311502075,0.38434784784762327,0.100224515609281,0.10698837166885834,0.1812499314546585,0.18170563876628876,0.1418573841306703,0.03393329786130328,0.03388706211617325,8.580684516346082e-05,0.08020265400409698,0.09778085350990295,0.024692192673683167,0.0376892127096653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7609754800796509,0.30760422348976135,2.338156223297119,0.5503280758857727,7.1672563552856445,1.9537547826766968,5.510517120361328
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.09339230771199371,0.0667724534869194,0.0,0.0,0.0,0.0,0.0,0.09374983745402084,0.06649446487426758,0.05669092826544945,0.0,0.03521824461172302,0.18263259530067444,0.0003695655323099345,0.11478377133607864,0.00039037238457240164,0.0011868477697866368,0.0004586249706335366,0.18315306305885315,0.18355882167816162,0.012448568342660886,0.01628589323922507,0.045016784220933914,0.045345548540353775,0.07875348479617325,0.07546369660199426,0.0014646391969423316,0.007800550141300841,0.0017333070883853228,0.0014338241052421295,0.0023279497399926186,0.003122921334579587,0.45078254420410707,0.459996473781875,0.14107641306034058,0.14981230464470277,0.22299104928970337,0.22347880899906158,0.17316308318608306,0.03391605288968865,0.03385375419941149,0.00020826593390665948,0.10364572703838348,0.12569698691368103,0.04182815924286842,0.05795960873365402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1651525497436523,0.38346225023269653,2.8859500885009766,0.707699179649353,9.1250638961792,2.5101256370544434,6.651796340942383
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.08708677428619263,0.05665655434131622,0.0,0.0,0.0,0.0,0.0,0.08743040466985275,0.05652947723865509,0.05083578468627617,0.0,0.038739620359738616,0.16598567366600037,0.0002806208503898233,0.12157592922449112,0.0005003107944503427,0.000997432419356221,0.0002968088665511459,0.18969571590423584,0.18853884935379028,0.012526271921660212,0.01625405545534918,0.039798248559236526,0.03998274728655815,0.0685509860803698,0.06916748877490508,0.0014246427484628798,0.0071650365055355835,0.001616245122101432,0.002060038265966587,0.00234624226045558,0.003171240445226431,0.44412359706271787,0.4550369791527106,0.15431671040567688,0.1632153315730252,0.21653829514980316,0.21680152416229248,0.1725320905676877,0.03392403445452757,0.03387397266759586,0.00013766430492978543,0.10658333450555801,0.12754933536052704,0.05116521194577217,0.06810316443443298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.122652292251587,0.39727890491485596,2.9508755207061768,0.7175079584121704,9.127612113952637,2.7068350315093994,6.420895576477051
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.08128893617522201,0.0351019985973835,0.0,0.0,0.0,0.0,0.0,0.08164482579828049,0.035053301602602005,0.047834481584527515,0.0,0.04140622501860351,0.1585368812084198,0.00026826944667845964,0.11474838852882385,0.0004780317540280521,0.0006389815839750349,0.0002675900177564472,0.20239950716495514,0.20055629312992096,0.012456082424514032,0.01595418086505572,0.03655843809247017,0.037001874297857285,0.06194086376373886,0.06529629679213639,0.001418819093212196,0.00639013498137413,0.001488630975708317,0.0029096573676687144,0.0022581235939458655,0.003084269119426608,0.44851424914070925,0.46142595040747253,0.1624531822966339,0.17166711707901428,0.2214917689561844,0.22165368497371674,0.17873820664091705,0.03352560304310064,0.033486084081756205,6.510075036203489e-05,0.1121341809630394,0.13281890749931335,0.059886205941438675,0.07765869796276093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.119513511657715,0.40503740310668945,2.9610650539398193,0.7377884984016418,9.158904075622559,3.1100857257843018,6.0478515625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.07934042423620179,0.01174715906381607,0.0,0.0,0.0,0.0,0.0,0.07959844348827637,0.011759672313928604,0.04801519907966171,0.0,0.044806658259037555,0.1625058501958847,0.00018782849656417966,0.10736124962568283,0.00039968860801309347,0.0005629402585327625,0.0003010493528563529,0.21987487375736237,0.21661241352558136,0.012465425177438592,0.015969369014915073,0.03510212525725365,0.03539450839161873,0.05377141387703186,0.05812363324305664,0.0015369866371286588,0.0060067461997053906,0.001617239731261759,0.003973447603670545,0.0026712533371370077,0.0034215999767184258,0.4576268799268451,0.4727812044306146,0.1669516721076947,0.17514561821130553,0.2149992436170578,0.21499945223331451,0.1871821939666571,0.03333549288404236,0.033290946310710605,1.0403841770312283e-05,0.1224387139081955,0.13965252041816711,0.0663231685757637,0.08144976943731308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2147223949432373,0.49294036626815796,2.8796794414520264,0.7517194747924805,8.979986190795898,3.635237455368042,5.638667106628418
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.08041412009028595,0.0005894566420465708,0.0,0.0,0.0,0.0,0.0,0.08061383234841049,0.0004989145672880113,0.05094951120217926,0.0,0.047936326434316556,0.1823895126581192,0.00019608814909588546,0.10678434371948242,0.0003860498545691371,0.0005448481533676386,0.0003046378551516682,0.23253311216831207,0.2284473031759262,0.012519805718065519,0.016057489153622005,0.03445836156606674,0.0346076600253582,0.046474521587647324,0.050872576982624436,0.001586077159548376,0.005604558047571573,0.0018799432057216288,0.004535297792554354,0.002806457905242777,0.003438415937125683,0.47701904478082885,0.4933643262749786,0.17003244988812194,0.1771636969638205,0.22087362408638,0.2209291011095047,0.20489204525033936,0.03314516568212902,0.03307954946218125,-3.63178551197052e-05,0.13438253104686737,0.1491585671901703,0.07320281863212585,0.08512263000011444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.358243227005005,0.6210232973098755,2.601877212524414,0.7755098938941956,8.426152229309082,4.59355354309082,5.265044212341309
